,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-05-31,19.86,$9.00,2.21,$7.76,2.56,$0.62,32.16,$0.55,36.11,$0.72B,$1.10B,0.65,$3.36B,$4.54B,0.74,$3.88B,$1.52B,39.10%,$3.88B,$0.45B,11.50%,$3.88B,$0.45B,11.50%,$3.88B,$1.17B,30.05%,$3.88B,$0.14B,3.53%,$3.88B,$0.26B,6.65%,$0.26B,$4.54B,5.46%,$0.26B,$-1.48B,-19.69%,$0.26B,$11.00B,2.31%,$0.45B,$7.89B,5.51%,$1012,$586,$426,$0,$0,$790,$222,$-248,$-26,$45,$-71,$-71,$-71,$408,$222,$503,504,$-0.14,$-0.14,$229,$95,$199,$715,$3517,$519,$6019,$231,$10289,$11004,$1102,$3356,$188,$5363,$6465,$3336,$1222,$-42,$4538,$11004,$-105,$590,$227,$818,$0,$0,$0,$0,$0,$712,$-681,$-65,$14,$0,$51,$51,$0,$-682,$8,$0,$8,$24,$24,$-227,$-1,$-196,$-166,$2,$-223
1,2018-02-28,18.9,$9.52,1.99,$7.73,2.45,$0.90,20.99,$0.89,21.24,$0.71B,$1.13B,0.63,$3.43B,$4.78B,0.72,$3.84B,$1.50B,39.03%,$3.84B,$0.40B,10.37%,$3.84B,$0.40B,10.37%,$3.84B,$1.15B,29.83%,$3.84B,$0.31B,8.18%,$3.84B,$0.43B,11.10%,$0.43B,$4.78B,9.11%,$0.43B,$-1.36B,-28.80%,$0.43B,$11.40B,3.78%,$0.40B,$8.20B,4.83%,$1077,$679,$398,$0,$0,$1210,$-133,$-40,$-172,$-42,$-130,$-130,$-130,$67,$-133,$500,501,$-0.26,$-0.26,$221,$106,$183,$711,$3557,$753,$6137,$236,$10686,$11398,$1131,$3425,$236,$5491,$6621,$3359,$1440,$-46,$4776,$11398,$-35,$404,$83,$486,$0,$0,$0,$0,$0,$451,$-512,$-45,$14,$0,$33,$33,$0,$-509,$8,$0,$8,$21,$21,$-154,$0,$-125,$-182,$2,$-151
2,2017-11-30,21.54,$9.87,2.18,$7.49,2.87,$1.23,17.52,$1.38,15.61,$0.77B,$1.02B,0.76,$3.43B,$4.93B,0.7,$3.70B,$1.49B,40.25%,$3.70B,$0.73B,19.71%,$3.70B,$0.73B,19.71%,$3.70B,$1.46B,39.42%,$3.70B,$0.63B,17.11%,$3.70B,$0.66B,17.90%,$0.66B,$4.93B,14.63%,$0.66B,$-1.22B,-39.54%,$0.66B,$11.43B,5.87%,$0.73B,$8.36B,8.87%,$996,$612,$384,$0,$0,$816,$179,$-22,$157,$61,$96,$96,$91,$384,$179,$498,499,$0.18,$0.18,$355,$99,$132,$774,$3540,$753,$6150,$206,$10652,$11426,$1017,$3428,$155,$5477,$6495,$3322,$1697,$-109,$4931,$11426,$96,$204,$-9,$195,$0,$0,$0,$0,$0,$291,$-284,$-28,$14,$0,$18,$18,$0,$-279,$0,$0,$0,$17,$17,$-78,$0,$-61,$-49,$1,$-77
3,2017-08-31,21.33,$9.38,2.27,$7.51,2.84,$1.21,17.6,$1.33,16.04,$0.85B,$1.05B,0.8,$3.26B,$4.66B,0.7,$3.70B,$1.51B,40.91%,$3.70B,$0.76B,20.44%,$3.70B,$0.76B,20.44%,$3.70B,$1.47B,39.86%,$3.70B,$0.57B,15.28%,$3.70B,$0.64B,17.25%,$0.64B,$4.66B,14.57%,$0.64B,$-1.18B,-32.70%,$0.64B,$10.89B,5.63%,$0.76B,$7.92B,9.21%,$792,$485,$308,$0,$0,$614,$178,$-0,$178,$51,$127,$127,$368,$306,$178,$491,492,$0.75,$0.74,$384,$83,$117,$847,$3291,$710,$5844,$193,$10041,$10888,$1054,$3256,$137,$5171,$6226,$3098,$1639,$-99,$4662,$10888,$422,$717,$-1,$716,$0,$0,$0,$0,$0,$1138,$-812,$-410,$1360,$0,$-70,$-70,$-32,$37,$934,$0,$934,$58,$58,$-298,$-1791,$-1097,$77,$2,$-292
4,2017-05-31,20.23,$8.78,2.3,$7.55,2.68,$1.46,13.84,$0.80,25.29,$0.54B,$1.01B,0.54,$4.12B,$4.33B,0.95,$3.70B,$1.54B,41.54%,$3.70B,$0.72B,19.49%,$3.70B,$0.72B,19.49%,$3.70B,$1.49B,40.32%,$3.70B,$0.46B,12.43%,$3.70B,$0.37B,9.95%,$0.37B,$4.33B,8.36%,$0.37B,$-2.16B,-17.57%,$0.37B,$11.42B,3.21%,$0.72B,$8.46B,8.58%,$973,$565,$408,$0,$0,$799,$174,$-23,$151,$30,$122,$122,$97,$388,$174,$492,493,$0.20,$0.20,$130,$66,$119,$540,$3511,$684,$6487,$195,$10881,$11421,$1006,$4124,$149,$6083,$7089,$2964,$1360,$-22,$4331,$11421,$297,$589,$-36,$553,$0,$0,$0,$0,$0,$850,$-680,$-55,$0,$0,$-37,$-37,$0,$-772,$247,$0,$247,$27,$27,$-217,$-307,$-249,$-171,$2,$-212
5,2017-02-28,19.5,$8.50,2.29,$7.62,2.56,$1.75,11.14,$1.71,11.41,$0.81B,$1.27B,0.63,$3.98B,$4.18B,0.95,$3.71B,$1.56B,41.90%,$3.71B,$0.77B,20.60%,$3.71B,$0.77B,20.60%,$3.71B,$1.55B,41.81%,$3.71B,$0.37B,9.88%,$3.71B,$0.81B,21.73%,$0.81B,$4.18B,17.86%,$0.81B,$-2.14B,-40.02%,$0.81B,$11.34B,7.00%,$0.77B,$8.16B,9.01%,$938,$550,$389,$0,$0,$740,$198,$-50,$147,$42,$106,$106,$106,$380,$198,$489,490,$0.22,$0.22,$446,$58,$112,$807,$3365,$647,$6318,$200,$10533,$11340,$1271,$3983,$123,$5891,$7163,$2831,$1330,$-12,$4177,$11340,$171,$376,$-37,$338,$0,$0,$0,$0,$0,$509,$-407,$-33,$0,$0,$-13,$-13,$-11,$-463,$235,$0,$235,$22,$22,$-140,$-6,$109,$155,$1,$-137
6,2016-11-30,18.13,$8.90,2.04,$7.33,2.48,$1.86,9.73,$1.71,10.6,$0.58B,$1.34B,0.44,$3.98B,$4.34B,0.92,$3.61B,$1.53B,42.39%,$3.61B,$0.76B,21.14%,$3.61B,$0.76B,21.14%,$3.61B,$1.52B,42.16%,$3.61B,$0.34B,9.29%,$3.61B,$0.82B,22.72%,$0.82B,$4.34B,18.08%,$0.82B,$-2.33B,-48.22%,$0.82B,$11.66B,7.19%,$0.76B,$8.32B,8.94%,$995,$586,$408,$0,$0,$789,$206,$-117,$89,$21,$67,$67,$67,$400,$206,$494,494,$0.14,$0.14,$219,$52,$116,$583,$3517,$673,$6669,$213,$11076,$11659,$1340,$3975,$130,$5975,$7315,$2919,$1401,$-8,$4344,$11659,$67,$194,$-62,$132,$0,$0,$0,$0,$0,$199,$-201,$-20,$0,$0,$-7,$-7,$0,$-228,$15,$0,$15,$2,$2,$-74,$-2,$-59,$-88,$1,$-73
7,2016-08-31,18.31,$9.77,1.87,$7.55,2.43,$1.89,9.67,$1.90,9.64,$0.66B,$1.37B,0.48,$3.92B,$4.75B,0.83,$3.69B,$1.59B,43.26%,$3.69B,$0.86B,23.23%,$3.69B,$0.86B,23.23%,$3.69B,$1.60B,43.28%,$3.69B,$0.47B,12.84%,$3.69B,$0.91B,24.69%,$0.91B,$4.75B,20.05%,$0.91B,$-1.76B,-52.72%,$0.91B,$11.50B,8.10%,$0.86B,$8.67B,10.07%,$794,$462,$332,$0,$0,$651,$143,$-70,$73,$22,$51,$51,$98,$324,$143,$480,481,$0.23,$0.23,$306,$49,$104,$661,$3476,$644,$6504,$207,$10835,$11496,$1372,$3923,$142,$5375,$6747,$2866,$1890,$-39,$4749,$11496,$344,$739,$172,$911,$0,$0,$0,$0,$0,$1255,$-816,$-83,$8,$0,$-54,$-54,$19,$-926,$1441,$0,$1441,$29,$29,$-296,$-1497,$-324,$5,$2,$-287
8,2016-05-31,17.32,$9.94,1.74,$8.06,2.15,$1.95,8.87,$2.10,8.25,$0.62B,$1.28B,0.48,$3.99B,$4.81B,0.83,$3.92B,$1.10B,27.97%,$3.92B,$0.77B,19.58%,$3.92B,$0.77B,19.58%,$3.92B,$1.54B,39.31%,$3.92B,$0.71B,18.07%,$3.92B,$1.02B,26.03%,$1.02B,$4.81B,22.56%,$1.02B,$-1.84B,-51.65%,$1.02B,$11.60B,8.97%,$0.77B,$8.80B,8.97%,$987,$560,$427,$0,$0,$769,$218,$-160,$58,$13,$45,$45,$536,$449,$218,$482,483,$1.11,$1.11,$249,$61,$105,$615,$3451,$662,$6651,$211,$10980,$11595,$1275,$3994,$142,$5512,$6787,$2871,$1928,$-25,$4808,$11595,$240,$558,$121,$678,$0,$0,$0,$0,$0,$918,$-612,$-59,$8,$0,$-42,$-42,$5,$-700,$1459,$0,$1459,$17,$17,$-228,$-1524,$-275,$-57,$2,$-220
9,2016-02-29,15.46,$8.81,1.75,$8.43,1.83,$2.09,7.38,$1.33,11.63,$2.43B,$1.29B,1.88,$4.07B,$4.21B,0.97,$4.07B,$1.37B,33.60%,$4.07B,$1.05B,25.82%,$4.07B,$1.05B,25.82%,$4.07B,$2.14B,52.47%,$4.07B,$0.87B,21.25%,$4.07B,$0.65B,15.87%,$0.65B,$4.21B,14.63%,$0.65B,$-0.87B,-28.64%,$0.65B,$10.79B,5.66%,$1.05B,$8.29B,12.43%,$829,$467,$361,$0,$0,$634,$195,$-80,$115,$32,$84,$84,$118,$347,$195,$512,512,$0.23,$0.23,$257,$42,$45,$2427,$3015,$73,$5084,$189,$8367,$10793,$1290,$4072,$81,$5289,$6579,$2597,$1410,$-6,$4214,$10793,$183,$327,$30,$357,$0,$0,$0,$0,$0,$539,$-374,$-38,$-155,$0,$-31,$-31,$3,$-596,$430,$0,$430,$9,$9,$-141,$-242,$55,$-30,$1,$-136
