,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,7.77,$15.45,0.5,$6.49,1.2,0,0.0,$1.19,6.53,$1434.07B,$1438.94B,1.0,$112.11B,$107.82B,1.04,$45.07B,$39.25B,87.09%,$45.07B,$11.76B,26.10%,$45.07B,0,0.00%,$45.07B,0,0.00%,$45.07B,$11.76B,26.08%,$45.07B,$8.17B,18.14%,$8.17B,$107.82B,8.26%,$8.17B,$100.00B,8.99%,$8.17B,$1841.02B,0.48%,$11.76B,$219.93B,6.12%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$630280,$0,$0,$1434070,$33024,$244703,$7815,$121211,$406951,$1841021,$1438936,$112114,$166759,$283419,$1733206,$21516,$52005,$16571,$107815,$1841021,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2017-06-30,7.72,$14.56,0.53,$6.26,1.23,$9.87,0.78,$0.98,7.87,$1409.12B,$1448.70B,0.97,$97.17B,$102.67B,0.95,$43.20B,$39.63B,91.75%,$43.20B,$19.50B,45.13%,$43.20B,0,0.00%,$43.20B,0,0.00%,$43.20B,$19.50B,45.14%,$43.20B,$6.68B,15.46%,$6.68B,$102.67B,6.88%,$6.68B,$94.23B,7.52%,$6.68B,$1816.78B,0.40%,$19.50B,$199.85B,10.40%,$12662,$2256,$10406,$0,$7352,$9608,$3053,$-12,$3042,$763,$2279,$2279,$2089,$0,$0,$7019,7019,$0.30,$0.30,$578545,$0,$0,$1409122,$31077,$254585,$8439,$113027,$407661,$1816783,$1448697,$97173,$148337,$248728,$1714109,$21041,$46552,$14711,$102673,$1816783,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2016-06-30,5.41,$14.01,0.39,$6.07,0.89,$9.87,0.55,$0.92,5.89,$1317.57B,$1339.77B,0.98,$86.25B,$95.77B,0.9,$41.50B,$39.50B,95.18%,$41.50B,$26.78B,64.53%,$41.50B,0,0.00%,$41.50B,0,0.00%,$41.50B,$26.79B,64.55%,$41.50B,$6.22B,14.99%,$6.22B,$95.77B,6.62%,$6.22B,$86.83B,7.23%,$6.22B,$1686.75B,0.39%,$26.78B,$182.02B,14.89%,$11827,$1563,$10264,$0,$7418,$8981,$2846,$-5,$2841,$449,$2392,$2392,$2174,$0,$0,$7051,7051,$0.31,$0.31,$525245,$0,$0,$1317574,$26940,$220637,$8941,$111524,$369180,$1686753,$1339768,$86245,$149799,$239254,$1590981,$21742,$42931,$11622,$95772,$1686753,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2015-06-30,8.09,$13.10,0.62,$6.07,1.33,$11.99,0.67,$0.98,8.26,$1165.45B,$1187.04B,0.98,$77.81B,$89.54B,0.87,$41.51B,$40.68B,98.00%,$41.51B,$34.99B,84.28%,$41.51B,0,0.00%,$41.51B,0,0.00%,$41.51B,$35.00B,84.32%,$41.51B,$6.66B,16.05%,$6.66B,$89.54B,7.07%,$6.66B,$82.83B,7.73%,$6.66B,$1535.98B,0.42%,$34.99B,$167.35B,19.26%,$10741,$1171,$9570,$0,$7022,$8193,$2548,$-8,$2540,$611,$1929,$1929,$1714,$0,$0,$6836,6843,$0.25,$0.25,$478798,$0,$0,$1165445,$23361,$252949,$6713,$86565,$370539,$1535984,$1187040,$77809,$131084,$213952,$1446444,$19171,$34916,$16745,$89540,$1535984,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2015-03-31,7.04,$0.00,0.0,$6.23,1.13,$11.99,0.59,$0.99,7.12,$1280.00B,$1309.83B,0.98,$100.57B,$100.29B,1.0,$42.63B,$42.63B,100.00%,$42.63B,$36.35B,85.26%,$42.63B,0,0.00%,$42.63B,0,0.00%,$42.63B,$35.26B,82.70%,$42.63B,$6.73B,15.78%,$6.73B,$100.29B,7.13%,$6.73B,$91.41B,7.82%,$6.73B,$1630.55B,0.42%,$36.35B,$200.86B,18.52%,$9843,$830,$9014,$0,$5697,$6527,$3317,$17,$3333,$909,$2424,$2424,$2197,$0,$0,$6836,6841,$0.32,$0.32,$476477,$0,$0,$1279995,$31017,$285109,$8882,$33847,$358855,$1630551,$1309833,$100568,$119861,$220429,$1530262,$21275,$32348,$0,$100290,$1630551,$10309,$2191,$0,$2191,$0,$0,$0,$0,$70285,$71000,$-3508,$0,$-1,$0,$0,$-5734,$-2839,$-12083,$0,$-46,$607,$0,$-1134,$-1555,$-714,$-2842,$62886,$0,$0
5,2014-12-31,6.63,$0.00,0.0,$6.30,1.05,$11.89,0.56,$1.09,6.08,$1148.45B,$1226.28B,0.94,$78.99B,$90.23B,0.88,$43.08B,$43.08B,100.00%,$43.08B,$36.80B,85.41%,$43.08B,0,0.00%,$43.08B,0,0.00%,$43.08B,$35.71B,82.88%,$43.08B,$7.44B,17.27%,$7.44B,$90.23B,8.01%,$7.44B,$83.04B,8.82%,$7.44B,$1546.12B,0.47%,$36.80B,$169.22B,19.21%,$10785,$0,$10785,$0,$0,$0,$10785,$0,$10785,$0,$10785,$660,$595,$0,$0,$6837,6837,$0.09,$0.09,$431137,$0,$0,$1148445,$0,$269119,$7193,$97108,$373420,$1546123,$1226275,$78990,$150629,$229618,$1455893,$20573,$35438,$0,$90231,$1546123,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2014-09-30,7.46,$0.00,0.0,$6.47,1.15,$11.89,0.63,$1.12,6.66,$1285.97B,$1306.13B,0.99,$92.26B,$96.79B,0.95,$44.26B,$44.26B,100.00%,$44.26B,$37.97B,85.80%,$44.26B,0,0.00%,$44.26B,0,0.00%,$44.26B,$36.88B,83.34%,$44.26B,$7.67B,17.33%,$7.67B,$96.79B,8.20%,$7.67B,$87.55B,9.04%,$7.67B,$1613.94B,0.48%,$37.97B,$189.05B,19.11%,$10132,$0,$10132,$0,$0,$0,$10132,$0,$10132,$0,$10132,$1729,$1717,$0,$0,$6836,6841,$0.25,$0.25,$469015,$0,$0,$1285968,$0,$260562,$9245,$36394,$306201,$1613944,$1306130,$92264,$118760,$211024,$1517154,$22444,$32766,$0,$96790,$1613944,$6006,$1114,$0,$1114,$0,$0,$0,$0,$17092,$16432,$-1924,$0,$-1,$0,$0,$14710,$-1275,$11510,$0,$-48,$1173,$0,$-1,$-853,$-420,$-149,$30750,$0,$0
7,2014-06-30,7.71,$0.00,0.0,$6.58,1.17,$9.76,0.79,$1.12,6.88,$1120.32B,$1192.91B,0.94,$135.65B,$90.27B,1.5,$44.99B,$44.99B,100.00%,$44.99B,$38.71B,86.03%,$44.99B,0,0.00%,$44.99B,0,0.00%,$44.99B,$37.62B,83.61%,$44.99B,$7.70B,17.11%,$7.70B,$90.27B,8.36%,$7.70B,$82.27B,9.20%,$7.70B,$1591.90B,0.49%,$38.71B,$225.91B,19.28%,$10753,$0,$10753,$0,$0,$0,$10753,$0,$10753,$0,$10753,$2166,$2154,$0,$0,$6837,6837,$0.32,$0.32,$450448,$0,$0,$1120323,$0,$262241,$7992,$177671,$447903,$1591895,$1192906,$135645,$173079,$308725,$1501630,$22911,$35844,$0,$90265,$1591895,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2014-03-31,7.87,$0.00,0.0,$6.80,1.16,$9.76,0.81,$1.22,6.45,$1254.03B,$1298.53B,0.97,$87.69B,$94.18B,0.93,$46.48B,$46.48B,100.00%,$46.48B,$39.59B,85.18%,$46.48B,0,0.00%,$46.48B,0,0.00%,$46.48B,$38.66B,83.18%,$46.48B,$8.38B,18.04%,$8.38B,$94.18B,9.16%,$8.38B,$84.63B,10.07%,$8.38B,$1586.16B,0.55%,$39.59B,$181.87B,20.68%,$10963,$0,$10963,$0,$6284,$6284,$4679,$0,$3589,$1051,$2538,$2274,$2262,$0,$0,$6836,6836,$0.33,$0.33,$429097,$0,$0,$1254029,$28948,$273280,$9557,$28502,$340287,$1586157,$1298526,$87691,$105758,$193449,$1491975,$23379,$31147,$0,$94182,$1586157,$13062,$2191,$0,$2191,$0,$0,$0,$0,$60960,$69843,$-3049,$0,$376,$0,$0,$154195,$-2761,$148761,$0,$-320,$-3478,$0,$-3913,$-1700,$-970,$-10381,$214767,$0,$0
9,2013-12-31,9.55,$0.00,0.0,$7.20,1.33,$3.20,2.98,$1.47,6.49,$1090.59B,$1165.74B,0.94,$104.89B,$93.01B,1.13,$49.07B,$49.07B,100.00%,$49.07B,$42.18B,85.96%,$49.07B,0,0.00%,$49.07B,0,0.00%,$49.07B,$41.25B,84.07%,$49.07B,$10.02B,20.43%,$10.02B,$93.01B,10.61%,$10.02B,$85.00B,11.69%,$10.02B,$1571.03B,0.63%,$42.18B,$197.90B,21.42%,$11232,$0,$11232,$0,$0,$0,$11232,$0,$11232,$0,$11232,$1354,$1307,$0,$0,$6841,6841,$0.19,$0.19,$362347,$0,$0,$1090588,$0,$269209,$8011,$180487,$457707,$1571032,$1165742,$104891,$207388,$312279,$1478022,$23379,$33493,$0,$93010,$1571032,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
10,2013-09-30,8.86,$0.00,0.0,$7.36,1.2,$3.20,2.77,$1.55,5.71,$1039.51B,$1204.45B,0.86,$106.55B,$90.66B,1.18,$50.02B,$50.02B,100.00%,$50.02B,$43.13B,86.23%,$50.02B,0,0.00%,$50.02B,0,0.00%,$50.02B,$42.20B,84.37%,$50.02B,$10.49B,20.96%,$10.49B,$90.66B,11.05%,$10.49B,$82.76B,12.23%,$10.49B,$1508.36B,0.64%,$43.13B,$197.22B,21.12%,$11308,$0,$11308,$0,$0,$0,$11308,$0,$11308,$0,$11308,$1952,$1947,$0,$0,$6838,6842,$0.28,$0.28,$375969,$0,$0,$1039507,$0,$275735,$7903,$164074,$447711,$1508358,$1204451,$106553,$106689,$213242,$1417694,$23613,$32577,$0,$90664,$1508358,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
11,2013-06-30,8.22,$0.00,0.0,$7.59,1.08,$3.20,2.57,$1.63,5.05,$980.13B,$1185.66B,0.83,$100.48B,$88.38B,1.14,$51.49B,$51.49B,100.00%,$51.49B,$44.60B,86.62%,$51.49B,0,0.00%,$51.49B,0,0.00%,$51.49B,$43.67B,84.81%,$51.49B,$11.01B,21.39%,$11.01B,$88.38B,11.51%,$11.01B,$80.44B,12.81%,$11.01B,$1481.44B,0.65%,$44.60B,$188.87B,21.05%,$11488,$0,$11488,$0,$0,$0,$11488,$0,$11488,$0,$11488,$2193,$2182,$0,$0,$6840,6840,$0.32,$0.32,$324570,$0,$0,$980126,$0,$295917,$7943,$176828,$480688,$1481442,$1185657,$100483,$106920,$207402,$1393059,$23613,$30368,$0,$88383,$1481442,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
12,2013-03-31,7.28,$0.00,0.0,$7.52,0.97,$3.20,2.28,$1.42,5.13,$1201.02B,$1438.36B,0.84,$97.83B,$105.79B,0.93,$50.93B,$49.93B,98.03%,$50.93B,$42.28B,83.01%,$50.93B,0,0.00%,$50.93B,0,0.00%,$50.93B,$41.98B,82.42%,$50.93B,$9.57B,18.79%,$9.57B,$105.79B,9.99%,$9.57B,$94.86B,11.18%,$9.57B,$1790.89B,0.54%,$42.28B,$203.62B,18.88%,$12452,$0,$12452,$0,$6888,$6888,$5564,$0,$4633,$1349,$3284,$2947,$2947,$0,$0,$6814,6817,$0.43,$0.43,$264719,$0,$0,$1201023,$30440,$518419,$10929,$39251,$599040,$1790894,$1438358,$97832,$148918,$246750,$1685107,$28289,$31413,$0,$105786,$1790894,$11683,$2406,$0,$2406,$0,$0,$0,$0,$20944,$23971,$-2317,$0,$-11,$0,$0,$25388,$-1276,$21784,$0,$-1125,$-4752,$0,$-154,$-1636,$-1285,$-8952,$44359,$0,$0
13,2012-12-31,6.44,$0.00,0.0,$7.35,0.88,$2.29,2.82,$1.18,5.45,$1053.72B,$1242.04B,0.85,$132.20B,$94.76B,1.4,$49.76B,$48.75B,97.98%,$49.76B,$41.10B,82.60%,$49.76B,0,0.00%,$49.76B,0,0.00%,$49.76B,$40.80B,82.00%,$49.76B,$7.97B,16.02%,$7.97B,$94.76B,8.51%,$7.97B,$85.00B,9.57%,$7.97B,$1757.56B,0.45%,$41.10B,$226.95B,18.63%,$13821,$0,$13821,$0,$0,$0,$13821,$0,$13821,$0,$13821,$3008,$2948,$0,$0,$6770,6770,$0.44,$0.44,$281467,$0,$0,$1053721,$0,$494538,$9756,$177257,$681551,$1757562,$1242040,$132198,$288568,$420766,$1662806,$28756,$31582,$0,$94756,$1757562,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
14,2012-09-30,5.42,$0.00,0.0,$7.86,0.69,$2.29,2.37,$1.10,4.93,$1059.57B,$1325.04B,0.8,$134.57B,$93.64B,1.44,$53.69B,$52.68B,98.13%,$53.69B,$45.03B,83.88%,$53.69B,0,0.00%,$53.69B,0,0.00%,$53.69B,$44.73B,83.32%,$53.69B,$7.51B,13.99%,$7.51B,$93.64B,8.14%,$7.51B,$83.52B,9.18%,$7.51B,$1771.22B,0.42%,$45.03B,$228.22B,19.43%,$12256,$0,$12256,$0,$0,$0,$12256,$0,$12256,$0,$12256,$2420,$2409,$0,$0,$6770,6770,$0.36,$0.36,$227080,$0,$0,$1059572,$0,$505226,$10129,$174059,$689414,$1771215,$1325037,$134571,$217964,$352535,$1677571,$29691,$30683,$0,$93644,$1771215,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
15,2012-06-30,5.71,$0.00,0.0,$7.73,0.74,$2.29,2.5,$0.89,6.42,$1044.81B,$1359.16B,0.77,$147.79B,$89.26B,1.66,$53.62B,$52.62B,98.13%,$53.62B,$44.96B,83.86%,$53.62B,0,0.00%,$53.62B,0,0.00%,$53.62B,$44.66B,83.30%,$53.62B,$6.18B,11.53%,$6.18B,$89.26B,6.76%,$6.18B,$79.16B,7.60%,$6.18B,$1726.50B,0.35%,$44.96B,$237.05B,21.39%,$12957,$0,$12957,$0,$0,$0,$12957,$0,$12957,$0,$12957,$3694,$2708,$0,$0,$6771,6771,$0.40,$0.40,$210938,$0,$0,$1044813,$0,$476871,$10100,$172906,$659876,$1726502,$1359157,$147787,$130295,$278082,$1637239,$29224,$27534,$0,$89263,$1726502,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
16,2012-03-31,5.71,$0.00,0.0,$14.67,0.39,$2.29,2.5,$2.45,2.33,$1186.60B,$1461.42B,0.81,$93.70B,$96.72B,0.97,$53.84B,$52.93B,98.32%,$53.84B,$45.32B,84.18%,$53.84B,0,0.00%,$53.84B,0,0.00%,$53.84B,$45.32B,84.18%,$53.84B,$7.16B,13.29%,$7.16B,$96.72B,7.94%,$7.16B,$85.30B,8.88%,$7.16B,$1801.81B,0.41%,$45.32B,$190.41B,22.84%,$11899,$1004,$10895,$0,$7652,$8656,$3243,$0,$2944,$1088,$1856,$1534,$1507,$0,$0,$6769,6769,$0.22,$0.22,$248911,$0,$0,$1186601,$22754,$551590,$11419,$38923,$624687,$1801805,$1461418,$93697,$149975,$243673,$1705090,$29691,$27466,$0,$96715,$1801805,$11674,$2197,$0,$2197,$0,$0,$0,$0,$-1749,$16777,$-1266,$0,$-598,$0,$0,$-28237,$-1294,$-31395,$0,$-1308,$4475,$0,$-4053,$-1802,$-1187,$-3876,$-19278,$0,$0
17,2011-12-31,4.65,$0.00,0.0,$16.31,0.29,$24.12,0.19,$2.18,2.13,$1085.84B,$1394.81B,0.78,$181.76B,$89.49B,2.03,$64.28B,$63.38B,98.59%,$64.28B,$55.77B,86.75%,$64.28B,0,0.00%,$64.28B,0,0.00%,$64.28B,$55.77B,86.75%,$64.28B,$5.35B,8.32%,$5.35B,$89.49B,6.16%,$5.35B,$79.33B,6.85%,$5.35B,$1791.07B,0.32%,$55.77B,$271.25B,26.00%,$12646,$0,$12646,$0,$0,$0,$12646,$0,$12646,$0,$12646,$1265,$1345,$0,$0,$6785,6785,$0.20,$0.20,$221400,$0,$0,$1085835,$0,$502611,$10166,$177535,$690312,$1791065,$1394813,$181758,$125002,$306759,$1701572,$30159,$26382,$0,$89493,$1791065,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
18,2011-09-30,4.62,$0.00,0.0,$13.98,0.33,$24.12,0.19,$1.90,2.43,$957.98B,$1467.57B,0.65,$51.51B,$90.49B,0.57,$48.10B,$47.19B,98.11%,$48.10B,$39.58B,82.29%,$48.10B,0,0.00%,$48.10B,0,0.00%,$48.10B,$39.58B,82.29%,$48.10B,$3.40B,7.06%,$3.40B,$90.49B,3.95%,$3.40B,$81.78B,4.36%,$3.40B,$1730.13B,0.21%,$39.58B,$141.99B,20.21%,$16186,$0,$16186,$0,$0,$0,$16186,$0,$16186,$0,$16186,$1953,$1953,$0,$0,$6956,6956,$0.28,$0.28,$87587,$0,$0,$957983,$0,$452332,$8705,$296119,$757156,$1730133,$1467568,$51505,$120575,$172080,$1639648,$0,$26231,$0,$90485,$1730133,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
19,2011-06-30,4.98,$0.00,0.0,$14.02,0.35,$24.12,0.21,$2.05,2.43,$880.12B,$1336.86B,0.66,$106.05B,$83.94B,1.26,$48.13B,$47.23B,98.12%,$48.13B,$39.62B,82.31%,$48.13B,0,0.00%,$48.13B,0,0.00%,$48.13B,$39.62B,82.31%,$48.13B,$4.42B,9.17%,$4.42B,$83.94B,5.22%,$4.42B,$75.84B,5.76%,$4.42B,$1597.96B,0.28%,$39.62B,$189.98B,18.50%,$12888,$0,$12888,$0,$0,$0,$12888,$0,$12888,$0,$12888,$1376,$1378,$0,$0,$7251,7251,$0.19,$0.19,$92466,$0,$0,$880118,$0,$432769,$8091,$262940,$703800,$1597958,$1336863,$106046,$71115,$177160,$1514023,$0,$22931,$0,$83935,$1597958,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
