,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,183.6,$56.68,3.24,$65.15,2.82,$27.75,6.62,$11.03,16.65,$2.22B,$0.96B,2.32,$0.95B,$3.18B,0.3,$3.76B,$1.88B,49.89%,$3.76B,$0.93B,24.71%,$3.76B,$0.93B,24.71%,$3.76B,$1.03B,27.26%,$3.76B,$0.88B,23.33%,$3.76B,$0.64B,16.87%,$0.64B,$3.18B,20.53%,$0.64B,$2.03B,33.00%,$0.64B,$5.36B,11.98%,$0.93B,$4.13B,23.31%,$898,$444,$454,$0,$281,$666,$232,$-13,$219,$52,$168,$167,$163,$256,$232,$56,57,$2.90,$2.85,$122,$691,$0,$2215,$491,$0,$1152,$49,$3140,$5355,$957,$945,$115,$1214,$2171,$67,$4136,$-370,$3184,$5355,$517,$71,$75,$146,$-27,$-49,$25,$-29,$-115,$549,$-68,$0,$-3,$0,$0,$0,$-78,$-149,$-62,$-16,$-78,$-130,$-130,$-139,$-20,$-367,$30,$23,$-139
1,2018-06-30,159.97,$55.17,2.9,$64.98,2.46,$25.52,6.27,$10.47,15.28,$2.16B,$0.93B,2.33,$0.95B,$3.11B,0.3,$3.77B,$1.87B,49.68%,$3.77B,$0.91B,24.06%,$3.77B,$0.91B,24.06%,$3.77B,$1.00B,26.58%,$3.77B,$0.85B,22.63%,$3.77B,$0.61B,16.05%,$0.61B,$3.11B,19.96%,$0.61B,$1.96B,32.61%,$0.61B,$5.27B,11.47%,$0.91B,$4.06B,23.37%,$955,$468,$487,$0,$294,$704,$251,$-13,$238,$56,$183,$183,$179,$275,$251,$56,57,$3.17,$3.12,$112,$668,$0,$2155,$479,$0,$1152,$50,$3117,$5272,$927,$945,$109,$1233,$2160,$67,$4019,$-377,$3112,$5272,$350,$48,$53,$101,$-9,$-25,$25,$2,$-32,$419,$-38,$0,$-3,$0,$0,$0,$-60,$-101,$-62,$-54,$-116,$-70,$-70,$-93,$-16,$-296,$20,$15,$-93
2,2018-03-31,146.05,$54.82,2.66,$63.94,2.28,$23.72,6.16,$9.95,14.68,$2.17B,$0.95B,2.28,$0.95B,$3.10B,0.31,$3.74B,$1.85B,49.49%,$3.74B,$0.89B,23.93%,$3.74B,$0.89B,23.93%,$3.74B,$0.99B,26.45%,$3.74B,$0.84B,22.43%,$3.74B,$0.58B,15.50%,$0.58B,$3.10B,19.48%,$0.58B,$1.91B,32.26%,$0.58B,$5.32B,11.09%,$0.89B,$4.05B,23.68%,$936,$464,$472,$0,$294,$701,$235,$-11,$224,$58,$166,$167,$163,$259,$235,$57,58,$2.87,$2.82,$98,$679,$0,$2168,$490,$0,$1193,$52,$3149,$5318,$952,$946,$104,$1264,$2215,$67,$3887,$-285,$3102,$5318,$167,$24,$33,$57,$2,$-10,$10,$2,$9,$232,$-18,$0,$-3,$0,$0,$0,$-17,$-37,$-62,$-38,$-100,$-32,$-32,$-47,$-12,$-191,$6,$7,$-47
3,2017-12-31,171.62,$52.43,3.27,$62.71,2.74,$22.96,7.47,$9.52,18.03,$2.12B,$1.19B,1.78,$0.75B,$2.97B,0.25,$3.69B,$1.83B,49.50%,$3.69B,$0.88B,23.92%,$3.69B,$0.88B,23.92%,$3.69B,$0.98B,26.44%,$3.69B,$0.82B,22.29%,$3.69B,$0.56B,15.13%,$0.56B,$2.97B,19.32%,$0.56B,$1.80B,32.18%,$0.56B,$5.25B,10.91%,$0.88B,$3.73B,24.21%,$975,$510,$465,$0,$307,$763,$212,$-15,$197,$64,$133,$133,$130,$236,$212,$57,59,$2.29,$2.24,$92,$639,$0,$2119,$484,$0,$1178,$54,$3130,$5249,$1193,$754,$107,$1084,$2277,$67,$3772,$-329,$2972,$5249,$572,$93,$122,$216,$-56,$-76,$-2,$-52,$-179,$609,$-81,$0,$-83,$0,$0,$0,$-178,$-341,$148,$31,$178,$-242,$-242,$-169,$-23,$-256,$14,$30,$-169
4,2017-09-30,145.96,$51.57,2.83,$61.06,2.39,$22.44,6.5,$9.75,14.97,$2.15B,$1.22B,1.76,$0.76B,$2.94B,0.26,$3.60B,$1.80B,50.08%,$3.60B,$0.90B,24.93%,$3.60B,$0.90B,24.93%,$3.60B,$0.99B,27.43%,$3.60B,$0.84B,23.29%,$3.60B,$0.57B,15.94%,$0.57B,$2.94B,20.47%,$0.57B,$1.76B,34.28%,$0.57B,$5.26B,11.52%,$0.90B,$3.70B,25.32%,$904,$455,$449,$0,$296,$695,$209,$-15,$194,$57,$137,$137,$133,$232,$209,$57,58,$2.33,$2.29,$94,$650,$0,$2146,$474,$0,$1182,$44,$3110,$5256,$1223,$755,$94,$1093,$2316,$67,$3690,$-342,$2940,$5256,$439,$69,$73,$142,$-51,$-87,$27,$-42,$-166,$415,$-56,$0,$-83,$0,$0,$0,$-144,$-282,$148,$51,$199,$-176,$-176,$-123,$-19,$-120,$17,$21,$-123
5,2017-06-30,154.04,$49.89,3.09,$59.62,2.58,$22.37,6.89,$9.68,15.91,$2.03B,$1.07B,1.89,$0.76B,$2.87B,0.26,$3.53B,$1.77B,50.23%,$3.53B,$0.90B,25.40%,$3.53B,$0.90B,25.40%,$3.53B,$0.99B,27.89%,$3.53B,$0.84B,23.75%,$3.53B,$0.57B,16.22%,$0.57B,$2.87B,20.91%,$0.57B,$1.72B,34.45%,$0.57B,$5.07B,11.90%,$0.90B,$3.63B,25.82%,$921,$458,$463,$0,$280,$683,$238,$-15,$223,$67,$156,$157,$153,$261,$238,$58,59,$2.65,$2.60,$89,$601,$0,$2034,$463,$0,$1156,$44,$3033,$5067,$1074,$756,$94,$1120,$2194,$67,$3597,$-397,$2873,$5067,$302,$46,$63,$109,$-27,$-48,$28,$-16,$-91,$320,$-34,$0,$-80,$0,$0,$0,$-107,$-220,$148,$-53,$95,$-88,$-88,$-82,$-15,$-90,$11,$14,$-82
6,2017-03-31,163.74,$47.73,3.43,$58.69,2.79,$21.98,7.45,$9.44,17.35,$1.97B,$0.97B,2.03,$0.76B,$2.77B,0.27,$3.48B,$1.74B,50.01%,$3.48B,$0.88B,25.12%,$3.48B,$0.88B,25.12%,$3.48B,$0.96B,27.62%,$3.48B,$0.82B,23.54%,$3.48B,$0.56B,16.08%,$0.56B,$2.77B,20.95%,$0.56B,$1.67B,34.15%,$0.56B,$4.88B,11.97%,$0.88B,$3.52B,25.77%,$887,$439,$448,$0,$278,$664,$223,$-15,$208,$63,$145,$145,$142,$246,$223,$58,59,$2.45,$2.39,$123,$557,$0,$1974,$438,$0,$1100,$39,$2904,$4878,$972,$755,$94,$1141,$2112,$67,$3485,$-450,$2766,$4878,$145,$23,$45,$68,$-2,$-17,$20,$-10,$-21,$192,$-18,$0,$-10,$0,$0,$0,$-55,$-82,$148,$-136,$12,$-22,$-22,$-41,$-16,$-67,$45,$7,$-41
7,2016-12-31,165.57,$45.47,3.64,$57.75,2.87,$21.09,7.85,$9.21,17.98,$1.88B,$0.99B,1.9,$0.71B,$2.64B,0.27,$3.43B,$1.71B,49.83%,$3.43B,$0.85B,24.90%,$3.43B,$0.85B,24.90%,$3.43B,$0.94B,27.38%,$3.43B,$0.80B,23.35%,$3.43B,$0.55B,15.92%,$0.55B,$2.64B,20.88%,$0.55B,$1.56B,33.92%,$0.55B,$4.72B,11.96%,$0.85B,$3.34B,25.66%,$890,$446,$444,$0,$268,$662,$228,$-13,$214,$65,$149,$150,$146,$249,$228,$58,59,$2.51,$2.46,$78,$531,$0,$1884,$425,$0,$1080,$40,$2839,$4723,$990,$709,$93,$1099,$2088,$67,$3385,$-499,$2635,$4723,$560,$86,$84,$170,$-41,$-33,$16,$-44,$-153,$576,$-72,$0,$-160,$0,$0,$0,$-241,$-473,$0,$134,$134,$-79,$-79,$-148,$-24,$-116,$-15,$31,$-148
8,2016-09-30,146.28,$46.34,3.16,$57.18,2.56,$19.88,7.36,$8.96,16.33,$1.91B,$0.88B,2.17,$0.71B,$2.69B,0.27,$3.39B,$1.68B,49.44%,$3.39B,$0.83B,24.56%,$3.39B,$0.83B,24.56%,$3.39B,$0.96B,28.33%,$3.39B,$0.78B,23.02%,$3.39B,$0.53B,15.65%,$0.53B,$2.69B,20.71%,$0.53B,$1.72B,33.55%,$0.53B,$4.60B,11.88%,$0.83B,$3.40B,25.13%,$834,$415,$419,$0,$262,$626,$208,$-14,$194,$60,$135,$135,$132,$229,$208,$58,59,$2.27,$2.22,$118,$524,$0,$1909,$419,$0,$974,$49,$2691,$4600,$879,$713,$91,$1033,$1912,$67,$3280,$-373,$2689,$4600,$410,$64,$45,$109,$-31,$-30,$28,$-59,$-104,$416,$-55,$0,$0,$0,$0,$0,$-189,$-244,$0,$15,$15,$-44,$-44,$-106,$-11,$-147,$25,$22,$-106
9,2016-06-30,151.32,$44.79,3.38,$57.02,2.65,$18.68,8.1,$8.72,17.35,$1.85B,$0.85B,2.17,$0.72B,$2.60B,0.28,$3.38B,$1.67B,49.26%,$3.38B,$0.81B,24.02%,$3.38B,$0.81B,24.02%,$3.38B,$0.90B,26.54%,$3.38B,$0.76B,22.51%,$3.38B,$0.52B,15.27%,$0.52B,$2.60B,20.75%,$0.52B,$1.62B,34.40%,$0.52B,$4.51B,11.62%,$0.81B,$3.32B,24.79%,$872,$441,$431,$0,$265,$656,$216,$-12,$204,$62,$142,$143,$140,$238,$216,$58,59,$2.41,$2.36,$120,$507,$0,$1852,$419,$0,$977,$50,$2653,$4505,$853,$715,$92,$1050,$1904,$67,$3184,$-370,$2602,$4505,$275,$43,$33,$76,$-6,$-12,$24,$-30,$-47,$304,$-39,$0,$0,$0,$0,$0,$-136,$-175,$0,$7,$7,$-30,$-30,$-71,$-8,$-102,$27,$14,$-71
10,2016-03-31,149.96,$43.60,3.44,$56.74,2.64,$17.48,8.58,$8.39,17.87,$1.84B,$0.84B,2.2,$0.72B,$2.54B,0.28,$3.36B,$1.65B,49.20%,$3.36B,$0.79B,23.45%,$3.36B,$0.79B,23.45%,$3.36B,$0.87B,25.95%,$3.36B,$0.74B,21.90%,$3.36B,$0.50B,14.76%,$0.50B,$2.54B,20.54%,$0.50B,$1.55B,34.77%,$0.50B,$4.44B,11.24%,$0.79B,$3.25B,24.32%,$834,$419,$415,$0,$260,$632,$202,$-14,$189,$58,$131,$131,$128,$223,$202,$58,60,$2.21,$2.16,$106,$512,$0,$1842,$417,$0,$990,$49,$2595,$4436,$837,$715,$91,$1064,$1901,$67,$3080,$-340,$2535,$4436,$131,$21,$28,$49,$-5,$-10,$15,$-15,$-38,$142,$-19,$0,$0,$0,$0,$0,$-60,$-80,$0,$3,$3,$-13,$-13,$-35,$-4,$-49,$14,$6,$-35
11,2015-12-31,163.07,$41.85,3.9,$56.73,2.87,$16.44,9.92,$8.10,20.13,$1.79B,$0.67B,2.67,$0.86B,$2.43B,0.36,$3.35B,$1.65B,49.14%,$3.35B,$0.76B,22.78%,$3.35B,$0.76B,22.78%,$3.35B,$0.85B,25.25%,$3.35B,$0.71B,21.23%,$3.35B,$0.48B,14.28%,$0.48B,$2.43B,20.57%,$0.48B,$1.45B,35.67%,$0.48B,$4.33B,10.96%,$0.76B,$3.29B,23.94%,$852,$439,$412,$0,$250,$644,$207,$-14,$194,$59,$135,$135,$131,$271,$207,$58,59,$2.26,$2.22,$93,$498,$0,$1789,$414,$0,$985,$44,$2542,$4331,$670,$862,$89,$1230,$1900,$67,$2987,$-364,$2431,$4331,$491,$83,$60,$142,$-45,$-43,$5,$-63,$-125,$507,$-77,$0,$-12,$0,$0,$0,$-218,$-306,$0,$-34,$-34,$-69,$-69,$-128,$-6,$-237,$-40,$40,$-128
12,2015-09-30,143.06,$40.96,3.49,$56.83,2.52,$14.63,9.78,$7.85,18.22,$1.95B,$0.79B,2.49,$0.86B,$2.38B,0.36,$3.36B,$1.65B,49.03%,$3.36B,$0.74B,22.15%,$3.36B,$0.74B,22.15%,$3.36B,$0.78B,23.34%,$3.36B,$0.69B,20.57%,$3.36B,$0.46B,13.81%,$0.46B,$2.38B,20.38%,$0.46B,$1.39B,36.13%,$0.46B,$4.49B,10.63%,$0.74B,$3.24B,23.69%,$822,$415,$407,$0,$263,$634,$187,$-14,$174,$54,$120,$120,$117,$165,$187,$58,59,$2.01,$1.98,$119,$528,$0,$1953,$413,$0,$994,$47,$2539,$4491,$786,$864,$87,$1327,$2113,$67,$2891,$-322,$2379,$4491,$356,$18,$85,$103,$-45,$-67,$36,$-60,$-107,$352,$-64,$0,$-13,$0,$0,$0,$-155,$-232,$0,$19,$19,$-62,$-62,$-93,$4,$-131,$-14,$30,$-93
