,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,17.56,$14.28,1.23,$4.68,3.76,$4.69,3.74,$1.97,8.91,$0.16B,$0.04B,4.49,$3.70B,$3.39B,1.09,$1.11B,$0.67B,60.49%,$1.11B,$0.25B,22.77%,$1.11B,$0.25B,22.77%,$1.11B,$0.54B,48.24%,$1.11B,$0.17B,14.94%,$1.11B,$0.47B,42.39%,$0.47B,$3.39B,13.92%,$0.47B,$3.39B,13.92%,$0.47B,$7.45B,6.37%,$0.25B,$7.10B,3.59%,$279,$116,$163,$0,$31,$223,$56,$-9,$46,$0,$46,$47,$46,$128,$56,$238,238,$0.19,$0.19,$156,$0,$0,$156,$6410,$0,$0,$888,$7297,$7453,$35,$3704,$320,$4024,$4059,$2,$-1379,$-0,$3394,$7453,$410,$215,$-355,$-140,$0,$0,$0,$-0,$17,$286,$137,$0,$0,$0,$0,$0,$0,$137,$386,$-401,$-15,$-0,$-0,$-294,$-4,$-314,$109,$0,$-294
1,2018-06-30,17.69,$14.49,1.22,$4.62,3.83,$3.80,4.66,$1.92,9.21,$0.14B,$0.03B,5.36,$3.67B,$3.44B,1.07,$1.10B,$0.67B,61.06%,$1.10B,$0.27B,24.75%,$1.10B,$0.27B,24.75%,$1.10B,$0.55B,50.05%,$1.10B,$0.16B,14.19%,$1.10B,$0.46B,41.77%,$0.46B,$3.44B,13.68%,$0.46B,$3.44B,13.68%,$0.46B,$7.44B,6.27%,$0.27B,$7.11B,3.89%,$277,$110,$167,$0,$29,$212,$65,$-21,$44,$0,$44,$44,$124,$138,$65,$237,238,$0.52,$0.52,$139,$0,$0,$139,$6432,$0,$0,$864,$7296,$7436,$26,$3670,$296,$3966,$3992,$2,$-1332,$-0,$3444,$7436,$362,$143,$-320,$-177,$0,$0,$0,$-14,$-6,$179,$162,$0,$0,$0,$0,$0,$0,$162,$484,$-532,$-48,$-0,$-0,$-185,$-15,$-249,$92,$0,$-185
2,2018-03-31,14.94,$14.38,1.04,$4.57,3.27,$2.95,5.07,$1.47,10.16,$0.05B,$0.04B,1.52,$3.65B,$3.42B,1.07,$1.09B,$0.67B,61.27%,$1.09B,$0.27B,25.02%,$1.09B,$0.27B,25.02%,$1.09B,$0.55B,50.23%,$1.09B,$0.13B,11.87%,$1.09B,$0.35B,32.29%,$0.35B,$3.42B,10.54%,$0.35B,$3.42B,10.54%,$0.35B,$7.38B,4.83%,$0.27B,$7.06B,3.92%,$276,$108,$168,$0,$25,$204,$72,$-16,$56,$0,$56,$56,$236,$143,$72,$237,237,$0.99,$0.99,$53,$0,$0,$53,$6453,$0,$0,$878,$7331,$7384,$35,$3645,$288,$3933,$3968,$2,$-1364,$1,$3416,$7384,$237,$70,$-212,$-142,$0,$0,$0,$-29,$-11,$84,$80,$0,$0,$0,$0,$0,$0,$80,$485,$-541,$-56,$-0,$-0,$-93,$-10,$-158,$6,$0,$-93
3,2017-12-31,17.87,$13.79,1.3,$4.53,3.95,$2.55,7.01,$0.62,28.82,$0.05B,$0.02B,2.63,$3.68B,$3.28B,1.12,$1.08B,$0.66B,61.52%,$1.08B,$0.28B,25.56%,$1.08B,$0.28B,25.56%,$1.08B,$0.55B,51.21%,$1.08B,$0.11B,9.76%,$1.08B,$0.15B,13.66%,$0.15B,$3.28B,4.41%,$0.15B,$3.28B,4.41%,$0.15B,$7.29B,2.04%,$0.28B,$6.95B,3.99%,$279,$105,$174,$0,$46,$218,$60,$-40,$20,$0,$20,$20,$65,$127,$60,$237,237,$0.27,$0.27,$47,$0,$0,$47,$6370,$0,$0,$876,$7247,$7294,$18,$3675,$324,$3999,$4017,$2,$-1594,$87,$3277,$7294,$152,$277,$-52,$225,$0,$0,$0,$31,$30,$407,$-221,$0,$0,$0,$0,$0,$0,$-221,$-314,$269,$-45,$-0,$-0,$-371,$230,$-186,$-1,$0,$-371
4,2017-09-30,17.87,$13.83,1.29,$4.51,3.96,$2.33,7.67,$0.53,33.72,$0.04B,$0.03B,1.34,$3.56B,$3.29B,1.08,$1.07B,$0.66B,61.72%,$1.07B,$0.30B,28.10%,$1.07B,$0.30B,28.10%,$1.07B,$0.58B,54.53%,$1.07B,$0.13B,11.95%,$1.07B,$0.13B,11.67%,$0.13B,$3.29B,3.77%,$0.13B,$3.29B,3.77%,$0.13B,$7.19B,1.73%,$0.30B,$6.85B,4.37%,$267,$105,$162,$0,$20,$191,$75,$-40,$36,$0,$36,$36,$34,$142,$75,$237,237,$0.14,$0.14,$43,$0,$0,$43,$6362,$0,$0,$783,$7145,$7188,$32,$3559,$309,$3868,$3900,$2,$-1566,$66,$3288,$7188,$85,$210,$-1,$208,$0,$0,$0,$27,$41,$335,$-124,$0,$0,$0,$0,$0,$0,$-124,$-304,$144,$-160,$-0,$-0,$-287,$243,$-203,$7,$0,$-287
5,2017-06-30,18.32,$14.06,1.3,$4.50,4.07,$1.91,9.59,$0.51,35.91,$0.04B,$0.02B,2.34,$3.52B,$3.34B,1.05,$1.07B,$0.66B,61.80%,$1.07B,$0.30B,27.81%,$1.07B,$0.30B,27.81%,$1.07B,$0.59B,54.78%,$1.07B,$0.12B,11.24%,$1.07B,$0.12B,11.14%,$0.12B,$3.34B,3.61%,$0.12B,$3.34B,3.61%,$0.12B,$7.18B,1.65%,$0.30B,$6.86B,4.31%,$265,$103,$162,$0,$23,$200,$65,$-47,$17,$0,$17,$17,$16,$134,$65,$237,237,$0.07,$0.07,$41,$0,$0,$41,$6373,$0,$0,$769,$7143,$7184,$17,$3523,$303,$3825,$3843,$2,$-1508,$59,$3341,$7184,$50,$143,$3,$146,$0,$0,$0,$17,$16,$211,$-72,$0,$0,$0,$0,$0,$0,$-72,$-302,$107,$-195,$-0,$-0,$-185,$247,$-134,$5,$0,$-185
6,2017-03-31,17.83,$14.39,1.24,$4.48,3.98,$1.28,13.93,$0.61,29.23,$0.04B,$0.03B,1.06,$3.48B,$3.42B,1.02,$1.06B,$0.66B,62.22%,$1.06B,$0.31B,28.85%,$1.06B,$0.31B,28.85%,$1.06B,$0.60B,56.20%,$1.06B,$0.14B,12.97%,$1.06B,$0.14B,13.35%,$0.14B,$3.42B,4.32%,$0.14B,$3.42B,4.32%,$0.14B,$7.22B,1.96%,$0.31B,$6.90B,4.44%,$265,$101,$164,$0,$15,$190,$75,$-43,$32,$0,$32,$32,$32,$148,$75,$237,237,$0.14,$0.14,$35,$0,$0,$35,$6391,$0,$0,$794,$7185,$7220,$34,$3483,$285,$3768,$3801,$2,$-1431,$59,$3419,$7220,$32,$73,$-5,$69,$0,$0,$0,$-2,$13,$114,$-44,$0,$0,$0,$0,$0,$0,$-44,$-3,$-230,$-233,$0,$0,$-93,$256,$-70,$-0,$0,$-93
7,2016-12-31,16.33,$13.47,1.21,$4.46,3.66,$1.31,12.47,$0.60,27.21,$0.05B,$0.04B,1.33,$3.71B,$3.20B,1.16,$1.06B,$0.66B,62.25%,$1.06B,$0.30B,28.67%,$1.06B,$0.30B,28.67%,$1.06B,$0.59B,56.01%,$1.06B,$0.14B,12.96%,$1.06B,$0.14B,13.34%,$0.14B,$3.20B,4.32%,$0.14B,$3.20B,4.32%,$0.14B,$7.23B,1.95%,$0.30B,$6.91B,4.40%,$274,$101,$173,$0,$12,$188,$86,$-43,$43,$0,$43,$43,$43,$160,$86,$237,237,$0.18,$0.18,$36,$0,$0,$54,$6347,$0,$0,$827,$7174,$7228,$41,$3714,$273,$3988,$4028,$2,$-1371,$35,$3199,$7228,$141,$289,$-6,$282,$0,$0,$0,$2,$3,$427,$-293,$0,$0,$0,$0,$0,$0,$-293,$692,$-448,$244,$-0,$-0,$-370,$-12,$-140,$-6,$0,$-370
8,2016-09-30,19.24,$13.64,1.41,$4.45,4.32,$-2.68,0.0,$0.46,41.84,$0.05B,$0.03B,1.42,$3.65B,$3.24B,1.13,$1.05B,$0.65B,61.94%,$1.05B,$0.30B,28.64%,$1.05B,$0.30B,28.64%,$1.05B,$0.59B,55.95%,$1.05B,$0.10B,9.90%,$1.05B,$0.11B,10.28%,$0.11B,$3.24B,3.27%,$0.11B,$3.24B,3.27%,$0.11B,$7.23B,1.50%,$0.30B,$6.89B,4.38%,$264,$103,$161,$0,$12,$193,$71,$-43,$28,$0,$28,$28,$28,$143,$71,$237,237,$0.12,$0.12,$47,$0,$0,$47,$6387,$0,$0,$796,$7183,$7230,$33,$3653,$305,$3958,$3991,$2,$-1321,$24,$3239,$7230,$98,$215,$-4,$212,$0,$0,$0,$16,$32,$342,$-232,$0,$0,$0,$0,$0,$0,$-232,$743,$-560,$183,$-0,$-0,$-278,$-12,$-107,$3,$0,$-278
9,2016-06-30,17.34,$13.83,1.25,$4.41,3.93,$-6.79,0.0,$0.50,34.68,$0.03B,$0.02B,1.77,$3.66B,$3.29B,1.12,$1.04B,$0.65B,62.19%,$1.04B,$0.31B,29.46%,$1.04B,$0.31B,29.46%,$1.04B,$0.59B,56.91%,$1.04B,$0.11B,10.94%,$1.04B,$0.12B,11.32%,$0.12B,$3.29B,3.50%,$0.12B,$3.29B,3.50%,$0.12B,$7.27B,1.63%,$0.31B,$6.95B,4.45%,$261,$97,$164,$0,$12,$186,$75,$-40,$35,$0,$35,$35,$39,$147,$75,$237,237,$0.17,$0.17,$33,$0,$0,$33,$6419,$0,$0,$814,$7233,$7266,$18,$3664,$298,$3962,$3980,$2,$-1257,$8,$3286,$7266,$71,$143,$-3,$140,$0,$0,$0,$4,$6,$216,$-227,$0,$0,$0,$0,$0,$0,$-227,$218,$-26,$192,$0,$0,$-185,$-9,$-2,$-12,$0,$-185
