,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,54.78,$16.48,3.32,$14.95,3.66,$2.81,19.5,$1.08,50.72,$0.20B,$0.09B,2.14,$0.36B,$0.53B,0.68,$0.45B,$0.17B,37.31%,$0.45B,$0.06B,13.47%,$0.45B,$0.06B,13.47%,$0.45B,$0.10B,22.08%,$0.45B,$0.05B,9.93%,$0.45B,$0.03B,7.51%,$0.03B,$0.53B,7.44%,$0.03B,$-0.15B,266.67%,$0.03B,$1.01B,4.44%,$0.06B,$0.89B,9.19%,$136,$84,$52,$0,$25,$117,$19,$-5,$14,$3,$12,$12,$12,$33,$19,$32,32,$0.36,$0.36,$16,$88,$12,$196,$123,$0,$678,$4,$812,$1009,$92,$360,$10,$390,$482,$0,$206,$-36,$527,$1009,$30,$35,$8,$42,$-11,$-14,$1,$-1,$-29,$44,$-19,$0,$-535,$0,$0,$0,$-3,$-556,$249,$1,$250,$241,$241,$-8,$-19,$463,$-48,$3,$-8
1,2018-06-30,48.1,$15.93,3.02,$13.94,3.45,$3.12,15.4,$1.14,42.19,$0.19B,$0.11B,1.78,$0.35B,$0.50B,0.7,$0.41B,$0.15B,37.78%,$0.41B,$0.06B,14.57%,$0.41B,$0.06B,14.57%,$0.41B,$0.09B,21.98%,$0.41B,$0.05B,11.60%,$0.41B,$0.03B,8.15%,$0.03B,$0.50B,8.41%,$0.03B,$-0.17B,51.97%,$0.03B,$0.99B,5.21%,$0.06B,$0.86B,10.95%,$136,$86,$50,$0,$25,$119,$17,$-8,$9,$2,$7,$7,$7,$33,$17,$32,32,$0.22,$0.22,$30,$77,$9,$191,$114,$0,$675,$4,$801,$992,$107,$352,$9,$382,$489,$0,$197,$-31,$503,$992,$19,$21,$6,$27,$-14,$-5,$6,$-0,$-15,$31,$-11,$0,$-527,$0,$0,$0,$-3,$-540,$240,$1,$241,$241,$241,$-5,$-2,$474,$-34,$2,$-5
2,2018-03-31,53.37,$16.62,3.21,$12.93,4.13,$3.15,16.93,$1.19,44.85,$0.29B,$0.05B,5.56,$0.00B,$0.53B,0.0,$0.36B,$0.14B,39.66%,$0.36B,$0.06B,17.60%,$0.36B,$0.06B,17.60%,$0.36B,$0.08B,22.91%,$0.36B,$0.05B,13.69%,$0.36B,$0.03B,9.22%,$0.03B,$0.53B,9.97%,$0.03B,$0.31B,28.45%,$0.03B,$0.60B,6.57%,$0.06B,$0.53B,14.99%,$97,$60,$38,$0,$18,$80,$17,$-1,$16,$4,$12,$12,$12,$22,$17,$30,30,$0.40,$0.40,$199,$41,$4,$291,$94,$0,$211,$4,$313,$604,$52,$1,$23,$26,$79,$0,$193,$-4,$525,$604,$12,$5,$2,$7,$-10,$1,$1,$-0,$-4,$15,$-4,$0,$0,$0,$0,$0,$0,$-4,$-115,$0,$-115,$240,$240,$-2,$-0,$122,$135,$1,$-2
3,2017-12-31,64.37,$10.07,6.39,$12.69,5.07,$3.24,19.89,$1.17,55.02,$0.15B,$0.05B,3.2,$0.12B,$0.27B,0.43,$0.34B,$0.14B,40.06%,$0.34B,$0.06B,18.13%,$0.34B,$0.06B,18.13%,$0.34B,$0.08B,24.27%,$0.34B,$0.05B,14.04%,$0.34B,$0.03B,9.06%,$0.03B,$0.27B,11.85%,$0.03B,$0.06B,67.76%,$0.03B,$0.46B,6.68%,$0.06B,$0.39B,16.25%,$84,$55,$29,$0,$18,$77,$8,$-2,$6,$3,$3,$3,$3,$12,$8,$27,27,$0.10,$0.10,$64,$42,$4,$147,$92,$0,$213,$3,$313,$460,$46,$116,$23,$141,$187,$0,$184,$-6,$273,$460,$32,$21,$9,$30,$-11,$-13,$6,$0,$-12,$49,$-22,$0,$-1,$7,$0,$7,$0,$-16,$-24,$0,$-24,$1,$1,$-10,$-17,$-50,$-10,$4,$-10
4,2017-09-30,53.65,$9.93,5.4,$11.43,4.69,$3.43,15.63,$1.19,45.08,$0.17B,$0.07B,2.62,$0.12B,$0.27B,0.43,$0.31B,$0.13B,40.58%,$0.31B,$0.06B,19.16%,$0.31B,$0.06B,19.16%,$0.31B,$0.08B,26.30%,$0.31B,$0.05B,15.26%,$0.31B,$0.03B,10.06%,$0.03B,$0.27B,12.29%,$0.03B,$0.05B,86.71%,$0.03B,$0.48B,6.74%,$0.06B,$0.39B,15.60%,$88,$52,$36,$0,$17,$71,$17,$-1,$16,$5,$11,$11,$11,$22,$17,$27,27,$0.42,$0.42,$85,$44,$4,$173,$81,$0,$217,$3,$303,$477,$66,$116,$19,$142,$208,$0,$183,$-9,$269,$477,$29,$17,$10,$27,$-14,$-15,$7,$-1,$-17,$38,$-8,$0,$-1,$3,$0,$3,$0,$-6,$-24,$0,$-24,$1,$1,$-8,$0,$-31,$7,$3,$-8
5,2017-06-30,42.39,$9.49,4.47,$9.86,4.3,$3.31,12.8,$0.96,44.16,$0.17B,$0.05B,3.65,$0.12B,$0.26B,0.48,$0.27B,$0.11B,39.62%,$0.27B,$0.05B,18.49%,$0.27B,$0.05B,18.49%,$0.27B,$0.07B,26.04%,$0.27B,$0.04B,14.72%,$0.27B,$0.03B,9.43%,$0.03B,$0.26B,10.21%,$0.03B,$0.04B,30.67%,$0.03B,$0.47B,6.15%,$0.05B,$0.38B,14.34%,$89,$51,$39,$0,$16,$69,$21,$-10,$11,$4,$7,$7,$7,$26,$21,$27,27,$0.27,$0.27,$83,$38,$4,$166,$78,$0,$219,$3,$304,$469,$45,$124,$36,$167,$213,$0,$175,$-11,$257,$469,$17,$12,$8,$20,$-14,$-10,$6,$0,$-16,$22,$-3,$0,$0,$3,$0,$3,$0,$-0,$-16,$0,$-16,$0,$0,$-5,$0,$-21,$4,$2,$-5
6,2017-03-31,35.8,$9.15,3.91,$8.44,4.24,$3.35,10.68,$0.95,37.68,$0.15B,$0.04B,3.66,$0.12B,$0.25B,0.5,$0.23B,$0.09B,37.44%,$0.23B,$0.04B,16.74%,$0.23B,$0.04B,16.74%,$0.23B,$0.06B,24.67%,$0.23B,$0.04B,17.18%,$0.23B,$0.03B,11.01%,$0.03B,$0.25B,10.45%,$0.03B,$0.03B,19.31%,$0.03B,$0.45B,7.07%,$0.04B,$0.37B,12.45%,$81,$49,$33,$0,$15,$66,$16,$-1,$15,$5,$10,$10,$10,$23,$16,$27,27,$0.38,$0.38,$75,$32,$5,$150,$79,$0,$214,$3,$300,$450,$41,$124,$28,$162,$202,$0,$170,$-14,$247,$450,$10,$7,$2,$9,$-12,$-4,$5,$-1,$-6,$12,$-1,$0,$0,$2,$0,$2,$0,$1,$-16,$0,$-16,$0,$0,$-3,$0,$-19,$-4,$1,$-3
7,2016-12-31,39.5,$8.78,4.5,$7.33,5.39,$3.27,12.07,$0.88,44.89,$0.14B,$0.03B,4.55,$0.14B,$0.24B,0.59,$0.20B,$0.07B,36.55%,$0.20B,$0.03B,17.26%,$0.20B,$0.03B,17.26%,$0.20B,$0.05B,23.86%,$0.20B,$0.04B,18.27%,$0.20B,$0.02B,11.68%,$0.02B,$0.24B,9.78%,$0.02B,$0.02B,12.94%,$0.02B,$0.45B,7.56%,$0.03B,$0.38B,12.58%,$50,$33,$17,$0,$11,$45,$5,$-0,$5,$1,$3,$3,$3,$10,$5,$27,27,$0.11,$0.11,$81,$30,$4,$141,$81,$0,$216,$3,$304,$445,$31,$140,$28,$177,$208,$0,$162,$-16,$236,$445,$23,$12,$5,$18,$-3,$-1,$3,$-1,$-3,$39,$-6,$-1,$-200,$38,$0,$38,$0,$-170,$140,$0,$140,$1,$1,$-11,$-2,$128,$-8,$5,$-11
8,2016-09-30,31.82,$8.89,3.58,$7.13,4.46,$3.77,8.43,$0.95,33.5,$0.18B,$0.01B,13.56,$0.00B,$0.24B,0.0,$0.19B,$0.07B,37.17%,$0.19B,$0.04B,19.37%,$0.19B,$0.04B,19.37%,$0.19B,$0.05B,24.61%,$0.19B,$0.04B,19.90%,$0.19B,$0.03B,13.09%,$0.03B,$0.24B,10.79%,$0.03B,$0.24B,11.07%,$0.03B,$0.26B,9.86%,$0.04B,$0.24B,15.97%,$45,$30,$16,$0,$8,$38,$7,$0,$8,$3,$5,$5,$5,$10,$7,$27,27,$0.19,$0.19,$144,$13,$3,$179,$71,$0,$5,$7,$83,$262,$13,$0,$0,$9,$22,$0,$162,$-11,$239,$262,$20,$8,$5,$13,$-4,$1,$1,$-1,$-2,$31,$-5,$-1,$0,$11,$0,$11,$0,$5,$0,$0,$0,$1,$1,$-8,$0,$-7,$28,$4,$-8
9,2016-06-30,29.19,$8.73,3.35,$7.25,4.03,$4.20,6.95,$1.08,27.03,$0.17B,$0.01B,12.35,$0.00B,$0.24B,0.0,$0.19B,$0.07B,38.14%,$0.19B,$0.04B,21.13%,$0.19B,$0.04B,21.13%,$0.19B,$0.05B,26.29%,$0.19B,$0.04B,22.16%,$0.19B,$0.03B,14.43%,$0.03B,$0.24B,12.35%,$0.03B,$0.23B,12.70%,$0.03B,$0.26B,11.29%,$0.04B,$0.24B,18.08%,$51,$32,$19,$0,$8,$40,$10,$0,$11,$4,$7,$7,$7,$13,$10,$27,27,$0.26,$0.26,$138,$12,$3,$174,$72,$0,$5,$6,$83,$257,$14,$0,$0,$8,$22,$0,$159,$-12,$235,$257,$15,$5,$3,$8,$-6,$1,$1,$-0,$-1,$22,$-3,$-1,$0,$6,$0,$6,$0,$3,$0,$0,$0,$0,$0,$-6,$0,$-5,$18,$3,$-6
