,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,96.97,$59.36,1.63,$496.90,0.2,$-1.32,0.0,$6.95,13.95,$5.41B,$3.58B,1.51,$1.09B,$2.33B,0.47,$19.74B,$1.74B,8.80%,$19.74B,$0.51B,2.60%,$19.74B,$0.51B,2.60%,$19.74B,$0.71B,3.60%,$19.74B,$0.44B,2.21%,$19.74B,$0.28B,1.41%,$0.28B,$2.33B,12.08%,$0.28B,$0.98B,30.88%,$0.28B,$7.26B,3.75%,$0.51B,$3.42B,14.99%,$4907,$4473,$433,$0,$316,$4790,$117,$-21,$96,$27,$69,$69,$69,$166,$117,$39,39,$1.75,$1.74,$214,$2040,$200,$5405,$344,$0,$1351,$127,$1853,$7258,$3582,$1091,$170,$1349,$4931,$0,$2100,$-127,$2327,$7258,$187,$146,$-5,$141,$-153,$115,$-388,$57,$-369,$-40,$-75,$0,$-6,$6,$0,$6,$1,$-74,$-115,$-5,$-119,$-54,$-54,$-42,$-8,$-223,$-346,$17,$-42
1,2018-05-31,106.45,$58.83,1.81,$480.19,0.22,$-2.22,0.0,$7.08,15.04,$5.43B,$3.64B,1.49,$1.11B,$2.31B,0.48,$19.11B,$1.68B,8.79%,$19.11B,$0.52B,2.71%,$19.11B,$0.52B,2.71%,$19.11B,$0.70B,3.68%,$19.11B,$0.45B,2.38%,$19.11B,$0.28B,1.49%,$0.28B,$2.31B,12.45%,$0.28B,$0.92B,28.13%,$0.28B,$7.32B,4.03%,$0.52B,$3.42B,15.87%,$4973,$4543,$429,$0,$305,$4849,$124,$-18,$106,$12,$94,$94,$93,$173,$124,$40,40,$2.35,$2.34,$364,$2130,$221,$5427,$344,$0,$1387,$125,$1888,$7316,$3640,$1107,$170,$1365,$5004,$0,$2045,$-90,$2311,$7316,$118,$98,$-15,$82,$112,$31,$-342,$62,$-138,$63,$-50,$0,$-6,$-0,$5,$5,$1,$-51,$-128,$-5,$-133,$-45,$-45,$-28,$0,$-206,$-196,$11,$-28
2,2018-02-28,122.81,$58.30,2.11,$454.19,0.27,$-7.35,0.0,$6.57,18.69,$5.53B,$3.74B,1.48,$1.12B,$2.32B,0.48,$18.08B,$1.62B,8.98%,$18.08B,$0.52B,2.87%,$18.08B,$0.52B,2.87%,$18.08B,$0.69B,3.83%,$18.08B,$0.46B,2.57%,$18.08B,$0.26B,1.45%,$0.26B,$2.32B,11.78%,$0.26B,$0.89B,23.49%,$0.26B,$7.46B,3.98%,$0.52B,$3.44B,16.83%,$4552,$4138,$414,$0,$302,$4440,$112,$-19,$93,$69,$24,$24,$24,$161,$112,$40,40,$0.61,$0.61,$384,$2323,$197,$5526,$347,$0,$1430,$124,$1932,$7458,$3741,$1121,$192,$1401,$5142,$0,$1965,$-46,$2315,$7458,$24,$49,$-18,$31,$236,$-155,$-200,$57,$-61,$-6,$-22,$0,$-6,$-0,$0,$-0,$0,$-28,$-139,$7,$-132,$0,$0,$-14,$-0,$-146,$-179,$5,$-14
3,2017-11-30,134.92,$57.56,2.34,$429.00,0.31,$-11.87,0.0,$7.50,17.99,$5.74B,$4.04B,1.42,$1.14B,$2.28B,0.5,$17.05B,$1.55B,9.10%,$17.05B,$0.51B,2.99%,$17.05B,$0.51B,2.99%,$17.05B,$0.67B,3.92%,$17.05B,$0.46B,2.72%,$17.05B,$0.30B,1.76%,$0.30B,$2.28B,13.86%,$0.30B,$0.83B,24.69%,$0.30B,$7.70B,4.98%,$0.51B,$3.42B,17.67%,$5312,$4850,$462,$0,$302,$5152,$160,$-19,$141,$50,$91,$91,$93,$211,$160,$40,40,$2.28,$2.27,$562,$2163,$169,$5740,$347,$0,$1456,$125,$1959,$7699,$4041,$1136,$124,$1374,$5415,$0,$1955,$-62,$2284,$7699,$301,$160,$-4,$156,$-478,$-243,$342,$99,$-280,$177,$-98,$0,$-527,$-2,$-30,$-32,$2,$-654,$679,$1,$681,$-6,$-6,$-42,$6,$639,$170,$17,$-42
4,2017-08-31,118.22,$56.02,2.11,$393.72,0.3,$-8.76,0.0,$7.37,16.04,$4.45B,$2.77B,1.61,$0.56B,$2.22B,0.25,$15.62B,$1.47B,9.40%,$15.62B,$0.48B,3.07%,$15.62B,$0.48B,3.07%,$15.62B,$0.63B,4.01%,$15.62B,$0.45B,2.86%,$15.62B,$0.29B,1.87%,$0.29B,$2.22B,13.99%,$0.29B,$1.40B,22.36%,$0.29B,$5.74B,5.41%,$0.48B,$2.78B,17.97%,$4277,$3902,$375,$0,$253,$4154,$122,$-8,$114,$39,$75,$75,$74,$159,$122,$40,40,$1.88,$1.87,$252,$2242,$98,$4454,$330,$0,$816,$73,$1285,$5739,$2773,$564,$114,$749,$3522,$0,$1876,$-47,$2217,$5739,$210,$108,$15,$123,$-77,$-485,$76,$72,$-413,$-80,$-72,$0,$-51,$-2,$0,$-2,$2,$-124,$82,$1,$83,$-1,$-1,$-30,$2,$55,$-140,$12,$-30
5,2017-05-31,109.74,$53.52,2.05,$378.95,0.29,$-0.42,0.0,$6.97,15.74,$4.33B,$2.67B,1.62,$0.58B,$2.12B,0.27,$15.01B,$1.42B,9.45%,$15.01B,$0.46B,3.04%,$15.01B,$0.46B,3.04%,$15.01B,$0.59B,3.96%,$15.01B,$0.42B,2.81%,$15.01B,$0.28B,1.84%,$0.28B,$2.12B,13.75%,$0.28B,$1.36B,22.36%,$0.28B,$5.53B,5.36%,$0.46B,$2.70B,17.46%,$3936,$3564,$372,$0,$247,$3811,$125,$-9,$116,$43,$73,$73,$72,$161,$125,$40,40,$1.83,$1.83,$315,$2113,$111,$4326,$321,$0,$752,$70,$1203,$5529,$2665,$579,$109,$747,$3413,$0,$1810,$-76,$2116,$5529,$135,$71,$6,$77,$-24,$-368,$-9,$43,$-358,$-146,$-45,$0,$7,$-4,$2,$-2,$1,$-40,$123,$-1,$121,$-2,$-2,$-20,$2,$102,$-77,$8,$-20
6,2017-02-28,115.04,$51.58,2.23,$365.44,0.31,$9.87,11.65,$6.25,18.41,$3.90B,$2.32B,1.68,$0.59B,$2.04B,0.29,$14.46B,$1.34B,9.28%,$14.46B,$0.41B,2.81%,$14.46B,$0.41B,2.81%,$14.46B,$0.54B,3.71%,$14.46B,$0.38B,2.60%,$14.46B,$0.25B,1.72%,$0.25B,$2.04B,12.74%,$0.25B,$1.27B,19.82%,$0.25B,$5.11B,5.08%,$0.41B,$2.63B,15.84%,$3521,$3179,$342,$0,$240,$3419,$102,$-9,$93,$31,$62,$62,$61,$138,$102,$39,40,$1.55,$1.54,$219,$1854,$99,$3897,$315,$0,$770,$67,$1211,$5108,$2316,$590,$104,$754,$3070,$0,$1747,$-86,$2038,$5108,$62,$36,$2,$38,$37,$-109,$-214,$1,$-285,$-186,$-22,$0,$0,$-1,$0,$-1,$1,$-22,$44,$-1,$43,$-2,$-2,$-10,$1,$32,$-174,$4,$-10
7,2016-11-30,114.81,$50.05,2.29,$355.97,0.32,$17.82,6.44,$5.88,19.53,$4.00B,$2.48B,1.61,$0.60B,$1.98B,0.3,$14.06B,$1.28B,9.12%,$14.06B,$0.38B,2.70%,$14.06B,$0.38B,2.70%,$14.06B,$0.50B,3.56%,$14.06B,$0.36B,2.53%,$14.06B,$0.24B,1.67%,$0.24B,$1.98B,12.37%,$0.24B,$1.19B,18.31%,$0.24B,$5.22B,5.04%,$0.38B,$2.58B,15.08%,$3887,$3508,$379,$0,$248,$3756,$131,$-8,$123,$37,$85,$85,$85,$169,$131,$39,40,$2.14,$2.13,$392,$1742,$105,$3995,$313,$0,$785,$64,$1220,$5215,$2477,$601,$103,$763,$3239,$0,$1695,$-93,$1976,$5215,$235,$121,$-2,$119,$95,$-410,$266,$20,$-30,$325,$-123,$0,$-415,$0,$0,$0,$6,$-532,$218,$-2,$215,$-8,$-8,$-34,$7,$180,$-37,$14,$-34
8,2016-08-31,104.02,$48.95,2.12,$347.84,0.3,$26.47,3.93,$5.31,19.59,$3.62B,$2.12B,1.71,$0.62B,$1.93B,0.32,$13.73B,$1.22B,8.87%,$13.73B,$0.35B,2.58%,$13.73B,$0.35B,2.58%,$13.73B,$0.46B,3.37%,$13.73B,$0.33B,2.41%,$13.73B,$0.21B,1.55%,$0.21B,$1.93B,11.48%,$0.21B,$1.13B,16.15%,$0.21B,$4.82B,4.76%,$0.35B,$2.55B,14.24%,$3670,$3344,$326,$0,$228,$3572,$98,$-8,$90,$31,$59,$59,$59,$126,$98,$39,40,$1.48,$1.47,$235,$1569,$118,$3616,$315,$0,$795,$67,$1206,$4822,$2116,$621,$101,$779,$2895,$0,$1620,$-65,$1927,$4822,$150,$83,$-9,$74,$225,$-225,$70,$-21,$49,$274,$-95,$0,$-404,$-1,$0,$-1,$4,$-496,$51,$-4,$47,$-4,$-4,$-24,$4,$23,$-198,$11,$-24
9,2016-05-31,89.07,$47.71,1.87,$339.75,0.26,$34.32,2.6,$5.06,17.6,$3.64B,$1.84B,1.97,$0.63B,$1.88B,0.33,$13.39B,$1.18B,8.83%,$13.39B,$0.34B,2.52%,$13.39B,$0.34B,2.52%,$13.39B,$0.45B,3.32%,$13.39B,$0.32B,2.35%,$13.39B,$0.20B,1.51%,$0.20B,$1.88B,11.15%,$0.20B,$1.43B,14.94%,$0.20B,$4.44B,4.67%,$0.34B,$2.50B,13.76%,$3379,$3085,$294,$0,$219,$3304,$75,$-6,$70,$25,$44,$44,$44,$104,$75,$39,39,$1.12,$1.11,$598,$1378,$110,$3637,$278,$0,$441,$59,$806,$4443,$1842,$625,$92,$726,$2568,$0,$1569,$-61,$1875,$4443,$91,$55,$-6,$49,$263,$-39,$-61,$-19,$144,$284,$-68,$0,$1,$-33,$31,$-2,$1,$-67,$-36,$6,$-30,$-6,$-6,$-16,$4,$-48,$166,$7,$-16
