,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,176.75,$12.60,14.03,$18.13,9.75,$23.27,7.6,$7.41,23.85,$1.42B,$1.27B,1.12,$23.68B,$3.86B,6.14,$5.63B,$4.63B,82.24%,$5.63B,$2.91B,51.66%,$5.63B,$2.91B,51.66%,$5.63B,$4.26B,75.75%,$5.63B,$2.23B,39.64%,$5.63B,$2.30B,40.80%,$2.30B,$3.90B,57.20%,$2.30B,$3.90B,57.20%,$2.30B,$31.08B,7.33%,$2.91B,$27.58B,10.42%,$1409,$262,$1147,$0,$49,$692,$717,$-199,$518,$10,$508,$642,$556,$1053,$717,$309,309,$1.80,$1.80,$696,$0,$0,$1418,$24305,$0,$0,$4058,$29661,$31080,$1268,$23678,$2038,$25914,$27182,$0,$-4897,$-119,$3898,$31080,$1989,$1010,$-233,$777,$28,$0,$0,$-75,$-15,$2751,$-586,$0,$11,$-23,$-52,$-75,$440,$-209,$-6787,$5896,$-891,$-318,$-318,$-2106,$-13,$-3328,$-787,$0,$-277
1,2018-06-30,168.29,$12.54,13.42,$18.09,9.3,$23.45,7.18,$7.26,23.18,$1.40B,$1.23B,1.13,$23.51B,$3.84B,6.13,$5.62B,$4.63B,82.33%,$5.62B,$2.88B,51.23%,$5.62B,$2.88B,51.23%,$5.62B,$4.24B,75.36%,$5.62B,$2.20B,39.20%,$5.62B,$2.25B,40.09%,$2.25B,$3.88B,54.97%,$2.25B,$3.88B,54.97%,$2.25B,$30.84B,7.20%,$2.88B,$27.38B,10.32%,$1388,$237,$1152,$0,$47,$651,$738,$-197,$541,$10,$531,$631,$547,$1077,$738,$309,309,$1.77,$1.77,$714,$0,$0,$1396,$24075,$0,$0,$4075,$29447,$30843,$1231,$23505,$2031,$25734,$26965,$0,$-4834,$-115,$3879,$30843,$1347,$674,$-196,$478,$60,$0,$0,$-28,$12,$1837,$-335,$0,$0,$-9,$-29,$-39,$354,$-19,$-4585,$3721,$-864,$-318,$-318,$-1393,$-11,$-2586,$-768,$0,$-183
2,2018-03-31,150.72,$13.02,11.57,$17.98,8.38,$23.37,6.45,$6.72,22.43,$1.05B,$1.18B,0.89,$23.65B,$3.99B,5.93,$5.59B,$4.59B,82.12%,$5.59B,$2.83B,50.54%,$5.59B,$2.83B,50.54%,$5.59B,$4.18B,74.79%,$5.59B,$2.02B,36.06%,$5.59B,$2.09B,37.33%,$2.09B,$4.03B,49.70%,$2.09B,$4.03B,49.70%,$2.09B,$31.02B,6.67%,$2.83B,$27.68B,10.10%,$1400,$255,$1144,$0,$47,$698,$702,$-70,$632,$6,$625,$716,$621,$1037,$702,$311,311,$2.00,$2.00,$367,$0,$0,$1053,$24309,$0,$0,$4281,$29965,$31018,$1181,$23648,$1954,$25804,$26985,$0,$-4774,$-103,$4033,$31018,$716,$335,$-151,$184,$72,$0,$0,$-63,$-56,$843,$-173,$0,$0,$-8,$-11,$-18,$67,$-124,$-2650,$1756,$-894,$-235,$-235,$-698,$-9,$-1835,$-1115,$0,$-92
3,2017-12-31,165.62,$13.62,12.16,$17.77,9.32,$23.25,7.12,$6.25,26.5,$2.23B,$1.27B,1.75,$24.63B,$4.20B,5.87,$5.54B,$4.56B,82.29%,$5.54B,$2.80B,50.58%,$5.54B,$2.80B,50.58%,$5.54B,$4.16B,75.07%,$5.54B,$1.86B,33.63%,$5.54B,$1.95B,35.11%,$1.95B,$4.24B,44.45%,$1.95B,$4.24B,44.45%,$1.95B,$32.26B,6.21%,$2.80B,$28.87B,10.00%,$1428,$245,$1183,$0,$54,$678,$749,$-210,$539,$6,$533,$660,$571,$1094,$749,$312,312,$1.83,$1.83,$1482,$0,$0,$2225,$24458,$0,$0,$4201,$30033,$32258,$1269,$24632,$1927,$26750,$28019,$0,$-4782,$-110,$4239,$32258,$2245,$1357,$51,$1408,$-26,$0,$0,$-133,$-59,$3594,$-712,$0,$-257,$31,$-157,$-126,$334,$-761,$-10457,$11668,$1211,$-407,$-407,$-2570,$-144,$-1910,$922,$0,$-339
4,2017-09-30,153.49,$13.65,11.25,$17.75,8.65,$22.35,6.87,$5.67,27.07,$1.20B,$1.29B,0.93,$23.41B,$4.20B,5.58,$5.54B,$4.56B,82.32%,$5.54B,$2.75B,49.73%,$5.54B,$2.75B,49.73%,$5.54B,$4.12B,74.41%,$5.54B,$1.68B,30.30%,$5.54B,$1.77B,31.92%,$1.77B,$4.24B,38.81%,$1.77B,$4.24B,38.81%,$1.77B,$31.03B,5.70%,$2.75B,$27.65B,9.91%,$1404,$256,$1148,$0,$49,$714,$690,$-199,$491,$15,$477,$593,$514,$1027,$690,$311,311,$1.65,$1.65,$508,$0,$0,$1195,$24259,$0,$0,$4239,$29837,$31032,$1290,$23410,$1902,$25499,$26790,$0,$-4777,$-111,$4243,$31032,$1585,$1012,$74,$1087,$20,$0,$0,$-76,$48,$2719,$-487,$0,$-80,$48,$-111,$-63,$263,$-367,$-8031,$8071,$40,$-399,$-399,$-1906,$-139,$-2404,$-52,$0,$-251
5,2017-06-30,152.47,$13.80,11.04,$17.55,8.69,$21.51,7.09,$5.63,27.08,$1.13B,$1.21B,0.94,$23.42B,$4.25B,5.51,$5.49B,$4.51B,82.19%,$5.49B,$2.74B,49.90%,$5.49B,$2.74B,49.90%,$5.49B,$4.10B,74.67%,$5.49B,$1.65B,30.01%,$5.49B,$1.76B,32.03%,$1.76B,$4.29B,36.44%,$1.76B,$4.29B,36.44%,$1.76B,$30.97B,5.64%,$2.74B,$27.71B,9.79%,$1362,$242,$1119,$0,$50,$675,$686,$-331,$355,$6,$349,$441,$382,$1026,$686,$312,312,$1.23,$1.23,$489,$0,$0,$1129,$24317,$0,$0,$4152,$29837,$30966,$1205,$23423,$1862,$25470,$26675,$0,$-4731,$-104,$4291,$30966,$992,$676,$112,$788,$47,$0,$0,$-29,$29,$1810,$-319,$0,$-80,$-4,$-93,$-97,$246,$-250,$-5585,$5749,$164,$-399,$-399,$-1261,$-135,$-1631,$-71,$0,$-166
6,2017-03-31,160.35,$15.15,10.59,$16.82,9.53,$20.45,7.84,$5.85,27.41,$1.14B,$1.08B,1.05,$23.15B,$4.69B,4.94,$5.44B,$4.47B,82.18%,$5.44B,$2.71B,49.83%,$5.44B,$2.71B,49.83%,$5.44B,$4.06B,74.54%,$5.44B,$1.74B,31.93%,$5.44B,$1.83B,33.65%,$1.83B,$4.73B,36.04%,$1.83B,$4.73B,36.04%,$1.83B,$30.95B,5.86%,$2.71B,$27.88B,9.65%,$1346,$236,$1109,$0,$50,$669,$677,$-198,$478,$-4,$482,$551,$478,$1012,$677,$313,313,$1.53,$1.53,$513,$0,$0,$1135,$24230,$0,$0,$4197,$29811,$30946,$1081,$23149,$1820,$25136,$26217,$0,$-4559,$-101,$4729,$30946,$551,$336,$-6,$330,$54,$0,$0,$-42,$-95,$786,$-149,$0,$0,$-4,$-59,$-63,$36,$-175,$-1739,$1868,$130,$-152,$-152,$-631,$-3,$-657,$-47,$0,$-83
7,2016-12-31,164.03,$15.84,10.35,$16.84,9.74,$20.22,8.11,$5.87,27.94,$1.23B,$1.21B,1.01,$22.98B,$4.92B,4.67,$5.44B,$4.46B,82.12%,$5.44B,$2.72B,50.06%,$5.44B,$2.72B,50.06%,$5.44B,$4.05B,74.50%,$5.44B,$1.73B,31.76%,$5.44B,$1.84B,33.76%,$1.84B,$4.96B,35.01%,$1.84B,$4.96B,35.01%,$1.84B,$31.10B,5.85%,$2.72B,$27.94B,9.64%,$1426,$242,$1183,$0,$59,$725,$701,$-346,$354,$1,$353,$456,$394,$1056,$701,$313,313,$1.26,$1.26,$560,$0,$0,$1225,$24360,$0,$0,$4165,$29879,$31104,$1214,$22977,$1815,$24930,$26144,$0,$-4459,$-114,$4960,$31104,$2135,$1328,$15,$1343,$16,$0,$0,$-44,$-105,$3373,$-762,$0,$-440,$4,$-312,$-308,$541,$-969,$-14650,$14866,$216,$-256,$-256,$-2354,$-151,$-2545,$-141,$0,$-316
8,2016-09-30,189.43,$16.95,11.17,$16.73,11.32,$18.44,10.27,$5.88,32.22,$1.44B,$1.24B,1.16,$23.08B,$5.28B,4.37,$5.39B,$4.42B,81.95%,$5.39B,$2.73B,50.65%,$5.39B,$2.73B,50.65%,$5.39B,$4.02B,74.60%,$5.39B,$1.73B,32.10%,$5.39B,$1.83B,34.01%,$1.83B,$5.33B,34.55%,$1.83B,$5.33B,34.55%,$1.83B,$31.67B,5.86%,$2.73B,$28.41B,9.70%,$1357,$255,$1102,$0,$51,$681,$676,$-215,$461,$6,$455,$588,$505,$1006,$676,$314,314,$1.61,$1.61,$815,$0,$0,$1441,$24531,$0,$0,$4337,$30228,$31669,$1241,$23079,$1863,$25101,$26342,$0,$-4350,$-116,$5327,$31669,$1679,$972,$-133,$839,$56,$0,$0,$8,$14,$2533,$-541,$0,$-440,$-9,$-252,$-261,$480,$-762,$-9976,$10088,$111,$-5,$-5,$-1757,$-7,$-1657,$114,$0,$-238
9,2016-06-30,196.96,$16.92,11.64,$16.67,11.81,$16.77,11.74,$5.63,34.98,$1.49B,$1.21B,1.23,$22.92B,$5.27B,4.35,$5.35B,$4.38B,81.90%,$5.35B,$2.71B,50.66%,$5.35B,$2.71B,50.66%,$5.35B,$3.98B,74.31%,$5.35B,$1.70B,31.70%,$5.35B,$1.75B,32.65%,$1.75B,$5.32B,32.95%,$1.75B,$5.32B,32.95%,$1.75B,$31.38B,5.63%,$2.71B,$28.24B,9.67%,$1315,$235,$1080,$0,$48,$656,$659,$-214,$445,$7,$438,$527,$455,$984,$659,$313,362,$1.45,$1.45,$884,$0,$0,$1485,$23988,$0,$0,$4570,$29895,$31380,$1210,$22924,$1772,$24853,$26062,$0,$-4341,$-120,$5317,$31380,$1091,$643,$-65,$578,$59,$0,$0,$-17,$25,$1694,$-347,$0,$-268,$-5,$-173,$-177,$312,$-481,$140,$0,$140,$-0,$-0,$-1160,$-10,$-1030,$183,$0,$-159
