,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.79,$-0.13,-21.17,0,0.0,$-1.08,0.0,$-0.44,0.0,$0.02B,$0.00B,4.16,$0.01B,$-0.00B,-1.45,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$-0.00B,-800.00%,$-0.02B,$-0.00B,-800.00%,$-0.02B,$0.02B,-75.29%,$-0.02B,$0.00B,-213.33%,$0,$0,$0,$2,$1,$3,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$30,30,$-0.10,$-0.10,$15,$0,$0,$15,$0,$0,$0,$0,$0,$15,$4,$6,$10,$16,$19,$131,$-162,$0,$-4,$15,$-12,$0,$1,$1,$0,$0,$-0,$0,$0,$-11,$-0,$0,$0,$0,$7,$7,$0,$7,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$1,$0
1,2018-06-30,2.81,$-0.05,-62.44,0,0.0,$-0.94,0.0,$-0.53,0.0,$0.02B,$0.01B,3.57,$0.01B,$-0.00B,-3.95,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$-0.00B,-278.26%,$-0.02B,$-0.00B,-278.26%,$-0.02B,$0.02B,-64.00%,$-0.02B,$0.00B,-139.13%,$0,$0,$0,$4,$1,$5,$-5,$-1,$-6,$0,$-6,$-6,$-6,$-5,$-5,$30,30,$-0.20,$-0.20,$19,$0,$0,$20,$0,$0,$0,$0,$0,$20,$5,$5,$10,$15,$21,$131,$-159,$0,$-1,$20,$-9,$0,$0,$1,$0,$0,$0,$-0,$2,$-7,$-0,$0,$0,$0,$5,$5,$0,$5,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
2,2018-03-31,2.01,$0.15,13.3,0,0.0,$-0.86,0.0,$-0.31,0.0,$0.02B,$0.00B,5.9,$0.01B,$0.01B,1.3,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-97.30%,$-0.01B,$0.01B,-97.30%,$-0.01B,$0.02B,-34.29%,$-0.01B,$0.01B,-101.82%,$0,$0,$0,$3,$1,$5,$-5,$1,$-3,$0,$-3,$-3,$-3,$-5,$-5,$30,30,$-0.11,$-0.11,$22,$0,$0,$23,$0,$0,$0,$0,$0,$23,$4,$6,$9,$15,$19,$131,$-153,$0,$5,$23,$-3,$0,$-1,$-1,$0,$0,$0,$-0,$1,$-4,$-0,$0,$0,$0,$4,$4,$0,$4,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2017-12-31,2.27,$0.25,8.93,0,0.0,$-0.84,0.0,$-0.29,0.0,$0.03B,$0.00B,9.94,$0.01B,$0.01B,0.84,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-81.82%,$-0.01B,$0.01B,-81.82%,$-0.01B,$0.03B,-33.03%,$-0.01B,$0.01B,-84.21%,$0,$0,$0,$2,$1,$3,$-3,$-1,$-4,$0,$-4,$-4,$-4,$-3,$-3,$30,30,$-0.13,$-0.13,$26,$0,$0,$27,$0,$0,$0,$0,$0,$27,$3,$6,$10,$17,$19,$131,$-150,$0,$8,$27,$-9,$0,$-2,$-1,$0,$0,$0,$-0,$0,$-10,$-0,$0,$0,$0,$6,$6,$0,$6,$0,$7,$7,$0,$0,$0,$0,$7,$3,$2,$0
4,2017-09-30,2.15,$0.37,5.75,0,0.0,$-0.96,0.0,$-0.18,0.0,$0.03B,$0.00B,13.37,$0.01B,$0.01B,0.6,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-48.00%,$-0.01B,$0.01B,-48.00%,$-0.01B,$0.03B,-21.43%,$-0.01B,$0.02B,-77.19%,$0,$0,$0,$2,$2,$3,$-3,$1,$-3,$0,$-3,$-3,$-3,$-3,$-3,$30,30,$-0.09,$-0.09,$29,$0,$0,$30,$0,$0,$0,$0,$0,$30,$2,$7,$9,$16,$18,$131,$-146,$0,$11,$30,$-5,$0,$-3,$-2,$0,$0,$0,$-0,$-0,$-7,$-0,$0,$0,$0,$4,$4,$0,$4,$0,$7,$7,$0,$0,$0,$0,$7,$4,$1,$0
5,2017-06-30,2.2,$0.44,5.01,0,0.0,$-1.04,0.0,$-0.26,0.0,$0.03B,$0.00B,15.09,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-51.85%,$-0.01B,$0.01B,-51.85%,$-0.01B,$0.03B,-24.56%,$-0.01B,$0.01B,-88.89%,$0,$0,$0,$1,$1,$3,$-3,$3,$1,$0,$1,$1,$1,$-3,$-3,$30,31,$0.02,$0.02,$24,$0,$0,$25,$0,$0,$0,$0,$0,$25,$2,$0,$10,$10,$12,$131,$-143,$0,$13,$25,$-2,$0,$-2,$-2,$0,$0,$0,$-0,$-1,$-5,$-0,$0,$0,$0,$-1,$-1,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-6,$1,$0
6,2017-03-31,2.83,$0.40,7.03,0,0.0,$-1.13,0.0,$-0.49,0.0,$0.03B,$0.00B,23.77,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-114.29%,$-0.01B,$0.01B,-114.29%,$-0.01B,$0.03B,-48.98%,$-0.01B,$0.01B,-100.00%,$0,$0,$0,$1,$1,$3,$-3,$-0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$30,30,$-0.09,$-0.09,$26,$0,$0,$27,$0,$0,$0,$0,$0,$27,$1,$0,$14,$14,$15,$131,$-144,$0,$12,$27,$-3,$0,$0,$1,$0,$0,$-0,$-0,$-1,$-3,$0,$0,$0,$0,$-1,$-1,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-4,$0,$0
7,2016-12-31,2.8,$0.48,5.88,0,0.0,$-1.17,0.0,$-0.53,0.0,$0.03B,$0.00B,13.5,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.01B,-146.67%,$-0.01B,$0.01B,-146.67%,$-0.01B,$0.03B,-57.14%,$-0.01B,$0.01B,-114.29%,$0,$0,$0,$1,$1,$2,$-2,$2,$-1,$0,$-1,$-1,$-1,$-2,$-2,$23,23,$0.02,$0.02,$29,$0,$0,$30,$0,$0,$0,$0,$0,$30,$2,$0,$13,$13,$16,$131,$-141,$0,$14,$30,$-11,$0,$1,$1,$-0,$0,$-0,$-0,$0,$-10,$0,$0,$0,$0,$-14,$-14,$0,$-14,$-5,$0,$-5,$36,$36,$0,$0,$31,$7,$0,$0
8,2016-09-30,3.11,$0.48,6.42,0,0.0,$-1.57,0.0,$-0.66,0.0,$0.03B,$0.00B,16.19,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.02B,-288.89%,$-0.01B,$0.02B,-288.89%,$-0.01B,$0.03B,-92.86%,$-0.01B,$0.02B,-153.85%,$0,$0,$0,$1,$3,$4,$-4,$-1,$-4,$0,$-4,$-4,$-4,$-4,$-4,$25,25,$-0.17,$-0.17,$31,$0,$0,$32,$0,$0,$0,$0,$0,$32,$2,$0,$15,$15,$17,$131,$-140,$0,$15,$32,$-11,$0,$2,$2,$-0,$0,$-1,$-0,$0,$-8,$0,$0,$0,$0,$2,$2,$0,$2,$-5,$0,$-5,$36,$36,$0,$0,$31,$25,$0,$0
9,2016-06-30,2.15,$0.03,62.5,0,0.0,$-1.99,0.0,$-0.71,0.0,$0.01B,$0.00B,3.02,$0.00B,$0.00B,3.54,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$-0.01B,$0.00B,-742.86%,$-0.01B,$0.00B,-742.86%,$-0.01B,$0.01B,-148.57%,$-0.01B,$0.00B,-189.47%,$0,$0,$0,$1,$1,$2,$-2,$-2,$-4,$0,$-4,$-4,$-4,$-2,$-2,$19,19,$-0.21,$-0.21,$8,$0,$0,$9,$0,$0,$0,$0,$0,$9,$3,$3,$2,$5,$8,$118,$-136,$0,$1,$9,$-6,$0,$2,$2,$0,$0,$-1,$0,$-0,$-5,$0,$0,$0,$0,$3,$3,$0,$3,$4,$0,$4,$1,$1,$0,$0,$5,$2,$0,$0
