,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,5.09,$1.27,3.99,$19.79,0.26,$-1.81,0.0,$0.38,13.39,$0.35B,$0.32B,1.09,$0.03B,$0.06B,0.58,$0.84B,$0.29B,33.77%,$0.84B,$0.05B,5.45%,$0.84B,$0.05B,5.45%,$0.84B,$0.07B,7.82%,$0.84B,$0.03B,3.67%,$0.84B,$0.02B,2.01%,$0.02B,$0.06B,34.87%,$0.02B,$0.06B,35.05%,$0.02B,$0.45B,4.07%,$0.05B,$0.09B,29.49%,$203,$131,$72,$0,$59,$190,$13,$-4,$9,$2,$7,$7,$7,$19,$13,$43,43,$0.15,$0.15,$3,$329,$0,$347,$96,$0,$0,$0,$99,$446,$319,$32,$0,$73,$391,$0,$-29,$0,$55,$446,$1,$11,$1,$12,$-0,$-58,$36,$-2,$-24,$-11,$-11,$0,$0,$0,$0,$0,$0,$-11,$19,$0,$19,$0,$0,$0,$4,$23,$1,$2,$0
1,2018-04-30,4.99,$1.11,4.5,$19.55,0.26,$-2.48,0.0,$0.38,13.13,$0.32B,$0.20B,1.63,$0.13B,$0.05B,2.78,$0.83B,$0.28B,33.89%,$0.83B,$0.05B,5.65%,$0.83B,$0.05B,5.65%,$0.83B,$0.07B,7.93%,$0.83B,$0.03B,3.97%,$0.83B,$0.02B,2.04%,$0.02B,$0.05B,39.31%,$0.02B,$0.05B,39.77%,$0.02B,$0.42B,4.13%,$0.05B,$0.18B,26.70%,$180,$124,$56,$0,$59,$184,$-4,$-4,$-7,$-1,$-6,$-6,$-6,$1,$-4,$43,43,$-0.14,$-0.14,$2,$306,$0,$318,$95,$0,$0,$0,$98,$416,$196,$132,$0,$173,$369,$0,$-36,$0,$47,$416,$-6,$5,$1,$6,$-0,$-36,$28,$-0,$-9,$-9,$-4,$0,$0,$0,$0,$0,$0,$-4,$6,$0,$6,$0,$0,$0,$8,$14,$1,$2,$0
2,2018-01-31,5.07,$1.17,4.34,$19.05,0.27,$-2.68,0.0,$0.41,12.37,$0.28B,$0.16B,1.81,$0.13B,$0.05B,2.66,$0.81B,$0.28B,33.99%,$0.81B,$0.05B,5.81%,$0.81B,$0.05B,5.81%,$0.81B,$0.07B,8.03%,$0.81B,$0.03B,4.08%,$0.81B,$0.02B,2.22%,$0.02B,$0.05B,47.37%,$0.02B,$0.05B,48.65%,$0.02B,$0.38B,4.40%,$0.05B,$0.18B,27.53%,$243,$164,$80,$0,$63,$227,$17,$-4,$13,$7,$6,$6,$6,$22,$17,$42,43,$0.15,$0.15,$2,$271,$0,$281,$94,$0,$0,$0,$99,$380,$156,$132,$0,$174,$330,$0,$-33,$0,$50,$380,$18,$18,$11,$30,$0,$-24,$8,$-1,$-17,$31,$-41,$0,$0,$0,$0,$0,$9,$-32,$-3,$0,$-3,$0,$0,$0,$3,$1,$-0,$2,$0
3,2017-10-31,4.1,$1.01,4.07,$18.54,0.22,$-3.00,0.0,$0.52,7.88,$0.33B,$0.21B,1.54,$0.13B,$0.04B,3.09,$0.79B,$0.27B,34.18%,$0.79B,$0.05B,6.48%,$0.79B,$0.05B,6.48%,$0.79B,$0.07B,8.64%,$0.79B,$0.04B,4.83%,$0.79B,$0.02B,2.92%,$0.02B,$0.04B,69.70%,$0.02B,$0.04B,73.02%,$0.02B,$0.43B,5.74%,$0.05B,$0.18B,30.68%,$218,$141,$77,$0,$57,$199,$20,$-3,$16,$6,$10,$10,$10,$24,$20,$43,43,$0.23,$0.23,$2,$318,$0,$325,$99,$0,$1,$0,$104,$429,$211,$133,$0,$175,$386,$0,$-39,$0,$43,$429,$12,$13,$10,$24,$0,$-72,$41,$3,$-28,$8,$-39,$0,$0,$0,$0,$0,$6,$-33,$16,$0,$16,$0,$0,$0,$9,$26,$0,$1,$0
4,2017-07-31,4.53,$0.77,5.89,$18.52,0.24,$-3.34,0.0,$0.54,8.39,$0.31B,$0.22B,1.42,$0.13B,$0.03B,4.06,$0.79B,$0.27B,33.84%,$0.79B,$0.05B,6.62%,$0.79B,$0.05B,6.62%,$0.79B,$0.07B,8.78%,$0.79B,$0.04B,4.96%,$0.79B,$0.02B,3.05%,$0.02B,$0.03B,88.89%,$0.02B,$0.03B,96.00%,$0.02B,$0.42B,6.09%,$0.05B,$0.17B,32.40%,$191,$123,$69,$0,$54,$177,$14,$-3,$11,$4,$7,$7,$7,$19,$14,$43,43,$0.15,$0.15,$2,$302,$0,$312,$104,$0,$1,$0,$109,$422,$220,$133,$0,$169,$389,$0,$-49,$0,$33,$422,$2,$9,$3,$12,$-0,$-56,$31,$0,$-32,$-18,$-32,$0,$0,$0,$0,$0,$1,$-31,$40,$0,$40,$0,$0,$0,$9,$49,$-0,$1,$0
5,2017-04-30,4.09,$0.60,6.82,$18.49,0.22,$-2.70,0.0,$0.59,6.93,$0.31B,$0.21B,1.45,$0.13B,$0.03B,5.23,$0.79B,$0.26B,33.50%,$0.79B,$0.06B,7.01%,$0.79B,$0.06B,7.01%,$0.79B,$0.07B,8.92%,$0.79B,$0.04B,5.35%,$0.79B,$0.03B,3.18%,$0.03B,$0.03B,121.95%,$0.03B,$0.02B,138.89%,$0.03B,$0.41B,6.57%,$0.06B,$0.16B,35.66%,$157,$108,$49,$0,$52,$161,$-4,$-3,$-7,$-2,$-5,$-5,$-5,$0,$-4,$42,42,$-0.11,$-0.11,$2,$288,$0,$305,$95,$0,$2,$0,$101,$406,$211,$133,$0,$169,$380,$0,$-55,$0,$26,$406,$-5,$4,$2,$6,$0,$-42,$42,$-4,$-11,$-9,$-13,$0,$0,$0,$0,$0,$0,$-13,$17,$0,$17,$0,$0,$0,$6,$22,$0,$1,$0
6,2017-01-31,7.44,$0.71,10.48,$18.36,0.41,$-2.76,0.0,$0.71,10.48,$0.26B,$0.15B,1.74,$0.13B,$0.03B,4.46,$0.78B,$0.26B,33.59%,$0.78B,$0.06B,7.82%,$0.78B,$0.06B,7.82%,$0.78B,$0.08B,9.74%,$0.78B,$0.05B,6.15%,$0.78B,$0.03B,3.85%,$0.03B,$0.03B,222.22%,$0.03B,$0.03B,285.71%,$0.03B,$0.35B,8.25%,$0.06B,$0.16B,41.36%,$221,$147,$74,$0,$53,$200,$21,$-3,$18,$7,$11,$11,$11,$25,$21,$42,42,$0.24,$0.24,$2,$246,$0,$256,$83,$0,$2,$0,$90,$346,$147,$134,$0,$169,$316,$0,$-51,$0,$30,$346,$30,$15,$9,$24,$0,$-28,$-16,$-1,$-38,$15,$-39,$0,$0,$0,$0,$0,$12,$-27,$14,$0,$14,$0,$0,$0,$-3,$12,$-0,$3,$0
7,2016-10-31,9.2,$0.44,20.94,$18.08,0.51,$-2.16,0.0,$0.73,12.6,$0.31B,$0.22B,1.44,$0.13B,$0.02B,7.22,$0.77B,$0.26B,33.72%,$0.77B,$0.06B,8.07%,$0.77B,$0.06B,8.07%,$0.77B,$0.08B,9.90%,$0.77B,$0.05B,6.38%,$0.77B,$0.03B,3.91%,$0.03B,$0.02B,545.45%,$0.03B,$0.02B,1500.00%,$0.03B,$0.40B,8.52%,$0.06B,$0.15B,43.51%,$217,$143,$74,$0,$54,$197,$21,$-3,$17,$7,$11,$11,$11,$25,$21,$42,43,$0.25,$0.25,$3,$304,$0,$312,$83,$0,$3,$0,$91,$403,$216,$134,$0,$168,$384,$0,$-61,$0,$19,$403,$19,$11,$7,$18,$0,$-86,$25,$4,$-53,$-15,$-31,$0,$0,$0,$0,$0,$3,$-28,$39,$0,$39,$0,$0,$0,$4,$44,$1,$2,$0
8,2016-07-31,10.18,$0.17,60.2,$17.51,0.58,$-1.70,0.0,$0.71,14.34,$0.28B,$0.19B,1.44,$0.13B,$0.01B,18.76,$0.74B,$0.25B,33.92%,$0.74B,$0.06B,8.08%,$0.74B,$0.06B,8.08%,$0.74B,$0.07B,9.83%,$0.74B,$0.05B,6.46%,$0.74B,$0.03B,3.90%,$0.03B,$0.01B,-1054.55%,$0.03B,$0.00B,-446.15%,$0.03B,$0.37B,8.60%,$0.06B,$0.14B,42.93%,$190,$124,$66,$0,$50,$173,$17,$-3,$14,$5,$8,$8,$8,$20,$17,$42,42,$0.20,$0.20,$3,$266,$0,$275,$82,$0,$3,$0,$90,$366,$191,$134,$0,$167,$359,$0,$-72,$0,$7,$366,$9,$7,$5,$12,$0,$-48,$24,$2,$-21,$0,$-23,$0,$0,$0,$0,$0,$0,$-23,$20,$0,$20,$0,$0,$0,$3,$23,$0,$2,$0
9,2016-04-30,11.38,$-0.06,-204.31,$16.99,0.67,$-1.63,0.0,$0.70,16.26,$0.26B,$0.18B,1.48,$0.13B,$-0.00B,-57.11,$0.72B,$0.24B,33.89%,$0.72B,$0.06B,8.33%,$0.72B,$0.06B,8.33%,$0.72B,$0.07B,10.14%,$0.72B,$0.05B,6.53%,$0.72B,$0.03B,4.03%,$0.03B,$-0.00B,-276.19%,$0.03B,$-0.01B,-196.61%,$0.03B,$0.34B,8.86%,$0.06B,$0.13B,43.64%,$152,$103,$48,$0,$46,$149,$2,$-4,$-1,$-2,$0,$0,$0,$6,$2,$42,42,$0.01,$0.01,$2,$251,$0,$261,$70,$0,$3,$0,$78,$339,$176,$134,$0,$165,$341,$0,$-80,$0,$-2,$339,$0,$3,$3,$6,$0,$-33,$12,$4,$-22,$-16,$-9,$0,$0,$0,$0,$0,$0,$-9,$18,$0,$18,$-1,$-1,$0,$8,$25,$0,$1,$0
