,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,113.75,$69.75,1.63,$43.46,2.62,$-3.44,0.0,$-2.77,0.0,$5.05B,$8.49B,0.59,$21.34B,$16.83B,1.27,$11.43B,$7.61B,66.57%,$11.43B,$2.29B,20.03%,$11.43B,$2.29B,20.03%,$11.43B,$3.83B,33.52%,$11.43B,$0.42B,3.64%,$11.43B,$-0.44B,-3.86%,$-0.44B,$19.11B,-2.49%,$-0.44B,$16.52B,-2.95%,$-0.44B,$60.61B,-0.76%,$2.29B,$40.45B,6.07%,$2940,$1066,$1874,$0,$950,$2396,$544,$-117,$427,$167,$260,$334,$274,$924,$544,$274,276,$1.00,$0.99,$285,$345,$2610,$5045,$35498,$12114,$2592,$2255,$55560,$60605,$8491,$21335,$7243,$33003,$41494,$5485,$9485,$-612,$19111,$60605,$162,$1158,$921,$2079,$0,$0,$0,$211,$211,$2591,$-2808,$0,$0,$0,$-9921,$-9921,$25,$-12704,$5661,$707,$6368,$2241,$4500,$-699,$-124,$10045,$-76,$0,$-645
1,2018-06-30,116.11,$67.51,1.72,$43.38,2.68,$-3.30,0.0,$-2.55,0.0,$4.95B,$8.60B,0.58,$21.28B,$16.65B,1.28,$11.17B,$7.46B,66.76%,$11.17B,$2.22B,19.83%,$11.17B,$2.22B,19.83%,$11.17B,$3.76B,33.62%,$11.17B,$-0.01B,-0.05%,$11.17B,$-0.66B,-5.89%,$-0.66B,$18.36B,-3.91%,$-0.66B,$15.77B,-4.72%,$-0.66B,$59.91B,-1.19%,$2.22B,$39.64B,6.30%,$2564,$824,$1740,$0,$887,$2103,$461,$-1570,$-1109,$-583,$-526,$-530,$-561,$853,$461,$266,266,$-2.11,$-2.11,$312,$288,$2770,$4947,$34916,$11983,$2592,$2162,$54960,$59907,$8602,$21278,$7193,$32941,$41543,$5279,$9455,$-601,$18364,$59907,$-172,$778,$914,$1692,$0,$0,$0,$-34,$-34,$1629,$-1941,$0,$0,$0,$-9823,$-9823,$24,$-11740,$5529,$1266,$6795,$2070,$3763,$-445,$-36,$10077,$-37,$0,$-416
2,2018-03-31,110.37,$69.34,1.59,$43.76,2.52,$-1.79,0.0,$0.59,187.07,$3.39B,$9.11B,0.37,$20.86B,$16.59B,1.26,$11.14B,$7.44B,66.83%,$11.14B,$2.27B,20.34%,$11.14B,$2.27B,20.34%,$11.14B,$3.78B,33.95%,$11.14B,$1.50B,13.47%,$11.14B,$0.16B,1.45%,$0.16B,$18.31B,1.00%,$0.16B,$15.30B,1.23%,$0.16B,$60.49B,0.31%,$2.27B,$39.17B,6.88%,$2962,$963,$1999,$0,$916,$2112,$850,$-183,$667,$289,$378,$358,$347,$1236,$850,$258,259,$1.34,$1.33,$293,$285,$954,$3394,$37025,$11766,$3002,$3717,$57091,$60485,$9109,$20863,$7166,$33071,$42180,$4436,$10260,$-545,$18305,$60485,$358,$386,$214,$600,$0,$0,$0,$-38,$-38,$966,$-1035,$0,$0,$0,$-9617,$-9617,$20,$-10632,$5795,$1140,$6935,$1259,$2952,$-194,$-85,$9608,$-57,$0,$-194
3,2017-12-31,105.25,$60.32,1.74,$44.36,2.37,$-1.47,0.0,$1.01,104.21,$3.34B,$6.64B,0.5,$16.45B,$15.12B,1.09,$11.21B,$7.40B,66.00%,$11.21B,$2.33B,20.79%,$11.21B,$2.33B,20.79%,$11.21B,$3.82B,34.09%,$11.21B,$1.59B,14.14%,$11.21B,$0.26B,2.28%,$0.26B,$15.14B,1.66%,$0.26B,$12.15B,2.05%,$0.26B,$50.45B,0.52%,$2.33B,$31.59B,7.61%,$2964,$968,$1996,$0,$1004,$2530,$434,$-3,$431,$898,$-467,$-451,$-501,$818,$434,$252,252,$-2.00,$-1.99,$350,$307,$953,$3341,$36503,$2527,$2993,$1952,$47113,$50454,$6635,$16445,$7155,$28679,$35314,$3149,$10147,$-626,$15140,$50454,$351,$1490,$1511,$3001,$0,$0,$0,$124,$124,$3625,$-3932,$0,$0,$0,$-270,$-270,$-498,$-4700,$1709,$-36,$1673,$32,$32,$-756,$58,$1007,$-61,$0,$-755
4,2017-09-30,111.49,$61.76,1.81,$44.04,2.53,$-4.79,0.0,$4.51,24.72,$2.88B,$7.19B,0.4,$14.80B,$15.48B,0.96,$11.11B,$7.59B,68.32%,$11.11B,$2.49B,22.42%,$11.11B,$2.49B,22.42%,$11.11B,$3.94B,35.45%,$11.11B,$1.66B,14.93%,$11.11B,$1.14B,10.22%,$1.14B,$15.50B,7.34%,$1.14B,$12.57B,9.05%,$1.14B,$50.13B,2.32%,$2.49B,$30.31B,8.27%,$2679,$958,$1721,$0,$873,$2209,$470,$-465,$5,$-84,$89,$102,$57,$848,$470,$252,253,$0.23,$0.22,$248,$296,$798,$2878,$35384,$2128,$2930,$1908,$47251,$50129,$7194,$14803,$5705,$27433,$34627,$3088,$10855,$-678,$15502,$50129,$802,$1106,$557,$1663,$0,$0,$0,$221,$221,$2704,$-2868,$0,$0,$0,$-110,$-110,$-282,$-3260,$566,$475,$1041,$22,$22,$-562,$-120,$381,$-164,$0,$-561
5,2017-06-30,108.56,$62.17,1.75,$43.51,2.5,$-6.66,0.0,$6.75,16.08,$2.77B,$6.06B,0.46,$15.00B,$15.59B,0.96,$10.97B,$7.47B,68.07%,$10.97B,$2.47B,22.55%,$10.97B,$2.47B,22.55%,$10.97B,$3.87B,35.30%,$10.97B,$2.64B,24.03%,$10.97B,$1.70B,15.51%,$1.70B,$15.61B,11.41%,$1.70B,$12.69B,14.09%,$1.70B,$49.38B,3.56%,$2.47B,$30.61B,8.46%,$2533,$805,$1728,$0,$849,$2022,$511,$-114,$397,$167,$230,$248,$259,$879,$511,$251,253,$1.03,$1.03,$293,$239,$795,$2767,$34561,$2134,$2920,$1676,$46609,$49376,$6063,$15000,$5691,$27708,$33771,$3046,$11004,$-718,$15605,$49376,$700,$728,$327,$1055,$0,$0,$0,$153,$153,$1889,$-1802,$0,$0,$0,$-97,$-97,$-159,$-2058,$926,$-493,$433,$14,$14,$-369,$-34,$44,$-115,$0,$-368
6,2017-03-31,106.4,$62.03,1.72,$42.04,2.53,$-9.57,0.0,$5.78,18.41,$2.95B,$5.81B,0.51,$14.41B,$15.55B,0.93,$10.59B,$6.86B,64.79%,$10.59B,$1.97B,18.61%,$10.59B,$1.97B,18.61%,$10.59B,$3.32B,31.30%,$10.59B,$2.13B,20.08%,$10.59B,$1.46B,13.77%,$1.46B,$15.57B,10.31%,$1.46B,$12.65B,12.41%,$1.46B,$48.28B,3.16%,$1.97B,$29.98B,7.03%,$3031,$1079,$1952,$0,$851,$2116,$915,$-163,$752,$295,$457,$452,$441,$1275,$915,$251,252,$1.76,$1.75,$362,$210,$824,$2953,$33492,$2120,$2924,$1421,$45331,$48284,$5812,$14409,$5704,$26903,$32715,$3008,$10952,$-696,$15569,$48284,$452,$360,$167,$527,$0,$0,$0,$47,$47,$1004,$-992,$0,$0,$0,$-52,$-52,$18,$-1026,$229,$-97,$132,$3,$3,$-176,$-5,$-46,$-58,$0,$-176
7,2016-12-31,96.19,$60.96,1.58,$40.45,2.38,$-10.99,0.0,$5.30,18.15,$3.11B,$5.93B,0.53,$14.43B,$15.22B,0.95,$10.18B,$6.65B,65.31%,$10.18B,$1.62B,15.92%,$10.18B,$1.62B,15.92%,$10.18B,$2.93B,28.80%,$10.18B,$1.83B,17.97%,$10.18B,$1.37B,13.45%,$1.37B,$15.24B,10.20%,$1.37B,$12.33B,11.96%,$1.37B,$47.79B,3.08%,$1.62B,$29.67B,6.01%,$2870,$679,$2191,$0,$1122,$2274,$596,$-91,$505,$105,$400,$409,$379,$938,$596,$250,251,$1.53,$1.54,$415,$258,$814,$3110,$32931,$2097,$2912,$1456,$44676,$47786,$5927,$14429,$6035,$26618,$32545,$2982,$10717,$-748,$15241,$47786,$1519,$1312,$-444,$868,$0,$0,$0,$-138,$-138,$2311,$-3451,$0,$0,$0,$-1404,$-1404,$20,$-4835,$894,$692,$1586,$-5,$-5,$-687,$1608,$2502,$-25,$0,$-686
8,2016-09-30,101.69,$52.76,1.93,$39.79,2.56,$-6.00,0.0,$5.26,19.33,$2.92B,$6.79B,0.43,$13.52B,$13.17B,1.03,$10.01B,$6.29B,62.82%,$10.01B,$1.47B,14.70%,$10.01B,$1.47B,14.70%,$10.01B,$2.77B,27.63%,$10.01B,$1.76B,17.55%,$10.01B,$1.36B,13.58%,$1.36B,$13.19B,10.65%,$1.36B,$10.64B,12.13%,$1.36B,$45.53B,3.17%,$1.47B,$26.71B,5.67%,$2535,$939,$1596,$0,$947,$2083,$452,$530,$982,$282,$700,$719,$622,$780,$452,$250,252,$2.48,$2.46,$532,$302,$821,$2924,$31487,$1840,$2547,$1361,$42602,$45526,$6794,$13522,$5952,$25541,$32335,$2684,$10527,$-865,$13191,$45526,$1110,$970,$-458,$512,$0,$0,$0,$19,$19,$1691,$-2326,$0,$0,$0,$-1144,$-1144,$38,$-3432,$715,$1636,$2351,$-15,$-15,$-511,$23,$1848,$115,$0,$-510
9,2016-06-30,107.42,$50.25,2.14,$39.63,2.71,$-2.65,0.0,$3.79,28.34,$3.34B,$5.68B,0.59,$13.18B,$12.54B,1.05,$9.96B,$6.22B,62.43%,$9.96B,$1.38B,13.88%,$9.96B,$1.38B,13.88%,$9.96B,$2.66B,26.75%,$9.96B,$1.05B,10.49%,$9.96B,$0.99B,9.90%,$0.99B,$12.56B,7.85%,$0.99B,$11.38B,8.70%,$0.99B,$42.88B,2.37%,$1.38B,$25.74B,5.42%,$2156,$1032,$1124,$0,$802,$2148,$8,$-120,$-112,$-106,$-6,$27,$16,$322,$8,$250,252,$0.06,$0.06,$633,$270,$1262,$3341,$29495,$2267,$1185,$1452,$39534,$42875,$5680,$13178,$5796,$24632,$30312,$2681,$9952,$-852,$12563,$42875,$391,$642,$-55,$587,$0,$0,$0,$-107,$-107,$916,$-1563,$0,$0,$0,$-48,$-48,$18,$-1593,$398,$865,$1263,$-25,$-25,$-336,$-20,$882,$213,$0,$-335
