,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.85,$1.07,2.66,$2.68,1.06,$-0.13,0.0,$-0.30,0.0,$0.12B,$0.03B,3.91,$0.03B,$0.10B,0.32,$0.24B,$0.08B,31.69%,$0.24B,$-0.02B,-7.41%,$0.24B,$-0.02B,-7.41%,$0.24B,$0.01B,4.53%,$0.24B,$-0.03B,-11.93%,$0.24B,$-0.03B,-11.52%,$-0.03B,$0.10B,-26.48%,$-0.03B,$0.09B,-28.07%,$-0.03B,$0.17B,-10.75%,$-0.02B,$0.13B,-15.82%,$57,$40,$17,$1,$22,$63,$-6,$-1,$-7,$-0,$-7,$-7,$-7,$1,$-6,$92,92,$-0.07,$-0.07,$64,$0,$0,$118,$36,$0,$6,$7,$50,$168,$30,$32,$7,$39,$69,$0,$-270,$1,$99,$168,$-27,$21,$10,$31,$7,$0,$-2,$4,$2,$5,$-12,$0,$0,$138,$0,$138,$0,$125,$-118,$0,$-118,$1,$1,$0,$-1,$-118,$12,$9,$0
1,2018-06-30,3.94,$1.13,3.5,$2.71,1.46,$-0.14,0.0,$-0.29,0.0,$0.24B,$0.18B,1.34,$0.00B,$0.10B,0.0,$0.24B,$0.08B,31.56%,$0.24B,$-0.02B,-6.97%,$0.24B,$-0.02B,-6.97%,$0.24B,$0.01B,5.74%,$0.24B,$-0.03B,-11.07%,$0.24B,$-0.03B,-10.66%,$-0.03B,$0.10B,-24.02%,$-0.03B,$0.10B,-25.43%,$-0.03B,$0.29B,-8.97%,$-0.02B,$0.10B,-15.70%,$61,$42,$19,$2,$22,$67,$-6,$-3,$-8,$0,$-9,$-9,$-9,$1,$-6,$91,91,$-0.10,$-0.10,$184,$0,$0,$241,$34,$0,$6,$8,$48,$289,$180,$0,$6,$6,$186,$0,$-263,$1,$103,$289,$-21,$14,$9,$23,$6,$0,$-3,$-0,$-0,$2,$-7,$0,$0,$138,$0,$138,$0,$130,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$133,$7,$0
2,2018-03-31,3.81,$1.21,3.16,$2.69,1.41,$-0.15,0.0,$-0.34,0.0,$0.24B,$0.18B,1.38,$0.00B,$0.11B,0.0,$0.24B,$0.08B,31.95%,$0.24B,$-0.02B,-8.71%,$0.24B,$-0.02B,-8.71%,$0.24B,$0.01B,4.56%,$0.24B,$-0.03B,-13.28%,$0.24B,$-0.03B,-12.45%,$-0.03B,$0.11B,-27.27%,$-0.03B,$0.10B,-28.92%,$-0.03B,$0.29B,-10.36%,$-0.02B,$0.11B,-14.48%,$59,$42,$17,$2,$22,$65,$-7,$-5,$-12,$0,$-12,$-12,$-12,$1,$-7,$90,90,$-0.13,$-0.13,$185,$0,$0,$243,$34,$0,$6,$7,$48,$290,$176,$0,$5,$5,$181,$0,$-254,$1,$109,$290,$-12,$8,$5,$13,$7,$0,$-3,$-2,$-1,$1,$-3,$0,$0,$3,$0,$3,$0,$-1,$-0,$0,$-0,$0,$0,$0,$-0,$0,$0,$3,$0
3,2017-12-31,3.09,$1.24,2.49,$2.69,1.15,$-0.09,0.0,$-0.34,0.0,$0.25B,$0.18B,1.41,$0.00B,$0.11B,0.0,$0.24B,$0.08B,31.38%,$0.24B,$-0.02B,-9.62%,$0.24B,$-0.02B,-9.62%,$0.24B,$0.01B,3.35%,$0.24B,$-0.03B,-12.97%,$0.24B,$-0.03B,-12.55%,$-0.03B,$0.11B,-26.67%,$-0.03B,$0.11B,-28.30%,$-0.03B,$0.30B,-10.30%,$-0.02B,$0.11B,-12.65%,$66,$42,$24,$1,$21,$65,$1,$-2,$-2,$-2,$0,$0,$0,$8,$1,$89,89,$0.01,$0.01,$189,$0,$0,$251,$34,$0,$6,$4,$44,$295,$179,$0,$5,$5,$183,$0,$-246,$-1,$112,$295,$-30,$32,$13,$45,$9,$0,$2,$-2,$5,$20,$-17,$0,$0,$2,$0,$2,$0,$-15,$-0,$0,$-0,$1,$1,$0,$-1,$0,$4,$14,$0
4,2017-09-30,3.46,$1.21,2.85,$2.74,1.26,$-0.37,0.0,$-0.44,0.0,$0.24B,$0.17B,1.41,$0.00B,$0.11B,0.0,$0.24B,$0.08B,31.82%,$0.24B,$-0.03B,-10.74%,$0.24B,$-0.03B,-10.74%,$0.24B,$0.01B,2.07%,$0.24B,$-0.04B,-15.29%,$0.24B,$-0.04B,-15.70%,$-0.04B,$0.11B,-32.69%,$-0.04B,$0.10B,-34.78%,$-0.04B,$0.29B,-12.93%,$-0.03B,$0.11B,-11.86%,$58,$41,$17,$1,$20,$63,$-5,$-1,$-5,$-0,$-5,$-5,$-5,$4,$-5,$90,90,$-0.06,$-0.06,$180,$0,$0,$240,$36,$0,$7,$4,$46,$286,$170,$0,$7,$7,$177,$0,$-246,$0,$109,$286,$-30,$24,$11,$35,$12,$0,$-1,$-3,$1,$7,$-14,$0,$0,$0,$0,$0,$0,$-14,$-0,$0,$-0,$1,$1,$0,$-1,$0,$-8,$10,$0
5,2017-06-30,3.88,$1.25,3.1,$2.82,1.38,$-0.42,0.0,$-0.49,0.0,$0.24B,$0.03B,7.93,$0.14B,$0.11B,1.26,$0.25B,$0.08B,33.20%,$0.25B,$-0.03B,-10.12%,$0.25B,$-0.03B,-10.12%,$0.25B,$0.00B,1.62%,$0.25B,$-0.04B,-16.19%,$0.25B,$-0.04B,-17.00%,$-0.04B,$0.11B,-34.78%,$-0.04B,$0.10B,-37.09%,$-0.04B,$0.29B,-14.09%,$-0.03B,$0.25B,-9.73%,$58,$40,$19,$1,$22,$69,$-10,$-3,$-13,$0,$-13,$-13,$-13,$-2,$-10,$89,89,$-0.15,$-0.15,$179,$0,$0,$240,$37,$0,$7,$3,$47,$287,$30,$139,$7,$146,$177,$0,$-241,$-0,$110,$287,$-25,$15,$10,$25,$12,$0,$-1,$-2,$3,$3,$-9,$0,$0,$-1,$0,$-1,$0,$-10,$-0,$0,$-0,$1,$1,$0,$-0,$0,$-8,$7,$0
6,2017-03-31,3.88,$1.35,2.88,$2.89,1.34,$-0.42,0.0,$-0.40,0.0,$0.25B,$0.03B,7.28,$0.14B,$0.12B,1.15,$0.25B,$0.09B,33.86%,$0.25B,$-0.02B,-7.17%,$0.25B,$-0.02B,-7.17%,$0.25B,$0.01B,3.59%,$0.25B,$-0.03B,-12.75%,$0.25B,$-0.03B,-13.55%,$-0.03B,$0.12B,-27.04%,$-0.03B,$0.11B,-28.81%,$-0.03B,$0.30B,-11.22%,$-0.02B,$0.26B,-6.93%,$57,$41,$15,$2,$22,$66,$-9,$-2,$-11,$0,$-12,$-12,$-12,$-2,$-9,$88,88,$-0.13,$-0.13,$189,$0,$0,$248,$38,$0,$8,$3,$49,$297,$34,$137,$7,$144,$178,$0,$-228,$-1,$119,$297,$-12,$7,$3,$10,$10,$0,$-0,$2,$9,$7,$-4,$0,$0,$-1,$0,$-1,$0,$-5,$-0,$0,$-0,$1,$1,$0,$-0,$0,$3,$3,$0
7,2016-12-31,5.68,$1.44,3.95,$2.94,1.93,$-0.50,0.0,$-0.38,0.0,$0.26B,$0.04B,6.77,$0.14B,$0.13B,1.06,$0.25B,$0.09B,34.65%,$0.25B,$-0.02B,-5.91%,$0.25B,$-0.02B,-5.91%,$0.25B,$0.01B,3.94%,$0.25B,$-0.03B,-11.42%,$0.25B,$-0.03B,-12.20%,$-0.03B,$0.13B,-23.75%,$-0.03B,$0.12B,-25.36%,$-0.03B,$0.31B,-10.15%,$-0.02B,$0.26B,-5.72%,$69,$43,$26,$2,$26,$71,$-2,$-5,$-8,$1,$-8,$-8,$-8,$5,$-2,$86,86,$-0.09,$-0.09,$186,$0,$0,$256,$38,$0,$8,$3,$50,$306,$38,$135,$6,$141,$179,$0,$-216,$-1,$127,$306,$-32,$25,$18,$43,$-7,$0,$1,$-2,$-6,$4,$-26,$0,$0,$-3,$0,$-3,$0,$-29,$-0,$0,$-0,$2,$2,$0,$-1,$1,$-25,$11,$0
8,2016-09-30,4.88,$1.46,3.34,$2.90,1.68,$-0.34,0.0,$-0.35,0.0,$0.25B,$0.04B,7.04,$0.13B,$0.13B,1.04,$0.25B,$0.09B,34.80%,$0.25B,$-0.02B,-6.80%,$0.25B,$-0.02B,-6.80%,$0.25B,$0.01B,2.80%,$0.25B,$-0.03B,-10.80%,$0.25B,$-0.03B,-11.60%,$-0.03B,$0.13B,-21.36%,$-0.03B,$0.12B,-22.79%,$-0.03B,$0.30B,-9.40%,$-0.02B,$0.26B,-6.41%,$63,$41,$22,$2,$23,$66,$-4,$-5,$-8,$1,$-9,$-9,$-9,$3,$-4,$86,86,$-0.11,$-0.11,$191,$0,$0,$251,$37,$0,$8,$5,$51,$302,$36,$133,$7,$139,$175,$0,$-208,$0,$127,$302,$-24,$18,$12,$30,$3,$0,$0,$0,$3,$10,$-21,$0,$0,$-3,$0,$-3,$0,$-24,$-0,$0,$-0,$-4,$-4,$0,$-1,$-5,$-21,$7,$0
9,2016-06-30,4.03,$1.52,2.64,$2.87,1.4,$-0.29,0.0,$-0.37,0.0,$0.26B,$0.04B,6.48,$0.13B,$0.13B,1.0,$0.25B,$0.08B,33.33%,$0.25B,$-0.02B,-8.54%,$0.25B,$-0.02B,-8.54%,$0.25B,$0.00B,0.41%,$0.25B,$-0.03B,-12.20%,$0.25B,$-0.03B,-12.60%,$-0.03B,$0.13B,-21.79%,$-0.03B,$0.12B,-23.26%,$-0.03B,$0.31B,-9.91%,$-0.02B,$0.26B,-7.78%,$62,$40,$22,$2,$23,$65,$-3,$-2,$-5,$0,$-5,$-5,$-5,$3,$-3,$85,85,$-0.06,$-0.06,$194,$0,$0,$256,$34,$0,$9,$8,$51,$307,$40,$130,$6,$137,$176,$0,$-198,$0,$130,$307,$-14,$12,$7,$18,$2,$0,$1,$0,$5,$9,$-14,$0,$0,$-1,$0,$-1,$0,$-16,$-0,$0,$-0,$-8,$-8,$0,$-0,$-9,$-17,$5,$0
