,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,82.0,$64.49,1.27,$19.93,4.11,$18.83,4.36,$3.60,22.78,$11.22B,$11.89B,0.94,$0.12B,$2.37B,0.05,$0.70B,$0.66B,93.84%,$0.70B,$0.25B,36.25%,$0.70B,0,0.00%,$0.70B,0,0.00%,$0.70B,$0.21B,29.51%,$0.70B,$0.13B,18.77%,$0.13B,$2.37B,5.61%,$0.13B,$1.30B,10.35%,$0.13B,$14.52B,0.90%,$0.25B,$2.48B,10.11%,$176,$15,$160,$0,$95,$114,$61,$-4,$57,$10,$47,$47,$47,$0,$0,$37,37,$1.28,$1.28,$327,$0,$0,$11216,$242,$1552,$1069,$396,$3307,$14522,$11894,$116,$145,$261,$12154,$92,$515,$-45,$2368,$14522,$130,$33,$2,$35,$36,$0,$1,$21,$59,$224,$-9,$0,$0,$0,$56,$56,$-269,$-223,$-100,$-7,$-107,$-9,$-9,$-38,$82,$-72,$-70,$7,$-38
1,2018-06-30,85.89,$63.77,1.35,$19.87,4.32,$17.74,4.84,$3.51,24.47,$11.21B,$11.97B,0.94,$0.12B,$2.35B,0.05,$0.66B,$0.63B,95.30%,$0.66B,$0.25B,37.27%,$0.66B,0,0.00%,$0.66B,0,0.00%,$0.66B,$0.20B,30.61%,$0.66B,$0.12B,18.03%,$0.12B,$2.35B,5.53%,$0.12B,$1.28B,10.02%,$0.12B,$14.57B,0.87%,$0.25B,$2.46B,10.65%,$179,$12,$167,$0,$111,$127,$52,$0,$52,$12,$40,$40,$40,$0,$0,$37,37,$1.10,$1.09,$397,$0,$0,$11212,$245,$1598,$1073,$390,$3355,$14566,$11970,$116,$132,$248,$12218,$92,$481,$-36,$2348,$14566,$83,$22,$2,$24,$33,$0,$1,$13,$53,$160,$-7,$0,$0,$0,$42,$42,$-202,$-167,$-100,$45,$-55,$-0,$-0,$-25,$106,$26,$19,$4,$-25
2,2018-03-31,84.62,$63.14,1.34,$19.72,4.29,$15.95,5.3,$3.50,24.18,$11.28B,$12.02B,0.94,$0.22B,$2.32B,0.09,$0.62B,$0.60B,96.28%,$0.62B,$0.24B,39.10%,$0.62B,0,0.00%,$0.62B,0,0.00%,$0.62B,$0.20B,31.99%,$0.62B,$0.11B,17.93%,$0.11B,$2.32B,5.64%,$0.11B,$1.25B,10.02%,$0.11B,$14.69B,0.86%,$0.24B,$2.54B,11.41%,$182,$9,$172,$0,$115,$128,$54,$0,$54,$11,$42,$42,$42,$0,$0,$37,37,$1.15,$1.15,$645,$0,$0,$11277,$254,$1666,$1070,$376,$3412,$14689,$12021,$216,$130,$346,$12367,$92,$453,$-30,$2323,$14689,$42,$11,$182,$193,$-153,$0,$1,$16,$-129,$106,$-4,$0,$0,$0,$-16,$-16,$-7,$-26,$-0,$71,$71,$-2,$-2,$-12,$130,$187,$267,$2,$-12
3,2017-12-31,86.12,$62.81,1.37,$19.51,4.41,$14.46,5.96,$2.98,28.9,$11.05B,$11.82B,0.94,$0.22B,$2.31B,0.09,$0.57B,$0.56B,97.21%,$0.57B,$0.21B,37.11%,$0.57B,0,0.00%,$0.57B,0,0.00%,$0.57B,$0.17B,29.44%,$0.57B,$0.09B,15.16%,$0.09B,$2.31B,4.88%,$0.09B,$1.24B,8.47%,$0.09B,$14.47B,0.73%,$0.21B,$2.53B,11.16%,$161,$6,$156,$0,$67,$76,$86,$-43,$43,$41,$2,$2,$2,$0,$0,$30,30,$0.03,$0.03,$401,$0,$0,$11047,$256,$1651,$1073,$394,$3420,$14467,$11820,$216,$122,$338,$12158,$92,$420,$-10,$2309,$14467,$88,$36,$38,$73,$61,$0,$-1,$-25,$37,$198,$-15,$0,$185,$0,$384,$384,$-615,$-61,$-291,$-28,$-319,$-2,$-2,$-39,$226,$-134,$3,$7,$-39
4,2017-09-30,88.64,$55.79,1.59,$18.89,4.69,$12.99,6.83,$3.90,22.73,$8.69B,$9.35B,0.93,$0.08B,$1.63B,0.05,$0.53B,$0.52B,97.35%,$0.53B,$0.17B,32.33%,$0.53B,0,0.00%,$0.53B,0,0.00%,$0.53B,$0.16B,31.00%,$0.53B,$0.11B,20.60%,$0.11B,$1.63B,7.32%,$0.11B,$0.99B,12.02%,$0.11B,$11.17B,1.03%,$0.17B,$1.72B,10.86%,$138,$4,$134,$0,$77,$84,$54,$-2,$53,$18,$35,$35,$35,$0,$0,$29,29,$1.20,$1.19,$418,$0,$0,$8687,$198,$1323,$648,$271,$2482,$11169,$9353,$83,$100,$183,$9536,$73,$427,$-4,$1633,$11169,$85,$26,$9,$35,$17,$0,$-0,$1,$28,$148,$-9,$0,$70,$0,$270,$270,$-520,$-189,$-82,$-24,$-106,$-2,$-2,$-29,$207,$70,$29,$5,$-29
5,2017-06-30,84.03,$54.87,1.53,$19.07,4.41,$12.14,6.92,$3.87,21.71,$8.64B,$9.37B,0.92,$0.10B,$1.61B,0.06,$0.51B,$0.50B,97.65%,$0.51B,$0.16B,31.37%,$0.51B,0,0.00%,$0.51B,0,0.00%,$0.51B,$0.15B,30.00%,$0.51B,$0.10B,20.00%,$0.10B,$1.61B,7.49%,$0.10B,$0.96B,12.05%,$0.10B,$11.15B,1.02%,$0.16B,$1.70B,11.11%,$138,$4,$134,$0,$84,$90,$48,$0,$48,$16,$32,$32,$32,$0,$0,$29,29,$1.09,$1.08,$432,$0,$0,$8639,$202,$1359,$649,$267,$2516,$11154,$9366,$98,$85,$183,$9549,$73,$402,$-4,$1605,$11154,$50,$17,$7,$25,$-1,$0,$-0,$-4,$1,$75,$-6,$0,$72,$0,$250,$250,$-440,$-125,$-67,$19,$-48,$-2,$-2,$-19,$176,$107,$57,$3,$-19
6,2017-03-31,87.28,$54.05,1.61,$19.13,4.56,$12.28,7.1,$3.80,22.97,$8.58B,$9.39B,0.91,$0.11B,$1.58B,0.07,$0.49B,$0.48B,98.15%,$0.49B,$0.15B,30.60%,$0.49B,0,0.00%,$0.49B,0,0.00%,$0.49B,$0.14B,29.16%,$0.49B,$0.10B,19.51%,$0.10B,$1.58B,7.69%,$0.10B,$0.93B,12.06%,$0.10B,$11.15B,1.01%,$0.15B,$1.69B,11.42%,$137,$4,$134,$0,$106,$112,$25,$0,$25,$7,$18,$18,$18,$0,$0,$29,29,$0.63,$0.63,$663,$0,$0,$8579,$204,$1401,$651,$273,$2571,$11150,$9386,$108,$76,$184,$9570,$73,$380,$-5,$1580,$11150,$18,$9,$185,$194,$-163,$0,$-1,$-13,$-171,$41,$-4,$0,$72,$0,$208,$208,$-174,$101,$-57,$38,$-19,$-3,$-3,$-10,$178,$146,$289,$2,$-10
7,2016-12-31,85.06,$46.83,1.82,$19.13,4.45,$12.71,6.69,$4.18,20.35,$7.07B,$7.65B,0.92,$0.06B,$1.14B,0.05,$0.46B,$0.46B,98.28%,$0.46B,$0.16B,34.91%,$0.46B,0,0.00%,$0.46B,0,0.00%,$0.46B,$0.15B,33.19%,$0.46B,$0.10B,21.77%,$0.10B,$1.14B,9.09%,$0.10B,$0.76B,13.84%,$0.10B,$8.90B,1.15%,$0.16B,$1.19B,13.89%,$116,$2,$113,$0,$68,$72,$44,$-6,$38,$13,$24,$24,$24,$0,$0,$24,24,$1.01,$1.00,$374,$0,$0,$7068,$184,$1015,$378,$224,$1832,$8901,$7648,$55,$62,$118,$7766,$61,$371,$-8,$1135,$8901,$101,$31,$20,$51,$-11,$0,$-1,$-2,$-14,$138,$-26,$0,$0,$0,$-2,$-2,$-663,$-691,$-0,$26,$26,$-3,$-3,$-29,$238,$232,$-321,$6,$-29
8,2016-09-30,72.71,$46.43,1.57,$19.02,3.82,$15.16,4.8,$4.23,17.19,$7.05B,$7.55B,0.93,$0.06B,$1.12B,0.05,$0.46B,$0.45B,98.48%,$0.46B,$0.16B,35.36%,$0.46B,0,0.00%,$0.46B,0,0.00%,$0.46B,$0.15B,33.41%,$0.46B,$0.10B,22.34%,$0.10B,$1.12B,9.43%,$0.10B,$0.74B,14.52%,$0.10B,$8.80B,1.19%,$0.16B,$1.18B,14.20%,$119,$2,$117,$0,$72,$75,$43,$-1,$42,$14,$28,$28,$28,$0,$0,$24,24,$1.17,$1.16,$508,$0,$0,$7054,$179,$942,$380,$217,$1744,$8797,$7553,$55,$65,$120,$7673,$61,$354,$4,$1124,$8797,$77,$24,$16,$40,$-15,$0,$-1,$5,$-4,$113,$-18,$0,$0,$0,$92,$92,$-513,$-440,$-0,$17,$17,$-3,$-3,$-22,$147,$139,$-188,$5,$-22
9,2016-06-30,65.65,$45.64,1.44,$18.88,3.48,$16.97,3.87,$4.11,15.97,$6.91B,$7.51B,0.92,$0.06B,$1.10B,0.05,$0.46B,$0.45B,98.47%,$0.46B,$0.16B,34.79%,$0.46B,0,0.00%,$0.46B,0,0.00%,$0.46B,$0.15B,33.04%,$0.46B,$0.10B,21.88%,$0.10B,$1.10B,9.32%,$0.10B,$0.72B,14.52%,$0.10B,$8.72B,1.16%,$0.16B,$1.16B,14.09%,$115,$2,$114,$0,$75,$79,$37,$0,$37,$12,$25,$25,$25,$0,$0,$24,24,$1.02,$1.01,$482,$0,$0,$6911,$178,$1007,$382,$220,$1812,$8724,$7505,$55,$59,$115,$7620,$60,$334,$7,$1104,$8724,$49,$17,$12,$29,$-8,$0,$-1,$0,$-5,$73,$-12,$0,$0,$0,$32,$32,$-405,$-385,$-0,$53,$53,$-4,$-4,$-14,$64,$99,$-214,$3,$-14
