,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,72.46,$19.87,3.65,$22.75,3.18,$3.55,20.42,$2.70,26.84,$0.66B,$0.17B,3.95,$0.00B,$0.91B,0.0,$1.07B,$0.49B,45.56%,$1.07B,$0.18B,16.84%,$1.07B,$0.18B,16.84%,$1.07B,$0.22B,20.11%,$1.07B,$0.18B,16.74%,$1.07B,$0.13B,11.79%,$0.13B,$0.91B,14.07%,$0.13B,$0.75B,17.24%,$0.13B,$1.10B,11.83%,$0.18B,$0.91B,20.08%,$284,$150,$134,$10,$63,$223,$61,$-0,$61,$16,$44,$44,$44,$70,$61,$46,47,$0.96,$0.95,$167,$280,$21,$661,$258,$2,$162,$12,$434,$1095,$167,$0,$14,$14,$181,$0,$686,$-23,$913,$1095,$114,$29,$8,$37,$-59,$-29,$14,$4,$-43,$108,$-21,$0,$0,$0,$0,$0,$0,$-21,$-1,$0,$-1,$-49,$-49,$-30,$-5,$-84,$-2,$9,$-30
1,2018-06-30,61.98,$19.51,3.18,$22.16,2.8,$2.53,24.52,$2.34,26.49,$0.64B,$0.17B,3.81,$0.00B,$0.90B,0.0,$1.05B,$0.47B,45.08%,$1.05B,$0.17B,15.85%,$1.05B,$0.17B,15.85%,$1.05B,$0.20B,19.29%,$1.05B,$0.16B,15.57%,$1.05B,$0.11B,10.51%,$0.11B,$0.90B,12.28%,$0.11B,$0.74B,15.06%,$0.11B,$1.09B,10.40%,$0.17B,$0.91B,18.51%,$308,$167,$141,$11,$70,$247,$61,$-0,$61,$16,$44,$44,$44,$71,$61,$46,47,$0.95,$0.94,$155,$258,$16,$640,$269,$3,$163,$11,$446,$1086,$168,$2,$0,$14,$182,$0,$652,$-20,$904,$1086,$70,$20,$7,$27,$-77,$-8,$19,$4,$-41,$55,$-17,$0,$0,$0,$0,$0,$0,$-17,$-0,$0,$-0,$-25,$-25,$-20,$-5,$-50,$-13,$6,$-20
2,2018-03-31,57.18,$18.98,3.01,$21.05,2.72,$0.69,82.72,$1.99,28.73,$0.58B,$0.14B,4.07,$0.00B,$0.88B,0.0,$1.00B,$0.46B,45.41%,$1.00B,$0.15B,14.97%,$1.00B,$0.15B,14.97%,$1.00B,$0.18B,18.36%,$1.00B,$0.15B,14.67%,$1.00B,$0.09B,9.38%,$0.09B,$0.88B,10.51%,$0.09B,$0.71B,12.92%,$0.09B,$1.04B,8.98%,$0.15B,$0.88B,16.75%,$245,$136,$109,$11,$66,$212,$33,$-0,$33,$7,$25,$25,$25,$42,$33,$47,47,$0.55,$0.54,$137,$257,$22,$584,$276,$3,$166,$12,$457,$1040,$143,$2,$0,$18,$161,$0,$693,$-9,$879,$1040,$25,$10,$4,$13,$-31,$-3,$11,$6,$-22,$17,$-10,$0,$0,$0,$0,$0,$0,$-10,$-0,$0,$-0,$-24,$-24,$-10,$-5,$-39,$-31,$3,$-10
3,2017-12-31,56.8,$18.93,3.0,$20.43,2.78,$-0.46,0.0,$1.93,29.43,$0.58B,$0.14B,4.28,$0.00B,$0.89B,0.0,$0.98B,$0.45B,45.65%,$0.98B,$0.14B,14.33%,$0.98B,$0.14B,14.33%,$0.98B,$0.17B,17.71%,$0.98B,$0.15B,14.84%,$0.98B,$0.09B,9.42%,$0.09B,$0.89B,10.26%,$0.09B,$0.72B,12.61%,$0.09B,$1.04B,8.84%,$0.14B,$0.89B,15.59%,$232,$128,$103,$13,$66,$207,$25,$-1,$24,$11,$13,$13,$13,$32,$25,$47,48,$0.27,$0.28,$169,$253,$26,$584,$273,$3,$166,$12,$454,$1038,$136,$0,$16,$16,$153,$0,$677,$-12,$885,$1038,$93,$34,$15,$48,$-18,$-7,$1,$-2,$-22,$119,$-85,$0,$9,$0,$0,$0,$0,$-76,$-1,$0,$-1,$-63,$-63,$-37,$-6,$-107,$-58,$14,$-37
4,2017-09-30,48.31,$19.36,2.5,$19.73,2.45,$-0.07,0.0,$2.02,23.92,$0.62B,$0.14B,4.36,$0.00B,$0.92B,0.0,$0.95B,$0.44B,46.35%,$0.95B,$0.14B,14.92%,$0.95B,$0.14B,14.92%,$0.95B,$0.17B,18.41%,$0.95B,$0.15B,15.56%,$0.95B,$0.10B,10.16%,$0.10B,$0.92B,10.76%,$0.10B,$0.75B,13.16%,$0.10B,$1.07B,9.35%,$0.14B,$0.92B,15.79%,$262,$143,$119,$11,$61,$216,$47,$-2,$45,$17,$28,$28,$28,$57,$47,$47,48,$0.60,$0.59,$204,$244,$13,$621,$265,$3,$167,$12,$447,$1068,$143,$0,$10,$10,$152,$0,$684,$-13,$916,$1068,$80,$27,$8,$34,$-41,$2,$1,$0,$-29,$85,$-44,$0,$-18,$0,$0,$0,$0,$-63,$-0,$0,$-0,$-16,$-16,$-27,$-5,$-49,$-22,$12,$-27
5,2017-06-30,42.85,$19.03,2.25,$19.00,2.26,$-0.23,0.0,$2.05,20.9,$0.60B,$0.13B,4.44,$0.00B,$0.90B,0.0,$0.91B,$0.43B,47.26%,$0.91B,$0.14B,15.32%,$0.91B,$0.14B,15.32%,$0.91B,$0.17B,18.49%,$0.91B,$0.15B,16.19%,$0.91B,$0.10B,10.72%,$0.10B,$0.90B,11.16%,$0.10B,$0.73B,13.62%,$0.10B,$1.04B,9.74%,$0.14B,$0.90B,15.92%,$263,$139,$124,$12,$66,$218,$45,$-0,$45,$17,$28,$28,$28,$53,$45,$48,48,$0.59,$0.59,$141,$265,$18,$596,$261,$3,$168,$13,$445,$1041,$134,$1,$0,$8,$142,$0,$675,$-19,$899,$1041,$51,$16,$4,$20,$-52,$-16,$3,$-0,$-64,$8,$-56,$0,$0,$0,$0,$0,$0,$-56,$-0,$0,$-0,$-19,$-19,$-17,$-5,$-41,$-86,$11,$-17
6,2017-03-31,42.07,$18.61,2.26,$18.24,2.31,$0.90,46.88,$2.00,21.03,$0.59B,$0.12B,4.74,$0.00B,$0.89B,0.0,$0.88B,$0.42B,47.56%,$0.88B,$0.14B,15.44%,$0.88B,$0.14B,15.44%,$0.88B,$0.16B,18.62%,$0.88B,$0.14B,16.35%,$0.88B,$0.10B,10.90%,$0.10B,$0.89B,10.98%,$0.10B,$0.72B,13.33%,$0.10B,$1.02B,9.64%,$0.14B,$0.89B,15.55%,$220,$120,$100,$12,$66,$197,$23,$8,$31,$8,$23,$23,$23,$31,$23,$48,48,$0.49,$0.48,$167,$256,$14,$586,$250,$3,$167,$13,$433,$1018,$124,$2,$0,$8,$131,$0,$657,$-30,$887,$1018,$23,$8,$1,$9,$-30,$-10,$3,$-0,$-40,$-7,$-40,$0,$0,$0,$0,$0,$0,$-40,$0,$0,$0,$0,$0,$-9,$-5,$-13,$-59,$8,$-9
7,2016-12-31,42.54,$18.25,2.33,$17.77,2.39,$1.54,27.65,$1.86,22.87,$0.59B,$0.11B,5.38,$0.00B,$0.87B,0.0,$0.86B,$0.41B,47.85%,$0.86B,$0.14B,16.26%,$0.86B,$0.14B,16.26%,$0.86B,$0.17B,19.40%,$0.86B,$0.14B,16.14%,$0.86B,$0.09B,10.34%,$0.09B,$0.87B,10.25%,$0.09B,$0.72B,12.40%,$0.09B,$0.98B,9.05%,$0.14B,$0.87B,16.12%,$200,$105,$95,$12,$56,$174,$26,$-0,$26,$9,$17,$17,$17,$33,$26,$48,48,$0.37,$0.36,$227,$232,$14,$585,$233,$3,$147,$12,$395,$980,$109,$0,$0,$5,$114,$0,$642,$-33,$866,$980,$90,$28,$14,$42,$-8,$-37,$6,$-2,$-33,$99,$-46,$0,$0,$0,$-3,$-3,$0,$-49,$0,$0,$0,$-46,$-46,$-33,$-5,$-83,$-32,$14,$-33
8,2016-09-30,42.56,$18.11,2.35,$17.38,2.45,$2.07,20.6,$1.80,23.64,$0.59B,$0.12B,5.05,$0.00B,$0.86B,0.0,$0.85B,$0.40B,47.28%,$0.85B,$0.14B,16.08%,$0.85B,$0.14B,16.08%,$0.85B,$0.16B,19.15%,$0.85B,$0.14B,15.96%,$0.85B,$0.09B,10.28%,$0.09B,$0.86B,10.07%,$0.09B,$0.71B,12.20%,$0.09B,$0.98B,8.89%,$0.14B,$0.86B,15.74%,$231,$117,$113,$11,$57,$185,$46,$-0,$46,$16,$30,$30,$30,$52,$46,$48,48,$0.62,$0.62,$219,$220,$12,$593,$230,$0,$151,$10,$391,$984,$117,$0,$0,$6,$123,$0,$687,$-23,$861,$984,$72,$21,$10,$32,$-35,$-23,$3,$-3,$-37,$67,$-34,$0,$0,$0,$0,$0,$0,$-34,$0,$0,$0,$-47,$-47,$-24,$-5,$-76,$-40,$10,$-24
9,2016-06-30,38.53,$18.23,2.11,$17.00,2.27,$2.45,15.71,$1.62,23.78,$0.62B,$0.11B,5.53,$0.00B,$0.88B,0.0,$0.83B,$0.39B,46.57%,$0.83B,$0.13B,15.04%,$0.83B,$0.13B,15.04%,$0.83B,$0.15B,18.29%,$0.83B,$0.12B,14.92%,$0.83B,$0.08B,9.51%,$0.08B,$0.88B,9.19%,$0.08B,$0.73B,11.15%,$0.08B,$1.00B,8.12%,$0.13B,$0.88B,14.53%,$230,$118,$111,$11,$60,$189,$41,$-0,$41,$15,$26,$26,$26,$48,$41,$48,49,$0.54,$0.54,$246,$218,$11,$621,$219,$0,$150,$9,$379,$1000,$112,$0,$0,$5,$117,$0,$666,$-24,$882,$1000,$43,$15,$7,$22,$-39,$-22,$6,$-1,$-43,$22,$-16,$0,$0,$0,$0,$0,$0,$-16,$0,$0,$0,$-1,$-1,$-15,$-4,$-20,$-12,$6,$-15
