,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,23.11,$20.99,1.1,$12.44,1.86,$2.33,9.9,$-0.52,0.0,$0.65B,$0.16B,3.95,$0.02B,$1.13B,0.02,$0.67B,$0.33B,49.02%,$0.67B,$-0.01B,-1.50%,$0.67B,$-0.01B,-1.50%,$0.67B,$0.05B,7.97%,$0.67B,$-0.01B,-1.50%,$0.67B,$-0.03B,-4.21%,$-0.03B,$1.13B,-2.48%,$-0.03B,$0.63B,-4.57%,$-0.03B,$1.37B,-2.04%,$-0.01B,$1.15B,-0.87%,$162,$83,$79,$26,$50,$159,$3,$-0,$3,$0,$3,$3,$-1,$19,$3,$54,54,$-0.01,$-0.01,$352,$118,$42,$648,$191,$2,$504,$20,$718,$1366,$164,$23,$30,$73,$236,$0,$-1538,$-9,$1129,$1366,$-17,$46,$17,$63,$2,$-8,$0,$6,$-1,$45,$-15,$-1,$9,$0,$-13,$-13,$-0,$-20,$0,$-4,$-4,$2,$2,$0,$-2,$-3,$20,$12,$0
1,2018-06-30,19.14,$20.93,0.91,$12.36,1.55,$2.24,8.53,$-0.70,0.0,$0.62B,$0.17B,3.66,$0.03B,$1.12B,0.02,$0.66B,$0.32B,48.86%,$0.66B,$-0.02B,-3.03%,$0.66B,$-0.02B,-3.03%,$0.66B,$0.04B,6.68%,$0.66B,$-0.02B,-3.03%,$0.66B,$-0.04B,-5.61%,$-0.04B,$1.12B,-4.37%,$-0.04B,$0.61B,-8.11%,$-0.04B,$1.37B,-3.59%,$-0.02B,$1.15B,-2.31%,$170,$87,$84,$24,$62,$172,$-2,$-0,$-2,$0,$-2,$-2,$-4,$13,$-2,$54,54,$-0.08,$-0.08,$351,$117,$24,$623,$196,$3,$512,$35,$745,$1368,$170,$25,$30,$74,$244,$0,$-1537,$-9,$1124,$1368,$-17,$31,$17,$48,$9,$-4,$0,$-4,$9,$40,$-8,$-1,$0,$0,$-8,$-8,$-0,$-17,$-3,$0,$-3,$1,$1,$0,$-2,$-3,$18,$8,$0
2,2018-03-31,20.18,$21.01,0.96,$12.41,1.63,$2.12,9.5,$-0.73,0.0,$0.62B,$0.17B,3.65,$0.03B,$1.13B,0.02,$0.66B,$0.32B,48.71%,$0.66B,$-0.02B,-3.49%,$0.66B,$-0.02B,-3.49%,$0.66B,$0.04B,6.37%,$0.66B,$-0.02B,-3.49%,$0.66B,$-0.04B,-5.92%,$-0.04B,$1.13B,-4.60%,$-0.04B,$0.61B,-8.70%,$-0.04B,$1.38B,-3.78%,$-0.02B,$1.15B,-2.66%,$154,$78,$76,$25,$57,$160,$-6,$0,$-6,$1,$-7,$-7,$-13,$9,$-6,$54,54,$-0.24,$-0.24,$353,$120,$19,$620,$198,$3,$520,$34,$756,$1376,$170,$26,$31,$78,$247,$0,$-1533,$-5,$1128,$1376,$-13,$15,$7,$23,$14,$-4,$0,$6,$18,$27,$-4,$-0,$0,$0,$-5,$-5,$-0,$-9,$0,$-1,$-1,$1,$1,$0,$0,$-0,$18,$3,$0
3,2017-12-31,19.96,$21.12,0.95,$12.64,1.58,$2.06,9.69,$-0.75,0.0,$0.62B,$0.16B,3.77,$0.03B,$1.13B,0.02,$0.67B,$0.32B,48.20%,$0.67B,$-0.03B,-4.49%,$0.67B,$-0.03B,-4.49%,$0.67B,$0.04B,5.54%,$0.67B,$-0.03B,-4.34%,$0.67B,$-0.04B,-5.99%,$-0.04B,$1.13B,-4.72%,$-0.04B,$0.60B,-9.10%,$-0.04B,$1.38B,-3.88%,$-0.03B,$1.16B,-3.47%,$179,$92,$87,$27,$65,$184,$-5,$-1,$-5,$4,$-9,$-9,$-10,$12,$-5,$53,53,$-0.19,$-0.19,$336,$116,$23,$615,$200,$4,$529,$31,$765,$1380,$163,$27,$33,$84,$247,$0,$-1524,$-7,$1133,$1380,$-40,$67,$21,$88,$-8,$2,$0,$21,$14,$62,$-22,$-2,$0,$-0,$-4,$-4,$-0,$-28,$6,$0,$6,$6,$6,$0,$-1,$11,$48,$18,$0
4,2017-09-30,23.12,$0.00,0.0,$12.59,1.84,$1.63,14.17,$-0.86,0.0,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.66B,$0.32B,47.89%,$0.66B,$-0.06B,-8.28%,$0.66B,$-0.06B,-8.28%,$0.66B,$0.02B,2.71%,$0.66B,$-0.05B,-8.13%,$0.66B,$-0.05B,-6.78%,$-0.05B,$0.00B,-5.30%,$-0.05B,$0.00B,-10.41%,$-0.05B,$0.00B,-4.38%,$-0.06B,$0.00B,-6.36%,$156,$81,$75,$22,$60,$163,$-7,$-0,$-7,$3,$-10,$-10,$-10,$10,$-7,$53,53,$-0.19,$-0.19,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-30,$50,$6,$56,$3,$-6,$0,$15,$15,$41,$-16,$-1,$0,$0,$-3,$-3,$-0,$-20,$0,$-3,$-3,$3,$3,$0,$-1,$-2,$22,$14,$0
5,2017-06-30,23.31,$21.40,1.09,$12.65,1.84,$1.24,18.75,$-1.07,0.0,$0.58B,$0.17B,3.32,$0.02B,$1.13B,0.02,$0.67B,$0.32B,47.67%,$0.67B,$-0.07B,-10.08%,$0.67B,$-0.07B,-10.08%,$0.67B,$0.01B,1.80%,$0.67B,$-0.07B,-9.92%,$0.67B,$-0.06B,-8.42%,$-0.06B,$1.13B,-4.93%,$-0.06B,$0.58B,-9.82%,$-0.06B,$1.37B,-4.09%,$-0.07B,$1.15B,-5.82%,$170,$87,$83,$23,$65,$175,$-5,$0,$-5,$1,$-6,$-6,$-6,$11,$-5,$53,53,$-0.11,$-0.11,$315,$116,$18,$576,$208,$7,$547,$32,$795,$1371,$174,$20,$26,$67,$240,$0,$-1504,$-10,$1131,$1371,$-20,$33,$3,$36,$3,$1,$0,$12,$20,$36,$-11,$-1,$0,$0,$-3,$-3,$-0,$-15,$-2,$0,$-2,$2,$2,$0,$0,$0,$25,$9,$0
6,2017-03-31,20.49,$21.39,0.96,$12.71,1.61,$1.10,18.6,$-1.32,0.0,$0.57B,$0.18B,3.23,$0.02B,$1.13B,0.02,$0.67B,$0.31B,47.08%,$0.67B,$-0.08B,-11.99%,$0.67B,$-0.08B,-11.99%,$0.67B,$0.01B,1.05%,$0.67B,$-0.08B,-11.54%,$0.67B,$-0.07B,-10.19%,$-0.07B,$1.13B,-5.95%,$-0.07B,$0.57B,-12.09%,$-0.07B,$1.37B,-4.94%,$-0.08B,$1.15B,-6.94%,$163,$86,$77,$25,$65,$176,$-13,$0,$-12,$1,$-14,$-14,$-14,$4,$-13,$53,53,$-0.26,$-0.26,$308,$116,$19,$565,$207,$10,$555,$32,$803,$1368,$175,$21,$24,$65,$240,$0,$-1498,$-12,$1128,$1368,$-14,$17,$3,$19,$6,$1,$0,$9,$20,$26,$-6,$-1,$0,$0,$-3,$-3,$-0,$-9,$0,$-1,$-1,$1,$1,$0,$0,$-0,$17,$4,$0
7,2016-12-31,16.54,$21.58,0.77,$12.83,1.29,$1.20,13.84,$-1.50,0.0,$0.55B,$0.17B,3.36,$0.02B,$1.14B,0.02,$0.67B,$0.32B,47.32%,$0.67B,$-0.09B,-12.95%,$0.67B,$-0.09B,-12.95%,$0.67B,$0.01B,0.89%,$0.67B,$-0.09B,-12.80%,$0.67B,$-0.08B,-11.46%,$-0.08B,$1.14B,-6.67%,$-0.08B,$0.57B,-13.83%,$-0.08B,$1.37B,-5.55%,$-0.09B,$1.16B,-7.50%,$175,$92,$83,$24,$89,$205,$-30,$0,$-30,$-16,$-14,$-14,$-15,$-7,$-30,$52,53,$-0.29,$-0.28,$292,$118,$15,$553,$208,$12,$563,$29,$813,$1366,$165,$22,$22,$65,$230,$0,$-1484,$-13,$1136,$1366,$-78,$93,$38,$131,$2,$1,$0,$4,$9,$62,$-45,$-2,$0,$-67,$-23,$-90,$73,$-64,$26,$0,$26,$1,$1,$0,$-1,$26,$23,$21,$0
8,2016-09-30,24.09,$21.79,1.11,$12.86,1.87,$-1.18,0.0,$-5.66,0.0,$0.52B,$0.16B,3.17,$0.00B,$1.15B,0.0,$0.67B,$0.29B,42.99%,$0.67B,$-0.15B,-22.24%,$0.67B,$-0.15B,-22.24%,$0.67B,$-0.05B,-8.06%,$0.67B,$-0.25B,-36.57%,$0.67B,$-0.30B,-44.18%,$-0.30B,$1.15B,-25.35%,$-0.30B,$0.55B,-53.67%,$-0.30B,$1.37B,-21.16%,$-0.15B,$1.15B,-12.76%,$157,$83,$74,$24,$69,$177,$-19,$0,$-19,$2,$-21,$-21,$-21,$4,$-19,$52,52,$-0.40,$-0.40,$251,$127,$19,$515,$215,$15,$594,$30,$854,$1369,$163,$0,$35,$60,$222,$0,$-1469,$-11,$1146,$1369,$-63,$70,$9,$79,$15,$-5,$0,$12,$20,$36,$-32,$-1,$0,$1,$-23,$-22,$-0,$-55,$0,$0,$0,$1,$1,$0,$-1,$-1,$-18,$16,$0
9,2016-06-30,22.89,$22.20,1.03,$13.09,1.75,$-3.29,0.0,$-23.32,0.0,$0.53B,$0.17B,3.06,$0.00B,$1.16B,0.0,$0.68B,$0.13B,19.68%,$0.68B,$-0.37B,-54.19%,$0.68B,$-0.37B,-54.19%,$0.68B,$-0.27B,-39.50%,$0.68B,$-1.16B,-170.48%,$0.68B,$-1.18B,-172.69%,$-1.18B,$1.16B,-95.18%,$-1.18B,$0.55B,-206.23%,$-1.18B,$1.40B,-80.03%,$-0.37B,$1.16B,-29.87%,$172,$93,$80,$24,$73,$190,$-18,$2,$-16,$2,$-19,$-19,$-18,$6,$-18,$52,52,$-0.35,$-0.36,$266,$126,$21,$534,$209,$17,$609,$31,$866,$1400,$174,$0,$41,$66,$240,$0,$-1448,$-10,$1159,$1400,$-42,$47,$7,$54,$11,$-3,$0,$16,$27,$38,$-21,$-1,$0,$1,$-23,$-22,$-0,$-44,$0,$0,$0,$1,$1,$0,$0,$1,$-4,$11,$0
