,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,30.18,$17.12,1.76,$7.76,3.89,$3.34,9.05,$1.52,19.86,$3.84B,$4.19B,0.92,$0.03B,$0.66B,0.05,$0.30B,$0.27B,90.54%,$0.30B,$0.11B,36.82%,$0.30B,0,0.00%,$0.30B,0,0.00%,$0.30B,$0.09B,31.42%,$0.30B,$0.06B,19.59%,$0.06B,$0.66B,8.89%,$0.06B,$0.57B,10.47%,$0.06B,$4.92B,1.17%,$0.11B,$0.70B,16.17%,$76,$8,$68,$0,$37,$46,$31,$-11,$20,$2,$18,$18,$18,$0,$0,$38,38,$0.46,$0.46,$208,$0,$0,$3841,$56,$787,$97,$143,$1083,$4924,$4187,$34,$39,$73,$4260,$0,$257,$-12,$664,$4924,$54,$-14,$4,$-10,$17,$0,$0,$-9,$9,$53,$-5,$0,$0,$0,$105,$105,$-93,$8,$-0,$-1,$-2,$0,$0,$-23,$-58,$-84,$-23,$12,$-23
1,2018-06-30,33.4,$16.79,1.99,$7.28,4.59,$3.35,9.97,$1.43,23.36,$3.87B,$4.30B,0.9,$0.01B,$0.66B,0.02,$0.28B,$0.25B,91.70%,$0.28B,$0.10B,36.10%,$0.28B,0,0.00%,$0.28B,0,0.00%,$0.28B,$0.10B,34.30%,$0.28B,$0.05B,19.49%,$0.05B,$0.66B,8.34%,$0.05B,$0.56B,9.86%,$0.05B,$5.01B,1.08%,$0.10B,$0.67B,15.14%,$75,$8,$67,$0,$39,$47,$27,$-3,$25,$6,$19,$19,$18,$0,$0,$38,38,$0.48,$0.48,$238,$0,$0,$3865,$57,$854,$98,$138,$1147,$5012,$4303,$14,$39,$52,$4355,$0,$251,$-10,$657,$5012,$36,$-8,$-5,$-12,$-8,$0,$0,$-9,$-17,$7,$-6,$0,$0,$0,$42,$42,$-66,$-30,$0,$-1,$-1,$0,$0,$-16,$48,$31,$7,$2,$-16
2,2018-03-31,29.83,$16.58,1.8,$6.91,4.32,$4.18,7.13,$1.34,22.26,$3.72B,$4.19B,0.89,$0.02B,$0.65B,0.02,$0.26B,$0.24B,93.13%,$0.26B,$0.10B,36.64%,$0.26B,0,0.00%,$0.26B,0,0.00%,$0.26B,$0.09B,35.50%,$0.26B,$0.05B,19.47%,$0.05B,$0.65B,7.96%,$0.05B,$0.55B,9.40%,$0.05B,$4.89B,1.06%,$0.10B,$0.66B,14.31%,$71,$6,$65,$0,$41,$47,$24,$-1,$23,$5,$17,$17,$17,$0,$0,$38,38,$0.45,$0.44,$82,$0,$0,$3716,$52,$893,$99,$132,$1176,$4892,$4194,$15,$36,$51,$4246,$0,$240,$-8,$647,$4892,$17,$-3,$0,$-3,$-7,$0,$0,$-7,$-15,$-1,$-2,$0,$0,$0,$6,$6,$-84,$-80,$15,$-1,$14,$0,$0,$-8,$-74,$-69,$-149,$1,$-8
3,2017-12-31,29.46,$16.45,1.79,$6.54,4.51,$4.80,6.14,$1.20,24.55,$3.77B,$4.24B,0.89,$0.03B,$0.64B,0.04,$0.25B,$0.23B,93.55%,$0.25B,$0.09B,37.10%,$0.25B,0,0.00%,$0.25B,0,0.00%,$0.25B,$0.09B,35.48%,$0.25B,$0.05B,18.15%,$0.05B,$0.64B,7.09%,$0.05B,$0.54B,8.37%,$0.05B,$4.96B,0.97%,$0.09B,$0.67B,13.42%,$74,$6,$68,$0,$40,$47,$27,$-3,$25,$19,$5,$5,$5,$0,$0,$38,38,$0.14,$0.13,$231,$0,$0,$3771,$52,$907,$100,$130,$1188,$4959,$4243,$25,$48,$73,$4317,$0,$230,$-3,$642,$4959,$47,$-22,$15,$-7,$22,$0,$0,$9,$31,$70,$10,$0,$-138,$0,$77,$77,$30,$-21,$-47,$-1,$-49,$-0,$-0,$-22,$103,$32,$81,$4,$-22
4,2017-09-30,28.16,$16.48,1.71,$6.03,4.67,$3.34,8.44,$1.34,21.01,$3.88B,$4.27B,0.91,$0.00B,$0.64B,0.0,$0.23B,$0.21B,94.25%,$0.23B,$0.08B,37.17%,$0.23B,0,0.00%,$0.23B,0,0.00%,$0.23B,$0.08B,34.96%,$0.23B,$0.05B,22.12%,$0.05B,$0.64B,7.97%,$0.05B,$0.54B,9.39%,$0.05B,$5.15B,1.12%,$0.08B,$0.64B,12.28%,$57,$3,$54,$0,$31,$35,$22,$-0,$22,$8,$14,$14,$14,$0,$0,$38,38,$0.37,$0.37,$282,$0,$0,$3876,$52,$979,$100,$142,$1273,$5148,$4267,$0,$239,$239,$4506,$0,$230,$-0,$643,$5148,$41,$-15,$-2,$-17,$12,$0,$0,$2,$14,$38,$10,$0,$57,$0,$11,$11,$-21,$58,$-47,$-1,$-49,$-0,$-0,$-16,$101,$36,$133,$3,$-16
5,2017-06-30,26.52,$16.23,1.63,$5.92,4.48,$2.34,11.35,$1.31,20.24,$3.04B,$3.48B,0.87,$0.08B,$0.63B,0.13,$0.22B,$0.21B,94.52%,$0.22B,$0.08B,36.99%,$0.22B,0,0.00%,$0.22B,0,0.00%,$0.22B,$0.08B,34.70%,$0.22B,$0.05B,21.92%,$0.05B,$0.63B,7.91%,$0.05B,$0.54B,9.14%,$0.05B,$4.23B,1.18%,$0.08B,$0.71B,12.12%,$60,$3,$57,$0,$33,$37,$23,$-0,$23,$8,$15,$15,$15,$0,$0,$38,38,$0.39,$0.39,$138,$0,$0,$3040,$51,$911,$93,$139,$1194,$4234,$3478,$80,$43,$123,$3602,$0,$222,$-2,$632,$4234,$27,$-11,$-4,$-15,$11,$0,$0,$-0,$11,$23,$10,$0,$-34,$0,$2,$2,$-52,$-74,$33,$-1,$31,$0,$0,$-11,$19,$39,$-12,$2,$-11
6,2017-03-31,25.4,$15.96,1.59,$5.84,4.35,$1.35,18.84,$1.29,19.69,$2.95B,$3.44B,0.86,$0.10B,$0.62B,0.16,$0.21B,$0.20B,94.84%,$0.21B,$0.08B,37.56%,$0.21B,0,0.00%,$0.21B,0,0.00%,$0.21B,$0.07B,34.74%,$0.21B,$0.05B,22.07%,$0.05B,$0.62B,8.01%,$0.05B,$0.53B,9.10%,$0.05B,$4.20B,1.20%,$0.08B,$0.72B,12.42%,$57,$3,$53,$0,$33,$37,$20,$-2,$18,$6,$12,$12,$11,$0,$0,$38,38,$0.30,$0.30,$74,$0,$0,$2954,$52,$963,$93,$142,$1249,$4203,$3435,$100,$47,$147,$3582,$0,$212,$-3,$620,$4203,$12,$-5,$-2,$-6,$5,$0,$0,$3,$8,$13,$8,$0,$-34,$0,$-51,$-51,$-34,$-110,$53,$-1,$51,$0,$0,$-5,$-24,$22,$-75,$1,$-5
7,2016-12-31,25.99,$15.80,1.65,$5.68,4.58,$1.02,25.41,$1.28,20.3,$2.99B,$3.46B,0.86,$0.05B,$0.61B,0.08,$0.20B,$0.20B,95.59%,$0.20B,$0.08B,37.75%,$0.20B,0,0.00%,$0.20B,0,0.00%,$0.20B,$0.07B,35.78%,$0.20B,$0.05B,23.04%,$0.05B,$0.61B,8.27%,$0.05B,$0.52B,9.24%,$0.05B,$4.23B,1.26%,$0.08B,$0.66B,12.82%,$52,$3,$49,$0,$29,$32,$19,$-4,$16,$6,$10,$10,$10,$0,$0,$36,36,$0.28,$0.27,$150,$0,$0,$2990,$52,$914,$93,$176,$1235,$4225,$3459,$47,$105,$152,$3611,$0,$206,$-2,$614,$4225,$48,$-32,$-7,$-39,$25,$0,$0,$-14,$11,$20,$3,$0,$4,$0,$-13,$-13,$-193,$-199,$-1,$-0,$-2,$-5,$-5,$-21,$180,$153,$-26,$4,$-21
8,2016-09-30,21.95,$15.21,1.44,$5.65,3.88,$0.06,395.55,$1.33,16.51,$2.50B,$2.98B,0.84,$0.02B,$0.56B,0.04,$0.20B,$0.20B,96.06%,$0.20B,$0.08B,37.93%,$0.20B,0,0.00%,$0.20B,0,0.00%,$0.20B,$0.08B,37.44%,$0.20B,$0.05B,23.65%,$0.05B,$0.56B,8.74%,$0.05B,$0.51B,9.59%,$0.05B,$3.62B,1.35%,$0.08B,$0.58B,13.52%,$50,$3,$48,$0,$28,$31,$19,$-0,$19,$7,$12,$12,$12,$0,$0,$36,36,$0.34,$0.34,$114,$0,$0,$2497,$42,$890,$48,$140,$1120,$3616,$2979,$20,$55,$75,$3055,$0,$201,$3,$561,$3616,$37,$-25,$-21,$-45,$15,$0,$0,$1,$16,$8,$2,$0,$0,$0,$3,$3,$-158,$-153,$19,$-0,$18,$-5,$-5,$-16,$85,$83,$-62,$3,$-16
9,2016-06-30,19.46,$15.00,1.3,$5.59,3.48,$-0.36,0.0,$1.24,15.69,$2.47B,$2.92B,0.85,$0.06B,$0.55B,0.11,$0.20B,$0.19B,96.02%,$0.20B,$0.07B,36.32%,$0.20B,0,0.00%,$0.20B,0,0.00%,$0.20B,$0.07B,35.32%,$0.20B,$0.05B,22.39%,$0.05B,$0.55B,8.31%,$0.05B,$0.51B,9.10%,$0.05B,$3.59B,1.29%,$0.07B,$0.62B,13.10%,$54,$2,$52,$0,$30,$33,$22,$-0,$21,$7,$14,$14,$14,$0,$0,$36,36,$0.38,$0.38,$83,$0,$0,$2471,$42,$888,$49,$136,$1115,$3587,$2919,$62,$51,$113,$3033,$0,$193,$4,$553,$3587,$25,$-18,$-13,$-31,$-3,$0,$0,$4,$1,$-5,$1,$0,$0,$0,$7,$7,$-165,$-158,$61,$-0,$60,$-5,$-5,$-10,$25,$70,$-93,$2,$-10
