,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-04-30,1.95,$1.95,1.0,$8.72,0.22,$-0.19,0.0,$0.41,4.76,$0.27B,$0.29B,0.92,$0.39B,$0.12B,3.24,$0.54B,$0.07B,13.26%,$0.54B,$-0.02B,-2.76%,$0.54B,$-0.02B,-2.76%,$0.54B,$0.02B,3.13%,$0.54B,$-0.04B,-6.63%,$0.54B,$0.04B,7.37%,$0.04B,$0.12B,42.78%,$0.04B,$-0.34B,-29.25%,$0.04B,$0.84B,7.05%,$-0.02B,$0.50B,-4.52%,$189,$150,$39,$0,$30,$188,$1,$-11,$-10,$1,$-11,$-10,$-11,$17,$1,$60,60,$-0.18,$-0.18,$100,$46,$11,$270,$104,$0,$454,$15,$573,$843,$293,$385,$12,$431,$724,$1,$-7356,$7,$119,$843,$44,$27,$-80,$-52,$31,$16,$0,$-14,$14,$6,$7,$0,$-469,$14,$1,$14,$0,$-448,$393,$5,$397,$0,$35,$-1,$-1,$430,$-11,$10,$-1
1,2018-01-31,2.23,$2.23,1.0,$7.35,0.3,$-0.86,0.0,$0.50,4.46,$0.29B,$0.22B,1.32,$0.45B,$0.13B,3.34,$0.45B,$0.04B,9.29%,$0.45B,$-0.02B,-4.65%,$0.45B,$-0.02B,-4.65%,$0.45B,$-0.00B,-0.44%,$0.45B,$-0.03B,-6.64%,$0.45B,$0.05B,10.18%,$0.05B,$0.13B,56.79%,$0.05B,$-0.33B,-129.58%,$0.05B,$0.87B,10.68%,$-0.02B,$0.58B,-8.82%,$151,$134,$17,$0,$30,$156,$-5,$-8,$-13,$-78,$65,$65,$65,$5,$-5,$58,79,$1.11,$0.85,$106,$45,$13,$293,$105,$0,$466,$6,$577,$870,$222,$448,$31,$514,$736,$1,$-7339,$8,$134,$870,$60,$12,$-5,$7,$20,$18,$0,$-81,$-61,$5,$11,$0,$-469,$14,$0,$14,$0,$-444,$399,$-0,$399,$0,$35,$0,$-1,$433,$-4,$7,$0
2,2017-10-31,1.82,$1.05,1.73,$7.57,0.24,$-1.44,0.0,$-0.40,0.0,$0.26B,$0.15B,1.74,$0.06B,$0.06B,1.04,$0.42B,$0.04B,8.59%,$0.42B,$-0.02B,-4.30%,$0.42B,$-0.02B,-4.30%,$0.42B,$-0.01B,-1.19%,$0.42B,$-0.02B,-4.77%,$0.42B,$-0.02B,-5.25%,$-0.02B,$0.06B,-33.46%,$-0.02B,$0.06B,-33.46%,$-0.02B,$0.28B,-7.55%,$-0.02B,$0.12B,-14.37%,$103,$93,$9,$0,$13,$106,$-4,$-1,$-4,$1,$-5,$-5,$-5,$-1,$-4,$55,55,$-0.09,$-0.09,$120,$32,$12,$256,$15,$0,$0,$5,$20,$276,$147,$61,$10,$71,$218,$1,$-7404,$5,$58,$276,$-5,$3,$-1,$2,$-4,$3,$0,$-2,$-3,$-7,$2,$0,$0,$14,$0,$14,$0,$16,$-0,$0,$-0,$0,$0,$0,$0,$-0,$9,$0,$0
3,2017-07-31,1.68,$1.13,1.48,$7.92,0.21,$-1.93,0.0,$-0.47,0.0,$0.26B,$0.15B,1.73,$0.06B,$0.06B,0.95,$0.44B,$0.04B,8.24%,$0.44B,$-0.02B,-4.58%,$0.44B,$-0.02B,-4.58%,$0.44B,$-0.01B,-1.60%,$0.44B,$-0.02B,-5.49%,$0.44B,$-0.03B,-5.95%,$-0.03B,$0.06B,-36.88%,$-0.03B,$0.06B,-36.88%,$-0.03B,$0.28B,-8.43%,$-0.02B,$0.12B,-15.47%,$100,$92,$7,$0,$15,$107,$-7,$-2,$-9,$0,$-9,$-9,$-9,$-4,$-7,$55,55,$-0.17,$-0.17,$123,$34,$13,$258,$19,$0,$0,$5,$23,$281,$149,$60,$9,$69,$218,$1,$-7399,$4,$63,$281,$-26,$13,$-4,$9,$31,$7,$0,$1,$-8,$-24,$-5,$0,$0,$8,$1,$9,$1,$6,$-2,$0,$-2,$0,$0,$0,$0,$-2,$-20,$1,$0
4,2017-04-30,1.69,$1.24,1.36,$8.07,0.21,$-1.91,0.0,$-0.68,0.0,$0.27B,$0.16B,1.7,$0.06B,$0.07B,0.85,$0.44B,$0.04B,7.97%,$0.44B,$-0.03B,-6.38%,$0.44B,$-0.03B,-6.38%,$0.44B,$-0.01B,-3.19%,$0.44B,$-0.03B,-7.06%,$0.44B,$-0.04B,-8.43%,$-0.04B,$0.07B,-48.52%,$-0.04B,$0.07B,-48.52%,$-0.04B,$0.30B,-11.38%,$-0.03B,$0.13B,-20.86%,$98,$89,$9,$0,$14,$103,$-5,$1,$-4,$1,$-5,$-5,$-5,$-2,$-5,$55,55,$-0.09,$-0.09,$123,$35,$12,$272,$20,$0,$0,$5,$25,$296,$160,$59,$9,$68,$228,$1,$-7390,$1,$69,$296,$-17,$9,$-4,$5,$17,$5,$0,$-2,$-10,$-21,$-4,$0,$0,$8,$1,$9,$0,$5,$-0,$0,$-0,$-2,$-2,$0,$0,$-2,$-19,$1,$0
5,2017-01-31,1.75,$1.32,1.32,$8.14,0.21,$-1.97,0.0,$-0.84,0.0,$0.29B,$0.17B,1.66,$0.06B,$0.07B,0.78,$0.44B,$0.03B,6.41%,$0.44B,$-0.04B,-8.01%,$0.44B,$-0.04B,-8.01%,$0.44B,$-0.02B,-4.81%,$0.44B,$-0.04B,-8.92%,$0.44B,$-0.05B,-10.30%,$-0.05B,$0.07B,-52.94%,$-0.05B,$0.07B,-52.94%,$-0.05B,$0.31B,-12.84%,$-0.04B,$0.13B,-23.57%,$118,$106,$11,$0,$12,$119,$-2,$-1,$-3,$1,$-3,$-3,$-3,$2,$-2,$55,55,$-0.05,$-0.05,$125,$37,$11,$286,$21,$0,$0,$6,$27,$312,$172,$58,$9,$67,$239,$1,$-7385,$1,$73,$312,$-11,$6,$-1,$5,$5,$2,$0,$1,$-11,$-17,$-3,$0,$0,$6,$1,$7,$0,$3,$-2,$-0,$-2,$0,$0,$0,$0,$-2,$-16,$0,$0
6,2016-10-31,1.36,$1.39,0.98,$8.32,0.16,$-2.00,0.0,$-1.06,0.0,$0.32B,$0.20B,1.58,$0.06B,$0.08B,0.76,$0.44B,$0.02B,4.78%,$0.44B,$-0.05B,-10.25%,$0.44B,$-0.05B,-10.25%,$0.44B,$-0.03B,-7.06%,$0.44B,$-0.05B,-11.39%,$0.44B,$-0.06B,-12.76%,$-0.06B,$0.08B,-58.64%,$-0.06B,$0.08B,-58.64%,$-0.06B,$0.35B,-14.41%,$-0.05B,$0.14B,-27.36%,$121,$112,$9,$0,$14,$127,$-6,$-2,$-8,$1,$-9,$-9,$-9,$-3,$-6,$55,55,$-0.16,$-0.16,$120,$46,$16,$317,$22,$0,$0,$6,$28,$345,$201,$58,$9,$67,$268,$1,$-7382,$1,$77,$345,$-9,$3,$0,$3,$-18,$-7,$0,$0,$-25,$-30,$-2,$0,$0,$1,$1,$1,$0,$-0,$-0,$5,$5,$0,$0,$0,$0,$5,$-26,$0,$0
7,2016-07-31,1.28,$1.56,0.82,$8.84,0.14,$-1.50,0.0,$-1.19,0.0,$0.32B,$0.20B,1.64,$0.06B,$0.09B,0.67,$0.46B,$0.02B,5.23%,$0.46B,$-0.04B,-8.93%,$0.46B,$-0.04B,-8.93%,$0.46B,$-0.03B,-5.66%,$0.46B,$-0.06B,-12.20%,$0.46B,$-0.06B,-13.51%,$-0.06B,$0.09B,-57.14%,$-0.06B,$0.09B,-57.14%,$-0.06B,$0.35B,-14.52%,$-0.04B,$0.14B,-22.40%,$102,$95,$6,$0,$15,$116,$-15,$-1,$-16,$4,$-20,$-19,$-20,$-11,$-15,$52,52,$-0.37,$-0.37,$148,$40,$13,$320,$22,$0,$0,$6,$28,$348,$195,$57,$10,$67,$262,$1,$-7373,$2,$86,$348,$-61,$14,$5,$19,$19,$8,$0,$-3,$22,$-20,$-7,$0,$0,$58,$1,$59,$0,$52,$-20,$0,$-20,$-0,$-0,$0,$0,$-21,$11,$1,$0
8,2016-04-30,1.46,$1.98,0.74,$9.19,0.16,$-0.78,0.0,$-0.91,0.0,$0.36B,$0.20B,1.83,$0.08B,$0.10B,0.78,$0.48B,$0.03B,5.87%,$0.48B,$-0.04B,-7.34%,$0.48B,$-0.04B,-7.34%,$0.48B,$-0.02B,-4.19%,$0.48B,$-0.05B,-9.43%,$0.48B,$-0.05B,-9.85%,$-0.05B,$0.10B,-38.13%,$-0.05B,$0.10B,-38.13%,$-0.05B,$0.40B,-10.40%,$-0.04B,$0.19B,-17.26%,$96,$94,$2,$0,$14,$109,$-12,$0,$-12,$0,$-13,$-13,$-13,$-9,$-12,$52,52,$-0.25,$-0.25,$167,$41,$24,$364,$23,$0,$0,$10,$33,$397,$199,$81,$13,$94,$293,$1,$-7353,$4,$104,$397,$-42,$10,$7,$17,$10,$8,$0,$-5,$2,$-22,$-4,$0,$0,$57,$1,$58,$0,$53,$-1,$0,$-1,$-0,$-0,$0,$0,$-1,$30,$1,$0
9,2016-01-31,2.15,$2.18,0.99,$9.40,0.23,$0.59,3.65,$-0.89,0.0,$0.43B,$0.26B,1.69,$0.08B,$0.12B,0.7,$0.49B,$0.04B,7.19%,$0.49B,$-0.03B,-6.37%,$0.49B,$-0.03B,-6.37%,$0.49B,$-0.02B,-3.08%,$0.49B,$-0.04B,-9.03%,$0.49B,$-0.05B,-9.45%,$-0.05B,$0.12B,-34.01%,$-0.05B,$0.12B,-34.20%,$-0.05B,$0.47B,-9.76%,$-0.03B,$0.20B,-14.50%,$120,$116,$4,$0,$15,$132,$-12,$-2,$-14,$0,$-14,$-14,$-14,$-8,$-12,$52,52,$-0.27,$-0.27,$169,$48,$32,$434,$21,$0,$0,$9,$31,$465,$258,$80,$13,$93,$350,$1,$-7341,$2,$115,$465,$-29,$7,$9,$16,$-34,$-1,$0,$-17,$-6,$-19,$-2,$0,$0,$44,$0,$44,$0,$42,$-0,$0,$-0,$-0,$-0,$0,$0,$-0,$22,$1,$0
