,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,3.53,$0.31,11.29,$3.01,1.17,$0.07,50.36,$0.01,353.0,$0.01B,$0.02B,0.58,$0.01B,$0.01B,0.89,$0.08B,$0.02B,23.17%,$0.08B,$0.00B,1.22%,$0.08B,$0.00B,1.22%,$0.08B,$0.00B,4.88%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.02B,6.06%,$20,$16,$4,$0,$2,$20,$0,$-0,$0,$0,$-0,$-0,$-0,$1,$0,$28,28,$-0.01,$-0.01,$1,$1,$2,$10,$38,$5,$0,$1,$44,$54,$17,$8,$18,$28,$45,$0,$-32,$-2,$9,$54,$0,$3,$1,$4,$-1,$0,$0,$-0,$-1,$3,$-3,$0,$0,$0,$0,$0,$1,$-3,$-2,$0,$-2,$1,$1,$0,$0,$-1,$-1,$1,$0
1,2018-06-30,2.43,$0.28,8.7,$3.00,0.81,$0.16,15.02,$-0.04,0.0,$0.01B,$0.02B,0.56,$0.01B,$0.01B,1.13,$0.08B,$0.02B,22.50%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.08B,$0.00B,3.75%,$0.08B,$-0.00B,-1.25%,$0.08B,$-0.00B,-1.25%,$-0.00B,$0.01B,-15.38%,$-0.00B,$0.01B,-15.38%,$-0.00B,$0.05B,-1.90%,$0.00B,$0.02B,0.00%,$20,$15,$5,$0,$3,$20,$1,$-0,$0,$0,$0,$0,$0,$2,$1,$27,28,$0.01,$0.01,$1,$1,$1,$9,$38,$5,$0,$0,$43,$52,$16,$9,$18,$28,$45,$0,$-32,$-1,$8,$52,$0,$2,$1,$3,$0,$0,$-0,$-1,$-1,$2,$-2,$0,$0,$0,$0,$0,$1,$-1,$-2,$0,$-2,$0,$0,$0,$0,$-2,$-1,$1,$0
2,2018-03-31,2.75,$0.25,10.92,$3.06,0.9,$0.18,15.07,$-0.14,0.0,$0.01B,$0.02B,0.59,$0.01B,$0.01B,1.37,$0.08B,$0.02B,21.25%,$0.08B,$-0.00B,-3.75%,$0.08B,$-0.00B,-3.75%,$0.08B,0,0.00%,$0.08B,$-0.00B,-3.75%,$0.08B,$-0.00B,-3.75%,$-0.00B,$0.01B,-52.17%,$-0.00B,$0.01B,-52.17%,$-0.00B,$0.05B,-5.63%,$-0.00B,$0.02B,-18.46%,$20,$15,$4,$0,$3,$19,$0,$-0,$0,$0,$0,$0,$0,$1,$0,$27,27,$0.01,$0.01,$1,$1,$2,$9,$37,$5,$0,$0,$42,$52,$16,$9,$18,$29,$45,$0,$-32,$-2,$7,$52,$0,$1,$0,$1,$0,$0,$-0,$-0,$-1,$0,$-0,$0,$0,$0,$0,$0,$1,$0,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-0,$0,$0
3,2017-12-31,2.39,$0.24,9.9,$3.16,0.76,$0.17,14.29,$-0.17,0.0,$0.01B,$0.02B,0.58,$0.01B,$0.01B,1.54,$0.08B,$0.02B,21.25%,$0.08B,$-0.00B,-3.75%,$0.08B,$-0.00B,-3.75%,$0.08B,0,0.00%,$0.08B,$-0.00B,-5.00%,$0.08B,$-0.00B,-3.75%,$-0.00B,$0.01B,-52.17%,$-0.00B,$0.01B,-52.17%,$-0.00B,$0.05B,-5.56%,$-0.00B,$0.02B,-17.65%,$22,$16,$6,$0,$3,$22,$-0,$-0,$-0,$0,$-1,$-1,$-0,$0,$-0,$25,25,$-0.01,$-0.01,$2,$1,$1,$10,$38,$5,$0,$0,$43,$53,$17,$10,$18,$30,$46,$0,$-32,$-2,$7,$53,$-4,$3,$2,$5,$-1,$-0,$2,$2,$5,$6,$-5,$0,$0,$0,$0,$0,$0,$-4,$-3,$0,$-3,$3,$3,$0,$-0,$-1,$1,$1,$0
4,2017-09-30,1.68,$0.16,10.32,$3.13,0.54,$-0.23,0.0,$-0.80,0.0,$0.01B,$0.02B,0.51,$0.01B,$0.00B,2.66,$0.08B,$0.03B,39.74%,$0.08B,$-0.01B,-6.41%,$0.08B,$-0.01B,-6.41%,$0.08B,$-0.00B,-2.56%,$0.08B,$-0.01B,-7.69%,$0.08B,$-0.02B,-24.36%,$-0.02B,$0.00B,-330.43%,$-0.02B,$0.00B,-330.43%,$-0.02B,$0.05B,-35.35%,$-0.01B,$0.02B,-28.17%,$18,$14,$3,$0,$2,$18,$-1,$-0,$-1,$0,$-1,$-1,$-1,$0,$-1,$25,25,$-0.05,$-0.05,$2,$1,$2,$10,$38,$5,$0,$0,$44,$54,$19,$11,$18,$31,$50,$0,$-32,$-1,$4,$54,$-4,$3,$1,$4,$-0,$0,$3,$1,$6,$7,$-4,$0,$0,$0,$0,$0,$0,$-4,$-2,$0,$-2,$0,$0,$0,$-0,$-2,$0,$1,$0
5,2017-06-30,2.17,$0.21,10.52,$3.16,0.69,$-0.52,0.0,$-0.69,0.0,$0.01B,$0.02B,0.53,$0.01B,$0.01B,2.24,$0.08B,$0.05B,58.97%,$0.08B,$-0.01B,-7.69%,$0.08B,$-0.01B,-7.69%,$0.08B,$-0.00B,-5.13%,$0.08B,$-0.01B,-8.97%,$0.08B,$-0.02B,-21.79%,$-0.02B,$0.01B,-158.14%,$-0.02B,$0.01B,-158.14%,$-0.02B,$0.05B,-29.82%,$-0.01B,$0.02B,-26.09%,$20,$16,$4,$0,$3,$22,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-1,$-2,$25,25,$-0.09,$-0.09,$2,$1,$2,$9,$39,$5,$0,$1,$45,$54,$18,$12,$18,$31,$49,$0,$-30,$-1,$5,$54,$-3,$2,$2,$3,$0,$-0,$2,$1,$4,$5,$-4,$0,$0,$0,$0,$0,$0,$-4,$-1,$0,$-1,$0,$0,$0,$-0,$-1,$-0,$1,$0
6,2017-03-31,1.9,$0.27,6.94,$3.05,0.62,$-0.67,0.0,$-0.66,0.0,$0.01B,$0.02B,0.69,$0.01B,$0.01B,1.81,$0.08B,$0.06B,78.67%,$0.08B,$-0.01B,-6.67%,$0.08B,$-0.01B,-6.67%,$0.08B,$-0.00B,-4.00%,$0.08B,$-0.01B,-8.00%,$0.08B,$-0.02B,-22.67%,$-0.02B,$0.01B,-113.33%,$-0.02B,$0.01B,-113.33%,$-0.02B,$0.06B,-28.94%,$-0.01B,$0.02B,-18.87%,$20,$16,$4,$0,$3,$21,$-0,$-0,$-1,$-0,$-0,$-0,$-0,$1,$-0,$25,25,$-0.02,$-0.02,$2,$1,$2,$12,$37,$5,$0,$1,$43,$55,$17,$12,$17,$31,$48,$0,$-28,$-2,$7,$55,$-1,$1,$0,$1,$-0,$-0,$2,$-0,$0,$1,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$0,$0
7,2016-12-31,2.22,$0.29,7.54,$2.89,0.77,$-0.81,0.0,$-0.66,0.0,$0.01B,$0.01B,0.71,$0.01B,$0.01B,1.78,$0.07B,$0.07B,100.00%,$0.07B,$-0.01B,-7.04%,$0.07B,$-0.01B,-7.04%,$0.07B,$-0.00B,-5.63%,$0.07B,$-0.01B,-8.45%,$0.07B,$-0.02B,-23.94%,$-0.02B,$0.01B,-89.47%,$-0.02B,$0.01B,-89.47%,$-0.02B,$0.05B,-28.45%,$-0.01B,$0.02B,-16.81%,$20,$0,$20,$0,$3,$23,$-2,$0,$-2,$14,$-16,$-16,$-16,$-2,$-2,$25,25,$-0.64,$-0.64,$1,$1,$2,$9,$37,$5,$0,$1,$43,$52,$13,$13,$17,$32,$45,$0,$-28,$-2,$7,$52,$-16,$3,$12,$15,$-1,$-0,$1,$3,$4,$2,$-11,$0,$0,$0,$1,$1,$0,$-10,$4,$0,$4,$4,$4,$0,$1,$8,$0,$1,$0
8,2016-09-30,2.5,$0.96,2.61,$2.82,0.89,$-0.93,0.0,$0.05,49.99,$0.01B,$0.01B,0.81,$0.01B,$0.02B,0.5,$0.07B,$0.07B,100.00%,$0.07B,$-0.01B,-11.43%,$0.07B,$-0.01B,-11.43%,$0.07B,$-0.01B,-8.57%,$0.07B,$-0.01B,-8.57%,$0.07B,$0.00B,1.43%,$0.00B,$0.02B,4.49%,$0.00B,$0.02B,4.49%,$0.00B,$0.07B,1.65%,$-0.01B,$0.04B,-24.81%,$18,$0,$18,$0,$3,$21,$-2,$0,$-2,$-4,$2,$2,$1,$-2,$-2,$25,25,$0.06,$0.06,$2,$1,$2,$11,$36,$6,$0,$1,$56,$67,$13,$12,$16,$30,$43,$0,$-12,$-1,$24,$67,$-0,$2,$-1,$1,$-0,$-0,$1,$2,$3,$4,$-9,$0,$0,$0,$0,$0,$0,$-9,$2,$-1,$1,$4,$4,$0,$-0,$5,$-0,$1,$0
9,2016-06-30,2.61,$0.88,2.98,$2.69,0.97,$-1.13,0.0,$-0.09,0.0,$0.01B,$0.01B,0.88,$0.01B,$0.02B,0.44,$0.07B,$0.07B,100.00%,$0.07B,$-0.01B,-11.94%,$0.07B,$-0.01B,-11.94%,$0.07B,$-0.01B,-8.96%,$0.07B,$-0.01B,-7.46%,$0.07B,$-0.00B,-2.99%,$-0.00B,$0.02B,-9.64%,$-0.00B,$0.02B,-9.64%,$-0.00B,$0.06B,-3.51%,$-0.01B,$0.03B,-26.67%,$17,$0,$17,$0,$3,$18,$-1,$0,$-1,$1,$-1,$-1,$-2,$-0,$-1,$25,25,$-0.06,$-0.06,$2,$1,$3,$11,$33,$6,$0,$1,$50,$61,$13,$10,$15,$26,$39,$0,$-13,$-0,$22,$61,$-2,$1,$1,$2,$-0,$0,$1,$2,$3,$3,$-6,$0,$0,$0,$0,$0,$0,$-6,$-0,$-0,$-1,$4,$4,$0,$-0,$3,$1,$0,$0
