,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,36.3,$15.52,2.34,$7.38,4.92,$5.79,6.27,$1.99,18.24,$2.64B,$2.88B,0.92,$0.05B,$0.35B,0.14,$0.17B,$0.16B,92.90%,$0.17B,$0.06B,35.50%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.17B,$0.06B,35.50%,$0.17B,$0.05B,27.22%,$0.05B,$0.35B,13.42%,$0.05B,$0.35B,13.42%,$0.05B,$3.33B,1.40%,$0.06B,$0.40B,15.34%,$44,$5,$40,$0,$23,$27,$17,$0,$17,$4,$14,$14,$14,$0,$0,$23,23,$0.61,$0.60,$120,$0,$0,$2641,$44,$560,$0,$79,$684,$3325,$2884,$49,$39,$88,$2972,$37,$289,$-9,$353,$3325,$41,$4,$4,$8,$0,$0,$0,$-3,$-3,$46,$-5,$0,$0,$0,$12,$12,$-126,$-118,$-1,$53,$52,$-2,$-2,$-16,$20,$54,$-19,$3,$-16
1,2018-06-30,38.15,$15.19,2.51,$7.15,5.34,$6.09,6.27,$1.90,20.08,$2.62B,$2.89B,0.91,$0.05B,$0.35B,0.14,$0.16B,$0.15B,93.90%,$0.16B,$0.06B,35.98%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,35.98%,$0.16B,$0.04B,26.83%,$0.04B,$0.35B,13.02%,$0.04B,$0.35B,13.02%,$0.04B,$3.32B,1.35%,$0.06B,$0.39B,15.25%,$43,$3,$40,$0,$23,$27,$17,$0,$17,$3,$14,$14,$14,$0,$0,$23,23,$0.60,$0.59,$55,$0,$0,$2619,$42,$585,$0,$78,$705,$3324,$2886,$49,$43,$92,$2978,$37,$281,$-7,$346,$3324,$27,$3,$3,$6,$1,$0,$0,$-0,$1,$34,$-2,$0,$0,$0,$-10,$-10,$-168,$-180,$-1,$113,$113,$-2,$-2,$-10,$-38,$62,$-84,$2,$-10
2,2018-03-31,34.9,$14.86,2.35,$6.94,5.03,$5.98,5.83,$1.77,19.72,$2.56B,$2.86B,0.9,$0.05B,$0.34B,0.15,$0.16B,$0.15B,94.38%,$0.16B,$0.06B,35.63%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,35.63%,$0.16B,$0.04B,25.63%,$0.04B,$0.34B,12.30%,$0.04B,$0.34B,12.30%,$0.04B,$3.29B,1.28%,$0.06B,$0.39B,14.89%,$41,$2,$38,$0,$22,$24,$16,$0,$16,$3,$13,$13,$13,$0,$0,$23,23,$0.59,$0.58,$57,$0,$0,$2557,$42,$607,$0,$80,$728,$3285,$2857,$49,$42,$91,$2948,$37,$274,$-6,$338,$3285,$13,$1,$1,$3,$-1,$0,$0,$-4,$-5,$11,$-1,$0,$0,$0,$-30,$-30,$-102,$-133,$-0,$51,$51,$-2,$-2,$-5,$-5,$39,$-82,$1,$-5
3,2017-12-31,37.24,$14.71,2.53,$6.79,5.49,$6.21,6.0,$1.66,22.44,$2.54B,$2.81B,0.9,$0.05B,$0.33B,0.15,$0.16B,$0.15B,95.51%,$0.16B,$0.06B,35.26%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,35.26%,$0.16B,$0.04B,25.00%,$0.04B,$0.33B,11.86%,$0.04B,$0.33B,11.86%,$0.04B,$3.24B,1.24%,$0.06B,$0.38B,14.53%,$41,$2,$39,$0,$23,$31,$10,$0,$10,$6,$5,$5,$5,$0,$0,$23,23,$0.22,$0.22,$139,$0,$0,$2535,$42,$582,$0,$81,$704,$3240,$2810,$49,$46,$96,$2906,$36,$267,$-2,$334,$3240,$38,$14,$7,$21,$0,$0,$0,$-5,$-5,$54,$-3,$0,$0,$1,$-10,$-9,$-102,$-115,$-2,$117,$115,$-3,$-3,$-18,$58,$152,$91,$3,$-18
4,2017-09-30,37.34,$14.75,2.53,$6.65,5.61,$6.50,5.75,$1.90,19.65,$2.45B,$2.72B,0.9,$0.05B,$0.33B,0.15,$0.15B,$0.15B,95.42%,$0.15B,$0.06B,39.22%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.06B,39.22%,$0.15B,$0.05B,29.41%,$0.05B,$0.33B,13.90%,$0.05B,$0.33B,13.90%,$0.05B,$3.16B,1.46%,$0.06B,$0.38B,16.04%,$39,$2,$37,$0,$21,$23,$16,$0,$16,$4,$12,$12,$12,$0,$0,$23,23,$0.52,$0.51,$129,$0,$0,$2453,$41,$579,$0,$82,$703,$3156,$2716,$50,$56,$106,$2822,$36,$268,$-1,$334,$3156,$33,$7,$-1,$6,$-2,$0,$0,$12,$10,$50,$-2,$0,$0,$0,$-3,$-3,$-27,$-32,$-1,$119,$118,$-2,$-2,$-13,$-39,$64,$81,$2,$-13
5,2017-06-30,37.99,$14.41,2.64,$6.59,5.77,$6.32,6.01,$1.85,20.53,$2.42B,$2.71B,0.89,$0.05B,$0.33B,0.15,$0.15B,$0.15B,96.03%,$0.15B,$0.06B,38.41%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.06B,38.41%,$0.15B,$0.04B,28.48%,$0.04B,$0.33B,13.51%,$0.04B,$0.33B,13.51%,$0.04B,$3.13B,1.42%,$0.06B,$0.38B,15.73%,$39,$2,$37,$0,$21,$24,$15,$0,$15,$4,$11,$11,$11,$0,$0,$23,23,$0.47,$0.46,$125,$0,$0,$2420,$41,$584,$0,$82,$707,$3127,$2705,$50,$45,$95,$2800,$36,$261,$-1,$327,$3127,$21,$4,$1,$5,$0,$0,$0,$3,$3,$29,$-1,$0,$0,$0,$-8,$-8,$-2,$-10,$-1,$112,$111,$-2,$-2,$-9,$-42,$58,$77,$1,$-9
6,2017-03-31,39.48,$14.11,2.8,$6.49,6.08,$6.37,6.2,$1.84,21.46,$2.35B,$2.62B,0.9,$0.05B,$0.32B,0.16,$0.15B,$0.14B,96.62%,$0.15B,$0.06B,38.51%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.06B,38.51%,$0.15B,$0.04B,28.38%,$0.04B,$0.32B,13.43%,$0.04B,$0.32B,13.43%,$0.04B,$3.03B,1.41%,$0.06B,$0.37B,15.77%,$37,$1,$36,$0,$21,$23,$14,$0,$14,$3,$11,$11,$11,$0,$0,$22,23,$0.48,$0.47,$89,$0,$0,$2349,$42,$562,$0,$80,$684,$3033,$2621,$51,$42,$93,$2714,$36,$255,$-1,$320,$3033,$11,$2,$0,$3,$-1,$0,$0,$3,$2,$16,$-0,$0,$0,$0,$14,$14,$33,$47,$-0,$-38,$-39,$-2,$-2,$-4,$24,$-21,$42,$1,$-4
7,2016-12-31,45.4,$13.88,3.27,$6.41,7.08,$6.43,7.06,$1.80,25.18,$2.34B,$2.64B,0.89,$0.05B,$0.31B,0.16,$0.15B,$0.14B,96.58%,$0.15B,$0.06B,39.04%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.06B,39.04%,$0.15B,$0.04B,28.08%,$0.04B,$0.31B,13.37%,$0.04B,$0.31B,13.37%,$0.04B,$3.04B,1.40%,$0.06B,$0.37B,16.10%,$38,$1,$36,$0,$20,$23,$15,$0,$15,$4,$11,$11,$11,$0,$0,$22,23,$0.48,$0.45,$48,$0,$0,$2339,$42,$576,$0,$81,$700,$3039,$2636,$51,$39,$90,$2726,$36,$252,$-1,$314,$3039,$41,$11,$2,$14,$4,$0,$0,$5,$9,$63,$-6,$0,$0,$0,$-9,$-9,$-274,$-290,$8,$28,$36,$0,$0,$-16,$151,$170,$-56,$2,$-16
8,2016-09-30,31.74,$13.81,2.3,$6.28,5.06,$5.70,5.57,$1.77,17.93,$2.27B,$2.53B,0.9,$0.05B,$0.31B,0.17,$0.14B,$0.14B,97.18%,$0.14B,$0.06B,40.14%,$0.14B,0,0.00%,$0.14B,0,0.00%,$0.14B,$0.06B,39.44%,$0.14B,$0.04B,28.17%,$0.04B,$0.31B,13.33%,$0.04B,$0.31B,13.33%,$0.04B,$2.94B,1.39%,$0.06B,$0.36B,16.51%,$37,$1,$36,$0,$21,$23,$14,$0,$14,$4,$10,$10,$10,$0,$0,$22,23,$0.47,$0.46,$58,$0,$0,$2269,$43,$548,$0,$79,$670,$2939,$2534,$51,$41,$93,$2627,$36,$247,$4,$312,$2939,$30,$8,$2,$10,$1,$0,$0,$8,$9,$49,$-6,$0,$0,$0,$28,$28,$-190,$-168,$8,$57,$65,$0,$0,$-12,$20,$73,$-46,$2,$-12
9,2016-06-30,27.03,$13.55,1.99,$6.12,4.42,$5.18,5.22,$1.72,15.69,$2.22B,$2.52B,0.88,$0.04B,$0.31B,0.14,$0.14B,$0.13B,97.10%,$0.14B,$0.06B,41.30%,$0.14B,0,0.00%,$0.14B,0,0.00%,$0.14B,$0.06B,40.58%,$0.14B,$0.04B,28.26%,$0.04B,$0.31B,13.34%,$0.04B,$0.31B,13.34%,$0.04B,$2.91B,1.40%,$0.06B,$0.35B,16.98%,$36,$1,$35,$0,$20,$22,$14,$0,$14,$4,$10,$10,$10,$0,$0,$22,23,$0.45,$0.45,$50,$0,$0,$2216,$43,$574,$0,$77,$694,$2910,$2522,$43,$40,$83,$2604,$36,$242,$5,$305,$2910,$20,$5,$1,$7,$0,$0,$0,$7,$7,$34,$-5,$0,$0,$0,$5,$5,$-143,$-143,$-0,$85,$84,$-0,$-0,$-8,$-21,$55,$-54,$1,$-8
