,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.99,$2.17,0.92,$1.34,1.48,$0.53,3.76,$0.14,14.21,$0.01B,$0.00B,8.93,$0.00B,$0.01B,0.0,$0.01B,$0.00B,50.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$2,$1,$1,$0,$1,$2,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$6,6,$0.05,$0.05,$4,$5,$0,$9,$4,$0,$0,$0,$4,$13,$1,$0,$0,$0,$1,$0,$1,$0,$12,$13,$1,$0,$0,$0,$0,$0,$-0,$0,$0,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$0,$-1,$0,$0,$-0,$0,$-1,$1,$0,$-0
1,2018-06-30,1.67,$2.16,0.77,$1.30,1.29,$0.31,5.37,$0.13,12.85,$0.01B,$0.00B,7.28,$0.00B,$0.01B,0.0,$0.01B,$0.00B,50.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$2,$1,$1,$0,$1,$2,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$6,6,$0.07,$0.07,$3,$5,$0,$9,$4,$0,$0,$0,$4,$13,$1,$0,$0,$0,$1,$0,$1,$0,$12,$13,$0,$0,$0,$0,$-0,$0,$0,$-0,$0,$1,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$-1,$0,$0,$-0,$0,$-1,$0,$0,$-0
2,2018-03-31,1.48,$2.11,0.7,$1.22,1.21,$0.18,8.19,$0.10,14.76,$0.01B,$0.00B,12.5,$0.00B,$0.01B,0.04,$0.01B,$0.00B,50.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$2,$1,$1,$0,$1,$2,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$6,6,$0.01,$0.01,$4,$4,$0,$9,$4,$0,$0,$0,$4,$13,$1,$1,$0,$1,$1,$0,$1,$0,$12,$13,$0,$0,$0,$0,$0,$1,$-0,$-0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-0,$0,$-0,$0,$0,$-0
3,2017-12-31,1.61,$2.13,0.76,$1.32,1.22,$0.02,67.38,$0.14,11.5,$0.01B,$0.00B,7.71,$0.00B,$0.01B,0.04,$0.01B,$0.00B,50.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.01B,0.00%,$2,$1,$1,$0,$1,$2,$0,$-0,$-0,$0,$-0,$-0,$-0,$0,$0,$6,6,$0.00,$-0.01,$3,$5,$0,$9,$4,$0,$0,$0,$4,$14,$1,$1,$0,$1,$2,$0,$1,$0,$12,$14,$1,$0,$1,$1,$-1,$-0,$-0,$-0,$-1,$0,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$-1,$0,$-1,$0,$0,$-1,$0,$-1,$-1,$0,$-1
4,2017-09-30,1.48,$2.15,0.69,$1.29,1.15,$0.19,7.87,$-0.44,0.0,$0.01B,$0.00B,4.97,$0.00B,$0.01B,0.04,$0.01B,0,0.00%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$-0.00B,$0.01B,-25.00%,$-0.00B,$0.01B,-25.00%,$-0.00B,$0.01B,-21.43%,$-0.00B,$0.01B,-24.00%,$2,$1,$1,$0,$1,$1,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$6,6,$0.04,$0.04,$4,$6,$0,$10,$4,$0,$0,$0,$4,$14,$2,$1,$0,$1,$3,$0,$1,$0,$12,$14,$1,$0,$0,$0,$-1,$-0,$0,$-0,$-1,$0,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$0,$-0,$0,$-0,$-0,$0,$-0
5,2017-06-30,1.51,$2.14,0.7,$1.27,1.19,$0.29,5.21,$-0.47,0.0,$0.01B,$0.00B,5.15,$0.00B,$0.01B,0.04,$0.01B,0,0.00%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$-0.00B,$0.01B,-23.53%,$-0.00B,$0.01B,-23.53%,$-0.00B,$0.01B,-20.34%,$-0.00B,$0.01B,-22.22%,$2,$1,$1,$0,$1,$2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$6,6,$0.04,$0.04,$4,$5,$0,$10,$4,$0,$0,$0,$4,$14,$2,$1,$0,$1,$2,$0,$1,$0,$12,$14,$1,$0,$0,$0,$-1,$-0,$0,$-0,$-1,$0,$-0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$0,$-0,$0,$-0,$-0,$0,$-0
6,2017-03-31,1.08,$2.14,0.51,$1.29,0.84,$0.33,3.26,$-0.50,0.0,$0.01B,$0.00B,6.48,$0.00B,$0.01B,0.09,$0.01B,0,0.00%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$-0.00B,$0.01B,-22.22%,$-0.00B,$0.01B,-22.22%,$-0.00B,$0.01B,-19.05%,$-0.00B,$0.01B,-20.69%,$2,$1,$1,$0,$1,$2,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$6,6,$0.05,$0.05,$3,$5,$0,$10,$4,$0,$0,$0,$4,$14,$2,$1,$0,$1,$3,$0,$1,$0,$12,$14,$0,$0,$0,$0,$-1,$0,$0,$-0,$-1,$-0,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-0,$0,$-0,$-1,$0,$-0
7,2016-12-31,1.07,$2.11,0.51,$1.21,0.89,$0.35,3.06,$-0.56,0.0,$0.01B,$0.00B,7.85,$0.00B,$0.01B,0.09,$0.01B,0,0.00%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$0.01B,$-0.00B,-37.50%,$-0.00B,$0.01B,-21.05%,$-0.00B,$0.01B,-21.05%,$-0.00B,$0.01B,-18.18%,$-0.00B,$0.01B,-19.67%,$2,$4,$-3,$0,$1,$5,$-3,$-0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$6,6,$-0.57,$-0.57,$4,$5,$0,$9,$4,$0,$0,$0,$5,$14,$1,$1,$0,$1,$2,$0,$1,$0,$12,$14,$-3,$0,$4,$4,$-0,$0,$-0,$0,$0,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$0,$-1,$0,$0,$-0,$0,$-1,$0,$0,$-0
8,2016-09-30,1.0,$2.71,0.37,$1.12,0.9,$0.17,5.99,$-0.02,0.0,$0.01B,$0.00B,10.14,$0.00B,$0.02B,0.07,$0.01B,$0.00B,42.86%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$2,$1,$1,$0,$1,$2,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$6,6,$0.01,$0.01,$4,$8,$0,$13,$4,$0,$0,$1,$5,$17,$1,$1,$0,$1,$2,$0,$4,$0,$15,$17,$0,$0,$0,$0,$-0,$1,$-0,$-0,$0,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$0,$-1,$0,$0,$-0,$0,$-1,$-0,$-0,$-0
9,2016-06-30,0.89,$2.73,0.33,$1.14,0.78,$0.03,27.57,$-0.04,0.0,$0.01B,$0.00B,8.84,$0.00B,$0.02B,0.07,$0.01B,$0.00B,42.86%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$2,$1,$1,$0,$1,$2,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$6,6,$0.01,$0.01,$4,$8,$0,$13,$4,$0,$0,$1,$5,$18,$1,$1,$0,$1,$2,$0,$4,$0,$15,$18,$0,$0,$0,$0,$-1,$1,$-0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-0,$0,$-0,$0,$-0,$-0
