,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,7.75,$9.45,0.82,$11.46,0.68,$-0.55,0.0,$-0.17,0.0,$0.08B,$0.02B,5.36,$0.00B,$0.09B,0.0,$0.10B,$0.02B,15.69%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.00B,3.92%,$0.10B,0,0.00%,$0.10B,$-0.00B,-0.98%,$-0.00B,$0.09B,-1.14%,$-0.00B,$0.09B,-1.15%,$-0.00B,$0.11B,-0.90%,$0.00B,$0.09B,0.00%,$25,$22,$3,$0,$4,$26,$-1,$0,$-1,$-0,$-1,$-1,$-1,$-0,$-1,$9,9,$-0.16,$-0.16,$16,$39,$3,$80,$22,$1,$1,$2,$27,$106,$15,$0,$3,$5,$20,$3,$21,$-0,$86,$106,$-2,$2,$0,$2,$3,$0,$-1,$-3,$-0,$-0,$-2,$0,$0,$0,$0,$0,$-0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
1,2018-03-31,8.7,$9.62,0.9,$11.68,0.75,$-0.11,0.0,$0.06,145.0,$0.09B,$0.02B,4.39,$0.00B,$0.09B,0.0,$0.10B,$0.02B,17.31%,$0.10B,$0.00B,1.92%,$0.10B,$0.00B,1.92%,$0.10B,$0.01B,5.77%,$0.10B,$0.00B,1.92%,$0.10B,$0.00B,0.96%,$0.00B,$0.09B,1.13%,$0.00B,$0.09B,1.14%,$0.00B,$0.11B,0.89%,$0.00B,$0.09B,2.26%,$24,$21,$3,$0,$4,$25,$-1,$-0,$-1,$0,$-1,$-1,$-1,$0,$-1,$9,9,$-0.08,$-0.08,$17,$41,$2,$86,$21,$1,$1,$3,$27,$113,$20,$0,$3,$6,$25,$3,$22,$-0,$88,$113,$-1,$1,$0,$1,$-0,$-2,$2,$0,$-0,$0,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$0,$0
2,2017-12-31,10.5,$9.71,1.08,$11.99,0.88,$0.30,34.54,$0.28,37.5,$0.09B,$0.02B,4.79,$0.00B,$0.09B,0.0,$0.11B,$0.02B,19.63%,$0.11B,$0.01B,4.67%,$0.11B,$0.01B,4.67%,$0.11B,$0.01B,8.41%,$0.11B,$0.01B,4.67%,$0.11B,$0.00B,2.80%,$0.00B,$0.09B,3.37%,$0.00B,$0.09B,3.41%,$0.00B,$0.11B,2.67%,$0.01B,$0.09B,5.62%,$26,$22,$5,$0,$4,$26,$1,$-0,$0,$1,$-0,$-0,$-0,$2,$1,$9,9,$-0.04,$-0.04,$18,$39,$2,$85,$21,$1,$1,$3,$27,$112,$18,$0,$3,$6,$23,$3,$23,$0,$89,$112,$2,$4,$1,$5,$-4,$0,$1,$-1,$-5,$2,$-4,$0,$0,$0,$0,$0,$-0,$-4,$0,$0,$0,$0,$0,$-3,$0,$-3,$-4,$0,$-3
3,2017-09-30,11.2,$9.74,1.15,$11.87,0.94,$0.40,27.98,$0.49,22.86,$0.09B,$0.02B,4.6,$0.00B,$0.09B,0.0,$0.11B,$0.02B,20.75%,$0.11B,$0.01B,5.66%,$0.11B,$0.01B,5.66%,$0.11B,$0.01B,9.43%,$0.11B,$0.01B,6.60%,$0.11B,$0.01B,4.72%,$0.01B,$0.09B,5.62%,$0.01B,$0.09B,5.70%,$0.01B,$0.11B,4.45%,$0.01B,$0.09B,6.74%,$27,$21,$5,$0,$3,$25,$1,$0,$2,$1,$1,$1,$1,$2,$1,$9,9,$0.10,$0.10,$19,$38,$3,$86,$21,$1,$1,$3,$27,$113,$19,$0,$4,$6,$24,$3,$23,$0,$89,$113,$3,$3,$1,$4,$-4,$1,$1,$-2,$-4,$2,$-3,$0,$0,$0,$0,$0,$-0,$-3,$0,$0,$0,$0,$0,$-3,$0,$-3,$-3,$0,$-3
4,2017-06-30,10.2,$9.68,1.05,$11.57,0.88,$-0.02,0.0,$0.49,20.82,$0.08B,$0.02B,5.0,$0.00B,$0.09B,0.0,$0.10B,$0.02B,21.36%,$0.10B,$0.01B,5.83%,$0.10B,$0.01B,5.83%,$0.10B,$0.01B,9.71%,$0.10B,$0.01B,5.83%,$0.10B,$0.01B,4.85%,$0.01B,$0.09B,5.65%,$0.01B,$0.09B,5.73%,$0.01B,$0.11B,4.49%,$0.01B,$0.09B,6.78%,$27,$22,$5,$0,$4,$25,$1,$-0,$1,$1,$1,$1,$1,$2,$1,$9,9,$0.07,$0.07,$21,$36,$3,$83,$21,$1,$1,$3,$27,$110,$17,$0,$3,$5,$22,$3,$22,$0,$88,$110,$2,$2,$0,$2,$-1,$3,$-1,$-1,$-1,$3,$-1,$0,$0,$0,$0,$0,$-0,$-1,$0,$0,$0,$0,$0,$-3,$0,$-3,$-1,$0,$-3
5,2017-03-31,9.53,$9.93,0.96,$11.22,0.85,$-0.76,0.0,$0.14,68.04,$0.09B,$0.02B,4.82,$0.00B,$0.09B,0.0,$0.10B,$0.02B,21.00%,$0.10B,$0.01B,5.00%,$0.10B,$0.01B,5.00%,$0.10B,$0.01B,9.00%,$0.10B,$0.01B,5.00%,$0.10B,$0.00B,2.00%,$0.00B,$0.09B,2.27%,$0.00B,$0.09B,2.31%,$0.00B,$0.11B,1.80%,$0.01B,$0.09B,5.68%,$27,$22,$6,$0,$3,$25,$2,$-0,$2,$0,$1,$1,$1,$3,$2,$9,9,$0.14,$0.14,$25,$38,$3,$87,$21,$1,$1,$3,$27,$114,$18,$0,$3,$5,$23,$3,$24,$0,$90,$114,$1,$1,$0,$1,$1,$1,$-1,$0,$1,$3,$-1,$0,$0,$-0,$0,$-0,$-0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$2,$0,$0
6,2016-12-31,8.51,$10.04,0.85,$10.85,0.78,$-1.14,0.0,$0.01,0.0,$0.09B,$0.02B,4.66,$0.00B,$0.09B,0.0,$0.10B,$0.02B,19.59%,$0.10B,$0.00B,3.09%,$0.10B,$0.00B,3.09%,$0.10B,$0.01B,7.22%,$0.10B,$0.00B,3.09%,$0.10B,$0.00B,1.03%,$0.00B,$0.09B,1.13%,$0.00B,$0.09B,1.15%,$0.00B,$0.11B,0.91%,$0.00B,$0.09B,3.39%,$25,$19,$6,$0,$4,$23,$2,$-0,$2,$0,$2,$2,$2,$3,$2,$9,9,$0.18,$0.18,$22,$39,$2,$85,$21,$1,$1,$3,$27,$112,$18,$0,$3,$5,$23,$3,$23,$-0,$89,$112,$0,$4,$2,$5,$-2,$-3,$1,$4,$0,$6,$-6,$0,$0,$6,$0,$6,$0,$1,$0,$0,$0,$0,$0,$-3,$-1,$-3,$3,$0,$-3
7,2016-09-30,7.57,$0.00,0.0,$10.48,0.72,$-1.41,0.0,$0.17,44.54,$0.08B,$0.02B,4.83,$0.00B,$0.09B,0.0,$0.09B,$0.02B,15.96%,$0.09B,$0.00B,4.26%,$0.09B,$0.00B,4.26%,$0.09B,$0.01B,8.51%,$0.09B,$0.00B,4.26%,$0.09B,$0.00B,2.13%,$0.00B,$0.09B,2.25%,$0.00B,$0.09B,2.27%,$0.00B,$0.11B,1.82%,$0.00B,$0.09B,4.49%,$24,$19,$5,$0,$3,$22,$1,$-0,$1,$1,$1,$1,$1,$2,$1,$9,9,$0.10,$0.10,$19,$38,$3,$83,$21,$1,$1,$3,$26,$109,$17,$0,$3,$5,$22,$3,$22,$0,$87,$109,$-2,$3,$2,$5,$-4,$-1,$1,$1,$-2,$1,$-5,$0,$0,$7,$0,$7,$0,$2,$0,$0,$0,$0,$0,$-3,$-1,$-3,$-0,$0,$-3
8,2016-06-30,6.82,$0.00,0.0,$10.30,0.66,$-1.26,0.0,$0.09,75.81,$0.08B,$0.02B,4.62,$0.00B,$0.09B,0.0,$0.09B,$0.01B,14.13%,$0.09B,$0.00B,3.26%,$0.09B,$0.00B,3.26%,$0.09B,$0.01B,7.61%,$0.09B,$0.00B,3.26%,$0.09B,$0.00B,1.09%,$0.00B,$0.09B,1.12%,$0.00B,$0.09B,1.13%,$0.00B,$0.11B,0.92%,$0.00B,$0.09B,3.36%,$24,$19,$4,$0,$4,$23,$0,$-0,$0,$3,$-2,$-2,$-2,$1,$0,$9,9,$-0.28,$-0.28,$22,$37,$2,$84,$21,$0,$1,$3,$25,$109,$18,$0,$3,$5,$23,$3,$21,$0,$86,$109,$-2,$2,$2,$4,$-3,$-1,$-0,$1,$-3,$-1,$-4,$0,$0,$2,$0,$2,$-0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-3,$0,$0
9,2016-03-31,6.83,$0.00,0.0,$10.07,0.68,$-0.89,0.0,$0.45,15.18,$0.09B,$0.02B,5.34,$0.00B,$0.09B,0.0,$0.09B,$0.01B,14.61%,$0.09B,$0.00B,4.49%,$0.09B,$0.00B,4.49%,$0.09B,$0.01B,8.99%,$0.09B,$0.00B,4.49%,$0.09B,$0.00B,4.49%,$0.00B,$0.09B,4.46%,$0.00B,$0.09B,4.48%,$0.00B,$0.11B,3.71%,$0.00B,$0.09B,4.46%,$24,$20,$4,$0,$3,$23,$0,$-0,$0,$0,$0,$0,$0,$1,$0,$9,9,$0.01,$0.01,$26,$36,$4,$87,$19,$0,$1,$3,$24,$111,$16,$0,$3,$3,$20,$3,$26,$0,$92,$111,$0,$1,$-0,$1,$-1,$0,$0,$-0,$-1,$-0,$-1,$0,$0,$2,$0,$2,$-0,$1,$0,$0,$0,$0,$0,$0,$0,$0,$1,$0,$0
