,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,26.05,$14.46,1.8,$61.94,0.42,$5.45,4.78,$1.67,15.6,$0.45B,$0.22B,2.03,$0.11B,$0.59B,0.18,$2.52B,$0.66B,26.25%,$2.52B,$0.08B,3.18%,$2.52B,$0.08B,3.18%,$2.52B,$0.12B,4.88%,$2.52B,$0.08B,3.26%,$2.52B,$0.07B,2.66%,$0.07B,$0.59B,11.82%,$0.07B,$0.25B,28.63%,$0.07B,$1.14B,6.05%,$0.08B,$0.69B,11.94%,$680,$496,$184,$0,$145,$652,$28,$-0,$28,$4,$24,$24,$24,$39,$28,$40,40,$0.61,$0.61,$35,$0,$0,$453,$56,$0,$336,$297,$688,$1142,$224,$108,$225,$333,$556,$0,$597,$-12,$585,$1142,$51,$31,$23,$54,$-18,$0,$0,$-19,$-36,$69,$-10,$0,$-12,$0,$5,$5,$0,$-17,$-23,$12,$-11,$-26,$-26,$0,$0,$-37,$14,$10,$0
1,2018-06-30,26.95,$13.88,1.94,$60.97,0.44,$5.56,4.85,$1.57,17.17,$0.43B,$0.22B,1.98,$0.12B,$0.56B,0.21,$2.50B,$0.65B,25.97%,$2.50B,$0.08B,3.24%,$2.50B,$0.08B,3.24%,$2.50B,$0.12B,4.96%,$2.50B,$0.08B,3.32%,$2.50B,$0.06B,2.56%,$0.06B,$0.56B,11.50%,$0.06B,$0.22B,28.67%,$0.06B,$1.12B,5.79%,$0.08B,$0.68B,12.27%,$614,$449,$166,$0,$134,$593,$21,$-1,$20,$3,$18,$18,$18,$31,$21,$40,40,$0.44,$0.44,$33,$0,$0,$433,$57,$0,$341,$292,$691,$1124,$219,$117,$225,$342,$561,$0,$575,$-12,$563,$1124,$26,$20,$13,$33,$1,$0,$0,$-10,$-10,$49,$-6,$0,$-14,$0,$2,$2,$0,$-18,$-23,$21,$-2,$-18,$-18,$0,$-2,$-22,$8,$6,$0
2,2018-03-31,25.9,$13.64,1.9,$60.37,0.43,$5.81,4.46,$1.44,17.99,$0.38B,$0.20B,1.92,$0.07B,$0.56B,0.12,$2.50B,$0.64B,25.57%,$2.50B,$0.08B,3.13%,$2.50B,$0.08B,3.13%,$2.50B,$0.12B,4.97%,$2.50B,$0.08B,3.25%,$2.50B,$0.06B,2.36%,$0.06B,$0.56B,10.74%,$0.06B,$0.24B,27.35%,$0.06B,$1.05B,5.40%,$0.08B,$0.63B,12.09%,$554,$411,$143,$0,$126,$547,$7,$2,$10,$1,$9,$9,$9,$18,$7,$40,41,$0.22,$0.22,$27,$0,$0,$379,$57,$0,$323,$292,$675,$1054,$198,$70,$223,$292,$490,$0,$574,$-10,$564,$1054,$9,$10,$6,$17,$43,$0,$0,$-5,$20,$45,$-2,$0,$9,$0,$3,$3,$0,$10,$-1,$-46,$-47,$-2,$-2,$0,$0,$-49,$5,$3,$0
3,2017-12-31,27.5,$13.50,2.04,$60.29,0.46,$5.90,4.66,$1.33,20.68,$0.43B,$0.21B,2.02,$0.12B,$0.56B,0.21,$2.51B,$0.63B,25.27%,$2.51B,$0.08B,3.07%,$2.51B,$0.08B,3.07%,$2.51B,$0.12B,4.94%,$2.51B,$0.08B,3.07%,$2.51B,$0.06B,2.19%,$0.06B,$0.56B,10.15%,$0.06B,$0.22B,27.16%,$0.06B,$1.11B,5.03%,$0.08B,$0.67B,12.15%,$670,$502,$168,$0,$133,$646,$24,$-0,$24,$7,$16,$16,$16,$35,$24,$41,41,$0.40,$0.41,$29,$0,$0,$428,$60,$0,$331,$285,$681,$1109,$212,$116,$225,$342,$554,$0,$562,$-7,$555,$1109,$55,$46,$19,$65,$-28,$0,$0,$6,$-21,$100,$-22,$0,$0,$0,$-30,$-30,$22,$-31,$-2,$-17,$-19,$-38,$-38,$0,$-18,$-75,$-6,$8,$0
4,2017-09-30,22.45,$13.15,1.71,$61.78,0.36,$9.61,2.34,$1.36,16.51,$0.44B,$0.25B,1.77,$0.11B,$0.54B,0.21,$2.57B,$0.65B,25.14%,$2.57B,$0.08B,2.95%,$2.57B,$0.08B,2.95%,$2.57B,$0.12B,4.82%,$2.57B,$0.08B,2.95%,$2.57B,$0.06B,2.21%,$0.06B,$0.54B,10.67%,$0.06B,$0.21B,29.96%,$0.06B,$1.13B,5.19%,$0.08B,$0.66B,12.03%,$661,$489,$172,$0,$132,$632,$29,$-0,$29,$8,$21,$21,$21,$40,$29,$41,41,$0.52,$0.51,$35,$0,$0,$440,$63,$0,$337,$291,$692,$1132,$248,$111,$229,$340,$589,$0,$551,$-7,$544,$1132,$39,$35,$20,$55,$-34,$0,$0,$9,$-13,$81,$-16,$0,$0,$0,$-21,$-21,$0,$-37,$-2,$-1,$-3,$-31,$-31,$0,$-18,$-52,$-8,$6,$0
5,2017-06-30,26.5,$12.71,2.09,$62.35,0.43,$12.69,2.09,$1.41,18.79,$0.40B,$0.23B,1.71,$0.09B,$0.53B,0.16,$2.61B,$0.65B,25.02%,$2.61B,$0.08B,2.87%,$2.61B,$0.08B,2.87%,$2.61B,$0.13B,4.90%,$2.61B,$0.07B,2.84%,$2.61B,$0.06B,2.26%,$0.06B,$0.53B,11.21%,$0.06B,$0.19B,33.29%,$0.06B,$1.08B,5.38%,$0.08B,$0.62B,11.90%,$610,$455,$155,$0,$125,$592,$18,$0,$18,$5,$13,$13,$13,$31,$18,$42,42,$0.32,$0.31,$29,$0,$0,$395,$62,$0,$341,$278,$684,$1079,$231,$87,$227,$314,$545,$0,$542,$-8,$534,$1079,$18,$23,$14,$37,$12,$0,$0,$6,$9,$64,$-9,$0,$0,$0,$-7,$-7,$0,$-16,$-1,$-25,$-26,$-15,$-15,$0,$-21,$-62,$-15,$5,$0
6,2017-03-31,27.35,$12.54,2.18,$63.91,0.43,$15.53,1.76,$-0.43,0.0,$0.36B,$0.24B,1.5,$0.06B,$0.53B,0.1,$2.67B,$0.67B,24.99%,$2.67B,$-0.02B,-0.75%,$2.67B,$-0.02B,-0.75%,$2.67B,$0.13B,4.90%,$2.67B,$-0.02B,-0.82%,$2.67B,$-0.02B,-0.67%,$-0.02B,$0.53B,-3.50%,$-0.02B,$0.19B,-11.34%,$-0.02B,$1.05B,-1.64%,$-0.02B,$0.59B,-3.16%,$568,$429,$139,$0,$122,$562,$6,$0,$6,$2,$5,$5,$5,$18,$6,$42,42,$0.11,$0.11,$26,$0,$0,$357,$64,$0,$347,$277,$693,$1051,$239,$55,$223,$278,$517,$0,$543,$-9,$534,$1051,$5,$11,$7,$18,$49,$0,$0,$4,$32,$54,$-6,$0,$0,$0,$-11,$-11,$0,$-17,$-1,$-57,$-58,$-2,$-2,$0,$0,$-60,$-23,$3,$0
7,2016-12-31,24.65,$12.45,1.98,$65.81,0.37,$18.13,1.36,$-0.37,0.0,$0.43B,$0.25B,1.7,$0.14B,$0.53B,0.26,$2.75B,$0.68B,24.72%,$2.75B,$-0.02B,-0.62%,$2.75B,$-0.02B,-0.62%,$2.75B,$0.13B,4.83%,$2.75B,$-0.02B,-0.73%,$2.75B,$-0.02B,-0.58%,$-0.02B,$0.53B,-3.09%,$-0.02B,$0.18B,-12.31%,$-0.02B,$1.13B,-1.41%,$-0.02B,$0.66B,-2.56%,$735,$554,$181,$0,$145,$711,$23,$-1,$23,$5,$18,$18,$18,$36,$23,$42,42,$0.43,$0.43,$35,$0,$0,$428,$64,$0,$350,$282,$703,$1130,$251,$135,$219,$354,$605,$0,$537,$-11,$525,$1130,$-15,$150,$0,$150,$113,$0,$0,$16,$127,$262,$-29,$0,$-72,$0,$-22,$-22,$-20,$-143,$-2,$-106,$-108,$-7,$-7,$0,$-0,$-115,$5,$9,$0
8,2016-09-30,22.66,$12.06,1.88,$67.64,0.33,$13.83,1.64,$-0.13,0.0,$0.44B,$0.24B,1.79,$0.14B,$0.51B,0.27,$2.83B,$0.68B,24.20%,$2.83B,$-0.01B,-0.25%,$2.83B,$-0.01B,-0.25%,$2.83B,$0.14B,5.02%,$2.83B,$-0.01B,-0.35%,$2.83B,$-0.01B,-0.21%,$-0.01B,$0.51B,-1.15%,$-0.01B,$0.16B,-5.24%,$-0.01B,$1.12B,-0.52%,$-0.01B,$0.65B,-1.01%,$697,$519,$178,$0,$135,$669,$28,$-1,$27,$3,$23,$23,$23,$44,$28,$42,42,$0.56,$0.56,$25,$0,$0,$436,$60,$0,$358,$266,$688,$1124,$243,$137,$231,$368,$612,$0,$522,$-10,$512,$1124,$-33,$138,$-4,$134,$103,$0,$0,$13,$113,$213,$-18,$0,$-72,$0,$-24,$-24,$1,$-113,$-2,$-105,$-106,$-2,$-2,$0,$0,$-108,$-5,$7,$0
9,2016-06-30,18.92,$11.44,1.65,$67.50,0.28,$11.77,1.61,$-0.21,0.0,$0.41B,$0.24B,1.74,$0.15B,$0.49B,0.31,$2.81B,$0.68B,23.99%,$2.81B,$-0.00B,-0.07%,$2.81B,$-0.00B,-0.07%,$2.81B,$0.14B,5.05%,$2.81B,$-0.00B,-0.14%,$2.81B,$-0.01B,-0.32%,$-0.01B,$0.49B,-1.73%,$-0.01B,$0.12B,-7.89%,$-0.01B,$1.10B,-0.78%,$-0.00B,$0.63B,-0.29%,$673,$503,$170,$0,$136,$749,$-77,$-1,$-78,$-14,$-64,$-64,$-64,$34,$-77,$42,42,$-1.53,$-1.53,$22,$0,$0,$412,$60,$0,$368,$256,$686,$1098,$237,$148,$227,$375,$612,$0,$497,$-12,$486,$1098,$-57,$122,$-9,$113,$116,$0,$0,$11,$128,$184,$-11,$0,$-72,$0,$-13,$-13,$-1,$-97,$-1,$-94,$-95,$-1,$-1,$0,$0,$-97,$-8,$6,$0
