,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,31.89,$27.30,1.17,$14.58,2.19,$-20.08,0.0,$2.40,13.29,$0.18B,$1.00B,0.18,$0.16B,$0.24B,0.68,$0.13B,$0.07B,50.78%,$0.13B,$0.02B,14.84%,$0.13B,$0.02B,14.84%,$0.13B,$0.05B,39.06%,$0.13B,$0.02B,18.75%,$0.13B,$0.02B,16.41%,$0.02B,$0.24B,9.67%,$0.02B,$0.24B,9.67%,$0.02B,$1.42B,1.55%,$0.02B,$0.40B,5.30%,$34,$16,$18,$0,$2,$28,$6,$18,$24,$1,$23,$23,$22,$14,$6,$9,9,$2.52,$2.52,$99,$0,$0,$181,$1053,$0,$0,$188,$1241,$1423,$1001,$161,$23,$184,$1185,$0,$-51,$0,$238,$1423,$30,$23,$-14,$10,$0,$0,$0,$-57,$-61,$-20,$-56,$0,$0,$0,$0,$0,$-6,$-63,$45,$52,$97,$0,$0,$-1,$-5,$91,$8,$0,$0
1,2018-06-30,33.45,$24.67,1.36,$14.35,2.33,$-18.68,0.0,$0.67,49.93,$0.18B,$0.95B,0.19,$0.14B,$0.22B,0.67,$0.13B,$0.06B,50.40%,$0.13B,$0.02B,15.20%,$0.13B,$0.02B,15.20%,$0.13B,$0.05B,39.20%,$0.13B,$0.01B,5.60%,$0.13B,$0.01B,4.80%,$0.01B,$0.22B,2.83%,$0.01B,$0.22B,2.83%,$0.01B,$1.37B,0.46%,$0.02B,$0.36B,5.59%,$32,$15,$16,$0,$2,$27,$5,$3,$7,$0,$7,$7,$7,$12,$5,$9,9,$0.81,$0.81,$95,$0,$0,$179,$1009,$0,$0,$181,$1190,$1369,$948,$144,$62,$206,$1154,$0,$-73,$0,$215,$1369,$7,$15,$-1,$14,$0,$0,$0,$-19,$-20,$1,$-45,$0,$0,$0,$0,$0,$-5,$-50,$28,$28,$56,$0,$0,$-0,$-2,$53,$4,$0,$0
2,2018-03-31,40.61,$23.85,1.7,$14.31,2.84,$-17.34,0.0,$-1.36,0.0,$0.18B,$0.92B,0.2,$0.15B,$0.21B,0.71,$0.12B,$0.06B,50.81%,$0.12B,$0.02B,16.13%,$0.12B,$0.02B,16.13%,$0.12B,$0.05B,41.13%,$0.12B,$-0.01B,-8.06%,$0.12B,$-0.01B,-9.68%,$-0.01B,$0.21B,-5.71%,$-0.01B,$0.21B,-5.71%,$-0.01B,$1.33B,-0.93%,$0.02B,$0.36B,6.09%,$31,$14,$17,$0,$2,$26,$5,$-5,$-0,$0,$-0,$-0,$-0,$13,$5,$9,9,$-0.05,$-0.05,$99,$0,$0,$182,$978,$0,$0,$170,$1148,$1331,$915,$147,$61,$208,$1123,$0,$-80,$0,$208,$1331,$-0,$8,$-1,$6,$0,$0,$0,$-2,$-5,$2,$-17,$0,$0,$0,$0,$0,$-7,$-24,$32,$1,$33,$0,$0,$-0,$-2,$30,$8,$0,$0
3,2017-12-31,31.32,$23.89,1.31,$14.36,2.18,$-18.15,0.0,$-1.92,0.0,$0.16B,$0.93B,0.17,$0.11B,$0.21B,0.54,$0.13B,$0.06B,49.60%,$0.13B,$0.02B,16.00%,$0.13B,$0.02B,16.00%,$0.13B,$0.05B,40.80%,$0.13B,$-0.02B,-12.00%,$0.13B,$-0.02B,-13.60%,$-0.02B,$0.21B,-7.98%,$-0.02B,$0.21B,-7.98%,$-0.02B,$1.31B,-1.35%,$0.02B,$0.32B,6.41%,$31,$17,$14,$0,$2,$28,$3,$-10,$-7,$0,$-7,$-7,$-8,$11,$3,$9,9,$-0.88,$-0.88,$91,$0,$0,$161,$980,$0,$0,$173,$1152,$1313,$931,$113,$61,$174,$1105,$0,$-80,$0,$208,$1313,$-15,$30,$-15,$15,$0,$0,$0,$-37,$-33,$-32,$-7,$0,$0,$0,$0,$0,$-92,$-98,$32,$135,$167,$0,$0,$-1,$-10,$156,$25,$0,$0
4,2017-09-30,27.2,$24.74,1.1,$14.18,1.92,$-12.08,0.0,$-0.67,0.0,$0.17B,$0.87B,0.19,$0.11B,$0.22B,0.5,$0.12B,$0.06B,49.59%,$0.12B,$0.02B,16.26%,$0.12B,$0.02B,16.26%,$0.12B,$0.05B,42.28%,$0.12B,$-0.00B,-3.25%,$0.12B,$-0.01B,-4.88%,$-0.01B,$0.22B,-2.76%,$-0.01B,$0.22B,-2.76%,$-0.01B,$1.25B,-0.49%,$0.02B,$0.32B,6.94%,$31,$15,$16,$0,$2,$26,$6,$1,$7,$0,$7,$7,$7,$13,$6,$9,9,$0.79,$0.79,$103,$0,$0,$166,$929,$0,$0,$156,$1085,$1251,$866,$108,$61,$169,$1035,$0,$-73,$0,$216,$1251,$-8,$22,$-10,$12,$0,$0,$0,$-19,$-18,$-14,$-50,$0,$0,$0,$0,$0,$10,$-40,$99,$-5,$94,$0,$0,$-1,$5,$99,$45,$0,$0
5,2017-06-30,26.89,$23.95,1.12,$13.98,1.92,$-5.58,0.0,$-2.01,0.0,$0.18B,$0.87B,0.21,$0.11B,$0.21B,0.5,$0.12B,$0.06B,48.36%,$0.12B,$0.02B,14.75%,$0.12B,$0.02B,14.75%,$0.12B,$0.05B,40.98%,$0.12B,$-0.02B,-12.30%,$0.12B,$-0.02B,-14.75%,$-0.02B,$0.21B,-8.25%,$-0.02B,$0.21B,-8.25%,$-0.02B,$1.25B,-1.50%,$0.02B,$0.31B,6.86%,$31,$15,$16,$0,$1,$25,$6,$-16,$-10,$0,$-10,$-10,$-11,$14,$6,$9,9,$-1.22,$-1.22,$99,$0,$0,$178,$921,$0,$0,$151,$1072,$1250,$866,$105,$71,$175,$1041,$0,$-80,$0,$209,$1250,$-15,$15,$0,$15,$0,$0,$0,$4,$4,$4,$-37,$0,$0,$0,$0,$0,$4,$-32,$92,$-30,$62,$0,$0,$-0,$7,$68,$41,$0,$0
6,2017-03-31,19.27,$25.15,0.77,$13.89,1.39,$-0.84,0.0,$-0.28,0.0,$0.17B,$0.87B,0.19,$0.07B,$0.22B,0.33,$0.12B,$0.06B,48.36%,$0.12B,$0.02B,14.75%,$0.12B,$0.02B,14.75%,$0.12B,$0.05B,39.34%,$0.12B,0,0.00%,$0.12B,$-0.00B,-2.46%,$-0.00B,$0.22B,-1.35%,$-0.00B,$0.22B,-1.35%,$-0.00B,$1.23B,-0.26%,$0.02B,$0.29B,7.48%,$32,$16,$16,$0,$2,$26,$5,$-10,$-5,$0,$-5,$-5,$-5,$13,$5,$9,9,$-0.61,$-0.61,$89,$0,$0,$166,$902,$0,$0,$160,$1062,$1228,$865,$72,$71,$143,$1008,$0,$-69,$0,$219,$1228,$-5,$7,$-0,$7,$0,$0,$0,$-12,$-11,$-9,$-14,$0,$0,$0,$0,$0,$-1,$-15,$73,$-12,$61,$0,$0,$-0,$-6,$55,$31,$0,$0
7,2016-12-31,12.02,$25.75,0.47,$13.59,0.88,$0.49,24.59,$-0.10,0.0,$0.14B,$0.89B,0.15,$0.00B,$0.22B,0.0,$0.12B,$0.06B,47.90%,$0.12B,$0.02B,14.29%,$0.12B,$0.02B,14.29%,$0.12B,$0.05B,38.66%,$0.12B,$0.00B,0.84%,$0.12B,$-0.00B,-1.68%,$-0.00B,$0.22B,-0.90%,$-0.00B,$0.22B,-0.90%,$-0.00B,$1.19B,-0.17%,$0.02B,$0.22B,7.62%,$29,$17,$13,$0,$1,$26,$3,$0,$4,$0,$4,$4,$3,$12,$3,$9,9,$0.37,$0.37,$58,$0,$0,$137,$891,$0,$0,$157,$1048,$1186,$890,$0,$71,$71,$961,$0,$-64,$0,$224,$1186,$0,$28,$-19,$9,$0,$0,$0,$-1,$-1,$8,$6,$0,$0,$0,$3,$3,$-75,$-67,$-20,$81,$61,$0,$0,$-1,$1,$61,$2,$0,$0
8,2016-09-30,11.65,$25.37,0.46,$13.51,0.86,$3.45,3.37,$-0.64,0.0,$0.12B,$0.86B,0.14,$0.00B,$0.22B,0.0,$0.12B,$0.06B,47.06%,$0.12B,$0.01B,10.92%,$0.12B,$0.01B,10.92%,$0.12B,$0.04B,32.77%,$0.12B,$-0.00B,-3.36%,$0.12B,$-0.01B,-5.88%,$-0.01B,$0.22B,-3.14%,$-0.01B,$0.22B,-3.14%,$-0.01B,$1.15B,-0.62%,$0.01B,$0.22B,5.82%,$30,$15,$14,$0,$2,$25,$4,$-9,$-4,$0,$-4,$-4,$-5,$11,$4,$9,9,$-0.55,$-0.55,$43,$0,$0,$116,$900,$0,$0,$136,$1036,$1152,$859,$0,$71,$71,$930,$0,$-68,$0,$221,$1152,$-3,$20,$-9,$11,$0,$0,$0,$9,$9,$17,$-25,$0,$0,$0,$3,$3,$-43,$-65,$-10,$54,$44,$0,$0,$-1,$-3,$40,$-8,$0,$0
9,2016-06-30,9.96,$25.90,0.38,$13.26,0.75,$-0.06,0.0,$-0.88,0.0,$0.13B,$0.84B,0.15,$0.00B,$0.23B,0.0,$0.12B,$0.06B,47.01%,$0.12B,$0.01B,10.26%,$0.12B,$0.01B,10.26%,$0.12B,$0.04B,32.48%,$0.12B,$-0.01B,-5.98%,$0.12B,$-0.01B,-7.69%,$-0.01B,$0.23B,-4.00%,$-0.01B,$0.23B,-4.00%,$-0.01B,$1.13B,-0.81%,$0.01B,$0.23B,5.34%,$31,$15,$16,$0,$2,$25,$6,$-1,$5,$0,$5,$5,$4,$12,$6,$9,9,$0.51,$0.51,$52,$0,$0,$126,$892,$0,$0,$115,$1007,$1133,$837,$0,$71,$71,$908,$0,$-63,$0,$226,$1133,$1,$13,$-8,$5,$0,$0,$0,$26,$25,$31,$-22,$0,$0,$0,$3,$3,$-32,$-51,$-7,$33,$27,$0,$0,$-0,$-1,$25,$5,$0,$0
