,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,372.3,$-34.29,-10.86,$68.55,5.43,$41.19,9.04,$16.20,22.98,$3.66B,$0.90B,4.06,$12.50B,$-1.81B,-6.91,$3.81B,$2.18B,57.15%,$3.81B,$1.66B,43.43%,$3.81B,$1.66B,43.43%,$3.81B,$1.81B,47.42%,$3.81B,$0.99B,25.87%,$3.81B,$0.90B,23.64%,$0.90B,$-1.81B,-40.88%,$0.90B,$-9.82B,-9.09%,$0.90B,$12.20B,8.10%,$1.66B,$10.69B,17.00%,$1049,$452,$597,$0,$123,$594,$456,$-174,$282,$52,$230,$230,$229,$496,$456,$56,56,$4.11,$4.11,$2073,$805,$0,$3657,$388,$97,$8012,$43,$8540,$12197,$900,$12502,$204,$13106,$14006,$1,$-2247,$4,$-1808,$12197,$957,$152,$-82,$70,$-44,$-11,$18,$-5,$-5,$1022,$-73,$0,$-610,$0,$0,$0,$0,$-684,$1095,$0,$1095,$58,$58,$-56,$-11,$1086,$1422,$58,$-56
1,2018-06-30,345.14,$-39.93,-8.64,$66.31,5.21,$37.05,9.32,$13.74,25.12,$3.39B,$0.82B,4.14,$12.52B,$-2.10B,-5.96,$3.69B,$2.11B,57.30%,$3.69B,$1.61B,43.60%,$3.69B,$1.61B,43.60%,$3.69B,$1.76B,47.64%,$3.69B,$0.95B,25.80%,$3.69B,$0.76B,20.67%,$0.76B,$-2.10B,-30.61%,$0.76B,$-10.02B,-7.57%,$0.76B,$11.80B,7.21%,$1.61B,$10.42B,17.52%,$981,$411,$570,$0,$113,$543,$437,$-172,$266,$48,$217,$217,$217,$477,$437,$56,56,$3.91,$3.91,$1853,$815,$0,$3385,$380,$0,$7924,$114,$8419,$11804,$817,$12516,$212,$13086,$13903,$1,$-2472,$-24,$-2098,$11804,$728,$112,$-122,$-10,$-1,$-22,$1,$-3,$-28,$691,$-50,$0,$-582,$0,$0,$0,$58,$-575,$1115,$0,$1115,$41,$41,$-56,$-10,$1090,$1203,$36,$-56
2,2018-03-31,306.94,$-44.11,-6.96,$65.02,4.72,$34.62,8.87,$12.91,23.78,$2.47B,$0.81B,3.04,$11.37B,$-2.31B,-4.92,$3.60B,$2.06B,57.23%,$3.60B,$1.56B,43.24%,$3.60B,$1.56B,43.24%,$3.60B,$1.71B,47.43%,$3.60B,$0.92B,25.56%,$3.60B,$0.71B,19.82%,$0.71B,$-2.31B,-29.28%,$0.71B,$-9.77B,-7.20%,$0.71B,$10.40B,7.00%,$1.56B,$9.06B,17.70%,$933,$399,$534,$0,$108,$524,$409,$-162,$247,$45,$202,$202,$196,$445,$409,$56,56,$3.53,$3.53,$1011,$767,$0,$2470,$352,$0,$7459,$113,$7925,$10395,$813,$11366,$166,$11891,$12704,$1,$-2685,$7,$-2309,$10395,$511,$72,$-139,$-67,$6,$-16,$-1,$-9,$10,$454,$-31,$0,$-50,$0,$0,$0,$58,$-24,$-40,$0,$-40,$26,$26,$-56,$-2,$-72,$360,$23,$-56
3,2017-12-31,274.62,$-49.88,-5.51,$63.78,4.31,$33.32,8.24,$12.16,22.58,$2.27B,$0.82B,2.76,$11.38B,$-2.60B,-4.38,$3.54B,$2.02B,56.99%,$3.54B,$1.52B,42.84%,$3.54B,$1.52B,42.84%,$3.54B,$1.67B,47.22%,$3.54B,$0.89B,25.12%,$3.54B,$0.67B,19.04%,$0.67B,$-2.60B,-28.42%,$0.67B,$-10.05B,-6.84%,$0.67B,$10.11B,6.64%,$1.52B,$8.78B,17.35%,$848,$371,$477,$0,$107,$495,$353,$-162,$191,$-121,$312,$312,$259,$389,$353,$56,56,$4.65,$4.65,$858,$744,$76,$2271,$327,$0,$7449,$65,$7841,$10112,$823,$11378,$171,$11888,$12712,$1,$-2877,$-62,$-2600,$10112,$315,$36,$-161,$-125,$81,$-13,$-4,$2,$103,$293,$-15,$0,$0,$0,$0,$0,$0,$-15,$-22,$0,$-22,$7,$7,$-56,$-0,$-71,$207,$11,$-56
4,2017-09-30,255.65,$-56.83,-4.5,$62.93,4.06,$31.93,8.01,$7.92,32.28,$2.13B,$0.87B,2.45,$11.39B,$-2.95B,-3.86,$3.51B,$1.98B,56.60%,$3.51B,$1.48B,42.23%,$3.51B,$1.48B,42.23%,$3.51B,$1.64B,46.85%,$3.51B,$0.84B,23.88%,$3.51B,$0.44B,12.50%,$0.44B,$-2.95B,-20.00%,$0.44B,$-10.41B,-4.53%,$0.44B,$9.98B,4.32%,$1.48B,$8.44B,16.98%,$924,$393,$531,$0,$105,$516,$408,$-160,$247,$63,$184,$184,$90,$445,$408,$56,56,$1.61,$1.61,$651,$731,$78,$2134,$325,$16,$7463,$38,$7842,$9976,$871,$11394,$161,$12056,$12927,$1,$-3187,$-85,$-2951,$9976,$597,$162,$116,$278,$-55,$5,$-10,$-11,$-86,$789,$-71,$0,$-216,$0,$0,$0,$0,$-287,$1425,$99,$1524,$-369,$-369,$-2582,$-18,$-1444,$-936,$46,$-2582
5,2017-06-30,247.94,$-36.53,-6.79,$61.88,4.01,$30.39,8.16,$9.04,27.43,$2.39B,$0.73B,3.27,$10.83B,$-1.90B,-5.71,$3.46B,$1.94B,56.05%,$3.46B,$1.42B,41.12%,$3.46B,$1.42B,41.12%,$3.46B,$1.59B,45.92%,$3.46B,$0.80B,23.12%,$3.46B,$0.50B,14.55%,$0.50B,$-1.90B,-31.15%,$0.50B,$-9.45B,-5.53%,$0.50B,$10.32B,4.88%,$1.42B,$8.93B,15.92%,$898,$378,$520,$0,$108,$509,$388,$-152,$236,$66,$170,$170,$169,$430,$388,$55,55,$3.08,$3.08,$971,$744,$0,$2387,$326,$0,$7553,$50,$7929,$10316,$731,$10828,$153,$11481,$12212,$1,$-2089,$-113,$-1895,$10316,$443,$125,$70,$194,$-21,$-0,$-12,$-4,$-83,$555,$-56,$0,$-136,$0,$0,$0,$-80,$-271,$856,$0,$856,$-372,$-372,$-1376,$-11,$-903,$-616,$33,$-1376
6,2017-03-31,203.02,$-39.20,-5.18,$59.82,3.39,$29.39,6.91,$8.48,23.94,$2.32B,$0.73B,3.17,$10.84B,$-2.04B,-5.32,$3.36B,$1.86B,55.45%,$3.36B,$1.36B,40.64%,$3.36B,$1.36B,40.64%,$3.36B,$1.52B,45.32%,$3.36B,$0.76B,22.56%,$3.36B,$0.50B,14.75%,$0.50B,$-2.04B,-36.85%,$0.50B,$-9.53B,-5.65%,$0.50B,$10.19B,4.77%,$1.36B,$8.80B,15.19%,$869,$379,$489,$0,$101,$502,$367,$-151,$215,$60,$156,$156,$156,$407,$367,$56,56,$2.78,$2.78,$985,$725,$0,$2320,$319,$0,$7488,$59,$7867,$10187,$733,$10839,$135,$11493,$12226,$1,$-2249,$-129,$-2039,$10187,$274,$83,$57,$140,$3,$7,$-18,$-4,$-24,$391,$-38,$0,$-30,$0,$0,$0,$-79,$-147,$873,$0,$873,$-327,$-327,$-1376,$-11,$-842,$-602,$21,$-1376
7,2016-12-31,229.58,$-35.10,-6.54,$58.47,3.93,$27.81,8.26,$8.17,28.1,$2.24B,$0.70B,3.2,$10.56B,$-1.88B,-5.63,$3.28B,$1.80B,54.75%,$3.28B,$1.31B,39.86%,$3.28B,$1.31B,39.86%,$3.28B,$1.46B,44.43%,$3.28B,$0.74B,22.62%,$3.28B,$0.48B,14.65%,$0.48B,$-1.88B,-44.79%,$0.48B,$-9.30B,-5.87%,$0.48B,$10.04B,4.85%,$1.31B,$8.68B,15.29%,$814,$370,$444,$0,$102,$497,$317,$-178,$139,$20,$119,$119,$23,$360,$317,$57,57,$0.41,$0.41,$972,$715,$0,$2235,$315,$0,$7423,$65,$7802,$10037,$699,$10556,$141,$11213,$11912,$1,$-2394,$-139,$-1875,$10037,$119,$43,$42,$84,$60,$8,$-26,$-5,$23,$226,$-22,$0,$-30,$0,$0,$0,$0,$-52,$588,$0,$588,$4,$4,$-1376,$-0,$-785,$-615,$10,$-1376
8,2016-09-30,244.1,$-12.22,-19.98,$56.42,4.33,$27.16,8.99,$9.73,25.09,$2.93B,$0.75B,3.89,$9.94B,$-0.65B,-15.26,$3.17B,$1.73B,54.51%,$3.17B,$1.27B,39.97%,$3.17B,$1.27B,39.97%,$3.17B,$1.41B,44.29%,$3.17B,$0.77B,24.21%,$3.17B,$0.58B,18.41%,$0.58B,$-0.65B,-69.01%,$0.58B,$-8.10B,-7.63%,$0.58B,$10.73B,6.15%,$1.27B,$9.29B,15.51%,$875,$391,$484,$0,$111,$526,$349,$-140,$209,$54,$155,$155,$155,$390,$349,$56,56,$2.76,$2.76,$1587,$724,$0,$2931,$311,$0,$7444,$41,$7796,$10726,$753,$9943,$190,$10625,$11378,$1,$-1147,$-150,$-651,$10726,$586,$138,$70,$208,$-80,$-2,$-7,$-5,$-111,$683,$-44,$0,$-1399,$0,$0,$0,$0,$-1443,$1817,$0,$1817,$-178,$-178,$-3,$-4,$1632,$873,$48,$-3
9,2016-06-30,222.63,$-15.17,-14.67,$55.14,4.04,$24.01,9.27,$9.46,23.53,$2.93B,$0.73B,4.03,$9.95B,$-0.81B,-12.31,$3.11B,$1.67B,53.85%,$3.11B,$1.23B,39.65%,$3.11B,$1.23B,39.65%,$3.11B,$1.36B,43.71%,$3.11B,$0.76B,24.43%,$3.11B,$0.57B,18.38%,$0.57B,$-0.81B,-60.55%,$0.57B,$-8.12B,-7.67%,$0.57B,$10.57B,6.42%,$1.23B,$9.15B,16.17%,$798,$354,$444,$0,$94,$467,$331,$-136,$194,$34,$161,$161,$161,$364,$331,$56,56,$2.88,$2.88,$1667,$706,$0,$2932,$284,$0,$7315,$40,$7638,$10570,$727,$9953,$185,$10651,$11379,$1,$-1335,$-138,$-808,$10570,$432,$97,$54,$151,$-37,$-16,$-27,$2,$-100,$482,$-30,$0,$-1143,$0,$0,$0,$0,$-1173,$1831,$0,$1831,$-182,$-182,$-3,$-2,$1643,$953,$34,$-3
