,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,30.43,$46.46,0.65,$45.00,0.68,$6.41,4.75,$3.57,8.52,$2.39B,$0.85B,2.8,$2.42B,$5.25B,0.46,$5.09B,$2.74B,53.94%,$5.09B,$0.21B,4.17%,$5.09B,$0.21B,4.17%,$5.09B,$1.09B,21.36%,$5.09B,$0.22B,4.31%,$5.09B,$0.41B,7.96%,$0.41B,$5.25B,7.92%,$0.41B,$2.28B,19.22%,$0.41B,$9.72B,4.26%,$0.21B,$7.67B,2.81%,$1297,$605,$692,$0,$421,$1246,$51,$7,$58,$5,$53,$53,$46,$272,$51,$112,114,$0.41,$0.41,$1062,$132,$30,$2387,$3229,$500,$2967,$636,$7332,$9719,$852,$2422,$11,$3617,$4469,$1,$2683,$-3,$5250,$9719,$155,$662,$97,$759,$-5,$13,$13,$-131,$-102,$812,$-447,$0,$18,$100,$0,$100,$4,$-325,$-15,$0,$-15,$34,$34,$-54,$-7,$-42,$445,$37,$-54
1,2018-06-30,27.42,$46.18,0.59,$44.90,0.61,$5.22,5.25,$1.53,17.92,$2.16B,$0.73B,2.96,$2.43B,$5.17B,0.47,$5.04B,$2.72B,53.92%,$5.04B,$-0.07B,-1.43%,$5.04B,$-0.07B,-1.43%,$5.04B,$1.05B,20.90%,$5.04B,$-0.08B,-1.49%,$5.04B,$0.18B,3.53%,$0.18B,$5.17B,3.60%,$0.18B,$2.16B,9.26%,$0.18B,$9.50B,1.90%,$-0.07B,$7.60B,-0.98%,$1255,$566,$689,$0,$417,$1194,$61,$4,$65,$21,$44,$44,$33,$281,$61,$112,113,$0.30,$0.29,$873,$153,$43,$2160,$3259,$477,$3015,$587,$7338,$9498,$729,$2427,$534,$3597,$4326,$1,$2692,$-3,$5172,$9498,$101,$441,$71,$512,$51,$-8,$-50,$-138,$-150,$463,$-275,$0,$11,$100,$0,$100,$3,$-161,$-10,$0,$-10,$7,$7,$-36,$-8,$-47,$255,$23,$-36
2,2018-03-31,27.87,$45.88,0.61,$44.92,0.62,$4.59,6.07,$1.33,20.95,$2.04B,$0.75B,2.72,$2.43B,$5.14B,0.47,$5.03B,$2.69B,53.47%,$5.03B,$-0.11B,-2.11%,$5.03B,$-0.11B,-2.11%,$5.03B,$1.01B,20.08%,$5.03B,$-0.12B,-2.35%,$5.03B,$0.16B,3.08%,$0.16B,$5.14B,3.20%,$0.16B,$2.12B,8.50%,$0.16B,$9.48B,1.66%,$-0.11B,$7.57B,-1.46%,$1225,$534,$691,$0,$395,$1145,$80,$1,$81,$24,$57,$57,$39,$301,$80,$111,113,$0.35,$0.34,$779,$153,$42,$2043,$3335,$488,$3022,$593,$7438,$9481,$750,$2431,$11,$3592,$4342,$1,$2696,$-3,$5139,$9481,$57,$221,$31,$252,$77,$-8,$-32,$-119,$-95,$214,$-131,$0,$-5,$100,$0,$100,$0,$-36,$-5,$0,$-5,$11,$11,$-18,$-5,$-17,$161,$10,$-18
3,2017-12-31,27.48,$44.07,0.62,$45.14,0.61,$3.95,6.96,$1.32,20.82,$1.97B,$0.92B,2.14,$2.44B,$4.89B,0.5,$5.04B,$2.69B,53.23%,$5.04B,$-0.11B,-2.08%,$5.04B,$-0.11B,-2.08%,$5.04B,$1.00B,19.85%,$5.04B,$-0.12B,-2.42%,$5.04B,$0.15B,3.03%,$0.15B,$4.89B,3.22%,$0.15B,$1.87B,8.43%,$0.15B,$9.30B,1.64%,$-0.11B,$7.33B,-1.46%,$1308,$637,$671,$0,$436,$1288,$20,$-5,$15,$-318,$333,$333,$287,$232,$20,$111,112,$2.60,$2.59,$719,$145,$27,$1966,$3424,$453,$3020,$432,$7329,$9295,$918,$2437,$1,$3485,$4403,$1,$2525,$-1,$4892,$9295,$157,$1106,$-228,$878,$-61,$6,$-7,$-234,$-259,$776,$-685,$0,$-197,$-100,$0,$-100,$1,$-981,$-17,$0,$-17,$5,$4,$-69,$5,$-77,$-282,$46,$-69
4,2017-09-30,27.41,$41.07,0.67,$45.10,0.61,$4.45,6.16,$-1.27,0.0,$2.00B,$0.83B,2.42,$2.44B,$4.56B,0.54,$5.03B,$2.69B,53.46%,$5.03B,$-0.13B,-2.51%,$5.03B,$-0.13B,-2.51%,$5.03B,$0.98B,19.53%,$5.03B,$-0.15B,-2.94%,$5.03B,$-0.14B,-2.78%,$-0.14B,$4.56B,-2.96%,$-0.14B,$1.55B,-7.77%,$-0.14B,$9.21B,-1.50%,$-0.13B,$7.00B,-1.76%,$1251,$585,$666,$0,$423,$1484,$-233,$-3,$-236,$-5,$-231,$-231,$-181,$239,$-233,$111,111,$-1.64,$-1.64,$884,$107,$31,$2004,$3337,$467,$3012,$390,$7206,$9210,$829,$2443,$1,$3822,$4651,$1,$2257,$0,$4559,$9210,$-176,$894,$61,$955,$-6,$44,$-59,$-189,$-158,$621,$-398,$0,$-181,$-100,$0,$-100,$1,$-678,$-9,$0,$-9,$-1,$-2,$-51,$3,$-59,$-116,$34,$-51
5,2017-06-30,27.11,$43.17,0.63,$45.66,0.59,$4.35,6.23,$0.48,56.48,$1.92B,$0.79B,2.45,$2.43B,$4.79B,0.51,$5.09B,$2.71B,53.23%,$5.09B,$0.14B,2.75%,$5.09B,$0.14B,2.75%,$5.09B,$0.99B,19.45%,$5.09B,$0.12B,2.32%,$5.09B,$0.05B,1.06%,$0.05B,$4.79B,1.13%,$0.05B,$1.76B,2.79%,$0.05B,$9.38B,0.57%,$0.14B,$7.22B,1.94%,$1247,$585,$662,$0,$420,$1220,$27,$-5,$22,$10,$12,$12,$10,$238,$27,$111,112,$0.09,$0.09,$791,$149,$26,$1924,$3373,$452,$3033,$596,$7454,$9378,$786,$2428,$1,$3800,$4586,$1,$2457,$0,$4792,$9378,$55,$422,$41,$463,$5,$2,$-59,$-161,$-160,$358,$-242,$0,$-183,$0,$0,$0,$1,$-424,$-6,$0,$-6,$-1,$-2,$-34,$-1,$-43,$-109,$22,$-34
6,2017-03-31,25.76,$43.55,0.59,$46.20,0.56,$4.39,5.87,$0.64,40.25,$2.03B,$0.74B,2.74,$2.43B,$4.79B,0.51,$5.14B,$2.74B,53.26%,$5.14B,$0.17B,3.23%,$5.14B,$0.17B,3.23%,$5.14B,$1.02B,19.75%,$5.14B,$0.15B,2.84%,$5.14B,$0.07B,1.40%,$0.07B,$4.79B,1.51%,$0.07B,$2.09B,3.58%,$0.07B,$9.35B,0.76%,$0.17B,$7.22B,2.31%,$1238,$552,$686,$0,$407,$1157,$81,$-4,$77,$34,$43,$43,$37,$292,$81,$110,112,$0.34,$0.33,$896,$151,$30,$2025,$3449,$472,$2705,$698,$7324,$9349,$738,$2431,$1,$3820,$4558,$1,$2473,$0,$4791,$9349,$43,$211,$1,$212,$28,$0,$-75,$-113,$-118,$137,$-127,$0,$2,$0,$0,$0,$0,$-125,$-3,$0,$-3,$4,$4,$-17,$0,$-16,$-4,$11,$-17
7,2016-12-31,27.89,$43.18,0.65,$46.54,0.6,$5.09,5.48,$0.38,73.39,$2.06B,$0.89B,2.32,$2.43B,$4.75B,0.51,$5.16B,$2.73B,52.88%,$5.16B,$0.11B,2.15%,$5.16B,$0.11B,2.15%,$5.16B,$0.96B,18.64%,$5.16B,$0.09B,1.78%,$5.16B,$0.04B,0.83%,$0.04B,$4.75B,0.91%,$0.04B,$1.81B,2.14%,$0.04B,$9.45B,0.46%,$0.11B,$7.18B,1.55%,$1292,$618,$674,$0,$459,$1293,$-1,$-10,$-11,$-5,$-6,$-6,$-6,$213,$-1,$110,111,$-0.05,$-0.04,$900,$151,$32,$2059,$3555,$451,$2938,$443,$7387,$9446,$887,$2433,$1,$3809,$4696,$1,$2454,$1,$4750,$9446,$52,$850,$128,$978,$-23,$4,$36,$-321,$-245,$782,$-636,$0,$-32,$0,$0,$0,$-140,$-808,$-10,$0,$-10,$7,$7,$-65,$9,$-59,$-85,$42,$-65
8,2016-09-30,26.12,$43.22,0.6,$46.80,0.56,$3.67,7.11,$0.42,62.2,$2.11B,$0.89B,2.38,$2.44B,$4.75B,0.51,$5.17B,$2.75B,53.18%,$5.17B,$0.14B,2.61%,$5.17B,$0.14B,2.61%,$5.17B,$0.99B,19.09%,$5.17B,$0.09B,1.82%,$5.17B,$0.05B,0.93%,$0.05B,$4.75B,1.02%,$0.05B,$2.08B,2.32%,$0.05B,$9.45B,0.51%,$0.14B,$7.19B,1.88%,$1314,$626,$688,$0,$440,$1281,$33,$-3,$30,$14,$16,$16,$13,$247,$33,$110,111,$0.12,$0.11,$985,$148,$34,$2110,$3549,$460,$2678,$652,$7339,$9449,$887,$2436,$1,$3808,$4695,$1,$2477,$0,$4754,$9449,$58,$636,$63,$699,$-9,$3,$47,$-241,$-116,$638,$-426,$0,$-26,$0,$0,$0,$-142,$-594,$-7,$0,$-7,$6,$6,$-49,$6,$-44,$0,$29,$-49
9,2016-06-30,28.35,$43.45,0.65,$47.45,0.6,$3.30,8.59,$0.77,36.82,$2.07B,$0.90B,2.3,$2.44B,$4.74B,0.51,$5.23B,$2.80B,53.45%,$5.23B,$0.20B,3.73%,$5.23B,$0.20B,3.73%,$5.23B,$1.04B,19.94%,$5.23B,$0.17B,3.29%,$5.23B,$0.09B,1.64%,$0.09B,$4.74B,1.82%,$0.09B,$2.07B,4.18%,$0.09B,$9.43B,0.92%,$0.20B,$7.17B,2.75%,$1295,$606,$689,$0,$429,$1242,$53,$-3,$50,$18,$32,$32,$28,$263,$53,$109,111,$0.25,$0.25,$899,$184,$31,$2065,$3613,$446,$2669,$633,$7361,$9426,$898,$2436,$1,$3792,$4690,$1,$2487,$0,$4736,$9426,$42,$422,$35,$457,$-6,$-26,$32,$-171,$-96,$400,$-281,$0,$-29,$0,$0,$0,$-142,$-452,$-4,$0,$-4,$-2,$-2,$-32,$4,$-34,$-86,$18,$-32
