,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.12,$3.03,2.68,$4.13,1.97,$0.28,29.23,$-0.77,0.0,$0.18B,$0.16B,1.16,$0.00B,$0.16B,0.0,$0.34B,$0.22B,63.82%,$0.34B,$-0.05B,-15.29%,$0.34B,$-0.05B,-15.29%,$0.34B,$-0.05B,-15.29%,$0.34B,$-0.05B,-13.82%,$0.34B,$-0.06B,-16.47%,$-0.06B,$0.16B,-26.79%,$-0.06B,$0.16B,-27.05%,$-0.06B,$0.32B,-16.20%,$-0.05B,$0.16B,-24.88%,$103,$35,$68,$6,$71,$112,$-9,$0,$-9,$4,$-13,$-13,$-13,$-9,$-9,$54,0,$-0.24,$0.00,$113,$1,$0,$181,$91,$14,$0,$31,$138,$319,$156,$0,$1,$1,$157,$0,$42,$8,$162,$319,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2018-06-30,7.57,$3.60,2.1,$5.55,1.36,$0.28,27.25,$-0.53,0.0,$0.22B,$0.16B,1.35,$0.00B,$0.20B,0.0,$0.32B,$0.21B,65.22%,$0.32B,$-0.03B,-9.01%,$0.32B,$-0.03B,-9.01%,$0.32B,$-0.03B,-9.01%,$0.32B,$-0.02B,-6.83%,$0.32B,$-0.03B,-8.70%,$-0.03B,$0.20B,-12.25%,$-0.03B,$0.19B,-12.36%,$-0.03B,$0.36B,-8.03%,$-0.03B,$0.20B,-12.69%,$81,$32,$49,$6,$67,$106,$-24,$2,$-22,$4,$-26,$-26,$-26,$-24,$-24,$56,56,$-0.46,$-0.46,$151,$1,$0,$218,$91,$19,$7,$25,$143,$361,$161,$0,$1,$1,$162,$0,$58,$9,$199,$361,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2018-03-31,11.1,$4.08,2.72,$5.22,2.13,$0.28,39.97,$0.02,555.22,$0.23B,$0.13B,1.7,$0.00B,$0.23B,0.0,$0.31B,$0.21B,67.43%,$0.31B,0,0.00%,$0.31B,0,0.00%,$0.31B,0,0.00%,$0.31B,$0.01B,1.95%,$0.31B,$0.00B,1.30%,$0.00B,$0.23B,1.69%,$0.00B,$0.23B,1.69%,$0.00B,$0.37B,1.18%,$0.00B,$0.23B,0.00%,$64,$31,$33,$6,$57,$94,$-30,$1,$-29,$-0,$-28,$-28,$-28,$-30,$-30,$56,56,$-0.51,$-0.51,$160,$0,$0,$229,$87,$19,$0,$30,$136,$365,$134,$0,$1,$1,$135,$0,$84,$8,$230,$365,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2017-12-31,14.84,$4.36,3.41,$4.94,3.0,$0.28,53.4,$0.46,32.25,$0.22B,$0.09B,2.39,$0.00B,$0.25B,0.0,$0.29B,$0.20B,70.10%,$0.29B,$0.03B,8.59%,$0.29B,$0.03B,8.59%,$0.29B,$0.03B,8.59%,$0.29B,$0.03B,10.65%,$0.29B,$0.03B,9.62%,$0.03B,$0.25B,11.89%,$0.03B,$0.24B,11.91%,$0.03B,$0.34B,8.46%,$0.03B,$0.25B,10.62%,$92,$25,$67,$5,$51,$82,$11,$2,$13,$2,$11,$11,$11,$11,$11,$57,60,$0.20,$0.19,$166,$0,$0,$221,$77,$15,$0,$22,$117,$338,$92,$0,$1,$1,$93,$0,$112,$8,$245,$338,$27,$15,$12,$27,$-24,$0,$-0,$8,$-11,$43,$-26,$0,$0,$3,$-8,$-5,$-2,$-33,$0,$0,$0,$-18,$-18,$-9,$0,$-27,$-18,$11,$-9
4,2017-09-30,14.4,$0.00,0.0,$4.56,3.16,$0.36,39.65,$0.52,27.69,$0.22B,$0.09B,2.48,$0.00B,$0.24B,0.0,$0.27B,$0.19B,69.78%,$0.27B,$0.03B,10.45%,$0.27B,$0.03B,10.45%,$0.27B,$0.03B,10.45%,$0.27B,$0.04B,13.06%,$0.27B,$0.03B,12.31%,$0.03B,$0.24B,14.07%,$0.03B,$0.24B,14.10%,$0.03B,$0.33B,10.15%,$0.03B,$0.24B,11.94%,$85,$24,$61,$4,$43,$71,$14,$1,$16,$1,$15,$15,$15,$14,$14,$57,60,$0.25,$0.24,$172,$0,$0,$220,$75,$15,$1,$18,$110,$330,$89,$0,$1,$1,$90,$0,$103,$8,$240,$330,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
5,2017-06-30,17.73,$4.05,4.37,$4.36,4.07,$0.36,48.8,$0.59,30.04,$0.23B,$0.09B,2.46,$0.00B,$0.23B,0.0,$0.26B,$0.18B,70.59%,$0.26B,$0.03B,12.16%,$0.26B,$0.03B,12.16%,$0.26B,$0.03B,12.16%,$0.26B,$0.04B,14.90%,$0.26B,$0.04B,14.12%,$0.04B,$0.23B,15.72%,$0.04B,$0.23B,15.77%,$0.04B,$0.33B,11.35%,$0.03B,$0.23B,13.54%,$66,$21,$46,$3,$37,$61,$5,$1,$6,$1,$6,$6,$6,$5,$5,$57,60,$0.10,$0.09,$193,$0,$0,$229,$69,$12,$0,$17,$98,$327,$93,$0,$1,$1,$94,$0,$86,$9,$233,$327,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2017-03-31,18.33,$3.91,4.69,$4.20,4.36,$0.36,50.47,$0.61,30.05,$0.23B,$0.10B,2.25,$0.00B,$0.22B,0.0,$0.25B,$0.17B,70.61%,$0.25B,$0.03B,13.06%,$0.25B,$0.03B,13.06%,$0.25B,$0.03B,13.06%,$0.25B,$0.04B,15.92%,$0.25B,$0.04B,15.10%,$0.04B,$0.22B,16.74%,$0.04B,$0.22B,16.80%,$0.04B,$0.33B,12.23%,$0.03B,$0.22B,14.48%,$48,$19,$30,$3,$32,$53,$-5,$1,$-4,$0,$-4,$-4,$-4,$-5,$-5,$56,56,$-0.06,$-0.06,$202,$0,$0,$234,$65,$7,$0,$22,$95,$329,$104,$0,$1,$1,$105,$0,$80,$10,$224,$329,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
7,2016-12-31,14.71,$4.29,3.43,$4.10,3.59,$0.36,40.5,$0.60,24.51,$0.22B,$0.07B,3.02,$0.00B,$0.24B,0.0,$0.24B,$0.17B,71.43%,$0.24B,$0.03B,14.29%,$0.24B,$0.03B,14.29%,$0.24B,$0.03B,14.29%,$0.24B,$0.04B,16.39%,$0.24B,$0.04B,15.55%,$0.04B,$0.24B,17.25%,$0.04B,$0.24B,17.31%,$0.04B,$0.31B,12.88%,$0.03B,$0.24B,15.85%,$69,$18,$50,$3,$33,$54,$14,$3,$17,$1,$16,$16,$16,$14,$14,$56,59,$0.29,$0.27,$185,$0,$0,$218,$66,$6,$1,$23,$95,$314,$72,$0,$1,$1,$73,$0,$96,$9,$241,$314,$36,$11,$12,$23,$3,$0,$-0,$11,$20,$79,$-57,$0,$-1,$0,$-2,$-2,$36,$-24,$0,$0,$0,$-4,$-4,$-8,$0,$-12,$45,$10,$-8
8,2016-09-30,14.21,$3.89,3.65,$3.97,3.58,$0.69,20.69,$0.60,23.68,$0.23B,$0.08B,2.85,$0.00B,$0.22B,0.0,$0.23B,$0.17B,72.05%,$0.23B,$0.03B,14.85%,$0.23B,$0.03B,14.85%,$0.23B,$0.03B,14.85%,$0.23B,$0.04B,16.16%,$0.23B,$0.04B,15.28%,$0.04B,$0.22B,17.01%,$0.04B,$0.22B,17.05%,$0.04B,$0.30B,12.84%,$0.03B,$0.22B,16.52%,$72,$18,$54,$3,$34,$55,$17,$2,$19,$1,$18,$18,$18,$17,$17,$56,59,$0.32,$0.31,$189,$0,$0,$228,$39,$4,$1,$27,$71,$299,$80,$0,$1,$1,$81,$0,$80,$6,$218,$299,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
9,2016-06-30,10.14,$3.60,2.82,$3.75,2.7,$0.69,14.76,$0.53,19.12,$0.20B,$0.07B,3.04,$0.00B,$0.20B,0.0,$0.22B,$0.16B,71.89%,$0.22B,$0.03B,14.75%,$0.22B,$0.03B,14.75%,$0.22B,$0.03B,14.75%,$0.22B,$0.03B,14.75%,$0.22B,$0.03B,14.29%,$0.03B,$0.20B,15.54%,$0.03B,$0.20B,15.56%,$0.03B,$0.27B,11.97%,$0.03B,$0.20B,16.04%,$56,$17,$39,$2,$31,$50,$6,$1,$7,$1,$7,$7,$7,$6,$6,$56,59,$0.12,$0.11,$166,$0,$0,$201,$37,$4,$1,$25,$67,$268,$66,$0,$1,$1,$67,$0,$68,$-8,$201,$268,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
