,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,11.55,$13.45,0.86,$4.46,2.59,$2.03,5.68,$-0.55,0.0,$0.63B,$0.67B,0.93,$5.50B,$2.81B,1.96,$0.69B,$0.49B,71.45%,$0.69B,$0.04B,5.80%,$0.69B,$0.04B,5.80%,$0.69B,$0.39B,56.81%,$0.69B,$-0.27B,-39.42%,$0.69B,$-0.09B,-12.32%,$-0.09B,$2.81B,-3.28%,$-0.09B,$0.70B,-8.57%,$-0.09B,$9.58B,-1.07%,$0.04B,$8.31B,0.58%,$246,$59,$187,$0,$25,$189,$57,$-70,$-13,$6,$-19,$-19,$-34,$174,$57,$209,209,$-0.16,$-0.16,$378,$0,$0,$628,$0,$0,$2115,$6833,$8948,$9576,$674,$5500,$328,$6089,$6763,$2,$-335,$44,$2813,$9576,$-123,$277,$2,$279,$-19,$0,$0,$27,$-5,$151,$-15,$0,$-890,$0,$0,$0,$31,$-875,$472,$0,$472,$650,$650,$-117,$8,$1013,$285,$0,$-117
1,2018-06-30,11.7,$13.81,0.85,$4.94,2.37,$2.30,5.08,$-0.70,0.0,$0.61B,$0.69B,0.89,$5.50B,$2.89B,1.91,$0.60B,$0.42B,69.68%,$0.60B,$0.01B,1.34%,$0.60B,$0.01B,1.34%,$0.60B,$0.32B,54.27%,$0.60B,$-0.30B,-49.58%,$0.60B,$-0.08B,-13.40%,$-0.08B,$2.89B,-3.14%,$-0.08B,$0.74B,-6.63%,$-0.08B,$9.70B,-1.10%,$0.01B,$8.39B,0.13%,$180,$50,$130,$0,$24,$153,$27,$-50,$-23,$4,$-28,$-28,$-21,$109,$27,$162,162,$-0.13,$-0.13,$378,$0,$0,$613,$0,$0,$2149,$6940,$9088,$9701,$686,$5503,$323,$6128,$6814,$2,$-301,$37,$2887,$9701,$-104,$159,$6,$166,$-6,$0,$0,$28,$14,$75,$-10,$0,$-836,$0,$0,$0,$6,$-840,$381,$0,$381,$650,$650,$-69,$96,$1059,$291,$0,$-69
2,2018-03-31,10.55,$15.39,0.69,$5.66,1.86,$2.44,4.32,$-0.51,0.0,$0.32B,$0.50B,0.64,$3.20B,$2.28B,1.41,$0.59B,$0.42B,71.72%,$0.59B,$0.01B,1.19%,$0.59B,$0.01B,1.19%,$0.59B,$0.32B,54.34%,$0.59B,$-0.28B,-46.85%,$0.59B,$-0.05B,-8.35%,$-0.05B,$2.28B,-1.96%,$-0.05B,$1.22B,-3.47%,$-0.05B,$6.26B,-0.73%,$0.01B,$5.48B,0.13%,$128,$37,$90,$0,$28,$150,$-22,$-55,$-77,$-1,$-76,$-76,$83,$56,$-22,$148,148,$0.56,$0.56,$205,$0,$0,$324,$0,$0,$1058,$4878,$5935,$6259,$504,$3203,$192,$3475,$3979,$1,$-291,$30,$2279,$6259,$-76,$78,$20,$98,$-6,$0,$0,$19,$31,$52,$-3,$0,$0,$0,$0,$0,$4,$1,$0,$0,$0,$0,$0,$-34,$9,$-25,$29,$0,$-34
3,2017-12-31,11.57,$16.12,0.72,$6.44,1.8,$2.47,4.69,$-1.44,0.0,$0.34B,$0.51B,0.67,$3.20B,$2.39B,1.34,$0.61B,$0.44B,72.46%,$0.61B,$0.04B,6.72%,$0.61B,$0.04B,6.72%,$0.61B,$0.35B,57.54%,$0.61B,$-0.26B,-41.80%,$0.61B,$-0.16B,-26.89%,$-0.16B,$2.39B,-6.31%,$-0.16B,$1.31B,-10.95%,$-0.16B,$6.39B,-2.33%,$0.04B,$5.58B,0.81%,$136,$50,$86,$0,$47,$157,$-22,$-138,$-159,$-20,$-139,$-139,$-113,$53,$-22,$104,104,$-1.05,$-1.05,$182,$0,$0,$342,$0,$0,$1078,$4968,$6045,$6387,$514,$3195,$192,$3485,$3999,$1,$-387,$48,$2388,$6387,$-233,$310,$25,$335,$-3,$0,$0,$11,$-35,$67,$0,$0,$175,$0,$6,$6,$26,$206,$-450,$0,$-450,$0,$0,$-317,$-23,$-790,$-458,$17,$-317
4,2017-09-30,12.79,$18.86,0.68,$6.63,1.93,$3.93,3.25,$-1.56,0.0,$0.76B,$0.90B,0.84,$2.87B,$2.65B,1.08,$0.61B,$0.47B,77.01%,$0.61B,$0.01B,0.99%,$0.61B,$0.01B,0.99%,$0.61B,$0.38B,61.90%,$0.61B,$-0.23B,-38.42%,$0.61B,$-0.13B,-21.84%,$-0.13B,$2.65B,-4.96%,$-0.13B,$1.56B,-8.51%,$-0.13B,$6.87B,-1.80%,$0.01B,$5.52B,0.12%,$153,$43,$110,$0,$24,$129,$25,$-62,$-37,$-1,$-36,$-36,$-29,$106,$25,$92,92,$-0.31,$-0.31,$589,$0,$0,$756,$0,$0,$1096,$5014,$6115,$6871,$896,$2865,$184,$3324,$4220,$1,$-285,$57,$2651,$6871,$-94,$235,$-28,$207,$-19,$0,$0,$-1,$-21,$92,$-7,$0,$183,$0,$0,$0,$24,$199,$-395,$0,$-395,$0,$0,$-23,$0,$-418,$-68,$7,$-23
5,2017-06-30,11.61,$19.05,0.61,$6.93,1.68,$4.15,2.8,$-1.54,0.0,$1.04B,$1.94B,0.54,$2.10B,$2.68B,0.79,$0.63B,$0.50B,78.39%,$0.63B,$0.03B,5.05%,$0.63B,$0.03B,5.05%,$0.63B,$0.39B,62.15%,$0.63B,$-0.22B,-35.33%,$0.63B,$-0.13B,-20.50%,$-0.13B,$2.68B,-4.76%,$-0.13B,$1.57B,-8.27%,$-0.13B,$7.16B,-1.70%,$0.03B,$4.78B,0.67%,$170,$36,$135,$0,$45,$145,$26,$-28,$-2,$-1,$-2,$-2,$10,$104,$26,$92,93,$0.08,$0.08,$860,$0,$0,$1040,$0,$0,$1110,$5009,$6124,$7164,$1936,$2100,$181,$2552,$4488,$1,$-259,$42,$2675,$7164,$-58,$154,$-26,$128,$-30,$0,$0,$5,$-14,$55,$-5,$0,$177,$0,$0,$0,$22,$194,$-117,$0,$-117,$0,$0,$-17,$7,$-127,$180,$5,$-17
6,2017-03-31,11.97,$19.10,0.63,$7.15,1.67,$4.13,2.9,$-1.83,0.0,$1.00B,$2.41B,0.41,$1.81B,$2.68B,0.68,$0.65B,$0.51B,78.19%,$0.65B,$0.07B,10.60%,$0.65B,$0.07B,10.60%,$0.65B,$0.43B,66.05%,$0.65B,$-0.27B,-40.71%,$0.65B,$-0.16B,-24.73%,$-0.16B,$2.68B,-5.80%,$-0.16B,$1.56B,-10.22%,$-0.16B,$7.76B,-2.04%,$0.07B,$4.50B,1.38%,$151,$40,$111,$0,$38,$139,$12,$-69,$-57,$-1,$-56,$-56,$-32,$88,$12,$92,92,$-0.37,$-0.37,$792,$0,$42,$997,$0,$0,$1125,$5628,$6760,$7757,$2409,$1814,$591,$2665,$5074,$1,$-266,$32,$2683,$7757,$-56,$75,$-2,$73,$-11,$0,$0,$10,$18,$35,$-2,$0,$0,$0,$0,$0,$0,$-2,$63,$0,$63,$0,$0,$-10,$7,$60,$112,$3,$-10
7,2016-12-31,12.39,$19.36,0.64,$7.26,1.71,$3.81,3.26,$-1.47,0.0,$0.89B,$2.40B,0.37,$1.74B,$2.72B,0.64,$0.65B,$0.52B,78.75%,$0.65B,$0.09B,13.76%,$0.65B,$0.09B,13.76%,$0.65B,$0.45B,69.27%,$0.65B,$-0.24B,-36.85%,$0.65B,$-0.13B,-19.72%,$-0.13B,$2.72B,-4.56%,$-0.13B,$1.58B,-8.12%,$-0.13B,$7.71B,-1.61%,$0.09B,$4.46B,1.72%,$135,$23,$113,$0,$29,$192,$-57,$-81,$-138,$-3,$-135,$-135,$-82,$79,$-57,$91,91,$-0.94,$-0.94,$680,$0,$62,$893,$0,$0,$1142,$5671,$6813,$7706,$2395,$1738,$591,$2593,$4988,$1,$-234,$23,$2718,$7706,$-242,$364,$68,$431,$3,$0,$0,$0,$2,$192,$0,$0,$-50,$0,$0,$0,$0,$-50,$-172,$0,$-172,$-0,$-0,$-24,$9,$-187,$-110,$6,$-24
8,2016-09-30,13.46,$20.36,0.66,$7.38,1.82,$3.58,3.76,$-1.28,0.0,$0.93B,$1.98B,0.47,$2.64B,$2.84B,0.93,$0.63B,$0.48B,77.12%,$0.63B,$0.06B,9.76%,$0.63B,$0.06B,9.76%,$0.63B,$0.34B,54.56%,$0.63B,$-0.28B,-44.00%,$0.63B,$-0.11B,-16.80%,$-0.11B,$2.84B,-3.64%,$-0.11B,$1.59B,-6.54%,$-0.11B,$8.00B,-1.29%,$0.06B,$5.48B,1.11%,$178,$40,$138,$0,$29,$127,$51,$-77,$-27,$1,$-28,$-28,$-26,$123,$51,$91,91,$-0.29,$-0.29,$677,$0,$71,$934,$0,$0,$1256,$5797,$7061,$7995,$1977,$2638,$267,$3177,$5154,$1,$-152,$11,$2841,$7995,$-106,$228,$48,$275,$-31,$0,$0,$-4,$-24,$145,$-42,$0,$-4,$0,$0,$0,$0,$-46,$-119,$0,$-119,$0,$0,$-19,$11,$-127,$-89,$4,$-19
9,2016-06-30,10.54,$20.47,0.52,$7.53,1.4,$3.80,2.77,$-1.02,0.0,$0.96B,$2.06B,0.47,$2.65B,$2.86B,0.93,$0.61B,$0.49B,79.51%,$0.61B,$0.07B,12.13%,$0.61B,$0.07B,12.13%,$0.61B,$0.34B,55.08%,$0.61B,$-0.24B,-40.00%,$0.61B,$-0.08B,-13.11%,$-0.08B,$2.86B,-2.86%,$-0.08B,$1.58B,-4.70%,$-0.08B,$8.11B,-1.06%,$0.07B,$5.51B,1.39%,$187,$40,$147,$0,$23,$125,$63,$-106,$-43,$2,$-45,$-45,$-21,$140,$63,$91,91,$-0.23,$-0.23,$723,$0,$62,$963,$0,$0,$1275,$5858,$7142,$8105,$2060,$2650,$268,$3190,$5249,$1,$-126,$4,$2855,$8105,$-78,$156,$39,$194,$-31,$0,$0,$-5,$-31,$84,$-37,$0,$-4,$0,$0,$0,$0,$-41,$-60,$0,$-60,$0,$0,$-14,$29,$-45,$-47,$2,$-14
