,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,21.65,$9.91,2.18,$32.11,0.67,$5.48,3.95,$-0.58,0.0,$0.27B,$0.17B,1.55,$0.09B,$0.33B,0.28,$1.06B,$0.19B,17.81%,$1.06B,$-0.03B,-2.45%,$1.06B,$-0.03B,-2.45%,$1.06B,$0.06B,5.37%,$1.06B,$-0.08B,-7.54%,$1.06B,$-0.02B,-1.79%,$-0.02B,$0.33B,-5.42%,$-0.02B,$0.21B,-9.73%,$-0.02B,$0.69B,-2.57%,$-0.03B,$0.42B,-5.45%,$265,$227,$38,$5,$21,$258,$7,$-48,$-41,$-7,$-34,$-34,$-34,$63,$7,$33,33,$-1.03,$-1.03,$37,$93,$0,$269,$218,$66,$119,$8,$422,$691,$173,$91,$9,$189,$362,$39,$475,$-183,$329,$691,$-1,$72,$-3,$69,$-13,$-9,$0,$-9,$24,$93,$-24,$0,$0,$0,$0,$0,$4,$-20,$-61,$0,$-61,$1,$1,$-11,$0,$-71,$0,$0,$-11
1,2018-06-30,23.5,$11.07,2.12,$31.61,0.74,$3.90,6.03,$0.70,33.57,$0.29B,$0.16B,1.8,$0.12B,$0.37B,0.34,$1.04B,$0.20B,18.70%,$1.04B,$-0.02B,-1.82%,$1.04B,$-0.02B,-1.82%,$1.04B,$0.02B,1.82%,$1.04B,$-0.03B,-2.49%,$1.04B,$0.02B,2.21%,$0.02B,$0.37B,6.35%,$0.02B,$0.20B,12.15%,$0.02B,$0.75B,2.99%,$-0.02B,$0.49B,-3.72%,$270,$219,$51,$5,$21,$249,$21,$-2,$19,$5,$15,$15,$15,$29,$21,$33,33,$0.45,$0.44,$62,$85,$0,$290,$217,$68,$166,$9,$465,$754,$161,$123,$8,$226,$387,$38,$513,$-182,$367,$754,$33,$17,$0,$17,$-15,$-1,$0,$-5,$19,$72,$-13,$0,$0,$0,$0,$0,$4,$-9,$-29,$0,$-29,$1,$1,$-7,$0,$-35,$26,$0,$-7
2,2018-03-31,17.87,$10.96,1.63,$32.00,0.56,$1.99,8.96,$1.60,11.17,$0.29B,$0.15B,1.95,$0.14B,$0.36B,0.39,$1.06B,$0.22B,21.14%,$1.06B,$0.01B,0.85%,$1.06B,$0.01B,0.85%,$1.06B,$0.05B,4.64%,$1.06B,$0.00B,0.19%,$1.06B,$0.05B,4.93%,$0.05B,$0.36B,14.44%,$0.05B,$0.20B,28.65%,$0.05B,$0.76B,6.64%,$0.01B,$0.50B,1.72%,$267,$212,$55,$4,$22,$242,$25,$-2,$23,$5,$18,$18,$18,$34,$25,$33,33,$0.55,$0.55,$36,$85,$0,$285,$222,$62,$168,$9,$470,$756,$146,$141,$9,$246,$393,$35,$502,$-172,$363,$756,$18,$9,$-1,$8,$-14,$2,$0,$-0,$-11,$15,$-5,$0,$0,$0,$0,$0,$4,$-1,$24,$0,$24,$-0,$-0,$-4,$-35,$-15,$-0,$0,$-4
3,2017-12-31,19.0,$10.41,1.82,$30.72,0.62,$1.42,13.41,$1.16,16.38,$0.28B,$0.15B,1.88,$0.15B,$0.34B,0.44,$1.01B,$0.20B,20.16%,$1.01B,$-0.01B,-0.89%,$1.01B,$-0.01B,-0.89%,$1.01B,$0.03B,3.06%,$1.01B,$-0.02B,-1.48%,$1.01B,$0.04B,3.75%,$0.04B,$0.34B,10.89%,$0.04B,$0.18B,23.10%,$0.04B,$0.76B,4.83%,$-0.01B,$0.50B,-1.71%,$259,$215,$45,$4,$24,$339,$-79,$-2,$-81,$-63,$-18,$-18,$-18,$-69,$-79,$33,33,$-0.54,$-0.54,$36,$87,$0,$284,$223,$54,$169,$9,$472,$756,$151,$152,$8,$261,$412,$35,$487,$-177,$344,$756,$38,$40,$37,$77,$-11,$-9,$0,$-7,$-30,$88,$-44,$0,$-87,$0,$0,$0,$6,$-126,$57,$0,$57,$1,$1,$-15,$0,$43,$7,$0,$-15
4,2017-09-30,17.71,$11.32,1.56,$29.12,0.61,$0.26,68.99,$1.75,10.12,$0.26B,$0.14B,1.88,$0.18B,$0.37B,0.47,$0.96B,$0.19B,19.60%,$0.96B,$0.07B,7.72%,$0.96B,$0.07B,7.72%,$0.96B,$0.11B,11.68%,$0.96B,$0.07B,7.19%,$0.96B,$0.06B,6.05%,$0.06B,$0.37B,17.02%,$0.06B,$0.19B,36.14%,$0.06B,$0.81B,7.63%,$0.07B,$0.55B,14.68%,$247,$203,$44,$4,$21,$233,$14,$-2,$13,$4,$8,$8,$8,$25,$14,$33,33,$0.25,$0.25,$32,$82,$0,$258,$310,$0,$188,$56,$554,$812,$137,$177,$98,$301,$438,$34,$509,$-167,$374,$812,$56,$30,$-17,$13,$-17,$-4,$0,$-5,$-18,$54,$-37,$0,$-87,$0,$0,$0,$0,$-124,$82,$0,$82,$1,$1,$-11,$0,$72,$2,$0,$-11
5,2017-06-30,14.91,$10.88,1.37,$27.96,0.53,$-0.09,0.0,$1.87,7.97,$0.26B,$0.13B,1.93,$0.19B,$0.36B,0.52,$0.92B,$0.18B,19.35%,$0.92B,$0.07B,7.61%,$0.92B,$0.07B,7.61%,$0.92B,$0.11B,11.41%,$0.92B,$0.07B,7.07%,$0.92B,$0.06B,6.74%,$0.06B,$0.36B,18.97%,$0.06B,$0.17B,39.94%,$0.06B,$0.81B,8.60%,$0.07B,$0.55B,14.93%,$282,$203,$79,$5,$21,$233,$49,$-2,$47,$3,$44,$44,$44,$59,$49,$33,33,$1.34,$1.34,$24,$84,$0,$258,$305,$0,$189,$56,$550,$808,$134,$187,$102,$315,$449,$34,$504,$-177,$359,$808,$48,$19,$-17,$2,$-20,$-7,$0,$-1,$-29,$22,$-27,$0,$-87,$0,$0,$0,$0,$-114,$92,$0,$92,$1,$1,$-7,$0,$86,$-5,$0,$-7
6,2017-03-31,17.04,$9.65,1.77,$25.80,0.66,$0.06,268.35,$0.63,27.05,$0.24B,$0.13B,1.82,$0.19B,$0.32B,0.61,$0.85B,$0.13B,15.47%,$0.85B,$0.03B,3.19%,$0.85B,$0.03B,3.19%,$0.85B,$0.06B,7.08%,$0.85B,$0.02B,2.72%,$0.85B,$0.02B,2.48%,$0.02B,$0.32B,6.70%,$0.02B,$0.13B,13.93%,$0.02B,$0.77B,3.09%,$0.03B,$0.51B,6.25%,$224,$188,$36,$5,$20,$217,$7,$-1,$6,$2,$4,$4,$4,$16,$7,$33,33,$0.11,$0.11,$29,$76,$0,$239,$303,$0,$192,$34,$528,$768,$131,$193,$103,$317,$449,$33,$464,$-176,$319,$768,$4,$9,$-2,$7,$-12,$1,$0,$-1,$-7,$4,$-13,$0,$-87,$0,$0,$0,$0,$-100,$122,$0,$122,$1,$1,$-4,$-24,$95,$-1,$0,$-4
7,2016-12-31,23.16,$9.44,2.45,$25.37,0.91,$0.26,89.21,$0.74,31.3,$0.21B,$0.12B,1.74,$0.10B,$0.31B,0.31,$0.83B,$0.13B,16.00%,$0.83B,$0.03B,3.85%,$0.83B,$0.03B,3.85%,$0.83B,$0.06B,7.58%,$0.83B,$0.03B,3.25%,$0.83B,$0.02B,2.89%,$0.02B,$0.31B,7.83%,$0.02B,$0.16B,15.64%,$0.02B,$0.65B,3.71%,$0.03B,$0.41B,7.93%,$206,$177,$29,$5,$19,$202,$4,$-1,$3,$1,$2,$2,$2,$12,$4,$33,33,$0.06,$0.06,$30,$66,$0,$208,$261,$20,$151,$10,$443,$651,$120,$95,$9,$220,$340,$32,$464,$-183,$311,$651,$24,$32,$5,$38,$0,$1,$0,$-10,$-16,$49,$-43,$0,$0,$0,$0,$0,$1,$-42,$-9,$0,$-9,$2,$2,$-14,$-3,$-24,$-15,$0,$-14
8,2016-09-30,17.86,$9.66,1.85,$25.13,0.71,$1.40,12.76,$0.51,35.01,$0.22B,$0.13B,1.74,$0.09B,$0.32B,0.29,$0.82B,$0.12B,15.10%,$0.82B,$0.02B,2.80%,$0.82B,$0.02B,2.80%,$0.82B,$0.05B,6.58%,$0.82B,$0.02B,2.19%,$0.82B,$0.02B,1.95%,$0.02B,$0.32B,5.39%,$0.02B,$0.17B,11.13%,$0.02B,$0.66B,2.50%,$0.02B,$0.41B,5.80%,$208,$174,$34,$5,$17,$198,$10,$-1,$9,$-3,$12,$12,$12,$18,$10,$33,33,$0.37,$0.37,$28,$73,$0,$217,$257,$0,$153,$29,$439,$656,$125,$92,$101,$213,$338,$32,$465,$-178,$318,$656,$23,$24,$2,$26,$-5,$-5,$0,$-1,$-17,$35,$-30,$0,$0,$0,$0,$0,$0,$-30,$-12,$0,$-12,$2,$2,$-11,$-3,$-24,$-16,$0,$-11
9,2016-06-30,15.39,$9.32,1.65,$25.66,0.6,$1.58,9.73,$-0.99,0.0,$0.21B,$0.12B,1.79,$0.09B,$0.31B,0.31,$0.84B,$0.12B,14.81%,$0.84B,$0.03B,2.99%,$0.84B,$0.03B,2.99%,$0.84B,$0.10B,12.19%,$0.84B,$-0.02B,-2.87%,$0.84B,$-0.03B,-3.94%,$-0.03B,$0.31B,-11.46%,$-0.03B,$0.15B,-24.54%,$-0.03B,$0.64B,-5.15%,$0.03B,$0.40B,6.29%,$209,$177,$32,$5,$20,$203,$6,$-1,$5,$1,$3,$3,$3,$14,$6,$33,33,$0.10,$0.10,$27,$67,$0,$205,$252,$0,$154,$31,$437,$642,$115,$94,$107,$221,$336,$30,$457,$-179,$306,$642,$11,$16,$1,$17,$-4,$1,$0,$-1,$-11,$18,$-18,$0,$0,$0,$0,$0,$0,$-18,$-10,$0,$-10,$-0,$-0,$-7,$-3,$-20,$-17,$0,$-7
