,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,3.15,$1.31,2.4,$1.51,2.09,$-0.30,0.0,$-0.02,0.0,$0.02B,$0.01B,2.02,$0.00B,$0.03B,0.0,$0.04B,$0.01B,38.89%,$0.04B,$-0.00B,-5.56%,$0.04B,$-0.00B,-5.56%,$0.04B,0,0.00%,$0.04B,$-0.00B,-5.56%,$0.04B,$-0.00B,-5.56%,$-0.00B,$0.03B,-5.97%,$-0.00B,$0.02B,-11.94%,$-0.00B,$0.05B,-3.88%,$-0.00B,$0.03B,-5.97%,$8,$5,$3,$0,$3,$9,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$25,25,$-0.02,$-0.02,$0,$6,$0,$23,$11,$0,$16,$0,$28,$51,$11,$0,$7,$7,$18,$0,$-24,$0,$33,$51,$-1,$1,$0,$1,$-2,$-1,$-0,$0,$-2,$-2,$-0,$-0,$0,$0,$0,$0,$-0,$-0,$-1,$2,$1,$0,$0,$0,$-0,$1,$-2,$0,$0
1,2018-06-30,3.72,$1.33,2.79,$1.53,2.43,$-0.29,0.0,$-0.02,0.0,$0.02B,$0.01B,2.08,$0.00B,$0.03B,0.0,$0.04B,$0.01B,37.84%,$0.04B,$-0.00B,-2.70%,$0.04B,$-0.00B,-2.70%,$0.04B,0,0.00%,$0.04B,$-0.00B,-2.70%,$0.04B,$-0.00B,-2.70%,$-0.00B,$0.03B,-2.99%,$-0.00B,$0.02B,-4.88%,$-0.00B,$0.05B,-1.89%,$-0.00B,$0.03B,-2.92%,$8,$5,$3,$0,$3,$9,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$25,25,$-0.03,$-0.03,$1,$6,$0,$23,$11,$0,$16,$0,$28,$51,$11,$0,$7,$7,$18,$0,$-24,$0,$33,$51,$-1,$0,$-0,$0,$-2,$-0,$-1,$0,$-2,$-3,$-0,$-0,$0,$0,$0,$0,$-0,$0,$-1,$3,$2,$0,$0,$0,$-0,$2,$-1,$0,$0
2,2018-03-31,2.86,$1.36,2.1,$1.52,1.88,$-0.22,0.0,0,0.0,$0.02B,$0.01B,2.16,$0.00B,$0.03B,0.0,$0.04B,$0.01B,37.84%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.03B,0.00%,$10,$6,$4,$0,$3,$10,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$25,25,$0.00,$0.00,$1,$5,$0,$24,$12,$0,$16,$0,$29,$53,$11,$0,$7,$8,$19,$0,$-23,$0,$34,$53,$0,$0,$0,$0,$-1,$0,$1,$-1,$-1,$-1,$-0,$-0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$0
3,2017-12-31,2.7,$1.36,1.98,$1.45,1.87,$-0.27,0.0,0,0.0,$0.02B,$0.01B,2.49,$0.00B,$0.03B,0.0,$0.03B,$0.01B,38.24%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.05B,0.00%,$0.00B,$0.03B,0.00%,$10,$6,$4,$0,$3,$10,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$23,23,$0.01,$0.01,$2,$5,$0,$22,$12,$0,$16,$0,$29,$51,$9,$0,$8,$8,$17,$0,$-23,$-0,$34,$51,$0,$1,$0,$1,$-0,$-0,$1,$-2,$-1,$-1,$-1,$-0,$1,$0,$2,$2,$-0,$2,$-3,$0,$-3,$0,$0,$0,$0,$-3,$-2,$0,$0
4,2017-09-30,3.19,$1.35,2.37,$1.37,2.32,$-0.37,0.0,$-0.01,0.0,$0.02B,$0.01B,2.51,$0.00B,$0.03B,0.09,$0.03B,$0.01B,38.71%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.06B,0.00%,$0.00B,$0.04B,0.00%,$9,$5,$3,$0,$3,$8,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$25,25,$0.00,$0.00,$2,$6,$0,$24,$16,$0,$2,$15,$33,$57,$9,$3,$10,$14,$23,$0,$-23,$-0,$33,$57,$-0,$0,$0,$1,$-2,$-1,$2,$-1,$-2,$-2,$-0,$-0,$1,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
5,2017-06-30,3.33,$1.34,2.48,$1.36,2.45,$-0.43,0.0,0,0.0,$0.02B,$0.01B,2.69,$0.00B,$0.03B,0.1,$0.03B,$0.01B,41.38%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.06B,0.00%,$0.00B,$0.04B,0.00%,$8,$5,$3,$0,$3,$8,$-0,$-0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$23,23,$-0.01,$-0.01,$3,$6,$0,$23,$16,$0,$2,$15,$33,$56,$8,$3,$10,$14,$22,$0,$-23,$-0,$33,$56,$-0,$0,$0,$0,$0,$-1,$1,$-1,$-1,$-1,$-0,$-0,$1,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$0
6,2017-03-31,3.79,$0.73,5.16,$1.33,2.85,$-0.46,0.0,$-0.01,0.0,$0.02B,$0.01B,3.39,$0.00B,$0.02B,0.21,$0.03B,$0.01B,40.74%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$7,$4,$3,$0,$3,$7,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$20,20,$0.00,$0.00,$2,$6,$0,$21,$1,$0,$1,$2,$4,$24,$6,$3,$0,$4,$10,$0,$-23,$0,$15,$24,$0,$0,$0,$0,$-0,$-1,$1,$-0,$-2,$-2,$-0,$-0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$-2,$0,$0
7,2016-12-31,4.2,$0.73,5.78,$1.27,3.31,$-0.44,0.0,$-0.06,0.0,$0.02B,$0.01B,3.57,$0.00B,$0.02B,0.22,$0.03B,$0.01B,40.00%,$0.03B,$-0.00B,-4.00%,$0.03B,$-0.00B,-4.00%,$0.03B,$-0.00B,-4.00%,$0.03B,$-0.00B,-4.00%,$0.03B,$-0.00B,-4.00%,$-0.00B,$0.02B,-7.69%,$-0.00B,$0.01B,-8.70%,$-0.00B,$0.02B,-4.71%,$-0.00B,$0.02B,-6.25%,$7,$4,$3,$0,$3,$7,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$19,19,$0.00,$0.00,$4,$5,$0,$20,$1,$0,$1,$2,$4,$24,$6,$3,$0,$4,$9,$0,$-23,$0,$15,$24,$-1,$0,$0,$0,$-3,$1,$0,$0,$-2,$-3,$-0,$-0,$0,$0,$-2,$-2,$0,$-2,$0,$0,$0,$3,$3,$0,$-0,$3,$-2,$0,$0
8,2016-09-30,4.16,$0.72,5.77,$1.15,3.61,$-0.58,0.0,$-0.10,0.0,$0.02B,$0.01B,3.72,$0.00B,$0.01B,0.22,$0.02B,$0.01B,40.91%,$0.02B,$-0.00B,-9.09%,$0.02B,$-0.00B,-9.09%,$0.02B,$-0.00B,-9.09%,$0.02B,$-0.00B,-9.09%,$0.02B,$-0.00B,-9.09%,$-0.00B,$0.01B,-16.33%,$-0.00B,$0.01B,-18.18%,$-0.00B,$0.02B,-9.76%,$-0.00B,$0.02B,-13.11%,$7,$4,$3,$0,$2,$6,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$20,20,$0.01,$0.01,$4,$5,$0,$20,$1,$2,$1,$0,$4,$23,$5,$3,$0,$4,$9,$0,$-23,$0,$14,$23,$-1,$0,$0,$0,$-3,$1,$-0,$0,$-2,$-3,$-0,$-0,$0,$0,$-2,$-2,$0,$-2,$0,$0,$0,$3,$3,$0,$-0,$3,$-2,$0,$0
9,2016-06-30,5.1,$0.58,8.75,$1.10,4.64,$-0.63,0.0,$-0.17,0.0,$0.02B,$0.00B,3.89,$0.00B,$0.01B,0.28,$0.02B,$0.01B,40.00%,$0.02B,$-0.00B,-15.00%,$0.02B,$-0.00B,-15.00%,$0.02B,$-0.00B,-15.00%,$0.02B,$-0.00B,-15.00%,$0.02B,$-0.00B,-15.00%,$-0.00B,$0.01B,-26.67%,$-0.00B,$0.01B,-30.00%,$-0.00B,$0.02B,-15.58%,$-0.00B,$0.01B,-21.43%,$6,$4,$2,$0,$2,$6,$-0,$-0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$19,19,$-0.02,$-0.02,$4,$5,$0,$17,$1,$0,$1,$0,$2,$19,$4,$3,$0,$3,$8,$0,$-23,$0,$11,$19,$-1,$0,$0,$0,$-1,$1,$-1,$1,$-0,$-1,$-0,$-0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$-1,$0,$0
