,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,12.8,$21.98,0.58,$9.63,1.33,$-9.89,0.0,$0.96,13.33,$0.36B,$0.48B,0.74,$3.00B,$1.26B,2.39,$0.55B,$0.48B,87.50%,$0.55B,$0.18B,33.15%,$0.55B,$0.18B,33.15%,$0.55B,$0.43B,77.36%,$0.55B,$0.06B,11.41%,$0.55B,$0.06B,10.14%,$0.06B,$1.26B,4.53%,$0.06B,$1.25B,4.56%,$0.06B,$4.76B,1.22%,$0.18B,$4.26B,4.48%,$149,$22,$128,$0,$12,$112,$37,$-35,$2,$-0,$3,$3,$2,$101,$37,$57,57,$0.03,$0.03,$205,$0,$44,$356,$2,$116,$8,$99,$4401,$4758,$480,$3003,$11,$3022,$3502,$1,$802,$-0,$1256,$4758,$41,$185,$-3,$183,$0,$0,$0,$-1,$-1,$223,$-466,$0,$0,$0,$0,$0,$45,$-421,$212,$0,$212,$0,$0,$0,$-12,$200,$2,$6,$0
1,2018-06-30,15.9,$21.88,0.73,$9.22,1.72,$-1.52,0.0,$1.25,12.72,$0.36B,$0.62B,0.57,$2.71B,$1.25B,2.17,$0.53B,$0.47B,88.66%,$0.53B,$0.19B,36.11%,$0.53B,$0.19B,36.11%,$0.53B,$0.43B,81.47%,$0.53B,$0.08B,14.37%,$0.53B,$0.07B,13.61%,$0.07B,$1.25B,5.90%,$0.07B,$1.24B,5.95%,$0.07B,$4.60B,1.62%,$0.19B,$3.96B,4.81%,$141,$17,$124,$0,$11,$88,$52,$-33,$20,$1,$19,$19,$18,$113,$52,$57,57,$0.31,$0.30,$210,$0,$37,$358,$2,$127,$8,$110,$4241,$4600,$624,$2707,$11,$2725,$3350,$1,$800,$-0,$1250,$4600,$39,$121,$-15,$107,$0,$0,$0,$-15,$-15,$131,$-387,$0,$0,$0,$0,$0,$27,$-359,$871,$-626,$244,$0,$0,$0,$-5,$239,$11,$3,$0
2,2018-03-31,16.95,$21.58,0.79,$8.87,1.91,$5.73,2.96,$0.79,21.46,$0.39B,$0.43B,0.91,$2.93B,$1.23B,2.38,$0.51B,$0.45B,88.56%,$0.51B,$0.17B,34.12%,$0.51B,$0.17B,34.12%,$0.51B,$0.42B,83.23%,$0.51B,$0.05B,10.06%,$0.51B,$0.05B,8.88%,$0.05B,$1.23B,3.75%,$0.05B,$1.22B,3.78%,$0.05B,$4.60B,1.04%,$0.17B,$4.16B,4.39%,$133,$16,$117,$0,$10,$85,$49,$-28,$21,$1,$20,$20,$19,$109,$49,$57,58,$0.33,$0.33,$238,$0,$37,$388,$2,$126,$9,$107,$4215,$4603,$427,$2926,$11,$2944,$3371,$1,$782,$-0,$1232,$4603,$20,$60,$-7,$53,$0,$0,$0,$-8,$-8,$65,$-221,$0,$0,$0,$0,$0,$13,$-208,$181,$0,$181,$0,$0,$0,$-3,$178,$35,$2,$0
3,2017-12-31,21.5,$21.20,1.01,$8.61,2.5,$9.66,2.23,$0.34,63.24,$0.34B,$0.40B,0.85,$2.76B,$1.21B,2.28,$0.49B,$0.43B,87.17%,$0.49B,$0.14B,29.33%,$0.49B,$0.14B,29.33%,$0.49B,$0.40B,81.26%,$0.49B,$0.02B,4.48%,$0.49B,$0.02B,3.87%,$0.02B,$1.21B,1.60%,$0.02B,$1.20B,1.62%,$0.02B,$4.38B,0.45%,$0.14B,$3.97B,3.79%,$129,$15,$114,$0,$11,$84,$45,$-26,$20,$1,$18,$18,$17,$104,$45,$57,57,$0.29,$0.30,$195,$0,$34,$335,$2,$126,$11,$113,$4045,$4380,$396,$2757,$11,$2774,$3170,$1,$764,$-0,$1210,$4380,$21,$256,$-16,$240,$-7,$0,$-5,$-1,$-10,$251,$-165,$0,$0,$0,$0,$0,$79,$-85,$-41,$0,$-41,$1,$1,$0,$-30,$-70,$95,$6,$0
4,2017-09-30,17.15,$20.77,0.83,$8.47,2.02,$6.37,2.69,$0.03,571.67,$0.31B,$0.37B,0.85,$2.62B,$1.19B,2.19,$0.48B,$0.41B,85.27%,$0.48B,$0.11B,22.61%,$0.48B,$0.11B,22.61%,$0.48B,$0.37B,77.39%,$0.48B,$0.00B,0.21%,$0.48B,$0.00B,0.41%,$0.00B,$1.19B,0.17%,$0.00B,$1.18B,0.17%,$0.00B,$4.20B,0.05%,$0.11B,$3.81B,2.86%,$126,$12,$114,$0,$10,$81,$45,$-30,$15,$-5,$20,$20,$18,$105,$45,$57,57,$0.33,$0.32,$185,$0,$26,$314,$2,$139,$12,$91,$3883,$4197,$371,$2616,$11,$2634,$3004,$1,$746,$-0,$1193,$4197,$2,$197,$-7,$190,$0,$0,$0,$4,$4,$196,$40,$0,$0,$0,$0,$0,$61,$101,$-209,$0,$-209,$0,$0,$0,$-26,$-234,$63,$5,$0
5,2017-06-30,14.5,$20.60,0.7,$8.40,1.73,$0.94,15.5,$-1.10,0.0,$0.34B,$0.31B,1.12,$2.66B,$1.17B,2.28,$0.48B,$0.40B,83.40%,$0.48B,$0.03B,5.25%,$0.48B,$0.03B,5.25%,$0.48B,$0.30B,63.03%,$0.48B,$-0.07B,-14.71%,$0.48B,$-0.06B,-13.24%,$-0.06B,$1.17B,-5.34%,$-0.06B,$1.16B,-5.41%,$-0.06B,$4.16B,-1.48%,$0.03B,$3.83B,0.64%,$119,$16,$104,$0,$9,$86,$34,$-38,$-5,$5,$-9,$-9,$-9,$104,$34,$57,57,$-0.16,$-0.16,$195,$0,$37,$343,$2,$152,$13,$98,$3820,$4163,$307,$2664,$11,$2686,$2993,$1,$728,$-0,$1170,$4163,$-18,$137,$-3,$134,$0,$0,$0,$1,$1,$118,$41,$0,$0,$0,$0,$0,$47,$88,$1356,$-1458,$-102,$0,$0,$0,$-20,$-122,$83,$3,$0
6,2017-03-31,15.3,$20.52,0.75,$8.55,1.79,$-2.25,0.0,$-0.97,0.0,$0.34B,$0.61B,0.56,$2.41B,$1.18B,2.05,$0.48B,$0.40B,83.06%,$0.48B,$0.02B,3.51%,$0.48B,$0.02B,3.51%,$0.48B,$0.28B,57.23%,$0.48B,$-0.07B,-13.64%,$0.48B,$-0.06B,-11.57%,$-0.06B,$1.18B,-4.68%,$-0.06B,$1.16B,-4.74%,$-0.06B,$4.22B,-1.30%,$0.02B,$3.59B,0.43%,$117,$21,$96,$0,$10,$97,$20,$-28,$-8,$0,$-8,$-8,$-7,$86,$20,$57,57,$-0.12,$-0.12,$156,$0,$37,$340,$2,$161,$14,$83,$3879,$4220,$613,$2410,$11,$2428,$3041,$1,$737,$-0,$1178,$4220,$-8,$66,$-1,$66,$0,$0,$0,$-11,$-11,$47,$23,$0,$0,$0,$0,$0,$18,$40,$-59,$0,$-59,$0,$0,$0,$-7,$-66,$21,$2,$0
7,2016-12-31,7.45,$20.86,0.36,$8.77,0.85,$-4.21,0.0,$-0.91,0.0,$0.32B,$0.26B,1.22,$2.83B,$1.19B,2.39,$0.50B,$0.42B,84.07%,$0.50B,$0.03B,5.24%,$0.50B,$0.03B,5.24%,$0.50B,$0.28B,55.65%,$0.50B,$-0.06B,-12.50%,$0.50B,$-0.05B,-10.69%,$-0.05B,$1.19B,-4.36%,$-0.05B,$1.17B,-4.42%,$-0.05B,$4.29B,-1.22%,$0.03B,$4.02B,0.63%,$120,$23,$97,$0,$9,$110,$10,$-11,$-1,$-1,$0,$0,$-0,$78,$10,$57,57,$0.00,$0.00,$149,$0,$31,$315,$2,$172,$15,$71,$3979,$4294,$257,$2833,$13,$2852,$3109,$1,$744,$-1,$1185,$4294,$-58,$251,$105,$356,$-12,$0,$2,$-13,$-20,$278,$-379,$0,$0,$0,$0,$0,$99,$-280,$31,$0,$31,$0,$0,$-29,$-7,$-5,$-7,$7,$-29
8,2016-09-30,7.49,$20.95,0.36,$8.93,0.84,$-2.98,0.0,$-0.52,0.0,$0.32B,$0.27B,1.2,$2.89B,$1.19B,2.43,$0.51B,$0.43B,85.77%,$0.51B,$0.06B,10.87%,$0.51B,$0.06B,10.87%,$0.51B,$0.29B,57.51%,$0.51B,$-0.03B,-6.72%,$0.51B,$-0.03B,-6.13%,$-0.03B,$1.19B,-2.51%,$-0.03B,$1.17B,-2.55%,$-0.03B,$4.37B,-0.71%,$0.06B,$4.07B,1.33%,$120,$20,$100,$0,$8,$160,$-39,$-16,$-56,$-3,$-52,$-52,$-47,$32,$-39,$57,57,$-0.83,$-0.83,$158,$0,$36,$320,$2,$182,$16,$45,$4050,$4370,$267,$2886,$24,$2917,$3184,$1,$746,$-0,$1186,$4370,$-58,$182,$112,$295,$0,$0,$0,$-21,$-21,$215,$-288,$0,$0,$0,$0,$0,$83,$-205,$-1,$0,$-1,$0,$0,$-29,$-2,$-31,$-22,$5,$-29
9,2016-06-30,11.14,$21.88,0.51,$9.20,1.21,$-2.99,0.0,$0.46,24.22,$0.37B,$0.21B,1.75,$2.87B,$1.24B,2.32,$0.52B,$0.46B,87.00%,$0.52B,$0.14B,26.39%,$0.52B,$0.14B,26.39%,$0.52B,$0.36B,68.45%,$0.52B,$0.03B,6.50%,$0.52B,$0.03B,5.16%,$0.03B,$1.24B,2.15%,$0.03B,$1.22B,2.18%,$0.03B,$4.37B,0.62%,$0.14B,$4.11B,3.30%,$127,$18,$109,$0,$8,$101,$26,$-27,$-1,$1,$-2,$-2,$-2,$81,$26,$57,57,$-0.03,$-0.03,$213,$0,$41,$374,$2,$259,$18,$42,$3991,$4365,$213,$2872,$30,$2914,$3127,$1,$795,$-0,$1238,$4365,$-6,$111,$58,$169,$0,$0,$0,$-19,$-19,$144,$-167,$0,$6,$0,$0,$0,$46,$-115,$-11,$0,$-11,$0,$0,$-27,$-2,$-40,$-10,$3,$-27
10,2016-03-31,14.84,$22.12,0.67,$9.37,1.58,$-4.92,0.0,$1.19,12.47,$0.37B,$0.14B,2.76,$2.95B,$1.25B,2.36,$0.53B,$0.47B,88.01%,$0.53B,$0.18B,32.77%,$0.53B,$0.18B,32.77%,$0.53B,$0.39B,72.66%,$0.53B,$0.08B,14.79%,$0.53B,$0.07B,12.92%,$0.07B,$1.25B,5.45%,$0.07B,$1.23B,5.54%,$0.07B,$4.37B,1.57%,$0.18B,$4.20B,4.14%,$129,$17,$111,$0,$10,$99,$29,$-33,$-4,$0,$-4,$-4,$-4,$85,$29,$57,57,$-0.07,$-0.07,$212,$0,$47,$374,$2,$285,$19,$42,$3999,$4373,$136,$2950,$25,$2986,$3122,$1,$810,$-0,$1251,$4373,$-4,$56,$30,$86,$0,$0,$0,$-11,$-11,$71,$-112,$0,$0,$0,$0,$0,$22,$-90,$-58,$92,$34,$0,$0,$0,$-15,$20,$0,$2,$0
11,2015-12-31,13.8,$22.39,0.62,$9.53,1.45,$-5.44,0.0,$1.87,7.38,$0.36B,$0.16B,2.23,$2.91B,$1.27B,2.3,$0.54B,$0.48B,88.97%,$0.54B,$0.21B,38.97%,$0.54B,$0.21B,38.97%,$0.54B,$0.42B,76.47%,$0.54B,$0.12B,22.24%,$0.54B,$0.11B,19.85%,$0.11B,$1.27B,8.50%,$0.11B,$1.25B,8.65%,$0.11B,$4.37B,2.44%,$0.21B,$4.18B,5.01%,$130,$16,$114,$0,$7,$92,$39,$-12,$27,$2,$24,$24,$22,$93,$39,$57,57,$0.38,$0.40,$202,$0,$49,$359,$2,$245,$20,$42,$4007,$4365,$161,$2914,$15,$2939,$3099,$1,$825,$-0,$1266,$4365,$114,$205,$47,$251,$-2,$0,$5,$8,$7,$372,$-404,$0,$0,$0,$0,$0,$98,$-306,$-47,$75,$27,$-9,$-9,$-94,$18,$-58,$9,$8,$-94
12,2015-09-30,15.84,$22.20,0.71,$9.79,1.62,$-10.35,0.0,$2.23,7.1,$0.35B,$0.16B,2.24,$2.96B,$1.27B,2.34,$0.56B,$0.50B,88.93%,$0.56B,$0.24B,43.21%,$0.56B,$0.24B,43.21%,$0.56B,$0.43B,76.79%,$0.56B,$0.14B,24.82%,$0.56B,$0.13B,23.21%,$0.13B,$1.27B,10.26%,$0.13B,$1.24B,10.45%,$0.13B,$4.41B,2.94%,$0.24B,$4.22B,5.73%,$137,$16,$121,$0,$9,$92,$44,$-32,$12,$2,$11,$11,$11,$99,$44,$57,57,$0.19,$0.18,$182,$0,$47,$348,$1,$263,$21,$61,$4061,$4409,$156,$2956,$24,$2988,$3144,$1,$819,$-0,$1265,$4409,$90,$150,$39,$189,$0,$0,$0,$0,$0,$279,$-353,$0,$0,$0,$0,$0,$76,$-277,$29,$22,$52,$0,$0,$-80,$14,$-15,$-13,$5,$-80
13,2015-06-30,24.39,$22.52,1.08,$9.93,2.46,$-11.29,0.0,$3.01,8.1,$0.34B,$0.15B,2.24,$3.01B,$1.28B,2.35,$0.57B,$0.50B,88.73%,$0.57B,$0.27B,47.89%,$0.57B,$0.27B,47.89%,$0.57B,$0.46B,80.28%,$0.57B,$0.18B,32.39%,$0.57B,$0.17B,30.46%,$0.17B,$1.28B,13.75%,$0.17B,$1.26B,14.02%,$0.17B,$4.47B,3.96%,$0.27B,$4.30B,6.59%,$138,$14,$124,$0,$10,$75,$63,$-19,$44,$1,$43,$43,$40,$111,$63,$57,57,$0.71,$0.70,$185,$0,$40,$341,$1,$292,$23,$66,$4129,$4470,$152,$3012,$16,$3034,$3187,$1,$836,$-0,$1284,$4470,$79,$95,$14,$109,$0,$0,$0,$-11,$-11,$177,$-311,$0,$0,$0,$0,$0,$49,$-261,$89,$19,$107,$0,$0,$0,$-38,$70,$-14,$4,$0
14,2015-03-31,27.69,$22.21,1.25,$9.96,2.78,$-10.01,0.0,$2.89,9.58,$0.34B,$0.20B,1.67,$2.96B,$1.27B,2.34,$0.57B,$0.50B,87.37%,$0.57B,$0.27B,48.07%,$0.57B,$0.27B,48.07%,$0.57B,$0.46B,81.23%,$0.57B,$0.18B,30.70%,$0.57B,$0.17B,29.12%,$0.17B,$1.27B,13.43%,$0.17B,$1.24B,13.71%,$0.17B,$4.45B,3.89%,$0.27B,$4.23B,6.84%,$139,$14,$125,$0,$10,$73,$66,$-28,$38,$1,$36,$36,$35,$113,$66,$57,57,$0.62,$0.62,$192,$0,$32,$336,$1,$280,$24,$72,$4117,$4453,$201,$2963,$17,$2987,$3188,$1,$822,$-0,$1266,$4453,$36,$47,$11,$59,$0,$0,$0,$-6,$-6,$89,$-160,$0,$0,$0,$0,$0,$23,$-138,$94,$-35,$59,$0,$0,$-27,$10,$43,$-6,$2,$-27
15,2014-12-31,31.24,$22.02,1.42,$9.90,3.16,$-10.02,0.0,$3.32,9.41,$0.34B,$0.18B,1.85,$2.90B,$1.25B,2.32,$0.57B,$0.49B,86.40%,$0.57B,$0.27B,48.06%,$0.57B,$0.27B,48.06%,$0.57B,$0.46B,81.10%,$0.57B,$0.18B,31.45%,$0.57B,$0.19B,33.75%,$0.19B,$1.25B,15.70%,$0.19B,$1.23B,16.06%,$0.19B,$4.36B,4.60%,$0.27B,$4.16B,7.00%,$146,$17,$128,$0,$10,$76,$69,$-24,$45,$1,$45,$45,$44,$107,$69,$57,57,$0.77,$0.76,$196,$0,$32,$340,$1,$280,$25,$83,$4019,$4359,$184,$2904,$13,$2923,$3107,$1,$814,$-0,$1252,$4359,$196,$185,$6,$191,$1,$0,$-2,$-14,$-22,$365,$-677,$0,$0,$0,$0,$0,$76,$-601,$244,$84,$328,$2,$2,$-107,$-1,$223,$-13,$7,$-107
16,2014-09-30,27.95,$21.69,1.29,$9.76,2.86,$-10.26,0.0,$3.38,8.27,$0.32B,$0.37B,0.87,$2.60B,$1.23B,2.11,$0.56B,$0.48B,86.36%,$0.56B,$0.27B,48.83%,$0.56B,$0.27B,48.83%,$0.56B,$0.46B,81.87%,$0.56B,$0.18B,32.14%,$0.56B,$0.19B,34.65%,$0.19B,$1.23B,16.23%,$0.19B,$1.21B,16.61%,$0.19B,$4.21B,4.78%,$0.27B,$3.83B,7.24%,$145,$17,$127,$0,$9,$71,$74,$-16,$57,$1,$56,$56,$54,$125,$74,$57,57,$0.96,$0.95,$172,$0,$30,$319,$1,$255,$26,$66,$3894,$4213,$366,$2598,$9,$2616,$2982,$1,$798,$0,$1231,$4213,$151,$148,$-11,$137,$0,$0,$0,$-30,$-30,$259,$-387,$0,$0,$0,$0,$0,$53,$-333,$65,$36,$101,$2,$2,$-80,$18,$41,$-33,$6,$-80
17,2014-06-30,34.22,$21.09,1.62,$9.57,3.58,$-12.14,0.0,$3.14,10.9,$0.33B,$0.19B,1.78,$2.62B,$1.20B,2.19,$0.55B,$0.47B,86.79%,$0.55B,$0.26B,48.07%,$0.55B,$0.26B,48.07%,$0.55B,$0.44B,80.92%,$0.55B,$0.16B,30.09%,$0.55B,$0.18B,32.84%,$0.18B,$1.20B,15.40%,$0.18B,$1.17B,15.79%,$0.18B,$4.02B,4.52%,$0.26B,$3.82B,7.10%,$140,$21,$118,$0,$9,$74,$65,$-31,$35,$1,$34,$34,$33,$118,$65,$57,57,$0.58,$0.58,$176,$0,$37,$331,$2,$222,$27,$45,$3694,$4024,$186,$2624,$10,$2642,$2828,$1,$770,$0,$1196,$4024,$95,$97,$-1,$96,$0,$0,$0,$-29,$-29,$162,$-222,$0,$0,$0,$0,$0,$34,$-187,$90,$-64,$26,$2,$2,$-53,$34,$8,$-18,$4,$-53
18,2014-03-31,33.5,$20.93,1.6,$9.41,3.56,$-14.07,0.0,$3.42,9.8,$0.32B,$0.25B,1.29,$2.55B,$1.19B,2.15,$0.54B,$0.47B,88.41%,$0.54B,$0.27B,50.28%,$0.54B,$0.27B,50.28%,$0.54B,$0.43B,80.93%,$0.54B,$0.18B,34.02%,$0.54B,$0.20B,36.45%,$0.20B,$1.19B,17.12%,$0.20B,$1.16B,17.58%,$0.20B,$4.00B,5.05%,$0.27B,$3.73B,7.50%,$135,$19,$116,$0,$9,$71,$64,$-24,$41,$-20,$61,$61,$60,$109,$64,$57,57,$1.05,$1.05,$161,$0,$44,$315,$2,$233,$28,$76,$3682,$3996,$245,$2548,$9,$2566,$2811,$1,$764,$0,$1186,$3996,$61,$44,$-1,$44,$0,$0,$0,$-27,$-27,$78,$-149,$0,$0,$0,$0,$0,$16,$-133,$32,$10,$42,$1,$1,$-27,$10,$26,$-30,$2,$-27
