,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,50.2,$34.91,1.44,$13.17,3.81,$9.58,5.24,$3.11,16.14,$1.99B,$2.47B,0.81,$0.04B,$0.43B,0.08,$0.16B,$0.15B,95.65%,$0.16B,$0.06B,36.02%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,36.02%,$0.16B,$0.04B,23.60%,$0.04B,$0.43B,9.06%,$0.04B,$0.39B,9.92%,$0.04B,$2.98B,1.28%,$0.06B,$0.46B,13.54%,$40,$3,$38,$0,$24,$26,$14,$0,$14,$3,$11,$11,$11,$0,$0,$12,12,$0.92,$0.92,$58,$0,$0,$1994,$47,$786,$36,$119,$987,$2981,$2466,$35,$52,$87,$2553,$2,$452,$-32,$428,$2981,$36,$6,$0,$6,$0,$0,$0,$0,$0,$42,$-2,$0,$0,$-8,$10,$2,$-38,$-37,$35,$1,$36,$-0,$-0,$-12,$-52,$-28,$-24,$1,$-12
1,2018-06-30,45.35,$34.25,1.32,$12.94,3.51,$9.16,4.95,$2.91,15.58,$1.98B,$2.49B,0.8,$0.00B,$0.42B,0.0,$0.16B,$0.15B,96.20%,$0.16B,$0.06B,35.44%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,35.44%,$0.16B,$0.04B,22.78%,$0.04B,$0.42B,8.51%,$0.04B,$0.38B,9.30%,$0.04B,$2.97B,1.21%,$0.06B,$0.42B,13.22%,$46,$2,$44,$0,$24,$26,$20,$0,$20,$4,$15,$15,$15,$0,$0,$12,12,$1.25,$1.25,$60,$0,$0,$1981,$47,$783,$36,$121,$987,$2968,$2487,$1,$60,$61,$2548,$2,$441,$-29,$420,$2968,$24,$4,$-6,$-2,$0,$0,$0,$0,$0,$22,$-1,$0,$0,$0,$18,$18,$-23,$-6,$1,$-25,$-24,$-0,$-0,$-12,$-4,$-41,$-24,$0,$-12
2,2018-03-31,41.12,$33.86,1.21,$12.16,3.38,$8.46,4.86,$2.34,17.57,$1.95B,$2.49B,0.79,$0.00B,$0.42B,0.0,$0.15B,$0.14B,96.62%,$0.15B,$0.05B,32.43%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.05B,32.43%,$0.15B,$0.03B,19.59%,$0.03B,$0.42B,6.80%,$0.03B,$0.38B,7.43%,$0.03B,$2.96B,0.97%,$0.05B,$0.42B,11.24%,$37,$2,$36,$0,$25,$27,$11,$0,$11,$2,$9,$9,$9,$0,$0,$12,12,$0.73,$0.73,$53,$0,$0,$1953,$48,$806,$36,$114,$1003,$2957,$2486,$0,$55,$55,$2542,$2,$432,$-24,$415,$2957,$9,$2,$-2,$0,$0,$0,$0,$0,$0,$9,$-0,$0,$0,$-2,$-2,$-3,$-2,$-5,$0,$-29,$-29,$-0,$-0,$-6,$-1,$-37,$-33,$0,$-6
3,2017-12-31,44.33,$33.77,1.31,$12.28,3.61,$8.58,5.17,$2.38,18.63,$1.97B,$2.52B,0.78,$0.00B,$0.41B,0.0,$0.15B,$0.15B,96.67%,$0.15B,$0.05B,33.33%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.05B,33.33%,$0.15B,$0.03B,19.33%,$0.03B,$0.41B,6.75%,$0.03B,$0.38B,7.37%,$0.03B,$3.00B,0.97%,$0.05B,$0.41B,11.63%,$38,$2,$36,$0,$23,$25,$13,$0,$13,$10,$3,$3,$3,$0,$0,$12,12,$0.21,$0.21,$74,$0,$0,$1974,$48,$815,$36,$128,$1027,$3001,$2516,$0,$71,$71,$2587,$2,$420,$-15,$414,$3001,$29,$8,$12,$20,$1,$0,$0,$0,$1,$50,$-3,$0,$0,$7,$40,$47,$-71,$-27,$-0,$-23,$-23,$-1,$-1,$-31,$30,$-24,$-1,$1,$-31
4,2017-09-30,45.07,$36.29,1.24,$12.13,3.72,$7.82,5.76,$2.85,15.81,$1.93B,$2.48B,0.78,$0.00B,$0.44B,0.0,$0.15B,$0.14B,97.30%,$0.15B,$0.05B,33.11%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.05B,33.11%,$0.15B,$0.03B,22.97%,$0.03B,$0.44B,7.91%,$0.03B,$0.41B,8.65%,$0.03B,$2.98B,1.14%,$0.05B,$0.44B,11.39%,$37,$2,$36,$0,$23,$25,$12,$0,$12,$3,$9,$9,$9,$0,$0,$12,12,$0.72,$0.72,$70,$0,$0,$1931,$47,$835,$36,$133,$1052,$2982,$2477,$0,$62,$62,$2539,$2,$442,$-5,$444,$2982,$27,$6,$3,$9,$0,$0,$0,$0,$0,$36,$-1,$0,$0,$-2,$29,$26,$-29,$-4,$-0,$-57,$-58,$-1,$-1,$-12,$25,$-45,$-14,$1,$-12
5,2017-06-30,44.78,$35.54,1.26,$11.97,3.74,$7.03,6.37,$2.80,15.99,$1.90B,$2.48B,0.77,$0.00B,$0.43B,0.0,$0.15B,$0.14B,97.26%,$0.15B,$0.05B,32.88%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.05B,32.88%,$0.15B,$0.03B,22.60%,$0.03B,$0.43B,7.78%,$0.03B,$0.40B,8.51%,$0.03B,$2.98B,1.11%,$0.05B,$0.44B,11.23%,$36,$2,$35,$0,$23,$25,$12,$0,$12,$3,$8,$8,$8,$0,$0,$12,12,$0.68,$0.68,$55,$0,$0,$1904,$48,$852,$36,$134,$1070,$2975,$2480,$0,$60,$61,$2540,$2,$433,$-6,$434,$2975,$18,$4,$-8,$-4,$0,$0,$0,$0,$0,$14,$-1,$0,$0,$7,$16,$23,$-19,$3,$0,$-29,$-29,$-1,$-1,$-6,$-1,$-37,$-20,$0,$-6
6,2017-03-31,44.52,$34.92,1.28,$11.90,3.74,$6.87,6.48,$2.80,15.9,$1.89B,$2.47B,0.77,$0.00B,$0.43B,0.0,$0.15B,$0.14B,97.24%,$0.15B,$0.05B,32.41%,$0.15B,0,0.00%,$0.15B,0,0.00%,$0.15B,$0.05B,32.41%,$0.15B,$0.03B,22.76%,$0.03B,$0.43B,7.88%,$0.03B,$0.39B,8.63%,$0.03B,$2.96B,1.11%,$0.05B,$0.43B,11.07%,$39,$1,$38,$0,$24,$26,$13,$0,$13,$4,$9,$9,$9,$0,$0,$12,12,$0.77,$0.77,$66,$0,$0,$1893,$49,$856,$36,$123,$1064,$2957,$2474,$0,$57,$57,$2530,$2,$431,$-11,$427,$2957,$9,$2,$-1,$1,$0,$0,$0,$0,$0,$10,$-0,$0,$0,$2,$2,$4,$4,$7,$0,$-45,$-45,$-1,$-1,$-6,$9,$-42,$-24,$0,$-6
7,2016-12-31,49.01,$33.92,1.45,$12.64,3.88,$7.00,7.0,$3.11,15.76,$1.93B,$2.51B,0.77,$0.00B,$0.41B,0.0,$0.16B,$0.15B,97.44%,$0.16B,$0.06B,37.18%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,37.18%,$0.16B,$0.04B,24.36%,$0.04B,$0.41B,9.15%,$0.04B,$0.38B,10.03%,$0.04B,$2.99B,1.28%,$0.06B,$0.42B,13.68%,$36,$1,$35,$0,$23,$24,$12,$0,$12,$3,$8,$8,$8,$0,$0,$12,12,$0.69,$0.69,$92,$0,$0,$1925,$49,$854,$36,$124,$1063,$2989,$2510,$0,$64,$65,$2574,$2,$422,$-14,$414,$2989,$38,$9,$-6,$3,$-0,$0,$0,$0,$-0,$41,$-3,$0,$0,$3,$18,$20,$-61,$-44,$-12,$47,$35,$-19,$-19,$-12,$-14,$-11,$-14,$1,$-12
8,2016-09-30,37.76,$34.66,1.09,$12.55,3.01,$6.86,5.51,$2.99,12.63,$1.93B,$2.51B,0.77,$0.01B,$0.42B,0.02,$0.16B,$0.15B,97.44%,$0.16B,$0.06B,35.26%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,35.26%,$0.16B,$0.04B,23.72%,$0.04B,$0.42B,8.93%,$0.04B,$0.39B,9.83%,$0.04B,$3.02B,1.24%,$0.06B,$0.43B,12.91%,$35,$1,$34,$0,$23,$24,$11,$0,$11,$3,$8,$8,$8,$0,$0,$12,12,$0.67,$0.67,$112,$0,$0,$1927,$50,$867,$37,$139,$1092,$3019,$2511,$10,$76,$86,$2597,$2,$420,$-2,$422,$3019,$30,$6,$-9,$-3,$0,$0,$0,$0,$0,$27,$-2,$0,$0,$-35,$31,$-3,$-43,$-49,$-2,$-2,$-5,$-19,$-19,$-12,$37,$0,$-21,$1,$-12
9,2016-06-30,33.99,$33.89,1.0,$12.59,2.7,$7.23,4.7,$2.97,11.45,$1.86B,$2.46B,0.76,$0.01B,$0.41B,0.03,$0.16B,$0.16B,97.48%,$0.16B,$0.06B,34.59%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,34.59%,$0.16B,$0.04B,23.27%,$0.04B,$0.41B,9.00%,$0.04B,$0.38B,9.97%,$0.04B,$2.96B,1.25%,$0.06B,$0.42B,12.99%,$35,$1,$34,$0,$23,$24,$11,$0,$11,$3,$8,$8,$8,$0,$0,$12,12,$0.68,$0.68,$61,$0,$0,$1855,$49,$877,$37,$140,$1103,$2958,$2457,$11,$77,$88,$2545,$2,$411,$-3,$413,$2958,$22,$4,$-14,$-10,$0,$0,$0,$0,$0,$12,$-1,$0,$0,$4,$21,$26,$-23,$2,$-2,$28,$27,$-19,$-19,$-6,$-48,$-47,$-33,$0,$-6
