,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,123.37,$70.51,1.75,$126.11,0.98,$31.12,3.96,$7.41,16.65,$2.92B,$7.55B,0.39,$0.78B,$2.98B,0.26,$5.43B,$2.21B,40.59%,$5.43B,$0.37B,6.87%,$5.43B,$0.42B,7.75%,$5.43B,$0.46B,8.43%,$5.43B,$0.37B,6.87%,$5.43B,$0.32B,5.87%,$0.32B,$2.98B,10.78%,$0.32B,$2.80B,11.50%,$0.32B,$15.62B,2.06%,$0.37B,$3.76B,9.97%,$1167,$676,$490,$0,$224,$1044,$123,$0,$123,$19,$104,$104,$100,$143,$134,$43,43,$2.36,$2.33,$118,$0,$0,$2922,$0,$7354,$179,$4577,$12703,$15624,$7550,$778,$4199,$5092,$12642,$1,$2278,$-191,$2982,$15624,$267,$28,$16,$44,$-223,$0,$474,$-28,$173,$466,$-12,$0,$0,$0,$-453,$-453,$0,$-466,$-12,$0,$-12,$-32,$-32,$-69,$-12,$-124,$-180,$12,$-69
1,2018-06-30,119.56,$69.17,1.73,$124.36,0.96,$32.74,3.65,$5.34,22.39,$4.85B,$10.92B,0.44,$0.79B,$2.94B,0.27,$5.35B,$2.14B,40.06%,$5.35B,$0.33B,6.22%,$5.35B,$0.38B,7.12%,$5.35B,$0.42B,7.85%,$5.35B,$0.33B,6.22%,$5.35B,$0.23B,4.30%,$0.23B,$2.94B,7.78%,$0.23B,$2.75B,8.31%,$0.23B,$15.40B,1.49%,$0.33B,$3.73B,8.90%,$1363,$784,$579,$0,$289,$1243,$120,$0,$120,$21,$99,$99,$99,$141,$132,$43,43,$2.34,$2.31,$245,$0,$0,$4851,$0,$9083,$192,$539,$10553,$15404,$10918,$787,$643,$1546,$12464,$1,$2200,$-169,$2940,$15404,$167,$19,$23,$42,$-154,$0,$249,$-14,$19,$180,$-8,$0,$0,$0,$-226,$-226,$0,$-234,$0,$0,$0,$-14,$-14,$-46,$-16,$-76,$-132,$8,$-46
2,2018-03-31,117.37,$68.54,1.71,$122.32,0.96,$34.39,3.41,$4.86,24.15,$4.82B,$10.86B,0.44,$0.79B,$2.91B,0.27,$5.26B,$2.11B,40.08%,$5.26B,$0.32B,6.17%,$5.26B,$0.37B,7.08%,$5.26B,$0.41B,7.88%,$5.26B,$0.32B,6.17%,$5.26B,$0.21B,3.98%,$0.21B,$2.91B,7.05%,$0.21B,$2.72B,7.52%,$0.21B,$15.33B,1.37%,$0.32B,$3.70B,8.64%,$1331,$786,$545,$0,$288,$1250,$81,$0,$81,$13,$68,$68,$68,$102,$93,$43,43,$1.59,$1.57,$258,$0,$0,$4823,$0,$9086,$193,$524,$10512,$15334,$10856,$787,$662,$1565,$12421,$1,$2124,$-120,$2913,$15334,$68,$9,$19,$28,$-80,$0,$127,$-4,$-26,$31,$-4,$0,$0,$0,$-141,$-141,$0,$-144,$33,$0,$33,$-7,$-7,$-23,$-10,$-8,$-118,$3,$-23
3,2017-12-31,107.1,$70.53,1.52,$120.83,0.89,$34.91,3.07,$4.34,24.68,$3.02B,$7.24B,0.42,$0.79B,$3.00B,0.26,$5.19B,$2.06B,39.63%,$5.19B,$0.30B,5.82%,$5.19B,$0.35B,6.75%,$5.19B,$0.39B,7.60%,$5.19B,$0.30B,5.82%,$5.19B,$0.19B,3.59%,$0.19B,$3.00B,6.27%,$0.19B,$2.82B,6.69%,$0.19B,$15.47B,1.24%,$0.30B,$3.79B,8.05%,$1572,$981,$591,$0,$344,$1523,$49,$0,$49,$29,$20,$20,$52,$72,$62,$43,43,$1.21,$1.19,$298,$0,$0,$3019,$0,$6936,$179,$4800,$12451,$15470,$7242,$787,$4328,$5230,$12472,$1,$1975,$108,$2998,$15470,$186,$44,$28,$73,$-444,$0,$950,$-32,$474,$705,$-19,$0,$0,$0,$-478,$-478,$-10,$-506,$0,$0,$0,$-14,$-14,$-87,$-11,$-112,$94,$12,$-87
4,2017-09-30,95.54,$70.09,1.36,$113.34,0.84,$35.80,2.67,$2.82,33.88,$4.86B,$10.87B,0.45,$0.79B,$2.97B,0.27,$4.87B,$1.88B,38.54%,$4.87B,$0.22B,4.56%,$4.87B,$0.27B,5.55%,$4.87B,$0.31B,6.41%,$4.87B,$0.22B,4.52%,$4.87B,$0.12B,2.47%,$0.12B,$2.97B,4.10%,$0.12B,$2.79B,4.37%,$0.12B,$15.39B,0.82%,$0.22B,$3.76B,5.97%,$1086,$657,$429,$0,$211,$1003,$83,$0,$83,$23,$60,$60,$11,$105,$94,$42,43,$0.26,$0.26,$227,$0,$0,$4864,$0,$9138,$185,$486,$10526,$15389,$10865,$787,$676,$1552,$12417,$1,$1947,$114,$2972,$15389,$135,$34,$-13,$21,$-434,$0,$918,$-45,$385,$532,$-11,$0,$0,$0,$-479,$-479,$-10,$-499,$0,$0,$0,$-18,$-18,$-64,$-10,$-92,$-28,$12,$-64
5,2017-06-30,86.91,$70.11,1.24,$116.89,0.74,$36.38,2.39,$4.62,18.81,$4.62B,$10.27B,0.45,$0.79B,$2.97B,0.27,$5.02B,$2.00B,39.74%,$5.02B,$0.26B,5.24%,$5.02B,$0.31B,6.23%,$5.02B,$0.36B,7.07%,$5.02B,$0.26B,5.20%,$5.02B,$0.20B,3.92%,$0.20B,$2.97B,6.68%,$0.20B,$2.79B,7.13%,$0.20B,$14.79B,1.36%,$0.26B,$3.76B,7.04%,$1266,$725,$541,$0,$265,$1155,$111,$0,$111,$33,$78,$78,$78,$135,$123,$43,43,$1.85,$1.83,$318,$0,$0,$4618,$0,$8780,$185,$510,$10174,$14793,$10273,$787,$671,$1547,$11820,$1,$1957,$107,$2973,$14793,$124,$22,$7,$30,$-147,$0,$385,$-30,$135,$250,$-9,$0,$0,$0,$-137,$-137,$0,$-146,$0,$0,$0,$-18,$-18,$-43,$-6,$-67,$35,$7,$-43
6,2017-03-31,87.79,$68.39,1.28,$115.46,0.76,$35.94,2.44,$2.84,30.91,$4.51B,$10.10B,0.45,$0.79B,$2.91B,0.27,$4.98B,$1.95B,39.10%,$4.98B,$0.23B,4.64%,$4.98B,$0.29B,5.72%,$4.98B,$0.33B,6.53%,$4.98B,$0.14B,2.87%,$4.98B,$0.12B,2.43%,$0.12B,$2.91B,4.09%,$0.12B,$2.73B,4.37%,$0.12B,$14.49B,0.85%,$0.23B,$3.70B,6.16%,$1261,$767,$494,$0,$266,$1202,$59,$0,$59,$14,$45,$45,$45,$82,$71,$43,43,$1.06,$1.05,$257,$0,$0,$4505,$0,$8592,$185,$486,$9986,$14491,$10102,$787,$599,$1475,$11577,$1,$1899,$89,$2914,$14491,$45,$11,$-19,$-8,$-103,$0,$237,$-8,$19,$54,$-4,$0,$0,$0,$-44,$-44,$0,$-48,$0,$0,$0,$4,$4,$-21,$-15,$-32,$-26,$3,$-21
7,2016-12-31,88.22,$67.39,1.31,$114.29,0.77,$36.52,2.42,$3.59,24.57,$4.33B,$9.76B,0.44,$0.79B,$2.86B,0.28,$4.95B,$1.98B,40.05%,$4.95B,$0.28B,5.66%,$4.95B,$0.34B,6.81%,$4.95B,$0.38B,7.62%,$4.95B,$0.19B,3.88%,$4.95B,$0.15B,3.11%,$0.15B,$2.86B,5.19%,$0.15B,$2.67B,5.54%,$0.15B,$14.22B,1.08%,$0.28B,$3.64B,7.44%,$1255,$843,$412,$0,$264,$1286,$-31,$-2,$-33,$-21,$-12,$-12,$-14,$-10,$-19,$43,43,$-0.31,$-0.32,$283,$0,$0,$4333,$0,$8511,$185,$480,$9888,$14220,$9762,$786,$728,$1601,$11363,$1,$1876,$63,$2858,$14220,$155,$41,$77,$118,$-64,$0,$528,$-8,$469,$743,$-16,$0,$7,$0,$-499,$-499,$12,$-495,$-105,$0,$-105,$-89,$-89,$-80,$-26,$-301,$-56,$12,$-80
8,2016-09-30,72.7,$72.00,1.01,$112.13,0.65,$29.16,2.49,$5.67,12.82,$4.51B,$9.77B,0.46,$0.80B,$3.05B,0.26,$4.90B,$2.10B,42.85%,$4.90B,$0.43B,8.72%,$4.90B,$0.49B,9.93%,$4.90B,$0.53B,10.78%,$4.90B,$0.32B,6.62%,$4.90B,$0.25B,5.02%,$0.25B,$3.05B,8.30%,$0.25B,$2.86B,8.85%,$0.25B,$14.36B,1.75%,$0.43B,$3.84B,11.34%,$1241,$692,$549,$0,$258,$1117,$124,$0,$124,$36,$88,$88,$88,$148,$137,$43,43,$2.07,$2.06,$316,$0,$0,$4506,$0,$8559,$185,$477,$9858,$14364,$9771,$798,$662,$1547,$11318,$1,$1910,$227,$3046,$14364,$169,$32,$98,$130,$-188,$0,$513,$-28,$268,$560,$-12,$0,$0,$0,$-319,$-319,$12,$-319,$-91,$0,$-91,$-90,$-90,$-59,$-21,$-262,$-23,$9,$-59
9,2016-06-30,81.07,$70.48,1.15,$110.74,0.73,$23.99,3.38,$5.35,15.15,$4.56B,$9.67B,0.47,$0.80B,$3.01B,0.27,$4.89B,$2.09B,42.79%,$4.89B,$0.42B,8.57%,$4.89B,$0.48B,9.82%,$4.89B,$0.52B,10.64%,$4.89B,$0.31B,6.34%,$4.89B,$0.24B,4.83%,$0.24B,$3.01B,8.08%,$0.24B,$2.82B,8.62%,$0.24B,$14.16B,1.69%,$0.42B,$3.81B,11.24%,$1222,$730,$492,$0,$254,$1143,$79,$-86,$-7,$-9,$2,$2,$2,$105,$95,$43,43,$0.05,$0.05,$362,$0,$0,$4560,$0,$8240,$185,$526,$9604,$14164,$9673,$798,$594,$1481,$11154,$1,$1842,$229,$3010,$14164,$80,$21,$72,$93,$-107,$0,$332,$-14,$118,$234,$-9,$0,$0,$0,$18,$18,$0,$9,$-91,$0,$-91,$-56,$-56,$-40,$-33,$-220,$23,$6,$-40
