,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.84,$3.75,0.49,$1.49,1.24,$-0.98,0.0,$0.13,14.15,$0.01B,$0.00B,5.18,$0.00B,$0.02B,0.0,$0.01B,$0.00B,50.00%,$0.01B,$-0.00B,-12.50%,$0.01B,$-0.00B,-12.50%,$0.01B,$0.00B,25.00%,$0.01B,$0.00B,25.00%,$0.01B,$0.00B,12.50%,$0.00B,$0.02B,6.45%,$0.00B,$0.02B,6.56%,$0.00B,$0.02B,3.45%,$-0.00B,$0.02B,-5.88%,$2,$1,$1,$0,$2,$2,$-1,$0,$-0,$0,$-0,$-0,$1,$-0,$-1,$5,5,$0.22,$0.22,$6,$6,$0,$14,$6,$0,$0,$0,$6,$20,$3,$0,$0,$0,$3,$0,$-5,$0,$17,$20,$-0,$0,$1,$2,$-0,$-0,$0,$1,$1,$2,$-0,$-0,$0,$0,$0,$0,$0,$-0,$-11,$0,$-11,$0,$0,$0,$0,$-11,$5,$0,$0
1,2018-06-30,1.64,$3.40,0.48,$1.46,1.13,$-2.50,0.0,$-0.13,0.0,$0.03B,$0.02B,1.58,$0.00B,$0.02B,0.0,$0.01B,$0.00B,57.14%,$0.01B,$-0.00B,-14.29%,$0.01B,$-0.00B,-14.29%,$0.01B,$0.00B,28.57%,$0.01B,$0.00B,14.29%,$0.01B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.03B,0.00%,$-0.00B,$0.02B,-5.71%,$-7,$-6,$-1,$0,$-3,$-9,$2,$2,$4,$0,$4,$4,$0,$2,$2,$4,4,$0.08,$0.08,$0,$6,$0,$25,$6,$0,$0,$0,$6,$31,$16,$0,$0,$0,$16,$0,$-6,$0,$15,$31,$2,$1,$-4,$-4,$0,$0,$-0,$0,$0,$-1,$-2,$-0,$0,$0,$0,$0,$2,$0,$1,$0,$1,$0,$0,$0,$0,$1,$-1,$0,$0
2,2018-03-31,1.83,$3.30,0.56,$0.54,3.36,$-1.81,0.0,$-0.21,0.0,$0.03B,$0.02B,1.72,$0.00B,$0.02B,0.19,$0.00B,$0.00B,100.00%,$0.00B,$-0.00B,-100.00%,$0.00B,$-0.00B,-100.00%,$0.00B,$0.00B,33.33%,$0.00B,$-0.00B,-66.67%,$0.00B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.03B,0.00%,$-0.00B,$0.02B,-16.22%,$7,$4,$2,$0,$3,$7,$-1,$-0,$-1,$0,$-1,$-1,$-0,$-0,$-1,$4,4,$-0.09,$-0.09,$0,$21,$1,$25,$7,$0,$1,$0,$7,$32,$15,$3,$0,$3,$17,$0,$-7,$0,$15,$32,$-2,$1,$0,$1,$-1,$-0,$1,$1,$0,$-0,$-2,$-0,$0,$0,$0,$0,$0,$-2,$2,$0,$2,$0,$0,$0,$0,$2,$-0,$0,$0
3,2017-12-31,2.07,$3.40,0.61,$-0.20,0.0,$-1.01,0.0,$-0.12,0.0,$0.03B,$0.02B,1.74,$0.00B,$0.02B,0.2,$0.00B,$0.00B,300.00%,$0.00B,$-0.00B,-200.00%,$0.00B,$-0.00B,-200.00%,$0.00B,$0.00B,100.00%,$0.00B,$-0.00B,-100.00%,$0.00B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.03B,0.00%,$-0.00B,$0.02B,-10.53%,$6,$4,$2,$0,$2,$6,$-1,$-0,$-1,$0,$-1,$-1,$-0,$-0,$-1,$4,4,$-0.09,$-0.09,$0,$22,$1,$26,$7,$0,$1,$0,$7,$33,$15,$3,$0,$3,$18,$0,$-6,$0,$15,$33,$-1,$0,$-0,$0,$-1,$-2,$3,$0,$1,$0,$-2,$-0,$0,$0,$0,$0,$0,$-2,$1,$0,$1,$0,$0,$0,$0,$1,$-1,$0,$0
4,2017-09-30,2.27,$3.57,0.64,$-0.15,0.0,$-0.36,0.0,$-0.13,0.0,$0.03B,$0.01B,1.94,$0.00B,$0.02B,0.21,$0.00B,$0.00B,300.00%,$0.00B,$-0.00B,-100.00%,$0.00B,$-0.00B,-100.00%,$0.00B,$0.00B,100.00%,$0.00B,0,0.00%,$0.00B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.03B,0.00%,$-0.00B,$0.02B,-5.13%,$1,$1,$1,$0,$1,$2,$-1,$-0,$-1,$0,$-1,$-1,$-0,$-0,$-1,$4,4,$-0.04,$-0.04,$0,$21,$1,$26,$6,$0,$1,$0,$7,$33,$13,$3,$0,$3,$17,$0,$-6,$0,$16,$33,$-1,$0,$1,$1,$-0,$-5,$2,$-0,$-4,$-4,$-1,$-0,$0,$0,$0,$0,$0,$-1,$1,$0,$1,$0,$0,$0,$0,$1,$-1,$0,$0
5,2017-06-30,2.08,$3.65,0.57,$0.30,6.96,$0.69,3.0,$-0.05,0.0,$0.02B,$0.01B,2.2,$0.00B,$0.02B,0.19,$0.01B,$0.00B,66.67%,$0.01B,0,0.00%,$0.01B,0,0.00%,$0.01B,$0.00B,16.67%,$0.01B,$0.00B,33.33%,$0.01B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$-11,$-9,$-2,$0,$-3,$-11,$0,$0,$1,$0,$1,$1,$-0,$1,$0,$4,4,$-0.08,$-0.04,$1,$6,$0,$24,$5,$0,$0,$0,$6,$30,$11,$3,$0,$3,$14,$0,$-6,$0,$16,$30,$1,$1,$-1,$-0,$0,$-0,$1,$-0,$-0,$1,$-1,$-0,$0,$0,$0,$0,$0,$-1,$-3,$0,$-3,$0,$0,$0,$0,$-3,$-3,$0,$0
6,2017-03-31,2.29,$3.81,0.6,$4.26,0.54,$1.00,2.29,$0.03,76.33,$0.02B,$0.01B,2.57,$0.00B,$0.02B,0.19,$0.02B,$0.01B,34.78%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,4.35%,$0.02B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$5,$3,$2,$0,$2,$5,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$4,7,$0.01,$0.00,$1,$19,$1,$23,$5,$0,$1,$0,$6,$29,$9,$3,$0,$3,$12,$0,$-5,$0,$17,$29,$1,$1,$-0,$0,$1,$1,$2,$-1,$2,$3,$-0,$-0,$0,$0,$0,$0,$0,$-0,$-6,$0,$-6,$0,$0,$0,$0,$-6,$-4,$0,$0
7,2016-12-31,1.78,$3.87,0.46,$4.69,0.38,$1.21,1.48,$0.01,178.0,$0.02B,$0.01B,2.71,$0.00B,$0.02B,0.19,$0.02B,$0.01B,34.78%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,0,0.00%,$0.02B,$0.00B,4.35%,$0.02B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$6,$4,$2,$0,$2,$6,$-0,$0,$-0,$0,$-0,$-0,$-0,$0,$-0,$4,4,$-0.01,$-0.01,$0,$20,$0,$22,$5,$0,$1,$0,$6,$28,$8,$3,$0,$3,$11,$0,$-5,$0,$17,$28,$0,$0,$0,$1,$1,$0,$0,$-1,$0,$2,$-0,$-0,$0,$0,$0,$0,$0,$-0,$-5,$0,$-5,$0,$0,$0,$0,$-5,$-4,$0,$0
8,2016-09-30,1.61,$3.92,0.41,$4.54,0.35,$1.17,1.37,$0.05,32.2,$0.03B,$0.02B,1.85,$0.00B,$0.02B,0.2,$0.03B,$0.01B,34.62%,$0.03B,$0.00B,3.85%,$0.03B,$0.00B,3.85%,$0.03B,$0.00B,3.85%,$0.03B,$0.00B,3.85%,$0.03B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$0.02B,5.06%,$6,$4,$2,$0,$2,$6,$-0,$1,$1,$-0,$1,$1,$0,$-0,$-0,$4,8,$0.07,$0.04,$4,$22,$0,$30,$6,$0,$0,$0,$6,$37,$16,$3,$0,$3,$20,$0,$-5,$0,$17,$37,$1,$0,$0,$1,$-1,$-2,$3,$-0,$-1,$1,$-0,$-0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$0,$0,$0
9,2016-06-30,1.52,$3.77,0.4,$3.77,0.4,$1.13,1.35,$-0.04,0.0,$0.03B,$0.01B,1.92,$0.00B,$0.02B,0.2,$0.03B,$0.01B,34.62%,$0.03B,$0.00B,3.85%,$0.03B,$0.00B,3.85%,$0.03B,$0.00B,3.85%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,5.06%,$6,$4,$2,$0,$2,$6,$-0,$-0,$-0,$-0,$-0,$-0,$-0,$-0,$-0,$4,4,$-0.05,$-0.07,$4,$20,$0,$27,$6,$0,$0,$0,$6,$34,$14,$3,$0,$3,$17,$0,$-6,$0,$16,$34,$-1,$1,$1,$1,$0,$2,$-2,$0,$1,$2,$-0,$-0,$0,$0,$0,$0,$0,$-1,$1,$0,$1,$0,$0,$0,$0,$1,$2,$0,$0
10,2016-03-31,1.64,$3.88,0.42,$3.75,0.44,$-0.09,0.0,$-0.17,0.0,$0.03B,$0.01B,1.93,$0.00B,$0.02B,0.2,$0.03B,$0.01B,32.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$-0.00B,-4.00%,$0.03B,$-0.00B,-4.00%,$-0.00B,$0.02B,-6.06%,$-0.00B,$0.02B,-6.25%,$-0.00B,$0.03B,-2.82%,$0.00B,$0.02B,0.00%,$5,$3,$2,$0,$2,$5,$-0,$-0,$-0,$0,$-0,$-0,$-0,$0,$-0,$4,4,$-0.02,$-0.02,$5,$20,$1,$28,$6,$0,$0,$0,$7,$34,$14,$3,$0,$3,$18,$0,$-5,$0,$17,$34,$-0,$0,$-0,$0,$1,$2,$-1,$0,$2,$3,$-0,$-0,$0,$0,$0,$0,$0,$-1,$1,$0,$1,$0,$0,$0,$0,$1,$3,$0,$0
11,2015-12-31,1.45,$3.97,0.37,$3.83,0.38,$-1.49,0.0,$-0.22,0.0,$0.03B,$0.02B,1.84,$0.00B,$0.02B,0.2,$0.03B,$0.01B,32.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$-0.00B,-4.00%,$0.03B,$-0.00B,-4.00%,$-0.00B,$0.02B,-6.06%,$-0.00B,$0.02B,-6.15%,$-0.00B,$0.04B,-2.80%,$0.00B,$0.02B,0.00%,$9,$6,$3,$0,$2,$8,$1,$-0,$0,$-0,$0,$0,$0,$1,$1,$4,7,$0.06,$0.03,$5,$20,$0,$29,$6,$0,$0,$0,$7,$36,$16,$3,$0,$3,$19,$0,$-5,$0,$17,$36,$0,$0,$1,$1,$-1,$2,$-0,$1,$1,$2,$-0,$-0,$0,$0,$0,$0,$0,$-0,$1,$0,$1,$0,$0,$0,$0,$1,$3,$0,$0
