,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,22.5,$14.54,1.55,$41.84,0.54,$-3.06,0.0,$-2.44,0.0,$0.40B,$0.15B,2.61,$0.38B,$0.44B,0.86,$1.25B,$0.33B,25.94%,$1.25B,$-0.03B,-2.71%,$1.25B,$-0.03B,-2.71%,$1.25B,$0.04B,2.79%,$1.25B,$-0.10B,-7.58%,$1.25B,$-0.07B,-5.83%,$-0.07B,$0.44B,-16.23%,$-0.07B,$0.02B,-435.82%,$-0.07B,$1.02B,-6.99%,$-0.03B,$0.81B,-4.07%,$291,$221,$70,$0,$88,$311,$-20,$-8,$-28,$-5,$-23,$-23,$-23,$-2,$-20,$30,30,$-0.76,$-0.76,$16,$52,$0,$395,$193,$0,$422,$8,$628,$1023,$151,$377,$9,$435,$586,$9,$51,$-23,$436,$1023,$-73,$54,$36,$89,$-11,$-3,$-7,$2,$-8,$5,$-18,$0,$0,$0,$0,$0,$-0,$-18,$6,$0,$6,$0,$0,$0,$-2,$4,$-11,$9,$0
1,2018-06-30,23.1,$15.19,1.52,$41.70,0.55,$-3.78,0.0,$-4.48,0.0,$0.42B,$0.15B,2.86,$0.39B,$0.46B,0.86,$1.25B,$0.32B,25.98%,$1.25B,$-0.11B,-8.66%,$1.25B,$-0.11B,-8.66%,$1.25B,$0.03B,2.57%,$1.25B,$-0.16B,-13.07%,$1.25B,$-0.13B,-10.75%,$-0.13B,$0.46B,-29.50%,$-0.13B,$0.03B,-940.35%,$-0.13B,$1.06B,-12.76%,$-0.11B,$0.85B,-12.91%,$344,$247,$97,$0,$93,$342,$2,$-37,$-35,$-3,$-32,$-32,$-32,$20,$2,$30,30,$-1.08,$-1.08,$15,$52,$0,$421,$196,$0,$429,$7,$637,$1058,$147,$390,$9,$455,$602,$9,$74,$-24,$456,$1058,$-50,$36,$32,$67,$-29,$-4,$-3,$-4,$-35,$-18,$-11,$0,$0,$0,$0,$0,$-0,$-11,$21,$0,$21,$0,$0,$0,$-2,$19,$-11,$7,$0
2,2018-03-31,13.75,$15.00,0.92,$40.71,0.34,$-3.80,0.0,$-3.77,0.0,$0.39B,$0.15B,2.67,$0.38B,$0.45B,0.85,$1.22B,$0.31B,25.68%,$1.22B,$-0.12B,-9.63%,$1.22B,$-0.12B,-9.63%,$1.22B,$0.02B,1.56%,$1.22B,$-0.14B,-11.44%,$1.22B,$-0.11B,-9.30%,$-0.11B,$0.45B,-23.97%,$-0.11B,$0.01B,-1614.29%,$-0.11B,$1.04B,-10.58%,$-0.12B,$0.83B,-13.83%,$302,$227,$76,$0,$90,$317,$-14,$-3,$-17,$1,$-18,$-18,$-18,$4,$-14,$30,30,$-0.60,$-0.60,$18,$51,$0,$390,$200,$0,$438,$7,$652,$1041,$146,$383,$10,$445,$591,$9,$106,$-20,$450,$1041,$-18,$18,$-2,$16,$12,$-2,$-7,$-4,$4,$2,$-5,$0,$0,$0,$0,$0,$-0,$-6,$-3,$0,$-3,$0,$0,$0,$-2,$-4,$-8,$2,$0
3,2017-12-31,14.9,$15.27,0.98,$40.23,0.37,$-4.12,0.0,$-3.49,0.0,$0.40B,$0.15B,2.69,$0.39B,$0.46B,0.85,$1.20B,$0.31B,25.92%,$1.20B,$-0.12B,-9.58%,$1.20B,$-0.12B,-9.58%,$1.20B,$0.02B,1.33%,$1.20B,$-0.14B,-11.50%,$1.20B,$-0.11B,-8.75%,$-0.11B,$0.46B,-21.35%,$-0.11B,$0.01B,-2333.33%,$-0.11B,$1.06B,-9.67%,$-0.12B,$0.85B,-13.45%,$316,$235,$82,$0,$83,$319,$-2,$-13,$-15,$-15,$-0,$-0,$-0,$13,$-2,$30,30,$0.00,$0.00,$27,$50,$0,$397,$203,$0,$445,$6,$659,$1056,$148,$388,$10,$451,$598,$9,$116,$-20,$457,$1056,$-104,$130,$-35,$95,$-40,$1,$6,$7,$-5,$-14,$-34,$0,$0,$0,$0,$0,$-0,$-34,$29,$0,$29,$0,$0,$0,$-4,$26,$-20,$8,$0
4,2017-09-30,13.35,$15.20,0.88,$41.02,0.33,$-1.18,0.0,$-3.81,0.0,$0.38B,$0.14B,2.68,$0.37B,$0.45B,0.81,$1.20B,$0.32B,26.25%,$1.20B,$-0.12B,-9.88%,$1.20B,$-0.12B,-9.88%,$1.20B,$0.01B,0.91%,$1.20B,$-0.13B,-10.96%,$1.20B,$-0.11B,-9.47%,$-0.11B,$0.45B,-22.29%,$-0.11B,$0.01B,-5066.67%,$-0.11B,$1.05B,-10.28%,$-0.12B,$0.82B,-13.77%,$285,$216,$69,$0,$85,$379,$-94,$-1,$-96,$-12,$-84,$-84,$-84,$-5,$-94,$30,30,$-2.80,$-2.80,$27,$52,$0,$384,$203,$0,$449,$5,$664,$1047,$143,$366,$4,$451,$594,$9,$116,$-22,$454,$1047,$-104,$115,$-17,$99,$-19,$-1,$-6,$3,$-2,$-10,$-24,$0,$0,$0,$0,$0,$-1,$-25,$15,$0,$15,$0,$0,$0,$-3,$13,$-20,$6,$0
5,2017-06-30,23.45,$17.58,1.33,$41.33,0.57,$0.93,25.14,$-1.15,0.0,$0.39B,$0.15B,2.58,$0.36B,$0.53B,0.69,$1.21B,$0.32B,26.80%,$1.21B,$-0.03B,-2.40%,$1.21B,$-0.03B,-2.40%,$1.21B,$0.03B,2.07%,$1.21B,$-0.04B,-3.56%,$1.21B,$-0.03B,-2.81%,$-0.03B,$0.53B,-6.36%,$-0.03B,$-0.00B,-755.56%,$-0.03B,$1.13B,-2.98%,$-0.03B,$0.89B,-3.26%,$312,$228,$85,$0,$91,$319,$-7,$-4,$-11,$0,$-11,$-11,$-11,$7,$-7,$30,30,$-0.37,$-0.37,$29,$51,$0,$385,$204,$0,$527,$5,$741,$1127,$149,$362,$4,$452,$602,$9,$199,$-25,$525,$1127,$-21,$26,$-6,$21,$-18,$-1,$-2,$2,$-13,$-13,$-16,$0,$0,$0,$0,$0,$-1,$-17,$12,$0,$12,$0,$0,$0,$-2,$11,$-17,$4,$0
6,2017-03-31,27.05,$17.80,1.52,$42.25,0.64,$2.48,10.91,$-0.53,0.0,$0.37B,$0.15B,2.44,$0.34B,$0.53B,0.64,$1.23B,$0.34B,27.41%,$1.23B,$-0.01B,-0.65%,$1.23B,$-0.01B,-0.65%,$1.23B,$0.05B,3.65%,$1.23B,$-0.02B,-1.70%,$1.23B,$-0.02B,-1.30%,$-0.02B,$0.53B,-2.96%,$-0.02B,$0.00B,-156.10%,$-0.02B,$1.11B,-1.37%,$-0.01B,$0.87B,-0.88%,$287,$212,$75,$0,$89,$299,$-12,$-3,$-16,$-6,$-10,$-10,$-10,$1,$-12,$30,30,$-0.32,$-0.32,$24,$50,$0,$370,$205,$0,$528,$5,$744,$1114,$152,$337,$3,$432,$583,$9,$210,$-27,$531,$1114,$-10,$13,$-4,$9,$-7,$-1,$-7,$2,$-3,$-3,$-10,$0,$0,$0,$0,$0,$-1,$-11,$-10,$0,$-10,$0,$0,$0,$-0,$-10,$-22,$2,$0
7,2016-12-31,39.25,$17.98,2.18,$43.08,0.91,$3.37,11.65,$-0.48,0.0,$0.40B,$0.15B,2.72,$0.35B,$0.54B,0.65,$1.20B,$0.33B,27.49%,$1.20B,$-0.00B,-0.25%,$1.20B,$-0.00B,-0.25%,$1.20B,$0.05B,3.93%,$1.20B,$-0.02B,-1.25%,$1.20B,$-0.01B,-1.00%,$-0.01B,$0.54B,-2.20%,$-0.01B,$0.00B,-38.10%,$-0.01B,$1.15B,-1.01%,$-0.00B,$0.88B,-0.32%,$320,$233,$87,$0,$87,$326,$-6,$-3,$-9,$-0,$-8,$-8,$-9,$8,$-6,$28,28,$-0.29,$-0.29,$46,$50,$0,$401,$203,$0,$532,$5,$746,$1147,$148,$347,$3,$464,$612,$9,$219,$-29,$536,$1147,$-13,$49,$12,$61,$17,$2,$8,$-0,$31,$80,$-42,$0,$-48,$0,$0,$0,$19,$-71,$-4,$0,$-4,$4,$4,$0,$-6,$-6,$1,$7,$0
8,2016-09-30,32.71,$18.64,1.76,$31.70,1.03,$2.02,16.21,$-0.16,0.0,$0.43B,$0.15B,2.81,$0.37B,$0.55B,0.67,$0.88B,$0.24B,27.59%,$0.88B,$0.00B,0.34%,$0.88B,$0.00B,0.34%,$0.88B,$0.04B,4.45%,$0.88B,$-0.01B,-0.68%,$0.88B,$-0.00B,-0.34%,$-0.00B,$0.55B,-0.60%,$-0.00B,$0.01B,-11.54%,$-0.00B,$1.18B,-0.27%,$0.00B,$0.92B,0.34%,$290,$213,$77,$0,$81,$294,$-4,$-3,$-7,$-3,$-5,$-5,$-4,$9,$-4,$29,29,$-0.14,$-0.14,$38,$52,$0,$428,$212,$0,$534,$4,$754,$1182,$153,$369,$4,$482,$634,$9,$248,$-18,$548,$1182,$-3,$36,$7,$43,$17,$1,$11,$-6,$21,$61,$-32,$0,$-48,$0,$0,$0,$6,$-75,$16,$0,$16,$-5,$-5,$0,$-4,$7,$-7,$7,$0
9,2016-06-30,24.83,$18.76,1.32,$34.94,0.71,$0.90,27.56,$-0.02,0.0,$0.48B,$0.15B,3.21,$0.41B,$0.55B,0.74,$0.87B,$0.25B,28.69%,$0.87B,$0.03B,3.00%,$0.87B,$0.03B,3.00%,$0.87B,$0.07B,7.60%,$0.87B,$0.02B,2.07%,$0.87B,$0.01B,1.38%,$0.01B,$0.55B,2.70%,$0.01B,$0.02B,58.54%,$0.01B,$1.22B,1.19%,$0.03B,$0.96B,3.13%,$336,$238,$99,$0,$83,$322,$14,$-3,$11,$4,$7,$7,$7,$27,$14,$29,30,$0.25,$0.25,$65,$54,$0,$480,$206,$0,$529,$3,$743,$1223,$149,$406,$4,$523,$673,$9,$252,$-17,$550,$1223,$1,$23,$8,$31,$3,$0,$14,$-4,$6,$38,$-21,$0,$-48,$0,$0,$0,$5,$-64,$53,$0,$53,$-7,$-7,$0,$-0,$46,$21,$5,$0
