,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,244.08,$66.79,3.65,$59.16,4.13,$17.33,14.09,$6.33,38.56,$9.57B,$5.20B,1.84,$17.76B,$26.89B,0.66,$23.90B,$10.60B,44.36%,$23.90B,$3.60B,15.06%,$23.90B,$3.60B,15.06%,$23.90B,$5.88B,24.62%,$23.90B,$3.07B,12.85%,$23.90B,$2.57B,10.75%,$2.57B,$26.89B,9.79%,$2.57B,$-13.47B,-17.11%,$2.57B,$55.08B,4.59%,$3.60B,$44.65B,8.12%,$5920,$3305,$2615,$240,$1490,$5008,$912,$-102,$810,$101,$709,$709,$709,$1475,$912,$402,406,$1.76,$1.75,$1098,$2982,$1229,$9566,$3978,$0,$40361,$1173,$45512,$55078,$5196,$17760,$2682,$22992,$28188,$431,$17866,$-2519,$26890,$55078,$2040,$1709,$-103,$1606,$-64,$-333,$-45,$-462,$-904,$2742,$-468,$0,$-59,$0,$0,$0,$-5,$-532,$-1358,$-464,$-1822,$-153,$-153,$-198,$-51,$-2224,$-250,$137,$-198
1,2018-06-30,207.14,$65.65,3.16,$57.37,3.61,$16.35,12.67,$5.92,34.99,$9.47B,$5.98B,1.58,$17.71B,$26.45B,0.67,$23.09B,$10.29B,44.54%,$23.09B,$3.32B,14.38%,$23.09B,$3.32B,14.38%,$23.09B,$5.56B,24.07%,$23.09B,$2.74B,11.86%,$23.09B,$2.39B,10.36%,$2.39B,$26.45B,9.32%,$2.39B,$-14.36B,-14.96%,$2.39B,$55.40B,4.26%,$3.32B,$44.15B,7.44%,$6078,$3340,$2738,$242,$1542,$5141,$937,$-131,$806,$54,$752,$752,$752,$1508,$937,$403,406,$1.87,$1.85,$937,$2866,$1230,$9474,$3952,$0,$40800,$1177,$45929,$55403,$5980,$17709,$2670,$22978,$28958,$430,$17226,$-2491,$26445,$55403,$1331,$1146,$55,$1201,$-97,$-195,$-20,$-698,$-1010,$1522,$-298,$0,$-59,$0,$0,$0,$-7,$-364,$-1353,$106,$-1247,$78,$78,$-129,$-50,$-1348,$-405,$91,$-129
2,2018-03-31,206.3,$64.93,3.18,$55.10,3.74,$15.96,12.93,$5.63,36.64,$9.59B,$7.07B,1.36,$18.12B,$26.12B,0.69,$22.01B,$9.83B,44.68%,$22.01B,$3.13B,14.24%,$22.01B,$3.13B,14.24%,$22.01B,$5.28B,23.98%,$22.01B,$2.56B,11.63%,$22.01B,$2.25B,10.24%,$2.25B,$26.12B,9.14%,$2.25B,$-15.63B,-14.38%,$2.25B,$56.58B,4.18%,$3.13B,$44.25B,7.29%,$5853,$3273,$2580,$234,$1515,$5067,$786,$-152,$634,$55,$579,$579,$579,$1361,$786,$402,406,$1.44,$1.43,$950,$2891,$1217,$9588,$4059,$0,$41755,$1178,$46992,$56580,$7072,$18122,$2657,$23385,$30457,$429,$16542,$-2042,$26123,$56580,$579,$575,$-51,$524,$-71,$-124,$-94,$-736,$-1025,$78,$-116,$0,$-57,$0,$0,$0,$-6,$-179,$-453,$182,$-271,$39,$39,$-60,$-50,$-342,$-386,$43,$-60
3,2017-12-31,189.58,$63.32,2.99,$52.77,3.59,$16.74,11.33,$5.60,33.85,$9.42B,$7.05B,1.34,$18.87B,$25.41B,0.74,$20.92B,$9.45B,45.15%,$20.92B,$2.97B,14.19%,$20.92B,$2.97B,14.19%,$20.92B,$5.00B,23.91%,$20.92B,$2.43B,11.61%,$20.92B,$2.23B,10.64%,$2.23B,$25.41B,9.44%,$2.23B,$-16.56B,-14.68%,$2.23B,$56.67B,4.33%,$2.97B,$44.29B,7.21%,$6047,$3379,$2668,$234,$1467,$5082,$965,$-145,$820,$290,$530,$530,$528,$1539,$965,$395,398,$1.31,$1.29,$1335,$2971,$804,$9421,$4047,$0,$41974,$1227,$47248,$56669,$7048,$18873,$2569,$24208,$31256,$428,$15914,$-2003,$25413,$56669,$2225,$2033,$-747,$1286,$-362,$-81,$274,$663,$494,$4005,$-501,$0,$-7226,$22,$0,$22,$-24,$-7729,$3160,$-134,$3026,$1068,$1068,$-237,$-3,$3854,$550,$159,$-237
4,2017-09-30,188.75,$61.60,3.06,$50.06,3.77,$15.08,12.51,$5.89,32.05,$8.84B,$7.03B,1.26,$21.12B,$24.70B,0.86,$19.82B,$9.06B,45.68%,$19.82B,$2.76B,13.90%,$19.82B,$2.76B,13.90%,$19.82B,$4.69B,23.65%,$19.82B,$2.26B,11.41%,$19.82B,$2.33B,11.74%,$2.33B,$24.70B,10.29%,$2.33B,$-17.46B,-16.10%,$2.33B,$55.99B,4.78%,$2.76B,$45.82B,7.00%,$5116,$2816,$2300,$217,$1400,$4482,$634,$-154,$480,$-54,$534,$534,$534,$1151,$634,$396,400,$1.35,$1.34,$741,$3126,$768,$8844,$3932,$0,$42159,$1051,$47141,$55985,$7031,$21118,$0,$24252,$31284,$428,$15446,$-2183,$24702,$55985,$1697,$1459,$-255,$1204,$-161,$-208,$0,$-393,$-762,$2139,$-289,$0,$-7160,$0,$0,$0,$3,$-7446,$3907,$221,$4128,$1048,$1048,$-177,$-1,$4998,$-53,$116,$-177
5,2017-06-30,173.92,$57.40,3.03,$48.57,3.58,$14.90,11.67,$5.74,30.3,$7.45B,$5.08B,1.47,$15.26B,$22.39B,0.68,$19.20B,$8.81B,45.89%,$19.20B,$2.66B,13.87%,$19.20B,$2.66B,13.87%,$19.20B,$4.51B,23.50%,$19.20B,$2.21B,11.51%,$19.20B,$2.27B,11.81%,$2.27B,$22.39B,10.38%,$2.27B,$-13.03B,-16.54%,$2.27B,$46.51B,4.86%,$2.66B,$37.65B,7.09%,$4990,$2706,$2284,$222,$1291,$4241,$749,$-123,$626,$13,$613,$613,$612,$1226,$749,$390,393,$1.57,$1.56,$611,$2422,$746,$7453,$2600,$0,$35421,$1040,$39061,$46514,$5076,$15256,$1470,$19046,$24122,$417,$14972,$-2256,$22392,$46514,$1163,$942,$-151,$791,$-127,$-146,$49,$-520,$-744,$1210,$-179,$0,$-307,$0,$0,$0,$9,$-477,$-810,$496,$-314,$-651,$-651,$-118,$0,$-1083,$-182,$71,$-118
6,2017-03-31,152.98,$55.71,2.75,$47.30,3.23,$14.90,10.27,$5.48,27.92,$7.25B,$5.30B,1.37,$15.19B,$21.80B,0.7,$18.74B,$8.61B,45.91%,$18.74B,$2.55B,13.61%,$18.74B,$2.55B,13.61%,$18.74B,$4.36B,23.25%,$18.74B,$2.10B,11.22%,$18.74B,$2.17B,11.59%,$2.17B,$21.80B,10.07%,$2.17B,$-13.59B,-16.42%,$2.17B,$46.21B,4.76%,$2.55B,$36.98B,7.02%,$4765,$2572,$2193,$215,$1334,$4145,$620,$-117,$503,$-48,$551,$551,$551,$1085,$620,$391,394,$1.41,$1.40,$713,$2327,$684,$7248,$2563,$0,$35382,$1020,$38966,$46214,$5303,$15188,$1464,$19116,$24418,$416,$14419,$-2474,$21795,$46214,$551,$465,$-36,$429,$-18,$-105,$114,$-610,$-619,$361,$-92,$0,$-301,$0,$0,$0,$11,$-382,$-184,$566,$382,$-442,$-442,$-59,$0,$-119,$-74,$33,$-59
7,2016-12-31,140.4,$54.75,2.56,$45.98,3.05,$14.78,9.5,$5.09,27.58,$7.02B,$4.87B,1.44,$15.37B,$21.54B,0.71,$18.27B,$8.37B,45.80%,$18.27B,$2.45B,13.40%,$18.27B,$2.45B,13.40%,$18.27B,$4.21B,23.02%,$18.27B,$2.02B,11.08%,$18.27B,$2.02B,11.07%,$2.02B,$21.54B,9.48%,$2.02B,$-13.76B,-15.78%,$2.02B,$45.91B,4.52%,$2.45B,$36.91B,6.95%,$4953,$2674,$2279,$213,$1265,$4201,$752,$-100,$652,$20,$632,$632,$630,$1226,$752,$395,397,$1.59,$1.59,$786,$2213,$595,$7021,$2578,$0,$35297,$1012,$38887,$45908,$4866,$15372,$1573,$19502,$24368,$415,$13927,$-2636,$21540,$45908,$2022,$1758,$-344,$1414,$-352,$98,$56,$20,$-178,$3258,$-418,$0,$-5178,$81,$0,$81,$-5,$-5520,$3270,$904,$4174,$-1163,$-1163,$-238,$-14,$2759,$345,$133,$-238
8,2016-09-30,158.11,$54.83,2.88,$45.08,3.51,$13.94,11.34,$5.00,31.62,$8.20B,$5.26B,1.56,$16.94B,$21.66B,0.78,$17.97B,$8.20B,45.62%,$17.97B,$2.39B,13.28%,$17.97B,$2.39B,13.28%,$17.97B,$4.10B,22.78%,$17.97B,$1.95B,10.87%,$17.97B,$2.00B,11.10%,$2.00B,$21.66B,9.37%,$2.00B,$-14.44B,-16.71%,$2.00B,$48.01B,4.58%,$2.39B,$38.60B,6.98%,$4491,$2437,$2054,$183,$1275,$3950,$541,$-113,$428,$-46,$474,$474,$474,$974,$541,$395,397,$1.20,$1.19,$1970,$2391,$948,$8204,$2599,$0,$36102,$1105,$39806,$48011,$5260,$16940,$1437,$21092,$26352,$415,$13357,$-2155,$21659,$48011,$1392,$1284,$-328,$956,$-112,$22,$66,$-272,$-296,$2053,$-288,$0,$-5143,$12,$0,$12,$-9,$-5428,$5299,$769,$6068,$-925,$-925,$-179,$-14,$4950,$1534,$102,$-179
9,2016-06-30,146.73,$53.93,2.72,$44.03,3.33,$12.74,11.52,$4.99,29.4,$6.33B,$5.53B,1.15,$11.63B,$21.26B,0.55,$17.61B,$8.03B,45.60%,$17.61B,$2.41B,13.68%,$17.61B,$2.41B,13.68%,$17.61B,$4.11B,23.36%,$17.61B,$1.99B,11.33%,$17.61B,$2.00B,11.34%,$2.00B,$21.26B,9.47%,$2.00B,$-11.13B,-18.07%,$2.00B,$42.25B,4.78%,$2.41B,$32.90B,7.45%,$4535,$2457,$2079,$182,$1223,$3898,$638,$-117,$521,$4,$517,$517,$517,$1073,$638,$394,397,$1.31,$1.30,$663,$2086,$873,$6331,$2452,$0,$32389,$1082,$35922,$42253,$5528,$11632,$1348,$15461,$20990,$414,$12943,$-2082,$21264,$42253,$919,$851,$-185,$666,$-95,$-26,$40,$-256,$-337,$1248,$-208,$0,$-1033,$8,$0,$8,$-2,$-1235,$348,$936,$1284,$-922,$-922,$-119,$-14,$229,$224,$67,$-119
