,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,5.05,$2.26,2.24,$2.26,2.23,$-0.65,0.0,$-1.81,0.0,$0.15B,$0.07B,1.99,$0.00B,$0.10B,0.0,$0.10B,$0.04B,43.56%,$0.10B,$-0.09B,-87.13%,$0.10B,$-0.09B,-87.13%,$0.10B,$-0.08B,-80.20%,$0.10B,$-0.09B,-84.16%,$0.10B,$-0.09B,-86.14%,$-0.09B,$0.10B,-99.15%,$-0.09B,$0.07B,-156.05%,$-0.09B,$0.24B,-32.52%,$-0.09B,$0.10B,-100.28%,$52,$31,$21,$20,$10,$61,$-9,$2,$-7,$1,$-8,$-8,$-8,$-8,$-9,$45,45,$-0.18,$-0.18,$84,$0,$0,$148,$6,$0,$31,$4,$88,$236,$74,$0,$2,$59,$134,$0,$-65,$-2,$102,$236,$-8,$1,$1,$2,$-1,$0,$3,$3,$3,$-2,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$-1,$-4,$2,$0
1,2018-06-30,5.6,$2.43,2.3,$2.40,2.34,$-0.73,0.0,$-2.00,0.0,$0.15B,$0.07B,2.11,$0.00B,$0.11B,0.0,$0.11B,$0.04B,41.51%,$0.11B,$-0.09B,-83.96%,$0.11B,$-0.09B,-83.96%,$0.11B,$-0.08B,-77.36%,$0.11B,$-0.09B,-83.02%,$0.11B,$-0.09B,-83.96%,$-0.09B,$0.11B,-102.59%,$-0.09B,$0.08B,-165.58%,$-0.09B,$0.24B,-32.04%,$-0.09B,$0.11B,-102.59%,$-4,$-4,$0,$23,$10,$29,$-32,$0,$-32,$0,$-32,$-32,$-32,$-31,$-32,$44,44,$-0.72,$-0.72,$88,$0,$0,$148,$7,$0,$31,$2,$88,$236,$70,$0,$2,$56,$126,$0,$-57,$-2,$109,$236,$-89,$6,$9,$15,$12,$0,$7,$61,$67,$-7,$-5,$0,$0,$9,$0,$9,$0,$4,$0,$0,$0,$1,$1,$0,$-2,$-2,$-4,$10,$0
2,2018-03-31,5.4,$1.25,4.33,$3.41,1.58,$-0.72,0.0,$-1.70,0.0,$0.17B,$0.10B,1.79,$0.00B,$0.06B,0.0,$0.15B,$0.06B,41.33%,$0.15B,$-0.07B,-46.67%,$0.15B,$-0.07B,-46.67%,$0.15B,$-0.06B,-42.00%,$0.15B,$-0.07B,-46.00%,$0.15B,$-0.07B,-46.67%,$-0.07B,$0.06B,-80.00%,$-0.07B,$0.02B,-130.84%,$-0.07B,$0.31B,-24.67%,$-0.07B,$0.06B,-80.00%,$14,$8,$6,$22,$11,$44,$-31,$0,$-30,$0,$-31,$-31,$-31,$-27,$-31,$45,45,$-0.69,$-0.69,$92,$0,$0,$171,$8,$0,$31,$2,$137,$308,$95,$0,$2,$157,$252,$0,$-108,$-1,$56,$308,$-63,$5,$6,$12,$7,$0,$11,$41,$47,$-4,$-5,$0,$0,$6,$0,$6,$0,$1,$0,$0,$0,$0,$0,$0,$-2,$-2,$-3,$8,$0
3,2017-12-31,5.5,$1.90,2.9,$3.91,1.41,$-0.80,0.0,$-1.32,0.0,$0.17B,$0.09B,1.94,$0.00B,$0.08B,0.0,$0.17B,$0.07B,42.69%,$0.17B,$-0.05B,-30.41%,$0.17B,$-0.05B,-30.41%,$0.17B,$-0.05B,-28.07%,$0.17B,$-0.05B,-30.41%,$0.17B,$-0.05B,-30.99%,$-0.05B,$0.08B,-50.96%,$-0.05B,$0.05B,-76.53%,$-0.05B,$0.29B,-20.04%,$-0.05B,$0.08B,-50.00%,$39,$22,$17,$22,$11,$55,$-16,$0,$-16,$0,$-16,$-16,$-16,$-15,$-16,$44,44,$-0.35,$-0.35,$94,$0,$0,$170,$7,$0,$34,$2,$120,$290,$88,$0,$2,$117,$206,$0,$-78,$-2,$84,$290,$-32,$2,$4,$6,$6,$0,$-2,$19,$23,$-3,$-3,$0,$0,$1,$0,$1,$0,$-3,$0,$0,$0,$0,$0,$0,$-2,$-1,$-7,$5,$0
4,2017-09-30,6.35,$2.21,2.88,$4.23,1.5,$-0.73,0.0,$-1.23,0.0,$0.18B,$0.09B,1.96,$0.00B,$0.10B,0.0,$0.18B,$0.08B,42.93%,$0.18B,$-0.05B,-26.09%,$0.18B,$-0.05B,-26.09%,$0.18B,$-0.04B,-23.91%,$0.18B,$-0.05B,-25.54%,$0.18B,$-0.05B,-26.09%,$-0.05B,$0.10B,-41.47%,$-0.05B,$0.06B,-59.63%,$-0.05B,$0.28B,-19.41%,$-0.05B,$0.10B,-41.47%,$57,$36,$21,$21,$10,$67,$-10,$-0,$-10,$0,$-10,$-10,$-10,$-9,$-10,$44,44,$-0.24,$-0.24,$95,$0,$0,$176,$7,$0,$35,$2,$101,$277,$90,$0,$1,$89,$179,$0,$-62,$-2,$98,$277,$-10,$1,$2,$2,$-2,$0,$9,$3,$4,$-4,$-2,$0,$0,$3,$0,$3,$0,$1,$0,$0,$0,$0,$0,$0,$-1,$-1,$-3,$2,$0
5,2017-06-30,8.1,$2.55,3.17,$3.92,2.06,$-0.74,0.0,$-1.08,0.0,$0.18B,$0.08B,2.24,$0.00B,$0.11B,0.0,$0.17B,$0.08B,45.56%,$0.17B,$-0.05B,-28.40%,$0.17B,$-0.05B,-28.40%,$0.17B,$-0.04B,-26.04%,$0.17B,$-0.05B,-27.81%,$0.17B,$-0.05B,-27.81%,$-0.05B,$0.11B,-37.08%,$-0.05B,$0.08B,-51.51%,$-0.05B,$0.26B,-20.30%,$-0.05B,$0.11B,-37.87%,$40,$22,$18,$20,$11,$53,$-13,$-0,$-13,$0,$-13,$-13,$-13,$-12,$-13,$43,43,$-0.30,$-0.30,$102,$0,$0,$175,$5,$0,$35,$1,$84,$260,$78,$0,$2,$69,$147,$0,$-46,$-2,$112,$260,$-47,$3,$10,$13,$-16,$0,$1,$25,$25,$-9,$-1,$0,$0,$10,$0,$10,$0,$9,$0,$0,$0,$3,$3,$0,$-3,$-0,$-1,$10,$0
6,2017-03-31,8.65,$2.78,3.11,$4.14,2.09,$-0.66,0.0,$-0.98,0.0,$0.16B,$0.06B,2.73,$0.00B,$0.12B,0.0,$0.18B,$0.08B,45.20%,$0.18B,$-0.04B,-24.29%,$0.18B,$-0.04B,-24.29%,$0.18B,$-0.04B,-22.03%,$0.18B,$-0.04B,-23.73%,$0.18B,$-0.04B,-23.73%,$-0.04B,$0.12B,-30.83%,$-0.04B,$0.09B,-41.79%,$-0.04B,$0.23B,-19.00%,$-0.04B,$0.12B,-31.56%,$35,$18,$17,$19,$11,$48,$-13,$0,$-13,$1,$-14,$-14,$-14,$-12,$-13,$44,44,$-0.31,$-0.31,$101,$0,$0,$160,$5,$0,$35,$2,$71,$231,$59,$0,$2,$51,$110,$0,$-33,$-3,$122,$231,$-34,$2,$8,$10,$-6,$0,$6,$16,$14,$-11,$-1,$0,$0,$11,$0,$11,$0,$11,$0,$0,$0,$0,$2,$0,$-2,$0,$-1,$7,$0
7,2016-12-31,7.05,$3.02,2.33,$4.44,1.59,$-0.61,0.0,$-0.90,0.0,$0.16B,$0.06B,2.74,$0.00B,$0.13B,0.0,$0.19B,$0.08B,44.15%,$0.19B,$-0.04B,-20.74%,$0.19B,$-0.04B,-20.74%,$0.19B,$-0.04B,-18.62%,$0.19B,$-0.04B,-20.74%,$0.19B,$-0.04B,-20.21%,$-0.04B,$0.13B,-26.25%,$-0.04B,$0.10B,-34.94%,$-0.04B,$0.22B,-17.45%,$-0.04B,$0.13B,-26.94%,$52,$29,$23,$16,$12,$64,$-12,$1,$-11,$1,$-11,$-11,$-11,$-11,$-12,$43,43,$-0.26,$-0.26,$108,$0,$0,$164,$5,$0,$35,$2,$57,$221,$60,$0,$3,$31,$90,$0,$-19,$-3,$131,$221,$-21,$1,$5,$6,$-6,$0,$5,$8,$11,$-3,$-1,$0,$0,$2,$0,$2,$0,$1,$0,$0,$0,$0,$0,$0,$-2,$-1,$-4,$5,$0
8,2016-09-30,5.73,$3.28,1.75,$4.34,1.32,$-0.70,0.0,$-0.80,0.0,$0.16B,$0.05B,3.42,$0.00B,$0.14B,0.0,$0.18B,$0.08B,44.75%,$0.18B,$-0.03B,-18.78%,$0.18B,$-0.03B,-18.78%,$0.18B,$-0.03B,-16.57%,$0.18B,$-0.03B,-18.78%,$0.18B,$-0.03B,-18.78%,$-0.03B,$0.14B,-22.26%,$-0.03B,$0.11B,-29.18%,$-0.03B,$0.21B,-15.74%,$-0.03B,$0.14B,-22.26%,$42,$23,$19,$18,$11,$52,$-10,$0,$-10,$-0,$-9,$-9,$-9,$-9,$-10,$43,43,$-0.22,$-0.22,$107,$0,$0,$158,$5,$0,$36,$2,$56,$214,$46,$0,$3,$26,$72,$0,$-8,$-2,$142,$214,$-9,$1,$3,$3,$-1,$0,$5,$2,$0,$-6,$-0,$0,$0,$2,$0,$2,$0,$2,$0,$0,$0,$0,$0,$0,$-1,$-1,$-5,$3,$0
9,2016-06-30,5.1,$3.50,1.46,$4.44,1.15,$-0.71,0.0,$-0.85,0.0,$0.16B,$0.05B,3.59,$0.00B,$0.15B,0.0,$0.18B,$0.08B,45.36%,$0.18B,$-0.04B,-19.13%,$0.18B,$-0.04B,-19.13%,$0.18B,$-0.03B,-16.39%,$0.18B,$-0.04B,-19.13%,$0.18B,$-0.04B,-19.67%,$-0.04B,$0.15B,-22.64%,$-0.04B,$0.11B,-29.39%,$-0.04B,$0.22B,-16.59%,$-0.04B,$0.15B,-22.01%,$48,$27,$21,$17,$11,$56,$-8,$0,$-8,$0,$-8,$-8,$-8,$-7,$-8,$42,42,$-0.19,$-0.19,$115,$0,$0,$164,$5,$0,$36,$2,$54,$218,$46,$0,$4,$23,$69,$0,$2,$-2,$150,$218,$-35,$4,$13,$17,$-6,$0,$4,$7,$15,$-3,$-4,$0,$0,$13,$0,$13,$0,$9,$0,$0,$0,$1,$1,$0,$-3,$-2,$3,$11,$0
