,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,42.84,$2.01,21.29,$10.12,4.24,$-14.20,0.0,$-4.84,0.0,$0.16B,$0.06B,2.78,$0.00B,$0.12B,0.0,$0.15B,$0.07B,44.22%,$0.15B,$-0.06B,-37.41%,$0.15B,$-0.06B,-37.41%,$0.15B,$-0.05B,-31.97%,$0.15B,$-0.14B,-93.20%,$0.15B,$-0.14B,-93.20%,$-0.14B,$0.12B,-441.94%,$-0.14B,$0.11B,-464.41%,$-0.14B,$0.18B,-94.48%,$-0.06B,$0.12B,-62.32%,$46,$24,$22,$8,$30,$62,$-16,$-19,$-34,$0,$-34,$-34,$-34,$-14,$-16,$56,56,$-0.62,$-0.62,$114,$24,$0,$163,$18,$0,$1,$0,$19,$182,$59,$0,$4,$8,$66,$0,$-604,$-0,$115,$182,$-126,$5,$91,$96,$-2,$3,$1,$5,$8,$-22,$-2,$0,$0,$-82,$0,$-82,$0,$-84,$-88,$0,$-88,$30,$30,$0,$173,$115,$9,$13,$0
1,2018-06-30,22.02,$0.49,45.04,$14.49,1.52,$-25.09,0.0,$-7.31,0.0,$0.13B,$0.04B,3.02,$0.08B,$0.03B,2.97,$0.13B,$0.06B,42.97%,$0.13B,$-0.05B,-40.63%,$0.13B,$-0.05B,-40.63%,$0.13B,$-0.04B,-34.38%,$0.13B,$-0.12B,-92.97%,$0.13B,$-0.12B,-92.97%,$-0.12B,$0.03B,2505.26%,$-0.12B,$0.03B,1904.00%,$-0.12B,$0.16B,-97.94%,$-0.05B,$0.10B,-72.73%,$34,$19,$15,$6,$23,$48,$-14,$-45,$-59,$0,$-59,$-59,$-59,$-12,$-14,$51,51,$-1.17,$-1.17,$87,$25,$0,$128,$18,$0,$1,$10,$30,$158,$43,$77,$8,$89,$132,$0,$-570,$0,$26,$158,$-92,$3,$63,$66,$6,$2,$-2,$-1,$7,$-19,$-1,$0,$0,$-36,$0,$-36,$0,$-37,$0,$0,$0,$29,$29,$0,$64,$93,$37,$4,$0
2,2018-03-31,4.96,$0.25,19.52,$18.08,0.27,$-32.60,0.0,$-10.54,0.0,$0.11B,$0.04B,2.62,$0.08B,$0.01B,6.45,$0.12B,$0.05B,41.74%,$0.12B,$-0.06B,-49.57%,$0.12B,$-0.06B,-49.57%,$0.12B,$-0.05B,-42.61%,$0.12B,$-0.08B,-71.30%,$0.12B,$-0.08B,-71.30%,$-0.08B,$0.01B,520.63%,$-0.08B,$0.01B,468.57%,$-0.08B,$0.15B,-76.81%,$-0.06B,$0.09B,-95.40%,$27,$16,$11,$6,$21,$43,$-15,$-17,$-33,$0,$-33,$-33,$-33,$-14,$-15,$18,18,$-1.82,$-1.82,$72,$26,$0,$114,$19,$0,$1,$10,$30,$145,$44,$76,$8,$89,$133,$0,$-510,$0,$12,$145,$-33,$2,$17,$18,$8,$0,$-2,$-5,$2,$-12,$-1,$0,$0,$-9,$0,$-9,$0,$-10,$0,$0,$0,$7,$7,$0,$64,$71,$49,$1,$0
3,2017-12-31,2.36,$-2.88,-0.82,$22.51,0.1,$-39.24,0.0,$-16.22,0.0,$0.06B,$0.04B,1.78,$0.08B,$-0.03B,-2.63,$0.11B,$0.04B,41.12%,$0.11B,$-0.06B,-58.88%,$0.11B,$-0.06B,-58.88%,$0.11B,$-0.06B,-51.40%,$0.11B,$-0.07B,-68.22%,$0.11B,$-0.07B,-68.22%,$-0.07B,$-0.03B,379.22%,$-0.07B,$-0.03B,347.62%,$-0.07B,$0.10B,-73.92%,$-0.06B,$0.05B,-113.00%,$40,$23,$17,$6,$21,$50,$-10,$-2,$-11,$0,$-11,$-11,$-11,$-7,$-10,$6,6,$2.04,$2.04,$14,$27,$0,$64,$20,$0,$1,$10,$31,$95,$36,$77,$7,$88,$124,$0,$-478,$0,$-29,$95,$-73,$7,$16,$23,$-10,$-6,$-2,$1,$-16,$-66,$-6,$0,$0,$9,$0,$9,$0,$3,$0,$0,$0,$1,$1,$0,$32,$32,$-31,$13,$0
4,2017-09-30,7.3,$-5.10,-1.43,$24.87,0.29,$-49.52,0.0,$-19.79,0.0,$0.06B,$0.03B,1.9,$0.08B,$-0.03B,-2.7,$0.10B,$0.04B,38.54%,$0.10B,$-0.07B,-68.75%,$0.10B,$-0.07B,-68.75%,$0.10B,$-0.06B,-62.50%,$0.10B,$-0.08B,-80.21%,$0.10B,$-0.08B,-80.21%,$-0.08B,$-0.03B,570.37%,$-0.08B,$-0.03B,504.92%,$-0.08B,$0.09B,-74.76%,$-0.07B,$0.05B,-106.02%,$27,$15,$12,$5,$20,$40,$-13,$-3,$-16,$0,$-16,$-16,$-16,$-11,$-13,$5,5,$-3.09,$-3.09,$13,$30,$0,$56,$20,$0,$2,$10,$32,$88,$29,$76,$7,$87,$116,$0,$-466,$0,$-28,$88,$-62,$5,$14,$19,$-0,$-9,$1,$-4,$-12,$-54,$-4,$0,$0,$9,$0,$9,$0,$4,$0,$0,$0,$1,$1,$0,$25,$26,$-25,$11,$0
5,2017-06-30,8.0,$-3.64,-2.2,$23.68,0.34,$-55.74,0.0,$-26.40,0.0,$0.07B,$0.03B,2.11,$0.08B,$-0.02B,-4.09,$0.08B,$0.02B,28.40%,$0.08B,$-0.08B,-100.00%,$0.08B,$-0.08B,-100.00%,$0.08B,$-0.08B,-93.83%,$0.08B,$-0.09B,-112.35%,$0.08B,$-0.09B,-112.35%,$-0.09B,$-0.02B,1733.33%,$-0.09B,$-0.02B,1255.17%,$-0.09B,$0.10B,-87.92%,$-0.08B,$0.06B,-129.08%,$21,$13,$8,$5,$22,$40,$-19,$-3,$-22,$0,$-22,$-22,$-22,$-17,$-19,$5,5,$-4.36,$-4.36,$28,$26,$0,$65,$22,$0,$2,$10,$33,$99,$31,$75,$7,$86,$117,$0,$-450,$0,$-18,$99,$-46,$3,$10,$13,$2,$-5,$-0,$1,$-3,$-35,$-4,$0,$0,$9,$0,$9,$0,$4,$0,$0,$0,$1,$1,$0,$21,$22,$-9,$8,$0
6,2017-03-31,12.0,$-0.37,-32.02,$26.96,0.45,$-58.83,0.0,$-28.00,0.0,$0.08B,$0.03B,2.74,$0.07B,$-0.00B,-39.49,$0.08B,$0.02B,27.71%,$0.08B,$-0.08B,-95.18%,$0.08B,$-0.08B,-95.18%,$0.08B,$-0.08B,-90.36%,$0.08B,$-0.09B,-104.82%,$0.08B,$-0.09B,-104.82%,$-0.09B,$-0.00B,-1200.00%,$-0.09B,$-0.00B,-1657.14%,$-0.09B,$0.11B,-82.08%,$-0.08B,$0.07B,-116.61%,$19,$12,$7,$5,$23,$40,$-21,$-3,$-24,$0,$-24,$-24,$-24,$-20,$-21,$3,3,$-7.46,$-7.46,$44,$24,$0,$80,$21,$0,$2,$10,$33,$113,$29,$74,$8,$85,$115,$0,$-428,$0,$-2,$113,$-24,$1,$4,$6,$3,$-3,$-3,$-1,$-3,$-21,$-3,$0,$0,$5,$0,$5,$0,$3,$0,$0,$0,$0,$0,$0,$22,$22,$4,$3,$0
7,2016-12-31,21.5,$-1.91,-11.28,$27.63,0.78,$-57.38,0.0,$-27.30,0.0,$0.09B,$0.03B,2.93,$0.08B,$-0.01B,-13.32,$0.08B,$0.02B,27.38%,$0.08B,$-0.08B,-91.67%,$0.08B,$-0.08B,-91.67%,$0.08B,$-0.07B,-86.90%,$0.08B,$-0.08B,-98.81%,$0.08B,$-0.08B,-98.81%,$-0.08B,$-0.01B,-431.17%,$-0.08B,$-0.01B,-481.16%,$-0.08B,$0.11B,-76.85%,$-0.08B,$0.07B,-106.57%,$29,$19,$10,$4,$19,$42,$-13,$-1,$-15,$0,$-15,$-15,$-15,$-12,$-13,$3,3,$-4.77,$-4.77,$56,$21,$0,$92,$18,$0,$2,$0,$20,$112,$31,$79,$5,$87,$118,$0,$-405,$-0,$-6,$112,$-83,$5,$17,$22,$2,$-7,$3,$2,$0,$-61,$-9,$0,$0,$19,$0,$19,$0,$10,$50,$0,$50,$2,$2,$0,$0,$52,$2,$12,$0
8,2016-09-30,76.6,$1.70,45.17,$28.24,2.71,$-56.76,0.0,$-26.50,0.0,$0.07B,$0.04B,2.04,$0.05B,$0.01B,8.6,$0.08B,$0.03B,30.95%,$0.08B,$-0.08B,-89.29%,$0.08B,$-0.08B,-89.29%,$0.08B,$-0.07B,-84.52%,$0.08B,$-0.08B,-95.24%,$0.08B,$-0.08B,-95.24%,$-0.08B,$0.01B,-219.18%,$-0.08B,$0.00B,-231.88%,$-0.08B,$0.09B,-71.91%,$-0.08B,$0.05B,-97.09%,$12,$14,$-2,$6,$21,$41,$-28,$-1,$-30,$0,$-30,$-30,$-30,$-27,$-28,$3,3,$-9.73,$-9.73,$36,$23,$0,$71,$17,$0,$2,$0,$19,$90,$35,$45,$3,$50,$85,$0,$-390,$-0,$5,$90,$-69,$4,$12,$16,$5,$-7,$0,$7,$5,$-48,$-6,$0,$0,$12,$0,$12,$0,$6,$15,$0,$15,$2,$2,$0,$0,$17,$-25,$9,$0
9,2016-06-30,75.4,$10.48,7.2,$29.46,2.56,$-56.71,0.0,$-23.30,0.0,$0.09B,$0.03B,3.36,$0.04B,$0.03B,1.38,$0.09B,$0.03B,38.64%,$0.09B,$-0.07B,-75.00%,$0.09B,$-0.07B,-75.00%,$0.09B,$-0.06B,-69.32%,$0.09B,$-0.07B,-79.55%,$0.09B,$-0.07B,-79.55%,$-0.07B,$0.03B,-132.08%,$-0.07B,$0.03B,-137.25%,$-0.07B,$0.11B,-57.85%,$-0.07B,$0.08B,-73.33%,$23,$15,$8,$4,$21,$40,$-17,$-1,$-18,$0,$-18,$-18,$-18,$-16,$-17,$3,3,$-6.00,$-6.00,$56,$22,$0,$91,$16,$0,$2,$0,$18,$109,$27,$44,$3,$50,$77,$0,$-360,$0,$32,$109,$-39,$3,$7,$10,$4,$-4,$2,$-2,$-0,$-29,$-4,$0,$0,$4,$0,$4,$0,$0,$15,$0,$15,$2,$2,$0,$0,$17,$-13,$6,$0
