,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,56.32,$4.96,11.35,$47.56,1.18,$-19.42,0.0,$3.17,17.77,$1.34B,$1.11B,1.2,$0.40B,$0.35B,1.13,$3.43B,$0.65B,18.96%,$3.43B,$0.26B,7.45%,$3.43B,$0.26B,7.45%,$3.43B,$0.30B,8.77%,$3.43B,$0.24B,7.11%,$3.43B,$0.23B,6.67%,$0.23B,$0.35B,81.28%,$0.23B,$0.04B,-732.80%,$0.23B,$2.10B,10.46%,$0.26B,$0.75B,38.24%,$875,$705,$170,$12,$85,$813,$62,$-2,$60,$9,$51,$51,$51,$74,$62,$71,73,$0.73,$0.71,$896,$0,$403,$1337,$78,$311,$311,$67,$767,$2104,$1111,$396,$175,$643,$1754,$623,$-273,$0,$350,$2104,$163,$36,$31,$67,$0,$0,$-9,$-694,$-706,$-476,$-33,$0,$0,$0,$-136,$-136,$0,$-169,$-9,$0,$-9,$-38,$-38,$0,$-15,$-62,$-707,$31,$0
1,2018-06-30,55.94,$4.38,12.78,$46.95,1.19,$-14.79,0.0,$3.07,18.22,$1.25B,$1.06B,1.18,$0.40B,$0.31B,1.3,$3.38B,$0.64B,18.83%,$3.38B,$0.26B,7.61%,$3.38B,$0.26B,7.61%,$3.38B,$0.30B,8.88%,$3.38B,$0.24B,7.17%,$3.38B,$0.22B,6.54%,$0.22B,$0.31B,97.25%,$0.22B,$-0.00B,-254.02%,$0.22B,$2.02B,10.41%,$0.26B,$0.71B,41.81%,$850,$681,$169,$11,$72,$774,$76,$-4,$72,$14,$58,$58,$58,$90,$76,$70,73,$0.82,$0.80,$860,$0,$352,$1249,$79,$312,$312,$63,$766,$2015,$1061,$402,$173,$645,$1706,$611,$-302,$0,$309,$2015,$112,$24,$19,$43,$0,$0,$-14,$-681,$-698,$-543,$-26,$0,$0,$0,$-140,$-140,$0,$-166,$-4,$0,$-4,$-22,$-22,$0,$-10,$-36,$-745,$19,$0
2,2018-03-31,46.32,$3.72,12.44,$46.49,1.0,$-10.10,0.0,$2.83,16.37,$1.42B,$1.17B,1.21,$0.37B,$0.26B,1.41,$3.33B,$0.62B,18.54%,$3.33B,$0.24B,7.15%,$3.33B,$0.24B,7.15%,$3.33B,$0.28B,8.26%,$3.33B,$0.22B,6.67%,$3.33B,$0.20B,6.10%,$0.20B,$0.26B,117.34%,$0.20B,$-0.05B,-142.21%,$0.20B,$2.05B,9.86%,$0.24B,$0.63B,42.42%,$861,$698,$163,$13,$70,$790,$71,$-4,$67,$13,$54,$54,$54,$81,$71,$70,72,$0.77,$0.75,$1029,$0,$368,$1419,$74,$0,$314,$240,$628,$2047,$1172,$370,$172,$613,$1785,$595,$-332,$-1,$262,$2047,$54,$10,$9,$19,$0,$0,$-15,$-598,$-609,$-536,$-12,$0,$0,$0,$14,$14,$0,$2,$-10,$0,$-10,$-5,$-5,$0,$-4,$-19,$-553,$9,$0
3,2017-12-31,44.34,$2.95,15.03,$45.97,0.96,$-4.94,0.0,$2.49,17.81,$1.99B,$1.76B,1.13,$0.38B,$0.21B,1.86,$3.28B,$0.60B,18.20%,$3.28B,$0.22B,6.63%,$3.28B,$0.22B,6.63%,$3.28B,$0.25B,7.69%,$3.28B,$0.20B,6.11%,$3.28B,$0.18B,5.44%,$0.18B,$0.21B,150.53%,$0.18B,$-0.11B,-89.56%,$0.18B,$2.59B,8.83%,$0.22B,$0.59B,41.97%,$848,$699,$149,$11,$81,$801,$47,$-2,$45,$-21,$66,$66,$66,$56,$47,$69,71,$0.95,$0.92,$1616,$0,$360,$1991,$70,$162,$315,$55,$602,$2593,$1757,$383,$179,$630,$2387,$583,$-377,$0,$206,$2593,$178,$35,$7,$42,$0,$0,$22,$-37,$33,$253,$-38,$0,$0,$0,$14,$14,$0,$-24,$-38,$0,$-38,$-28,$-28,$0,$-11,$-77,$152,$32,$0
4,2017-09-30,33.62,$1.90,17.73,$45.35,0.74,$-6.44,0.0,$1.89,17.79,$1.23B,$1.05B,1.18,$0.40B,$0.13B,3.0,$3.24B,$0.57B,17.57%,$3.24B,$0.21B,6.58%,$3.24B,$0.21B,6.58%,$3.24B,$0.25B,7.72%,$3.24B,$0.19B,5.96%,$3.24B,$0.14B,4.17%,$0.14B,$0.13B,178.81%,$0.14B,$-0.18B,-55.61%,$0.14B,$1.84B,7.14%,$0.21B,$0.53B,44.01%,$818,$663,$155,$11,$72,$755,$63,$-5,$58,$15,$43,$43,$43,$73,$63,$69,72,$0.62,$0.60,$279,$0,$944,$1234,$68,$160,$316,$58,$603,$1837,$1047,$395,$173,$658,$1705,$568,$-436,$-0,$132,$1837,$112,$26,$21,$47,$0,$0,$7,$-350,$-300,$-141,$-29,$0,$0,$0,$14,$14,$0,$-15,$-29,$0,$-29,$-28,$-28,$0,$-8,$-65,$-221,$21,$0
5,2017-06-30,32.74,$1.32,24.84,$44.62,0.73,$-3.33,0.0,$1.49,21.97,$1.18B,$1.01B,1.17,$0.40B,$0.09B,4.42,$3.19B,$0.53B,16.46%,$3.19B,$0.18B,5.61%,$3.19B,$0.18B,5.61%,$3.19B,$0.22B,6.77%,$3.19B,$0.16B,4.98%,$3.19B,$0.11B,3.35%,$0.11B,$0.09B,215.08%,$0.11B,$-0.23B,-39.63%,$0.11B,$1.76B,5.84%,$0.18B,$0.50B,38.29%,$801,$651,$150,$12,$74,$744,$57,$-5,$52,$12,$40,$40,$40,$65,$57,$69,71,$0.58,$0.56,$248,$0,$901,$1177,$67,$151,$318,$46,$582,$1759,$1008,$404,$163,$659,$1667,$557,$-465,$-1,$92,$1759,$69,$16,$14,$30,$0,$0,$5,$-343,$-303,$-204,$-20,$0,$0,$0,$11,$11,$0,$-9,$-18,$0,$-18,$-22,$-22,$0,$-5,$-45,$-258,$14,$0
6,2017-03-31,28.9,$0.62,46.55,$43.68,0.66,$0.19,148.36,$1.10,26.27,$1.31B,$1.15B,1.14,$0.41B,$0.04B,9.72,$3.14B,$0.48B,15.31%,$3.14B,$0.15B,4.72%,$3.14B,$0.15B,4.72%,$3.14B,$0.19B,5.96%,$3.14B,$0.13B,4.08%,$3.14B,$0.08B,2.52%,$0.08B,$0.04B,225.71%,$0.08B,$-0.28B,-27.55%,$0.08B,$1.87B,4.35%,$0.15B,$0.46B,31.91%,$808,$666,$142,$11,$74,$758,$50,$-5,$45,$16,$29,$29,$29,$58,$50,$69,71,$0.42,$0.41,$231,$0,$1041,$1309,$63,$128,$319,$54,$564,$1873,$1149,$413,$176,$681,$1830,$544,$-500,$-1,$43,$1873,$29,$8,$6,$14,$0,$0,$2,$-231,$-204,$-161,$-11,$0,$0,$0,$4,$4,$0,$-7,$-9,$0,$-9,$-26,$-26,$0,$-2,$-37,$-205,$6,$0
7,2016-12-31,25.62,$0.51,50.52,$42.50,0.6,$3.09,8.29,$0.85,30.14,$1.54B,$1.38B,1.11,$0.42B,$0.04B,12.06,$3.06B,$0.46B,14.90%,$3.06B,$0.12B,4.05%,$3.06B,$0.12B,4.05%,$3.06B,$0.16B,5.36%,$3.06B,$0.10B,3.40%,$3.06B,$0.06B,2.03%,$0.06B,$0.04B,200.00%,$0.06B,$-0.29B,-21.09%,$0.06B,$2.10B,3.46%,$0.12B,$0.46B,26.38%,$811,$688,$122,$10,$63,$768,$43,$-5,$38,$15,$23,$23,$23,$54,$43,$70,72,$0.34,$0.32,$199,$0,$1283,$1535,$59,$0,$320,$181,$560,$2095,$1379,$422,$167,$681,$2060,$535,$-500,$0,$35,$2095,$61,$39,$68,$107,$0,$0,$9,$6,$-19,$149,$-40,$0,$0,$0,$13,$13,$0,$-27,$22,$0,$22,$-63,$-63,$0,$-63,$-104,$18,$26,$0
8,2016-09-30,21.63,$0.42,52.11,$41.22,0.52,$3.39,6.38,$0.73,29.63,$1.04B,$0.94B,1.11,$0.43B,$0.03B,14.93,$2.97B,$0.44B,14.93%,$2.97B,$0.11B,3.70%,$2.97B,$0.11B,3.70%,$2.97B,$0.15B,5.04%,$2.97B,$0.09B,3.06%,$2.97B,$0.05B,1.78%,$0.05B,$0.03B,218.56%,$0.05B,$-0.29B,-17.39%,$0.05B,$1.60B,2.96%,$0.11B,$0.46B,23.26%,$770,$660,$111,$8,$64,$741,$29,$-5,$24,$9,$15,$15,$15,$39,$29,$70,72,$0.21,$0.20,$175,$0,$850,$1044,$53,$122,$322,$59,$556,$1600,$939,$432,$147,$633,$1571,$523,$-494,$-0,$29,$1600,$38,$28,$20,$48,$0,$0,$5,$-15,$-6,$81,$-28,$0,$-0,$0,$11,$11,$0,$-17,$-27,$0,$-27,$-38,$-38,$0,$-4,$-69,$-6,$20,$0
9,2016-06-30,20.79,$0.47,43.81,$39.78,0.52,$3.90,5.32,$0.57,36.47,$1.15B,$1.02B,1.13,$0.45B,$0.03B,13.37,$2.87B,$0.43B,14.94%,$2.87B,$0.09B,3.24%,$2.87B,$0.09B,3.24%,$2.87B,$0.14B,4.77%,$2.87B,$0.07B,2.58%,$2.87B,$0.04B,1.43%,$0.04B,$0.03B,303.70%,$0.04B,$-0.29B,-12.78%,$0.04B,$1.70B,2.28%,$0.09B,$0.48B,19.57%,$746,$641,$105,$6,$63,$719,$26,$-5,$21,$9,$12,$12,$12,$36,$26,$71,72,$0.17,$0.17,$181,$0,$950,$1151,$47,$0,$326,$171,$545,$1696,$1022,$447,$139,$641,$1663,$513,$-480,$-0,$33,$1696,$24,$18,$14,$32,$0,$0,$2,$-11,$-12,$44,$-17,$0,$-0,$0,$10,$10,$0,$-7,$-23,$0,$-23,$-12,$-12,$0,$-1,$-36,$0,$14,$0
