,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,3.67,$18.28,0.2,$4.45,0.82,$-0.51,0.0,$-0.43,0.0,$0.38B,$0.39B,0.98,$1.42B,$1.58B,0.9,$0.38B,$0.16B,40.84%,$0.38B,$0.03B,7.59%,$0.38B,$0.03B,7.59%,$0.38B,$0.14B,36.13%,$0.38B,$-0.02B,-4.97%,$0.38B,$-0.04B,-9.95%,$-0.04B,$1.60B,-2.48%,$-0.04B,$1.60B,-2.48%,$-0.04B,$3.40B,-1.12%,$0.03B,$3.01B,0.96%,$124,$76,$48,$0,$7,$120,$4,$-14,$-11,$0,$-11,$-11,$-16,$42,$4,$87,87,$-0.19,$-0.19,$282,$18,$35,$378,$2973,$3,$0,$0,$3020,$3398,$385,$1415,$1,$1416,$1801,$87,$501,$-5,$1597,$3398,$-23,$75,$-12,$62,$-9,$-2,$1,$-2,$-1,$39,$6,$0,$0,$0,$0,$0,$0,$6,$-79,$0,$-79,$4,$134,$-18,$-3,$35,$80,$0,$-18
1,2018-03-31,3.21,$17.16,0.19,$4.67,0.69,$-2.13,0.0,$-0.08,0.0,$0.27B,$0.42B,0.65,$1.41B,$1.47B,0.96,$0.40B,$0.18B,44.44%,$0.40B,$0.06B,13.89%,$0.40B,$0.06B,13.89%,$0.40B,$0.16B,40.15%,$0.40B,$0.01B,2.53%,$0.40B,$-0.01B,-2.02%,$-0.01B,$1.48B,-0.71%,$-0.01B,$1.48B,-0.71%,$-0.01B,$3.32B,-0.31%,$0.06B,$2.89B,2.44%,$126,$77,$48,$0,$7,$120,$6,$-18,$-12,$0,$-12,$-12,$-19,$42,$6,$86,86,$-0.21,$-0.21,$178,$19,$43,$274,$2997,$2,$0,$0,$3042,$3316,$424,$1407,$2,$1409,$1833,$87,$524,$-6,$1483,$3316,$-12,$37,$-7,$30,$6,$-2,$5,$-8,$7,$25,$-0,$0,$0,$0,$0,$0,$0,$-0,$-42,$0,$-42,$0,$0,$-7,$-0,$-49,$-24,$0,$-7
2,2017-12-31,3.8,$0.00,0.0,$4.62,0.82,$-4.31,0.0,$0.28,13.58,$0.30B,$0.34B,0.9,$1.53B,$1.50B,1.02,$0.39B,$0.19B,47.95%,$0.39B,$0.07B,18.72%,$0.39B,$0.07B,18.72%,$0.39B,$0.17B,43.33%,$0.39B,$0.04B,9.74%,$0.39B,$0.02B,5.90%,$0.02B,$1.51B,2.07%,$0.02B,$1.51B,2.07%,$0.02B,$3.37B,0.93%,$0.07B,$3.03B,3.33%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$203,$16,$42,$304,$3030,$2,$0,$0,$3069,$3374,$339,$1526,$1,$1527,$1865,$87,$548,$-5,$1508,$3374,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2017-06-30,4.56,$18.16,0.25,$6.03,0.76,$-4.81,0.0,$0.53,8.6,$0.41B,$0.40B,1.03,$1.56B,$1.52B,1.02,$0.51B,$0.25B,49.22%,$0.51B,$0.11B,20.70%,$0.51B,$0.11B,20.70%,$0.51B,$0.23B,44.73%,$0.51B,$0.06B,12.30%,$0.51B,$0.04B,8.59%,$0.04B,$1.53B,4.03%,$0.04B,$1.53B,4.03%,$0.04B,$3.48B,1.86%,$0.11B,$3.09B,5.12%,$132,$72,$60,$0,$7,$113,$19,$-15,$4,$0,$4,$4,$-3,$54,$19,$84,84,$-0.03,$-0.03,$258,$15,$97,$407,$3052,$2,$0,$0,$3077,$3483,$395,$1555,$1,$1557,$1952,$87,$585,$-8,$1532,$3483,$22,$68,$-6,$62,$7,$3,$3,$6,$27,$111,$-221,$0,$0,$0,$0,$0,$0,$-221,$73,$0,$73,$3,$114,$-14,$-2,$171,$60,$0,$-14
4,2017-03-31,4.5,$0.00,0.0,$6.12,0.73,$-2.80,0.0,$0.97,4.64,$0.00B,$0.00B,0.0,$0.00B,$0.00B,0.0,$0.52B,$0.27B,52.01%,$0.52B,$0.14B,25.81%,$0.52B,$0.14B,25.81%,$0.52B,$0.25B,47.80%,$0.52B,$0.10B,18.93%,$0.52B,$0.08B,15.87%,$0.08B,$0.00B,7.81%,$0.08B,$0.00B,7.81%,$0.08B,$0.00B,3.74%,$0.14B,$0.00B,7.02%,$138,$70,$68,$0,$6,$108,$30,$-12,$18,$0,$18,$18,$14,$63,$30,$84,84,$0.16,$0.16,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$18,$33,$-1,$32,$-6,$-1,$2,$3,$4,$54,$-147,$0,$0,$0,$0,$0,$0,$-147,$56,$0,$56,$2,$3,$-4,$-0,$55,$-38,$0,$-4
5,2016-06-30,4.21,$16.80,0.25,$6.12,0.69,$-0.84,0.0,$1.23,3.42,$0.41B,$0.40B,1.02,$1.24B,$1.41B,0.88,$0.53B,$0.28B,52.75%,$0.53B,$0.15B,28.46%,$0.53B,$0.15B,28.46%,$0.53B,$0.26B,49.15%,$0.53B,$0.12B,22.96%,$0.53B,$0.11B,19.92%,$0.11B,$1.41B,7.47%,$0.11B,$1.41B,7.47%,$0.11B,$3.06B,3.58%,$0.15B,$2.65B,5.94%,$120,$61,$59,$0,$7,$96,$24,$-8,$16,$0,$16,$16,$12,$52,$24,$86,86,$0.15,$0.15,$262,$15,$85,$409,$2631,$2,$0,$0,$2649,$3058,$400,$1237,$6,$1244,$1644,$87,$588,$-14,$1414,$3058,$42,$54,$-8,$46,$4,$-1,$8,$-6,$6,$93,$-256,$0,$0,$0,$0,$0,$0,$-256,$158,$0,$158,$-19,$-19,$-15,$3,$127,$-36,$1,$-15
6,2016-03-31,5.55,$16.26,0.34,$6.53,0.85,$1.31,4.23,$1.53,3.63,$0.41B,$0.37B,1.11,$1.13B,$1.41B,0.8,$0.56B,$0.30B,53.65%,$0.56B,$0.18B,31.19%,$0.56B,$0.18B,31.19%,$0.56B,$0.28B,50.62%,$0.56B,$0.15B,26.02%,$0.56B,$0.13B,23.35%,$0.13B,$1.42B,9.47%,$0.13B,$1.42B,9.47%,$0.13B,$2.93B,4.56%,$0.18B,$2.55B,7.09%,$122,$57,$65,$0,$5,$89,$33,$-8,$25,$0,$25,$25,$21,$60,$33,$87,87,$0.25,$0.25,$276,$14,$81,$414,$2497,$1,$0,$0,$2514,$2928,$373,$1130,$6,$1136,$1508,$87,$582,$-13,$1420,$2928,$25,$27,$-4,$23,$8,$1,$4,$-7,$6,$54,$-97,$0,$0,$0,$0,$0,$0,$-97,$25,$0,$25,$-7,$-7,$-4,$7,$21,$-22,$0,$-4
7,2015-12-31,7.01,$16.20,0.43,$6.88,1.02,$1.94,3.61,$1.70,4.13,$0.45B,$0.40B,1.13,$1.07B,$1.41B,0.76,$0.59B,$0.31B,53.40%,$0.59B,$0.19B,31.97%,$0.59B,$0.19B,31.97%,$0.59B,$0.30B,50.34%,$0.59B,$0.16B,26.87%,$0.59B,$0.15B,24.66%,$0.15B,$1.42B,10.90%,$0.15B,$1.42B,10.90%,$0.15B,$2.89B,5.14%,$0.19B,$2.49B,7.79%,$143,$63,$80,$0,$5,$95,$48,$-8,$40,$0,$40,$40,$36,$75,$48,$86,86,$0.40,$0.40,$305,$14,$81,$452,$2425,$1,$0,$0,$2441,$2893,$401,$1074,$3,$1078,$1478,$87,$567,$-11,$1415,$2893,$158,$107,$-19,$88,$-9,$2,$-8,$3,$-9,$234,$-175,$0,$0,$0,$0,$0,$0,$-175,$-15,$0,$-15,$0,$82,$-33,$-6,$28,$88,$0,$-33
8,2015-09-30,7.14,$15.76,0.45,$6.95,1.03,$-0.61,0.0,$1.43,4.99,$0.39B,$0.43B,0.9,$1.03B,$1.37B,0.75,$0.58B,$0.30B,50.69%,$0.58B,$0.17B,29.04%,$0.58B,$0.17B,29.04%,$0.58B,$0.28B,47.59%,$0.58B,$0.13B,22.68%,$0.58B,$0.12B,20.62%,$0.12B,$1.38B,9.44%,$0.12B,$1.38B,9.44%,$0.12B,$2.84B,4.33%,$0.17B,$2.41B,7.09%,$142,$68,$74,$0,$5,$97,$45,$-5,$40,$0,$40,$40,$36,$72,$45,$86,86,$0.42,$0.42,$301,$17,$19,$388,$2433,$1,$0,$0,$2455,$2844,$431,$1030,$6,$1036,$1467,$87,$532,$-14,$1376,$2844,$119,$80,$-14,$66,$-13,$-1,$-8,$-2,$-15,$166,$-92,$0,$0,$0,$0,$0,$0,$-92,$-44,$0,$-44,$0,$82,$-24,$-10,$3,$78,$0,$-24
9,2015-06-30,8.3,$15.62,0.53,$6.74,1.23,$-3.35,0.0,$1.05,7.91,$0.43B,$0.40B,1.09,$1.10B,$1.32B,0.84,$0.56B,$0.27B,47.59%,$0.56B,$0.14B,24.60%,$0.56B,$0.14B,24.60%,$0.56B,$0.25B,43.85%,$0.56B,$0.10B,17.29%,$0.56B,$0.09B,15.51%,$0.09B,$1.32B,7.13%,$0.09B,$1.32B,7.13%,$0.09B,$2.83B,3.18%,$0.14B,$2.43B,5.75%,$154,$72,$82,$0,$5,$105,$49,$-8,$41,$0,$41,$41,$38,$77,$49,$85,85,$0.45,$0.45,$288,$19,$57,$431,$2375,$1,$0,$0,$2395,$2826,$396,$1104,$4,$1108,$1503,$85,$502,$-11,$1323,$2826,$79,$54,$-8,$46,$-26,$-3,$-3,$-3,$-27,$98,$-77,$0,$0,$0,$0,$0,$0,$-77,$-14,$0,$-14,$82,$82,$-14,$2,$56,$77,$0,$-14
10,2015-03-31,7.08,$14.23,0.5,$6.32,1.12,$-4.64,0.0,$0.58,12.21,$0.29B,$0.38B,0.77,$1.13B,$1.20B,0.94,$0.52B,$0.22B,43.16%,$0.52B,$0.10B,18.69%,$0.52B,$0.10B,18.69%,$0.52B,$0.20B,39.11%,$0.52B,$0.06B,10.79%,$0.52B,$0.05B,9.06%,$0.05B,$1.21B,3.97%,$0.05B,$1.21B,3.97%,$0.05B,$2.72B,1.75%,$0.10B,$2.33B,4.05%,$149,$71,$78,$0,$7,$103,$46,$-8,$37,$0,$37,$37,$35,$72,$46,$85,85,$0.42,$0.42,$210,$17,$13,$291,$2407,$1,$0,$0,$2428,$2719,$379,$1129,$5,$1134,$1513,$85,$468,$-13,$1206,$2719,$37,$26,$-4,$23,$-6,$-1,$-2,$-1,$-5,$55,$-44,$0,$0,$0,$0,$0,$0,$-44,$-9,$0,$-9,$0,$0,$-7,$2,$-14,$-2,$0,$-7
11,2014-12-31,5.99,$13.90,0.43,$6.52,0.92,$-5.21,0.0,$0.35,17.11,$0.29B,$0.33B,0.89,$1.19B,$1.17B,1.01,$0.50B,$0.20B,40.20%,$0.50B,$0.08B,15.00%,$0.50B,$0.08B,15.00%,$0.50B,$0.18B,36.20%,$0.50B,$0.03B,6.60%,$0.50B,$0.02B,4.80%,$0.02B,$1.18B,2.08%,$0.02B,$1.18B,2.08%,$0.02B,$2.70B,0.91%,$0.08B,$2.37B,3.14%,$137,$77,$61,$0,$5,$108,$29,$-15,$14,$0,$14,$14,$11,$56,$29,$79,79,$0.11,$0.11,$214,$16,$13,$290,$2388,$1,$0,$0,$2409,$2699,$327,$1190,$4,$1194,$1521,$85,$438,$-10,$1178,$2699,$34,$104,$-1,$103,$-16,$4,$-16,$-4,$-30,$107,$-254,$0,$0,$0,$0,$0,$0,$-254,$38,$0,$38,$176,$176,$-21,$-6,$187,$40,$0,$-21
12,2014-09-30,5.43,$13.86,0.39,$6.64,0.82,$-3.85,0.0,$-0.45,0.0,$0.29B,$0.22B,1.32,$1.29B,$1.17B,1.1,$0.47B,$0.17B,35.26%,$0.47B,$0.05B,10.90%,$0.47B,$0.05B,10.90%,$0.47B,$0.16B,33.33%,$0.47B,$-0.02B,-3.63%,$0.47B,$-0.03B,-5.34%,$-0.03B,$1.17B,-2.25%,$-0.03B,$1.17B,-2.25%,$-0.03B,$2.69B,-0.97%,$0.05B,$2.47B,2.16%,$121,$75,$46,$0,$5,$107,$14,$-9,$5,$0,$5,$5,$3,$41,$14,$85,85,$0.04,$0.04,$213,$21,$12,$286,$2378,$1,$0,$0,$2399,$2686,$217,$1291,$3,$1295,$1511,$85,$431,$-8,$1174,$2686,$20,$78,$-4,$74,$-11,$-1,$-16,$-8,$-33,$61,$-219,$0,$0,$0,$0,$0,$0,$-219,$41,$0,$41,$177,$177,$-15,$-2,$201,$42,$0,$-15
13,2014-06-30,5.65,$13.86,0.41,$7.11,0.79,$-2.68,0.0,$-0.53,0.0,$0.31B,$0.20B,1.5,$1.24B,$1.17B,1.06,$0.46B,$0.16B,36.04%,$0.46B,$0.05B,10.33%,$0.46B,$0.05B,10.33%,$0.46B,$0.15B,33.19%,$0.46B,$-0.02B,-5.27%,$0.46B,$-0.03B,-6.59%,$-0.03B,$1.17B,-2.80%,$-0.03B,$1.17B,-2.80%,$-0.03B,$2.62B,-1.18%,$0.05B,$2.41B,2.03%,$112,$74,$39,$0,$5,$104,$8,$-8,$0,$0,$0,$0,$-2,$34,$8,$80,80,$-0.02,$-0.02,$238,$19,$14,$306,$2295,$1,$0,$0,$2313,$2618,$204,$1236,$5,$1241,$1445,$85,$432,$-9,$1174,$2618,$15,$51,$-3,$47,$-7,$0,$-20,$-9,$-35,$27,$-111,$0,$0,$0,$0,$0,$0,$-111,$-18,$0,$-18,$177,$177,$-9,$1,$151,$67,$0,$-9
14,2014-03-31,6.51,$15.20,0.43,$7.62,0.85,$-2.61,0.0,$-0.55,0.0,$0.27B,$0.22B,1.25,$1.23B,$1.09B,1.13,$0.45B,$0.17B,37.25%,$0.45B,$0.05B,10.64%,$0.45B,$0.05B,10.64%,$0.45B,$0.15B,33.48%,$0.45B,$-0.03B,-5.76%,$0.45B,$-0.03B,-6.65%,$-0.03B,$1.10B,-2.94%,$-0.03B,$1.10B,-2.94%,$-0.03B,$2.55B,-1.19%,$0.05B,$2.32B,2.11%,$130,$76,$55,$0,$5,$106,$24,$-10,$14,$0,$14,$14,$12,$50,$24,$67,67,$0.19,$0.19,$204,$18,$13,$271,$2256,$1,$0,$0,$2274,$2545,$217,$1229,$4,$1233,$1450,$72,$439,$-7,$1095,$2545,$14,$25,$-2,$23,$-7,$1,$-10,$-5,$-19,$19,$-48,$0,$0,$0,$0,$0,$0,$-48,$-26,$0,$-26,$89,$89,$-2,$2,$63,$34,$0,$-2
15,2013-12-31,5.04,$17.21,0.29,$7.40,0.68,$-2.50,0.0,$-0.72,0.0,$0.23B,$0.23B,1.02,$1.25B,$0.99B,1.26,$0.42B,$0.16B,36.99%,$0.42B,$0.03B,8.11%,$0.42B,$0.03B,8.11%,$0.42B,$0.13B,31.98%,$0.42B,$-0.04B,-9.31%,$0.42B,$-0.04B,-9.79%,$-0.04B,$1.00B,-4.18%,$-0.04B,$1.00B,-4.18%,$-0.04B,$2.48B,-1.64%,$0.03B,$2.25B,1.51%,$105,$80,$25,$0,$-6,$100,$5,$-41,$-36,$0,$-36,$-36,$-38,$31,$5,$57,57,$-0.67,$-0.67,$172,$20,$16,$233,$2232,$2,$0,$0,$2251,$2484,$228,$1254,$4,$1258,$1486,$58,$431,$-7,$998,$2484,$-39,$102,$17,$118,$5,$-5,$22,$10,$38,$118,$-146,$0,$0,$2,$0,$2,$0,$-144,$-62,$0,$-62,$7,$101,$-10,$16,$44,$18,$0,$-10
