,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,18.8,$34.65,0.54,$88.65,0.21,$-3.10,0.0,$2.27,8.28,$3.21B,$1.66B,1.94,$0.78B,$1.73B,0.45,$4.46B,$0.43B,9.59%,$4.46B,$0.16B,3.58%,$4.46B,$0.16B,3.58%,$4.46B,$0.21B,4.61%,$4.46B,$0.10B,2.31%,$4.46B,$0.12B,2.58%,$0.12B,$1.73B,6.73%,$0.12B,$1.06B,11.10%,$0.12B,$4.43B,2.65%,$0.16B,$2.51B,6.46%,$1123,$1012,$111,$0,$64,$1076,$47,$-15,$33,$7,$25,$25,$21,$60,$47,$50,50,$0.43,$0.42,$175,$0,$1216,$3209,$494,$0,$672,$50,$1216,$4425,$1656,$781,$149,$1036,$2692,$50,$652,$-44,$1733,$4425,$42,$34,$28,$61,$0,$0,$0,$-139,$-139,$-35,$-59,$0,$0,$0,$0,$0,$0,$-58,$57,$0,$57,$-3,$-3,$0,$-37,$17,$-76,$18,$0
1,2018-06-30,18.45,$34.24,0.54,$90.06,0.2,$-1.37,0.0,$2.32,7.95,$3.14B,$1.60B,1.97,$0.80B,$1.71B,0.46,$4.54B,$0.44B,9.58%,$4.54B,$0.16B,3.57%,$4.54B,$0.16B,3.57%,$4.54B,$0.21B,4.51%,$4.54B,$0.10B,2.29%,$4.54B,$0.12B,2.60%,$0.12B,$1.71B,7.01%,$0.12B,$1.04B,11.69%,$0.12B,$4.36B,2.74%,$0.16B,$2.51B,6.56%,$1120,$1001,$119,$0,$64,$1065,$55,$-15,$40,$12,$28,$28,$25,$66,$55,$50,50,$0.50,$0.49,$195,$0,$1186,$3144,$491,$0,$673,$50,$1213,$4358,$1599,$795,$146,$1047,$2645,$50,$631,$-45,$1712,$4358,$17,$21,$20,$41,$0,$0,$0,$-120,$-120,$-62,$-44,$0,$0,$-9,$8,$-1,$0,$-45,$81,$0,$81,$-2,$-2,$0,$-27,$51,$-56,$12,$0
2,2018-03-31,22.05,$33.77,0.65,$92.43,0.24,$-0.07,0.0,$2.42,9.11,$3.11B,$1.56B,2.0,$0.79B,$1.69B,0.47,$4.67B,$0.42B,8.98%,$4.67B,$0.14B,3.02%,$4.67B,$0.14B,3.02%,$4.67B,$0.18B,3.92%,$4.67B,$0.12B,2.51%,$4.67B,$0.12B,2.63%,$0.12B,$1.69B,7.43%,$0.12B,$1.01B,12.54%,$0.12B,$4.31B,2.89%,$0.14B,$2.48B,5.75%,$1028,$961,$67,$0,$68,$1029,$-1,$-14,$-15,$-4,$-11,$-11,$-12,$9,$-1,$50,50,$-0.24,$-0.24,$232,$0,$1113,$3113,$473,$0,$674,$49,$1196,$4308,$1559,$790,$166,$1063,$2623,$50,$606,$-44,$1686,$4308,$-11,$10,$11,$21,$0,$0,$0,$-83,$-83,$-73,$-17,$0,$0,$0,$-0,$-0,$0,$-17,$78,$0,$78,$-2,$-2,$0,$-5,$71,$-19,$6,$0
3,2017-12-31,25.35,$34.25,0.74,$93.72,0.27,$0.99,25.72,$2.93,8.65,$3.07B,$1.58B,1.94,$0.71B,$1.71B,0.41,$4.76B,$0.46B,9.56%,$4.76B,$0.18B,3.76%,$4.76B,$0.18B,3.76%,$4.76B,$0.23B,4.88%,$4.76B,$0.15B,3.24%,$4.76B,$0.15B,3.13%,$0.15B,$1.71B,9.17%,$0.15B,$1.03B,15.71%,$0.15B,$4.26B,3.57%,$0.18B,$2.41B,7.43%,$1193,$1062,$131,$0,$71,$1134,$59,$-14,$45,$-38,$83,$83,$81,$71,$59,$50,51,$1.63,$1.59,$251,$0,$1022,$3074,$467,$0,$674,$48,$1190,$4264,$1582,$706,$163,$977,$2559,$50,$622,$-43,$1705,$4264,$155,$52,$14,$66,$0,$0,$0,$-57,$-57,$164,$-28,$0,$0,$-61,$1,$-60,$46,$-41,$-34,$0,$-34,$-12,$-12,$0,$-30,$-75,$47,$21,$0
4,2017-09-30,28.4,$32.76,0.87,$95.22,0.3,$0.30,94.2,$1.93,14.72,$3.12B,$1.51B,2.07,$0.86B,$1.63B,0.52,$4.81B,$0.44B,9.19%,$4.81B,$0.17B,3.58%,$4.81B,$0.17B,3.58%,$4.81B,$0.23B,4.84%,$4.81B,$0.15B,3.08%,$4.81B,$0.10B,2.04%,$0.10B,$1.63B,6.18%,$0.10B,$0.96B,10.78%,$0.10B,$4.28B,2.38%,$0.17B,$2.49B,7.27%,$1200,$1081,$118,$0,$69,$1150,$49,$-15,$34,$9,$25,$25,$24,$59,$49,$50,51,$0.47,$0.47,$288,$0,$973,$3119,$448,$0,$675,$41,$1164,$4283,$1509,$855,$156,$1143,$2652,$50,$541,$-43,$1631,$4283,$72,$40,$31,$72,$0,$0,$0,$-141,$-141,$2,$-8,$0,$0,$0,$-49,$-49,$0,$-57,$125,$0,$125,$-11,$-11,$0,$-17,$98,$43,$16,$0
5,2017-06-30,28.75,$32.15,0.89,$98.11,0.29,$2.12,13.53,$2.03,14.16,$2.99B,$1.45B,2.07,$0.83B,$1.60B,0.52,$4.94B,$0.45B,9.08%,$4.94B,$0.18B,3.72%,$4.94B,$0.18B,3.72%,$4.94B,$0.25B,5.10%,$4.94B,$0.16B,3.28%,$4.94B,$0.10B,2.08%,$0.10B,$1.60B,6.61%,$0.10B,$0.92B,11.68%,$0.10B,$4.17B,2.51%,$0.18B,$2.43B,8.02%,$1247,$1144,$103,$0,$69,$1213,$34,$18,$53,$20,$33,$33,$30,$44,$34,$50,51,$0.61,$0.59,$225,$0,$928,$2992,$456,$0,$676,$41,$1173,$4165,$1446,$832,$156,$1119,$2565,$50,$517,$-44,$1600,$4165,$46,$31,$22,$53,$0,$0,$0,$-134,$-134,$-35,$-7,$0,$0,$-9,$0,$-9,$0,$-16,$105,$0,$105,$-11,$-11,$0,$-15,$79,$28,$10,$0
6,2017-03-31,31.8,$31.39,1.01,$99.93,0.32,$2.88,11.04,$1.87,17.01,$2.81B,$1.40B,2.02,$0.75B,$1.56B,0.48,$5.01B,$0.46B,9.11%,$5.01B,$0.20B,3.98%,$5.01B,$0.20B,3.98%,$5.01B,$0.27B,5.47%,$5.01B,$0.15B,2.90%,$5.01B,$0.09B,1.88%,$0.09B,$1.56B,6.13%,$0.09B,$0.88B,11.01%,$0.09B,$4.00B,2.29%,$0.20B,$2.31B,8.92%,$1117,$1015,$103,$0,$66,$1080,$37,$-15,$22,$8,$14,$14,$14,$58,$37,$49,51,$0.28,$0.27,$165,$0,$899,$2814,$463,$0,$677,$45,$1185,$3998,$1395,$753,$160,$1044,$2438,$50,$487,$-45,$1560,$3998,$14,$21,$7,$28,$0,$0,$0,$-75,$-75,$-33,$-5,$0,$0,$0,$0,$0,$0,$-5,$17,$0,$17,$-11,$-11,$0,$-0,$7,$-32,$4,$0
7,2016-12-31,28.0,$31.56,0.89,$100.02,0.28,$3.88,7.22,$1.91,14.66,$2.84B,$1.52B,1.87,$0.67B,$1.55B,0.43,$4.97B,$0.46B,9.21%,$4.97B,$0.20B,4.06%,$4.97B,$0.20B,4.06%,$4.97B,$0.27B,5.41%,$4.97B,$0.15B,3.02%,$4.97B,$0.10B,1.91%,$0.10B,$1.55B,6.32%,$0.10B,$0.88B,11.54%,$0.10B,$4.04B,2.29%,$0.20B,$2.23B,9.21%,$1247,$1129,$118,$0,$66,$1195,$52,$-13,$39,$8,$30,$30,$30,$72,$52,$49,50,$0.62,$0.61,$197,$0,$898,$2838,$478,$0,$678,$45,$1201,$4039,$1519,$674,$162,$967,$2486,$49,$474,$-45,$1553,$4039,$96,$67,$13,$80,$0,$0,$0,$-62,$-62,$113,$-14,$0,$0,$0,$0,$0,$-5,$-18,$-9,$0,$-9,$-1,$-1,$0,$-15,$-24,$71,$13,$0
8,2016-09-30,21.47,$30.98,0.69,$99.20,0.22,$1.54,13.93,$1.49,14.41,$2.85B,$1.60B,1.78,$0.68B,$1.52B,0.45,$4.93B,$0.41B,8.26%,$4.93B,$0.17B,3.35%,$4.93B,$0.17B,3.35%,$4.93B,$0.22B,4.53%,$4.93B,$0.12B,2.50%,$4.93B,$0.07B,1.50%,$0.07B,$1.52B,5.04%,$0.07B,$0.85B,9.38%,$0.07B,$4.22B,1.80%,$0.17B,$2.21B,7.59%,$1333,$1208,$125,$0,$64,$1272,$61,$-13,$48,$19,$29,$29,$29,$78,$61,$49,50,$0.59,$0.57,$219,$0,$886,$2850,$492,$0,$679,$200,$1371,$4221,$1602,$684,$127,$1095,$2697,$49,$443,$-41,$1524,$4221,$66,$47,$9,$56,$0,$0,$0,$-28,$-28,$94,$-9,$0,$0,$0,$0,$0,$-3,$-12,$28,$0,$28,$-0,$-0,$0,$-15,$13,$95,$10,$0
9,2016-06-30,23.55,$30.36,0.78,$99.53,0.24,$-0.37,0.0,$1.32,17.84,$2.79B,$1.59B,1.76,$0.68B,$1.49B,0.46,$4.94B,$0.38B,7.74%,$4.94B,$0.14B,2.90%,$4.94B,$0.14B,2.90%,$4.94B,$0.20B,3.95%,$4.94B,$0.11B,2.21%,$4.94B,$0.07B,1.32%,$0.07B,$1.49B,4.51%,$0.07B,$0.81B,8.54%,$0.07B,$4.20B,1.61%,$0.14B,$2.17B,6.61%,$1308,$1198,$110,$0,$61,$1259,$49,$-13,$36,$14,$21,$21,$21,$66,$49,$49,50,$0.43,$0.43,$143,$0,$888,$2790,$507,$0,$680,$219,$1406,$4196,$1585,$680,$141,$1118,$2703,$49,$415,$-41,$1493,$4196,$37,$30,$11,$41,$0,$0,$0,$-73,$-73,$5,$-8,$0,$0,$0,$0,$0,$-4,$-11,$39,$0,$39,$0,$0,$0,$-15,$25,$18,$7,$0
