,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,14.0,$7.79,1.8,$11.11,1.26,$-1.70,0.0,$0.74,18.92,$0.06B,$0.02B,2.31,$0.10B,$0.19B,0.54,$0.28B,$0.04B,12.54%,$0.28B,$0.01B,4.30%,$0.28B,$0.01B,4.30%,$0.28B,$0.03B,9.32%,$0.28B,$0.01B,3.23%,$0.28B,$0.02B,5.73%,$0.02B,$0.19B,8.51%,$0.02B,$0.15B,10.96%,$0.02B,$0.34B,4.81%,$0.01B,$0.29B,4.21%,$73,$67,$7,$0,$6,$73,$0,$-2,$-2,$-0,$-2,$-2,$-2,$5,$0,$24,25,$-0.07,$-0.06,$1,$18,$0,$56,$192,$44,$41,$1,$278,$335,$24,$101,$1,$121,$145,$2,$129,$0,$189,$335,$3,$10,$2,$13,$-5,$1,$0,$-1,$-4,$11,$-19,$0,$0,$0,$0,$0,$-0,$-19,$6,$0,$6,$0,$0,$0,$0,$6,$-2,$1,$0
1,2018-06-30,14.85,$7.82,1.9,$10.64,1.4,$-1.77,0.0,$0.81,18.33,$0.05B,$0.03B,2.03,$0.10B,$0.19B,0.51,$0.27B,$0.04B,14.18%,$0.27B,$0.02B,5.97%,$0.27B,$0.02B,5.97%,$0.27B,$0.03B,10.45%,$0.27B,$0.01B,4.85%,$0.27B,$0.02B,7.46%,$0.02B,$0.19B,10.91%,$0.02B,$0.15B,14.21%,$0.02B,$0.33B,6.14%,$0.02B,$0.29B,5.81%,$68,$60,$8,$0,$5,$65,$3,$-1,$3,$1,$2,$2,$2,$6,$3,$24,25,$0.09,$0.09,$3,$17,$0,$54,$192,$45,$42,$1,$280,$334,$27,$97,$1,$117,$144,$2,$131,$0,$190,$334,$5,$6,$0,$6,$-1,$1,$0,$-1,$-1,$10,$-15,$0,$0,$0,$0,$0,$-0,$-16,$6,$0,$6,$0,$0,$0,$0,$6,$0,$0,$0
2,2018-03-31,13.6,$7.73,1.76,$10.40,1.31,$-2.03,0.0,$0.75,18.13,$0.06B,$0.03B,2.01,$0.10B,$0.19B,0.53,$0.26B,$0.04B,15.65%,$0.26B,$0.02B,6.87%,$0.26B,$0.02B,6.87%,$0.26B,$0.03B,11.45%,$0.26B,$0.01B,4.20%,$0.26B,$0.02B,7.25%,$0.02B,$0.19B,10.69%,$0.02B,$0.15B,14.10%,$0.02B,$0.34B,5.98%,$0.02B,$0.29B,6.77%,$72,$62,$10,$0,$6,$68,$4,$-1,$3,$1,$2,$2,$2,$7,$4,$24,25,$0.10,$0.09,$3,$16,$0,$57,$190,$45,$42,$1,$278,$335,$28,$99,$1,$119,$147,$2,$129,$0,$188,$335,$2,$3,$1,$4,$-3,$3,$0,$-1,$-4,$3,$-11,$0,$0,$0,$0,$0,$-0,$-11,$8,$0,$8,$0,$0,$0,$-0,$8,$-0,$1,$0
3,2017-12-31,13.5,$7.61,1.77,$9.77,1.38,$-1.91,0.0,$0.72,18.75,$0.06B,$0.03B,1.82,$0.09B,$0.19B,0.49,$0.25B,$0.04B,17.07%,$0.25B,$0.02B,7.32%,$0.25B,$0.02B,7.32%,$0.25B,$0.03B,12.20%,$0.25B,$0.01B,4.47%,$0.25B,$0.02B,7.32%,$0.02B,$0.19B,10.45%,$0.02B,$0.14B,13.98%,$0.02B,$0.33B,5.85%,$0.02B,$0.28B,7.07%,$66,$56,$10,$0,$5,$61,$5,$0,$5,$-9,$14,$14,$14,$8,$5,$24,25,$0.58,$0.56,$3,$18,$0,$57,$182,$45,$43,$1,$270,$327,$32,$91,$2,$111,$142,$2,$126,$0,$185,$327,$18,$11,$1,$12,$-4,$-1,$0,$-1,$1,$31,$-52,$0,$0,$0,$0,$0,$-0,$-52,$16,$0,$16,$0,$0,$0,$-0,$16,$-5,$3,$0
4,2017-09-30,13.3,$7.01,1.9,$9.31,1.43,$-1.56,0.0,$0.13,102.31,$0.05B,$0.03B,1.66,$0.08B,$0.17B,0.48,$0.23B,$0.04B,17.09%,$0.23B,$0.02B,6.84%,$0.23B,$0.02B,6.84%,$0.23B,$0.03B,11.54%,$0.23B,$0.01B,2.14%,$0.23B,$0.00B,1.28%,$0.00B,$0.17B,1.80%,$0.00B,$0.13B,2.43%,$0.00B,$0.31B,1.01%,$0.02B,$0.25B,6.53%,$62,$52,$10,$0,$6,$58,$4,$-2,$2,$1,$2,$2,$2,$7,$4,$24,25,$0.07,$0.07,$4,$13,$0,$47,$172,$44,$43,$1,$260,$307,$28,$81,$2,$108,$136,$2,$112,$0,$170,$307,$4,$8,$9,$17,$-1,$5,$0,$1,$9,$30,$-39,$0,$0,$0,$0,$0,$-0,$-39,$6,$0,$6,$0,$0,$0,$-0,$6,$-4,$2,$0
5,2017-06-30,11.25,$6.91,1.63,$9.16,1.23,$-1.41,0.0,$0.09,125.0,$0.05B,$0.03B,1.88,$0.08B,$0.17B,0.48,$0.23B,$0.04B,17.03%,$0.23B,$0.02B,6.99%,$0.23B,$0.02B,6.99%,$0.23B,$0.03B,11.79%,$0.23B,$0.01B,3.49%,$0.23B,$0.00B,1.75%,$0.00B,$0.17B,2.41%,$0.00B,$0.12B,3.29%,$0.00B,$0.30B,1.37%,$0.02B,$0.25B,6.64%,$62,$51,$11,$0,$6,$57,$5,$-4,$1,$0,$1,$1,$1,$8,$5,$24,25,$0.03,$0.03,$2,$15,$0,$49,$163,$45,$44,$1,$252,$301,$26,$81,$2,$107,$133,$2,$111,$0,$168,$301,$2,$5,$6,$11,$-3,$3,$0,$1,$2,$16,$-28,$0,$0,$0,$0,$0,$-0,$-28,$6,$0,$6,$0,$0,$0,$-0,$6,$-7,$1,$0
6,2017-03-31,11.1,$6.85,1.62,$8.64,1.28,$-1.04,0.0,$0.54,20.56,$0.05B,$0.03B,1.97,$0.08B,$0.17B,0.46,$0.22B,$0.04B,18.52%,$0.22B,$0.02B,7.87%,$0.22B,$0.02B,7.87%,$0.22B,$0.03B,12.50%,$0.22B,$0.02B,10.65%,$0.22B,$0.01B,6.02%,$0.01B,$0.17B,7.93%,$0.01B,$0.12B,10.88%,$0.01B,$0.30B,4.53%,$0.02B,$0.24B,7.20%,$56,$45,$11,$0,$6,$51,$4,$-2,$3,$1,$1,$1,$1,$7,$4,$24,25,$0.06,$0.06,$4,$15,$0,$51,$152,$48,$44,$1,$245,$296,$26,$76,$2,$103,$129,$2,$110,$0,$166,$296,$1,$3,$3,$5,$-2,$3,$0,$0,$2,$9,$-14,$0,$0,$0,$0,$0,$-0,$-14,$1,$0,$1,$0,$0,$0,$0,$1,$-4,$1,$0
7,2016-12-31,13.85,$6.79,2.04,$8.51,1.63,$-0.93,0.0,$0.77,17.99,$0.06B,$0.03B,2.09,$0.07B,$0.16B,0.45,$0.21B,$0.04B,19.34%,$0.21B,$0.02B,8.96%,$0.21B,$0.02B,8.96%,$0.21B,$0.03B,13.68%,$0.21B,$0.03B,14.62%,$0.21B,$0.02B,8.96%,$0.02B,$0.16B,11.88%,$0.02B,$0.12B,16.52%,$0.02B,$0.29B,6.82%,$0.02B,$0.24B,8.23%,$54,$47,$8,$0,$5,$52,$3,$-4,$-1,$-1,$-1,$-1,$-1,$5,$3,$24,25,$-0.04,$-0.03,$8,$18,$0,$56,$140,$49,$44,$1,$235,$290,$27,$73,$2,$99,$126,$2,$108,$0,$164,$290,$19,$10,$-2,$8,$-3,$-2,$0,$-1,$1,$29,$-40,$0,$0,$0,$0,$0,$-0,$-41,$2,$0,$2,$0,$0,$0,$0,$2,$-10,$3,$0
8,2016-09-30,11.42,$6.89,1.66,$8.74,1.31,$-0.12,0.0,$0.85,13.44,$0.06B,$0.02B,2.41,$0.07B,$0.17B,0.43,$0.22B,$0.04B,20.09%,$0.22B,$0.02B,10.05%,$0.22B,$0.02B,10.05%,$0.22B,$0.03B,15.07%,$0.22B,$0.03B,15.53%,$0.22B,$0.02B,9.59%,$0.02B,$0.17B,13.59%,$0.02B,$0.12B,19.27%,$0.02B,$0.28B,7.76%,$0.02B,$0.24B,9.76%,$57,$48,$9,$0,$5,$53,$4,$0,$5,$2,$3,$3,$3,$7,$4,$24,25,$0.12,$0.11,$8,$18,$0,$55,$130,$53,$45,$1,$228,$284,$23,$70,$2,$96,$119,$2,$109,$0,$165,$284,$20,$7,$-8,$-1,$-0,$-3,$0,$-2,$1,$20,$-26,$0,$-2,$0,$0,$0,$0,$-28,$-3,$0,$-3,$0,$0,$0,$0,$-3,$-11,$2,$0
9,2016-06-30,10.43,$6.74,1.55,$9.10,1.15,$0.57,18.29,$1.03,10.13,$0.06B,$0.02B,2.74,$0.07B,$0.16B,0.43,$0.23B,$0.05B,22.27%,$0.23B,$0.03B,12.66%,$0.23B,$0.03B,12.66%,$0.23B,$0.04B,17.03%,$0.23B,$0.04B,16.16%,$0.23B,$0.02B,10.04%,$0.02B,$0.16B,15.49%,$0.02B,$0.12B,22.44%,$0.02B,$0.28B,8.80%,$0.03B,$0.23B,13.26%,$49,$37,$12,$0,$5,$43,$6,$10,$16,$6,$10,$10,$10,$8,$6,$24,25,$0.42,$0.41,$9,$20,$0,$56,$123,$52,$45,$1,$221,$277,$20,$69,$3,$95,$116,$2,$106,$0,$161,$277,$17,$5,$-8,$-3,$2,$-4,$0,$-0,$-1,$13,$-16,$0,$-2,$0,$0,$0,$0,$-18,$-4,$0,$-4,$0,$0,$0,$0,$-4,$-9,$1,$0
