,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,51.07,$10.48,4.87,$11.33,4.51,$7.06,7.24,$0.16,319.19,$0.93B,$0.45B,2.04,$0.00B,$1.44B,0.0,$1.59B,$1.51B,94.84%,$1.59B,$0.17B,10.69%,$1.59B,$0.17B,10.69%,$1.59B,$0.28B,17.86%,$1.59B,$0.15B,9.62%,$1.59B,$0.02B,1.38%,$0.02B,$1.44B,1.59%,$0.02B,$0.55B,4.51%,$0.02B,$2.19B,0.98%,$0.17B,$1.44B,11.78%,$458,$23,$435,$72,$246,$369,$89,$-2,$87,$18,$69,$69,$69,$117,$89,$138,141,$0.50,$0.49,$663,$0,$0,$926,$256,$0,$889,$93,$1266,$2192,$453,$0,$277,$297,$750,$0,$1035,$-56,$1442,$2192,$105,$85,$93,$178,$-16,$0,$24,$68,$91,$374,$-45,$0,$-24,$0,$63,$63,$-12,$-18,$-230,$-8,$-238,$-97,$-97,$0,$-19,$-354,$-10,$90,$0
1,2018-06-30,55.71,$9.79,5.69,$11.24,4.96,$5.95,9.37,$-0.15,0.0,$1.04B,$0.63B,1.65,$0.00B,$1.35B,0.0,$1.57B,$1.49B,94.97%,$1.57B,$0.12B,7.83%,$1.57B,$0.12B,7.83%,$1.57B,$0.24B,15.09%,$1.57B,$0.10B,6.62%,$1.57B,$-0.02B,-1.40%,$-0.02B,$1.35B,-1.60%,$-0.02B,$0.45B,-4.60%,$-0.02B,$2.30B,-0.96%,$0.12B,$1.35B,8.18%,$433,$24,$409,$68,$263,$384,$49,$-7,$42,$10,$32,$32,$32,$78,$49,$138,140,$0.23,$0.23,$678,$0,$0,$1040,$258,$2,$901,$82,$1264,$2304,$631,$0,$307,$326,$957,$0,$966,$-51,$1347,$2304,$36,$57,$69,$126,$-82,$0,$29,$246,$198,$360,$-31,$0,$-23,$0,$49,$49,$0,$-5,$-230,$-8,$-238,$-97,$-97,$0,$-18,$-353,$-7,$61,$0
2,2018-03-31,40.89,$9.97,4.1,$11.15,3.67,$5.87,6.97,$-0.19,0.0,$0.98B,$0.53B,1.84,$0.00B,$1.39B,0.0,$1.56B,$1.49B,95.20%,$1.56B,$0.12B,7.68%,$1.56B,$0.12B,7.68%,$1.56B,$0.23B,14.85%,$1.56B,$0.11B,6.79%,$1.56B,$-0.03B,-1.73%,$-0.03B,$1.39B,-1.96%,$-0.03B,$0.49B,-5.65%,$-0.03B,$2.24B,-1.16%,$0.12B,$1.39B,7.64%,$378,$20,$358,$67,$240,$355,$23,$-2,$21,$16,$5,$5,$5,$51,$23,$139,140,$0.04,$0.04,$650,$0,$0,$983,$261,$5,$899,$74,$1257,$2240,$534,$0,$300,$316,$850,$0,$935,$-34,$1390,$2240,$5,$28,$29,$57,$-55,$0,$0,$152,$112,$174,$-15,$0,$0,$0,$43,$43,$0,$28,$-230,$0,$-230,$-4,$-4,$0,$-12,$-246,$-38,$29,$0
3,2017-12-31,34.46,$9.81,3.51,$11.02,3.13,$5.53,6.23,$-0.14,0.0,$0.99B,$0.37B,2.67,$0.23B,$1.36B,0.17,$1.56B,$1.48B,95.37%,$1.56B,$0.12B,7.97%,$1.56B,$0.12B,7.97%,$1.56B,$0.24B,15.10%,$1.56B,$0.11B,7.07%,$1.56B,$-0.02B,-1.22%,$-0.02B,$1.36B,-1.38%,$-0.02B,$0.46B,-3.99%,$-0.02B,$2.27B,-0.81%,$0.12B,$1.59B,7.65%,$321,$15,$306,$59,$208,$312,$9,$-6,$3,$87,$-84,$-84,$-84,$38,$9,$140,140,$-0.60,$-0.60,$708,$0,$0,$993,$263,$0,$900,$100,$1279,$2272,$372,$230,$293,$537,$909,$0,$926,$-42,$1363,$2272,$-19,$111,$135,$246,$-36,$0,$0,$9,$11,$238,$-64,$0,$0,$0,$70,$70,$0,$6,$64,$0,$64,$-247,$-247,$0,$-17,$-200,$61,$96,$0
4,2017-09-30,40.53,$10.21,3.97,$10.88,3.72,$5.99,6.77,$0.47,86.23,$1.04B,$0.42B,2.47,$0.27B,$1.42B,0.19,$1.55B,$1.48B,95.29%,$1.55B,$0.13B,8.12%,$1.55B,$0.13B,8.12%,$1.55B,$0.24B,15.15%,$1.55B,$0.11B,7.29%,$1.55B,$0.07B,4.32%,$0.07B,$1.42B,4.74%,$0.07B,$0.51B,13.14%,$0.07B,$2.35B,2.87%,$0.13B,$1.68B,7.77%,$439,$20,$419,$61,$289,$397,$42,$-4,$38,$13,$25,$25,$25,$70,$42,$139,139,$0.18,$0.18,$763,$0,$0,$1042,$266,$6,$906,$70,$1306,$2348,$422,$265,$228,$509,$931,$0,$1010,$-47,$1417,$2348,$65,$82,$66,$148,$-58,$0,$-2,$62,$7,$220,$-50,$0,$0,$0,$114,$114,$0,$64,$99,$0,$99,$-247,$-247,$0,$-15,$-163,$138,$72,$0
5,2017-06-30,38.2,$9.76,3.91,$10.59,3.61,$6.25,6.11,$0.66,57.88,$1.18B,$0.62B,1.9,$0.26B,$1.35B,0.19,$1.53B,$1.46B,95.30%,$1.53B,$0.15B,9.78%,$1.53B,$0.15B,9.78%,$1.53B,$0.26B,16.76%,$1.53B,$0.14B,9.00%,$1.53B,$0.10B,6.33%,$0.10B,$1.35B,6.67%,$0.10B,$0.45B,17.74%,$0.10B,$2.47B,4.19%,$0.15B,$1.61B,9.37%,$424,$20,$404,$64,$267,$378,$46,$-2,$44,$17,$27,$27,$27,$73,$46,$140,141,$0.19,$0.19,$904,$0,$0,$1180,$266,$4,$906,$69,$1292,$2472,$621,$260,$222,$497,$1118,$0,$985,$-57,$1354,$2472,$40,$54,$45,$99,$-51,$0,$29,$233,$216,$355,$-35,$0,$0,$0,$113,$113,$0,$78,$94,$0,$94,$-247,$-247,$0,$-14,$-167,$275,$47,$0
6,2017-03-31,43.16,$9.80,4.4,$10.24,4.21,$6.21,6.95,$0.70,61.66,$1.00B,$0.45B,2.22,$0.21B,$1.38B,0.15,$1.50B,$1.43B,95.20%,$1.50B,$0.15B,10.07%,$1.50B,$0.15B,10.07%,$1.50B,$0.26B,17.00%,$1.50B,$0.14B,9.20%,$1.50B,$0.10B,6.93%,$0.10B,$1.38B,6.97%,$0.10B,$0.48B,17.76%,$0.10B,$2.27B,4.53%,$0.15B,$1.59B,9.46%,$372,$17,$355,$59,$242,$345,$27,$-2,$25,$12,$13,$13,$13,$54,$27,$144,145,$0.09,$0.09,$746,$0,$0,$1003,$262,$3,$902,$67,$1271,$2274,$452,$210,$215,$438,$890,$0,$958,$-70,$1384,$2274,$13,$27,$25,$52,$-35,$0,$-8,$112,$69,$134,$-18,$0,$0,$0,$116,$116,$0,$98,$46,$0,$46,$-147,$-147,$0,$-13,$-114,$119,$19,$0
7,2016-12-31,46.37,$10.42,4.45,$10.07,4.6,$6.14,7.56,$0.79,58.7,$0.95B,$0.42B,2.25,$0.09B,$1.50B,0.06,$1.48B,$1.41B,95.20%,$1.48B,$0.17B,11.22%,$1.48B,$0.17B,11.22%,$1.48B,$0.27B,18.04%,$1.48B,$0.15B,10.20%,$1.48B,$0.12B,8.11%,$0.12B,$1.50B,7.93%,$0.12B,$0.60B,19.88%,$0.12B,$2.24B,5.27%,$0.17B,$1.59B,10.44%,$316,$16,$300,$57,$206,$305,$11,$-5,$6,$4,$2,$2,$2,$38,$11,$145,147,$0.02,$0.02,$730,$0,$0,$950,$260,$16,$903,$67,$1288,$2238,$423,$91,$210,$313,$736,$0,$945,$-77,$1502,$2238,$120,$101,$75,$176,$-24,$0,$7,$22,$25,$321,$-72,$0,$-43,$0,$-50,$-50,$2,$-163,$-36,$6,$-30,$-98,$-98,$0,$-15,$-143,$-2,$85,$0
8,2016-09-30,63.18,$10.85,5.82,$10.04,6.3,$6.56,9.63,$0.80,78.98,$0.97B,$0.45B,2.15,$0.02B,$1.58B,0.01,$1.47B,$1.41B,95.38%,$1.47B,$0.13B,8.83%,$1.47B,$0.13B,8.83%,$1.47B,$0.23B,15.55%,$1.47B,$0.12B,8.01%,$1.47B,$0.12B,8.21%,$0.12B,$1.58B,8.12%,$0.12B,$0.66B,20.86%,$0.12B,$2.28B,5.38%,$0.13B,$1.60B,8.15%,$421,$19,$402,$62,$248,$355,$66,$-3,$63,$8,$55,$55,$55,$92,$66,$146,147,$0.38,$0.37,$727,$0,$0,$966,$262,$29,$922,$54,$1311,$2277,$450,$20,$207,$247,$697,$0,$944,$-59,$1580,$2277,$119,$74,$54,$128,$-40,$0,$2,$48,$29,$276,$-57,$0,$-23,$0,$-61,$-61,$1,$-140,$-180,$75,$-105,$-15,$-15,$0,$-13,$-133,$-3,$64,$0
9,2016-06-30,64.3,$10.33,6.22,$10.01,6.42,$6.75,9.52,$0.94,68.4,$1.11B,$0.58B,1.93,$0.09B,$1.51B,0.06,$1.47B,$1.40B,95.57%,$1.47B,$0.15B,10.36%,$1.47B,$0.15B,10.36%,$1.47B,$0.25B,16.97%,$1.47B,$0.15B,10.43%,$1.47B,$0.14B,9.54%,$0.14B,$1.51B,9.81%,$0.14B,$0.60B,27.09%,$0.14B,$2.39B,6.27%,$0.15B,$1.60B,9.51%,$391,$20,$371,$63,$236,$344,$47,$-3,$44,$10,$34,$34,$34,$71,$47,$146,147,$0.23,$0.23,$853,$0,$0,$1107,$256,$38,$902,$82,$1278,$2385,$575,$91,$196,$305,$880,$0,$888,$-62,$1505,$2385,$64,$48,$38,$86,$-51,$0,$43,$213,$213,$363,$-36,$0,$0,$0,$-41,$-41,$1,$-76,$-109,$0,$-109,$-9,$-9,$0,$-11,$-129,$152,$43,$0
