,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.82,$0.61,1.34,$0.11,7.73,$-10.03,0.0,$-2.68,0.0,$0.02B,$0.00B,6.02,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.01B,-176.74%,$-0.02B,$0.01B,-176.74%,$-0.02B,$0.02B,-122.58%,$-0.02B,$0.01B,-158.14%,$0,$0,$0,$2,$2,$4,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$21,21,$-0.18,$-0.18,$15,$0,$0,$16,$2,$0,$0,$0,$2,$18,$3,$0,$0,$1,$4,$0,$-188,$0,$14,$18,$-12,$1,$1,$2,$0,$0,$0,$0,$1,$-10,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-1,$-1,$13,$18,$0,$-0,$16,$7,$2,$0
1,2018-06-30,0.77,$1.01,0.76,$0.14,5.43,$-16.18,0.0,$-4.12,0.0,$0.02B,$0.00B,6.1,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.02B,-230.30%,$-0.02B,$0.02B,-230.30%,$-0.02B,$0.02B,-135.71%,$-0.02B,$0.02B,-230.30%,$0,$0,$-0,$2,$2,$5,$-4,$1,$-4,$0,$-4,$-4,$-7,$-4,$-4,$7,7,$-0.88,$-0.88,$19,$0,$0,$20,$2,$0,$0,$0,$2,$22,$3,$0,$0,$1,$4,$0,$-184,$0,$17,$22,$-9,$0,$1,$2,$0,$0,$0,$-0,$1,$-6,$-0,$0,$0,$-0,$0,$-0,$0,$-0,$0,$-1,$-1,$13,$18,$0,$-0,$16,$10,$2,$0
2,2018-03-31,4.19,$0.96,4.37,$0.17,25.22,$-20.53,0.0,$-6.36,0.0,$0.01B,$0.00B,2.03,$0.00B,$0.01B,0.0,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.01B,-400.00%,$-0.02B,$0.01B,-400.00%,$-0.02B,$0.01B,-170.21%,$-0.02B,$0.01B,-420.00%,$0,$0,$-0,$2,$3,$5,$-5,$-0,$-5,$0,$-5,$-5,$-5,$-4,$-5,$5,5,$-1.08,$-1.08,$7,$0,$0,$8,$2,$0,$0,$0,$3,$10,$4,$0,$1,$2,$6,$0,$-178,$0,$5,$10,$-5,$0,$1,$2,$0,$0,$0,$0,$0,$-3,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$-0,$1,$1,$0,$0,$1,$-2,$1,$0
3,2017-12-31,3.69,$1.48,2.49,$0.18,20.35,$-23.32,0.0,$-9.12,0.0,$0.01B,$0.00B,2.4,$0.00B,$0.01B,0.0,$0.00B,$-0.00B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.01B,-384.62%,$-0.03B,$0.01B,-384.62%,$-0.03B,$0.01B,-140.85%,$-0.03B,$0.01B,-273.68%,$0,$0,$-0,$1,$2,$4,$-4,$1,$-3,$0,$-3,$-3,$-3,$-3,$-4,$3,3,$-0.29,$-0.29,$8,$0,$0,$9,$2,$0,$0,$0,$3,$12,$4,$0,$1,$2,$6,$0,$-173,$0,$7,$12,$-25,$2,$3,$5,$0,$0,$0,$-0,$-3,$-23,$-0,$0,$0,$24,$0,$24,$0,$24,$-15,$-1,$-16,$12,$12,$0,$-2,$-6,$-6,$4,$0
4,2017-09-30,8.76,$1.25,7.02,$0.14,60.78,$-27.88,0.0,$-12.48,0.0,$0.01B,$0.01B,1.68,$0.00B,$0.00B,0.0,$0.00B,$-0.00B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.00B,-317.95%,$-0.03B,$0.00B,-317.95%,$-0.03B,$0.01B,-120.39%,$-0.03B,$0.00B,-196.92%,$0,$0,$-0,$1,$4,$6,$-6,$2,$-4,$0,$-4,$-4,$-4,$-5,$-6,$3,3,$-1.41,$-1.41,$7,$0,$0,$9,$3,$0,$0,$1,$4,$12,$5,$0,$2,$3,$8,$0,$-170,$-0,$4,$12,$-22,$1,$3,$4,$-0,$0,$0,$0,$-2,$-20,$-0,$0,$0,$24,$0,$24,$0,$24,$-15,$-0,$-15,$7,$7,$0,$-2,$-10,$-6,$3,$0
5,2017-06-30,15.12,$1.36,11.11,$0.14,108.82,$-30.34,0.0,$-15.13,0.0,$0.01B,$0.01B,1.16,$0.00B,$0.00B,0.0,$0.00B,$-0.00B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$-0.04B,$0.00B,-238.71%,$-0.04B,$0.00B,-238.71%,$-0.04B,$0.01B,-102.78%,$-0.04B,$0.00B,-139.81%,$0,$0,$-0,$1,$5,$6,$-6,$-2,$-8,$0,$-8,$-8,$-8,$-6,$-6,$3,3,$-3.12,$-3.12,$8,$0,$0,$9,$3,$0,$0,$1,$4,$13,$7,$0,$0,$2,$9,$0,$-166,$-0,$4,$13,$-18,$1,$3,$4,$-0,$0,$0,$0,$0,$-13,$-0,$0,$0,$24,$0,$24,$0,$24,$-15,$-0,$-15,$0,$0,$0,$-2,$-17,$-6,$2,$0
6,2017-03-31,13.8,$4.16,3.32,$0.14,97.85,$-31.46,0.0,$-16.09,0.0,$0.03B,$0.01B,3.32,$0.01B,$0.01B,1.19,$0.00B,$-0.00B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$-0.04B,$0.01B,-171.43%,$-0.04B,$0.01B,-171.43%,$-0.04B,$0.03B,-82.98%,$-0.04B,$0.02B,-113.48%,$0,$1,$-1,$4,$4,$10,$-10,$0,$-10,$0,$-10,$-10,$-10,$-10,$-10,$3,3,$-3.86,$-3.86,$29,$0,$0,$30,$4,$0,$0,$1,$4,$34,$9,$13,$0,$14,$23,$0,$-158,$-0,$11,$34,$-10,$0,$1,$1,$0,$0,$0,$0,$-0,$-9,$-0,$0,$0,$5,$0,$5,$0,$5,$0,$-0,$-0,$0,$0,$0,$0,$-0,$-4,$1,$0
7,2016-12-31,25.2,$7.76,3.25,$0.15,165.48,$-30.95,0.0,$-16.57,0.0,$0.04B,$0.01B,5.0,$0.01B,$0.02B,0.72,$0.00B,$-0.00B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$-0.04B,$0.02B,-128.93%,$-0.04B,$0.02B,-128.93%,$-0.04B,$0.04B,-70.91%,$-0.04B,$0.03B,-94.12%,$0,$1,$-1,$4,$5,$10,$-10,$1,$-9,$0,$-9,$-9,$-9,$-9,$-10,$3,3,$-3.25,$-3.98,$38,$0,$0,$39,$4,$0,$0,$1,$5,$44,$8,$14,$1,$16,$24,$0,$-148,$-0,$20,$44,$-39,$2,$6,$7,$-0,$0,$0,$-1,$1,$-31,$-1,$0,$0,$-24,$0,$-24,$0,$-25,$-1,$1,$-0,$3,$3,$0,$-0,$2,$-54,$8,$0
8,2016-09-30,53.88,$10.54,5.11,$0.16,334.12,$-29.37,0.0,$-15.61,0.0,$0.05B,$0.01B,7.31,$0.02B,$0.03B,0.58,$0.00B,0,nan%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$0.00B,$-0.04B,inf%,$-0.04B,$0.03B,-98.67%,$-0.04B,$0.03B,-98.67%,$-0.04B,$0.05B,-59.92%,$-0.04B,$0.04B,-75.51%,$0,$0,$-0,$4,$6,$10,$-10,$-0,$-10,$0,$-10,$-10,$-10,$-10,$-10,$3,3,$-4.10,$-4.10,$47,$0,$0,$48,$5,$0,$0,$0,$5,$53,$7,$16,$3,$20,$26,$0,$-140,$-0,$27,$53,$-31,$1,$5,$6,$0,$0,$0,$-0,$2,$-22,$-1,$0,$0,$-24,$0,$-24,$0,$-25,$-1,$1,$-0,$3,$3,$0,$0,$2,$-45,$6,$0
9,2016-06-30,54.36,$13.02,4.18,$0.15,363.42,$-27.15,0.0,$-14.29,0.0,$0.05B,$0.01B,4.74,$0.01B,$0.03B,0.28,$0.00B,0,nan%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$0.00B,$-0.03B,inf%,$-0.03B,$0.03B,-67.42%,$-0.03B,$0.03B,-67.42%,$-0.03B,$0.06B,-44.28%,$-0.03B,$0.04B,-60.00%,$0,$0,$-0,$4,$6,$10,$-10,$-0,$-10,$0,$-10,$-10,$-10,$-10,$-10,$2,2,$-4.10,$-4.10,$51,$0,$0,$52,$5,$0,$0,$0,$5,$57,$11,$9,$4,$13,$24,$0,$-129,$0,$33,$57,$-20,$1,$3,$4,$-0,$0,$0,$-0,$1,$-15,$-1,$0,$0,$-28,$0,$-28,$0,$-29,$-2,$1,$-2,$0,$0,$0,$0,$-1,$-45,$4,$0
