,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,35.73,$3.83,9.34,$9.09,3.93,$-1.06,0.0,$-0.06,0.0,$0.11B,$0.06B,1.8,$0.01B,$0.13B,0.07,$0.29B,$0.05B,17.01%,$0.29B,$-0.00B,-0.35%,$0.29B,$-0.00B,-0.35%,$0.29B,$0.00B,0.69%,$0.29B,$-0.00B,-0.69%,$0.29B,$-0.00B,-0.35%,$-0.00B,$0.13B,-1.18%,$-0.00B,$0.12B,-1.26%,$-0.00B,$0.20B,-0.65%,$-0.00B,$0.14B,-1.02%,$78,$64,$14,$2,$11,$77,$1,$0,$1,$-0,$1,$1,$1,$2,$1,$33,36,$0.04,$0.03,$74,$0,$0,$110,$70,$4,$8,$8,$90,$200,$61,$9,$1,$11,$72,$0,$-83,$-0,$128,$200,$-1,$3,$3,$6,$-12,$0,$4,$11,$3,$9,$-56,$0,$-3,$0,$-5,$-5,$-1,$-65,$-1,$0,$-1,$69,$69,$0,$-2,$66,$10,$4,$0
1,2018-06-30,38.6,$3.55,10.86,$8.85,4.36,$0.37,105.41,$-0.08,0.0,$0.17B,$0.06B,3.04,$0.02B,$0.12B,0.16,$0.27B,$0.05B,17.22%,$0.27B,$-0.00B,-0.73%,$0.27B,$-0.00B,-0.73%,$0.27B,$0.00B,0.73%,$0.27B,$-0.00B,-1.10%,$0.27B,$-0.00B,-0.73%,$-0.00B,$0.12B,-3.08%,$-0.00B,$0.11B,-3.33%,$-0.00B,$0.19B,-1.54%,$-0.00B,$0.14B,-2.57%,$73,$61,$12,$2,$10,$74,$-0,$-0,$-0,$0,$-0,$-0,$-0,$1,$-0,$31,31,$-0.01,$-0.01,$138,$0,$0,$174,$8,$3,$5,$4,$21,$194,$57,$19,$1,$21,$78,$0,$-85,$-0,$116,$194,$-2,$2,$2,$4,$-8,$0,$3,$5,$-1,$2,$-2,$0,$0,$0,$-5,$-5,$0,$-8,$9,$0,$9,$68,$68,$0,$-0,$77,$71,$2,$0
2,2018-03-31,29.89,$1.57,19.07,$8.24,3.63,$0.46,64.32,$-0.06,0.0,$0.10B,$0.05B,1.88,$0.02B,$0.05B,0.31,$0.26B,$0.05B,17.44%,$0.26B,$-0.00B,-1.16%,$0.26B,$-0.00B,-1.16%,$0.26B,$0.00B,0.39%,$0.26B,$-0.00B,-1.16%,$0.26B,$-0.00B,-0.78%,$-0.00B,$0.05B,-4.19%,$-0.00B,$0.04B,-4.68%,$-0.00B,$0.12B,-1.90%,$-0.00B,$0.06B,-5.24%,$70,$59,$11,$2,$10,$71,$-1,$-0,$-2,$-0,$-1,$-1,$-1,$-1,$-1,$30,30,$-0.05,$-0.05,$70,$0,$0,$98,$8,$3,$5,$3,$20,$117,$52,$15,$1,$17,$69,$0,$-84,$-0,$48,$117,$-1,$1,$1,$2,$-4,$0,$1,$5,$2,$2,$-1,$0,$0,$0,$-2,$-2,$0,$-3,$6,$0,$6,$0,$0,$0,$-0,$6,$5,$1,$0
3,2017-12-31,29.27,$1.61,18.2,$7.81,3.75,$0.48,61.43,$-0.06,0.0,$0.09B,$0.05B,1.89,$0.01B,$0.05B,0.19,$0.24B,$0.04B,17.70%,$0.24B,$-0.00B,-1.23%,$0.24B,$-0.00B,-1.23%,$0.24B,$0.00B,0.82%,$0.24B,$-0.00B,-0.82%,$0.24B,$-0.00B,-0.82%,$-0.00B,$0.05B,-4.26%,$-0.00B,$0.04B,-4.76%,$-0.00B,$0.11B,-2.04%,$-0.00B,$0.06B,-5.56%,$67,$55,$12,$3,$10,$68,$-1,$-0,$-1,$-0,$-1,$-1,$-1,$-0,$-1,$30,30,$-0.02,$-0.02,$63,$0,$0,$87,$8,$3,$5,$3,$19,$106,$46,$9,$1,$12,$57,$0,$-83,$-0,$48,$106,$-2,$4,$2,$6,$-10,$0,$3,$12,$5,$10,$-3,$0,$0,$0,$-7,$-7,$-3,$-13,$4,$0,$4,$3,$3,$0,$-2,$5,$2,$3,$0
4,2017-09-30,26.41,$1.60,16.54,$7.36,3.59,$0.36,72.75,$-0.09,0.0,$0.08B,$0.04B,1.88,$0.01B,$0.05B,0.15,$0.23B,$0.04B,17.62%,$0.23B,$-0.00B,-1.76%,$0.23B,$-0.00B,-1.76%,$0.23B,$0.00B,0.88%,$0.23B,$-0.00B,-1.32%,$0.23B,$-0.00B,-1.32%,$-0.00B,$0.05B,-6.49%,$-0.00B,$0.04B,-7.27%,$-0.00B,$0.10B,-3.26%,$-0.00B,$0.06B,-7.73%,$63,$51,$12,$2,$9,$63,$0,$-0,$0,$0,$0,$0,$0,$2,$0,$30,33,$0.01,$0.01,$59,$0,$0,$83,$8,$3,$5,$3,$19,$102,$44,$7,$1,$10,$54,$0,$-82,$-0,$48,$102,$-1,$3,$2,$5,$-10,$0,$2,$10,$2,$7,$-2,$0,$0,$0,$-3,$-3,$-3,$-8,$2,$0,$2,$2,$2,$0,$-2,$3,$2,$3,$0
5,2017-06-30,22.38,$1.57,14.24,$7.13,3.14,$0.23,97.43,$-0.16,0.0,$0.08B,$0.04B,1.93,$0.01B,$0.05B,0.13,$0.21B,$0.04B,17.45%,$0.21B,$-0.01B,-2.83%,$0.21B,$-0.01B,-2.83%,$0.21B,0,0.00%,$0.21B,$-0.01B,-2.36%,$0.21B,$-0.01B,-2.36%,$-0.01B,$0.05B,-10.99%,$-0.01B,$0.04B,-12.35%,$-0.01B,$0.10B,-5.80%,$-0.01B,$0.05B,-11.94%,$58,$48,$10,$2,$9,$59,$-1,$1,$0,$0,$0,$0,$0,$0,$-1,$30,33,$0.01,$0.01,$57,$0,$0,$77,$8,$3,$5,$3,$19,$96,$40,$6,$1,$9,$48,$0,$-82,$-0,$47,$96,$-1,$2,$1,$3,$-7,$0,$1,$8,$2,$4,$-1,$0,$0,$0,$-2,$-2,$-3,$-6,$1,$0,$1,$2,$2,$0,$-0,$3,$1,$2,$0
6,2017-03-31,14.22,$1.52,9.39,$6.97,2.04,$0.13,112.32,$-0.20,0.0,$0.07B,$0.04B,1.94,$0.01B,$0.05B,0.11,$0.20B,$0.04B,17.50%,$0.20B,$-0.01B,-3.00%,$0.20B,$-0.01B,-3.00%,$0.20B,0,0.00%,$0.20B,$-0.01B,-3.00%,$0.20B,$-0.01B,-3.00%,$-0.01B,$0.05B,-13.33%,$-0.01B,$0.04B,-14.91%,$-0.01B,$0.09B,-7.43%,$-0.01B,$0.05B,-12.37%,$55,$46,$9,$2,$8,$56,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$29,29,$-0.05,$-0.05,$53,$0,$0,$68,$8,$3,$5,$3,$19,$88,$35,$5,$1,$7,$43,$0,$-83,$-0,$45,$88,$-1,$1,$1,$2,$-3,$0,$-0,$5,$1,$2,$-0,$0,$0,$0,$-1,$-1,$-3,$-4,$0,$0,$0,$1,$1,$0,$-0,$1,$-2,$1,$0
7,2016-12-31,15.52,$1.52,10.24,$6.62,2.34,$0.01,0.0,$-0.24,0.0,$0.07B,$0.03B,2.15,$0.01B,$0.05B,0.11,$0.19B,$0.03B,17.55%,$0.19B,$-0.01B,-4.26%,$0.19B,$-0.01B,-4.26%,$0.19B,$-0.00B,-1.06%,$0.19B,$-0.01B,-4.26%,$0.19B,$-0.01B,-4.26%,$-0.01B,$0.05B,-17.88%,$-0.01B,$0.04B,-20.00%,$-0.01B,$0.08B,-10.46%,$-0.01B,$0.05B,-16.93%,$51,$42,$9,$3,$8,$53,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-0,$-2,$29,29,$-0.06,$-0.06,$53,$0,$0,$65,$8,$3,$5,$1,$17,$82,$30,$5,$1,$7,$38,$0,$-81,$-0,$45,$82,$-7,$4,$3,$7,$-2,$0,$1,$6,$5,$5,$-2,$0,$0,$0,$-4,$-4,$-0,$-7,$5,$0,$5,$4,$4,$0,$-1,$8,$6,$3,$0
8,2016-09-30,16.9,$1.53,11.04,$6.28,2.69,$-0.65,0.0,$-0.29,0.0,$0.06B,$0.03B,2.24,$0.00B,$0.05B,0.09,$0.18B,$0.03B,17.51%,$0.18B,$-0.01B,-5.08%,$0.18B,$-0.01B,-5.08%,$0.18B,$-0.00B,-2.26%,$0.18B,$-0.01B,-5.08%,$0.18B,$-0.01B,-5.08%,$-0.01B,$0.05B,-20.11%,$-0.01B,$0.04B,-22.36%,$-0.01B,$0.08B,-12.20%,$-0.01B,$0.05B,-19.46%,$48,$40,$9,$2,$8,$50,$-2,$-0,$-2,$0,$-2,$-2,$-2,$-0,$-2,$29,29,$-0.06,$-0.06,$49,$0,$0,$62,$9,$3,$5,$0,$17,$79,$27,$4,$1,$6,$34,$0,$-80,$-0,$45,$79,$-5,$3,$2,$5,$-2,$0,$-1,$4,$2,$2,$-2,$0,$0,$0,$-3,$-3,$-0,$-5,$4,$0,$4,$3,$3,$0,$-1,$6,$3,$2,$0
9,2016-06-30,13.25,$1.57,8.45,$5.96,2.22,$-1.14,0.0,$-0.40,0.0,$0.06B,$0.03B,2.23,$0.00B,$0.05B,0.02,$0.17B,$0.03B,17.37%,$0.17B,$-0.01B,-7.19%,$0.17B,$-0.01B,-7.19%,$0.17B,$-0.01B,-4.79%,$0.17B,$-0.01B,-7.19%,$0.17B,$-0.01B,-7.19%,$-0.01B,$0.05B,-26.52%,$-0.01B,$0.04B,-29.27%,$-0.01B,$0.07B,-16.61%,$-0.01B,$0.05B,-26.23%,$46,$38,$8,$2,$7,$47,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$28,28,$-0.03,$-0.03,$45,$0,$0,$56,$10,$3,$5,$0,$17,$74,$25,$1,$1,$3,$28,$0,$-78,$-0,$45,$74,$-4,$2,$1,$3,$-1,$0,$-1,$3,$1,$0,$-1,$0,$0,$0,$-2,$-2,$-0,$-3,$1,$0,$1,$2,$2,$0,$0,$3,$0,$1,$0
