,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,78.3,$19.44,4.03,$105.69,0.74,$11.86,6.6,$9.30,8.42,$1.80B,$0.63B,2.86,$1.16B,$0.83B,1.41,$4.66B,$0.65B,13.95%,$4.66B,$0.55B,11.74%,$4.66B,$0.55B,11.74%,$4.66B,$0.68B,14.50%,$4.66B,$0.50B,10.77%,$4.66B,$0.41B,8.82%,$0.41B,$0.83B,53.74%,$0.41B,$0.56B,83.66%,$0.41B,$2.91B,14.37%,$0.55B,$1.99B,28.37%,$1200,$1068,$132,$0,$60,$1094,$106,$-12,$94,$19,$75,$75,$75,$138,$106,$43,43,$1.75,$1.72,$421,$586,$39,$1799,$594,$181,$266,$0,$1111,$2910,$628,$1162,$248,$1456,$2084,$1,$771,$-150,$826,$2910,$293,$97,$-19,$78,$-78,$-86,$0,$1,$-132,$239,$-91,$0,$2,$0,$0,$0,$1,$-88,$-5,$-0,$-6,$-93,$-93,$-49,$-9,$-156,$-11,$12,$-49
1,2018-06-30,70.56,$18.65,3.78,$102.46,0.69,$10.37,6.8,$8.32,8.48,$1.78B,$0.62B,2.87,$1.16B,$0.80B,1.45,$4.56B,$0.67B,14.63%,$4.56B,$0.57B,12.46%,$4.56B,$0.57B,12.46%,$4.56B,$0.70B,15.27%,$4.56B,$0.45B,9.87%,$4.56B,$0.37B,8.10%,$0.37B,$0.80B,52.66%,$0.37B,$0.53B,86.67%,$0.37B,$2.88B,13.19%,$0.57B,$1.96B,30.46%,$1237,$1074,$163,$0,$62,$1102,$134,$-16,$119,$20,$98,$98,$98,$166,$134,$43,44,$2.28,$2.24,$451,$532,$29,$1775,$600,$164,$268,$0,$1100,$2875,$618,$1163,$248,$1455,$2073,$1,$713,$-148,$802,$2875,$219,$65,$-10,$56,$-83,$-31,$0,$11,$-92,$182,$-60,$0,$2,$0,$0,$0,$1,$-57,$-4,$-0,$-4,$-58,$-58,$-32,$-9,$-103,$19,$9,$-32
2,2018-03-31,73.3,$17.41,4.21,$99.67,0.74,$6.73,10.89,$7.42,9.88,$1.74B,$0.63B,2.74,$1.16B,$0.76B,1.54,$4.47B,$0.63B,14.11%,$4.47B,$0.54B,12.00%,$4.47B,$0.54B,12.00%,$4.47B,$0.66B,14.76%,$4.47B,$0.41B,9.18%,$4.47B,$0.33B,7.41%,$0.33B,$0.76B,51.70%,$0.33B,$0.48B,87.16%,$0.33B,$2.89B,12.13%,$0.54B,$1.92B,29.58%,$1122,$946,$175,$0,$64,$965,$156,$-11,$145,$25,$120,$120,$120,$189,$156,$43,44,$2.77,$2.71,$399,$588,$19,$1735,$635,$168,$281,$0,$1152,$2886,$633,$1164,$282,$1497,$2131,$1,$632,$-144,$756,$2886,$120,$33,$-8,$25,$-33,$-70,$0,$-5,$-105,$41,$-31,$0,$1,$0,$0,$0,$0,$-30,$-2,$-0,$-2,$-22,$-22,$-16,$-8,$-48,$-34,$6,$-16
3,2017-12-31,71.52,$15.55,4.6,$98.79,0.72,$5.14,13.92,$7.30,9.8,$1.65B,$0.63B,2.63,$1.17B,$0.68B,1.73,$4.45B,$0.65B,14.70%,$4.45B,$0.54B,12.12%,$4.45B,$0.54B,12.12%,$4.45B,$0.66B,14.72%,$4.45B,$0.41B,9.26%,$4.45B,$0.33B,7.37%,$0.33B,$0.68B,56.09%,$0.33B,$0.40B,95.49%,$0.33B,$2.77B,12.40%,$0.54B,$1.84B,30.67%,$1102,$922,$180,$0,$60,$951,$151,$-7,$144,$26,$118,$118,$118,$183,$151,$44,45,$2.70,$2.63,$433,$510,$18,$1646,$627,$153,$280,$0,$1126,$2772,$627,$1165,$256,$1471,$2097,$1,$528,$-146,$675,$2772,$328,$116,$74,$190,$-52,$-80,$0,$-14,$-127,$391,$-147,$0,$-36,$0,$0,$0,$1,$-183,$-40,$-0,$-41,$-80,$-80,$-58,$-75,$-253,$-32,$14,$-58
4,2017-09-30,65.76,$13.04,5.04,$93.62,0.7,$5.61,11.73,$6.39,10.29,$1.55B,$0.60B,2.59,$1.17B,$0.57B,2.05,$4.26B,$0.61B,14.35%,$4.26B,$0.50B,11.70%,$4.26B,$0.50B,11.70%,$4.26B,$0.61B,14.28%,$4.26B,$0.37B,8.61%,$4.26B,$0.29B,6.75%,$0.29B,$0.57B,54.55%,$0.29B,$0.30B,95.13%,$0.29B,$2.66B,11.26%,$0.50B,$1.74B,29.36%,$1097,$948,$149,$0,$65,$969,$127,$-86,$42,$8,$33,$33,$33,$158,$127,$44,45,$0.76,$0.74,$319,$483,$25,$1546,$600,$162,$271,$0,$1111,$2657,$596,$1166,$285,$1491,$2087,$0,$423,$-167,$570,$2657,$211,$84,$60,$145,$-93,$-57,$0,$-16,$-160,$195,$-109,$0,$-34,$0,$0,$0,$1,$-142,$-39,$-0,$-39,$-57,$-57,$-42,$-72,$-210,$-146,$11,$-42
5,2017-06-30,67.33,$12.81,5.26,$89.06,0.76,$8.84,7.61,$7.08,9.51,$1.61B,$0.56B,2.88,$1.19B,$0.56B,2.13,$4.10B,$0.60B,14.70%,$4.10B,$0.48B,11.58%,$4.10B,$0.48B,11.58%,$4.10B,$0.58B,14.12%,$4.10B,$0.41B,9.95%,$4.10B,$0.32B,7.85%,$0.32B,$0.56B,65.55%,$0.32B,$0.35B,114.39%,$0.32B,$2.60B,12.97%,$0.48B,$1.75B,28.48%,$1145,$1019,$127,$0,$55,$1044,$102,$-23,$79,$19,$60,$60,$60,$129,$102,$44,45,$1.37,$1.34,$400,$474,$14,$1611,$556,$153,$210,$0,$990,$2601,$560,$1193,$257,$1481,$2041,$0,$406,$-163,$560,$2601,$178,$54,$16,$70,$-138,$-67,$0,$-5,$-211,$37,$-74,$0,$44,$0,$0,$0,$1,$-30,$-3,$-0,$-3,$-50,$-50,$-27,$-0,$-80,$-65,$8,$-27
6,2017-03-31,65.47,$12.12,5.4,$83.88,0.78,$12.33,5.31,$7.74,8.46,$1.61B,$0.58B,2.75,$1.17B,$0.53B,2.19,$3.93B,$0.65B,16.48%,$3.93B,$0.53B,13.47%,$3.93B,$0.53B,13.47%,$3.93B,$0.63B,16.09%,$3.93B,$0.45B,11.54%,$3.93B,$0.36B,9.12%,$0.36B,$0.53B,76.66%,$0.36B,$0.33B,138.09%,$0.36B,$2.55B,14.78%,$0.53B,$1.70B,32.23%,$1105,$906,$199,$0,$60,$946,$159,$-12,$147,$29,$117,$117,$117,$185,$159,$44,45,$2.66,$2.59,$410,$481,$16,$1606,$520,$161,$204,$0,$948,$2554,$583,$1167,$241,$1437,$2020,$0,$362,$-169,$534,$2554,$117,$26,$3,$30,$-133,$-92,$0,$-3,$-173,$-26,$-36,$0,$42,$0,$0,$0,$1,$7,$-1,$-0,$-1,$-23,$-23,$-13,$-0,$-38,$-55,$5,$-13
7,2016-12-31,57.57,$10.11,5.7,$77.71,0.74,$14.88,3.87,$6.71,8.58,$1.43B,$0.54B,2.64,$1.16B,$0.45B,2.59,$3.72B,$0.59B,15.82%,$3.72B,$0.49B,13.19%,$3.72B,$0.49B,13.19%,$3.72B,$0.59B,15.93%,$3.72B,$0.41B,10.90%,$3.72B,$0.32B,8.56%,$0.32B,$0.45B,72.52%,$0.32B,$0.23B,137.22%,$0.32B,$2.42B,13.43%,$0.49B,$1.61B,30.26%,$917,$780,$138,$0,$61,$806,$111,$-12,$99,$21,$78,$78,$78,$137,$111,$47,48,$1.75,$1.71,$465,$385,$18,$1433,$510,$191,$215,$0,$988,$2421,$542,$1160,$246,$1431,$1974,$1,$261,$-170,$448,$2421,$318,$102,$53,$155,$-96,$-51,$0,$17,$-70,$404,$-124,$0,$2,$0,$0,$0,$5,$-117,$-5,$-0,$-5,$-215,$-215,$-27,$-0,$-248,$34,$17,$-27
8,2016-09-30,54.61,$9.48,5.76,$76.70,0.71,$15.37,3.55,$5.87,9.3,$1.39B,$0.49B,2.82,$1.19B,$0.42B,2.8,$3.70B,$0.56B,15.21%,$3.70B,$0.47B,12.61%,$3.70B,$0.47B,12.61%,$3.70B,$0.57B,15.50%,$3.70B,$0.37B,10.09%,$3.70B,$0.28B,7.66%,$0.28B,$0.42B,66.78%,$0.28B,$0.21B,126.48%,$0.28B,$2.35B,12.16%,$0.47B,$1.61B,28.97%,$935,$795,$140,$0,$74,$832,$103,$-20,$83,$16,$67,$67,$67,$128,$103,$46,47,$1.47,$1.43,$466,$376,$38,$1391,$495,$187,$209,$0,$961,$2353,$493,$1186,$225,$1436,$1929,$0,$193,$-149,$423,$2353,$240,$76,$47,$123,$-30,$-28,$0,$-7,$-38,$325,$-83,$0,$0,$0,$0,$0,$5,$-78,$-4,$-0,$-4,$-194,$-194,$-14,$-0,$-212,$35,$15,$-14
9,2016-06-30,41.17,$9.99,4.12,$77.77,0.53,$12.80,3.22,$5.50,7.48,$1.39B,$0.46B,3.0,$1.18B,$0.46B,2.55,$3.79B,$0.53B,14.09%,$3.79B,$0.46B,12.06%,$3.79B,$0.46B,12.06%,$3.79B,$0.56B,14.89%,$3.79B,$0.36B,9.58%,$3.79B,$0.27B,7.07%,$0.27B,$0.46B,66.30%,$0.27B,$0.26B,127.77%,$0.27B,$2.36B,11.57%,$0.46B,$1.65B,28.62%,$970,$800,$170,$0,$52,$814,$156,$-32,$124,$29,$96,$96,$96,$182,$156,$47,48,$2.04,$2.00,$465,$365,$27,$1392,$505,$190,$203,$0,$970,$2363,$463,$1183,$224,$1436,$1899,$0,$139,$-148,$463,$2363,$173,$51,$24,$75,$-53,$-17,$0,$4,$-68,$180,$-53,$0,$0,$0,$0,$0,$5,$-48,$-3,$-0,$-3,$-94,$-94,$0,$-0,$-97,$34,$9,$0
