,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,44.16,$9.91,4.46,$6.72,6.57,$4.43,9.97,$2.26,19.54,$28.01B,$10.49B,2.67,$1.86B,$51.37B,0.04,$34.85B,$17.07B,48.98%,$34.85B,$13.20B,37.88%,$34.85B,$13.20B,37.88%,$34.85B,$22.77B,65.33%,$34.85B,$13.63B,39.12%,$34.85B,$12.06B,34.61%,$12.06B,$51.37B,23.33%,$12.06B,$50.92B,23.54%,$12.06B,$64.22B,17.84%,$13.20B,$53.23B,24.28%,$8487,$4465,$4022,$713,$203,$5382,$3105,$119,$3224,$319,$2905,$2905,$2904,$5362,$3105,$5186,5186,$0.56,$0.56,$20186,$3434,$166,$28011,$34182,$972,$456,$119,$36208,$64218,$10485,$1855,$498,$2361,$12846,$8453,$41654,$0,$51372,$64218,$9338,$7058,$-200,$6859,$-19,$-1026,$8,$-521,$-2613,$12537,$-6564,$-96,$0,$0,$-206,$-206,$443,$-6422,$-1892,$314,$-1578,$0,$0,$-6763,$-116,$-8457,$-2108,$0,$-6763
1,2018-06-30,36.56,$9.66,3.79,$6.69,5.46,$3.99,9.16,$2.27,16.11,$32.22B,$15.56B,2.07,$2.80B,$50.09B,0.06,$34.71B,$17.22B,49.60%,$34.71B,$13.34B,38.44%,$34.71B,$13.34B,38.44%,$34.71B,$23.01B,66.29%,$34.71B,$13.74B,39.58%,$34.71B,$12.13B,34.96%,$12.13B,$50.09B,23.93%,$12.13B,$49.62B,24.16%,$12.13B,$69.00B,18.16%,$13.34B,$52.89B,24.86%,$7836,$4089,$3747,$668,$220,$4999,$2837,$106,$2943,$514,$2429,$2429,$2429,$5193,$2837,$5186,5186,$0.47,$0.47,$25614,$3327,$212,$32224,$34751,$969,$463,$129,$36771,$68995,$15557,$2802,$542,$3353,$18909,$8713,$39966,$0,$50085,$68995,$6301,$4802,$-77,$4725,$3,$-846,$13,$881,$-200,$9761,$-4415,$-47,$0,$5,$-244,$-238,$214,$-4487,$-1698,$-1134,$-2831,$0,$0,$0,$-91,$-2922,$2649,$0,$0
2,2018-03-31,42.2,$10.59,3.98,$18.85,2.24,$6.60,6.4,$2.22,19.01,$31.78B,$11.70B,2.72,$2.85B,$54.95B,0.05,$33.95B,$17.07B,50.27%,$33.95B,$13.26B,39.06%,$33.95B,$13.26B,39.06%,$33.95B,$22.55B,66.42%,$33.95B,$13.64B,40.19%,$33.95B,$11.90B,35.05%,$11.90B,$54.95B,24.14%,$11.90B,$54.48B,24.37%,$11.90B,$70.08B,18.03%,$13.26B,$57.80B,25.32%,$8480,$4210,$4270,$699,$215,$5169,$3311,$107,$3418,$347,$3071,$3071,$3071,$5757,$3311,$5186,5186,$0.59,$0.59,$23805,$2914,$1366,$31776,$36094,$1176,$468,$124,$38305,$70081,$11704,$2852,$569,$3431,$15135,$8868,$45304,$0,$54946,$70081,$3418,$2445,$-111,$2334,$1,$-388,$-48,$320,$-242,$5497,$-2456,$-8,$0,$6,$-133,$-127,$78,$-2512,$-1737,$-197,$-1935,$0,$0,$0,$-36,$-1971,$834,$0,$0
3,2017-12-31,38.24,$9.72,3.93,$18.66,2.05,$6.37,6.0,$2.17,17.62,$28.92B,$13.05B,2.22,$3.10B,$50.42B,0.06,$32.98B,$16.70B,50.63%,$32.98B,$13.01B,39.45%,$32.98B,$13.01B,39.45%,$32.98B,$21.79B,66.06%,$32.98B,$13.37B,40.53%,$32.98B,$11.64B,35.30%,$11.64B,$50.42B,24.48%,$11.64B,$49.94B,24.79%,$11.64B,$67.20B,18.07%,$13.01B,$53.52B,25.50%,$10048,$5017,$5031,$773,$276,$6101,$3947,$102,$4049,$391,$3658,$3658,$3657,$6457,$3947,$5186,5186,$-3.12,$-3.12,$22153,$2493,$143,$28921,$35848,$1398,$478,$144,$38277,$67197,$13053,$3097,$617,$3725,$16778,$8748,$40656,$0,$50420,$67197,$13366,$8777,$-585,$8192,$-7,$-851,$100,$31,$337,$19748,$-11142,$-179,$-0,$1,$-550,$-549,$529,$-11342,$-1287,$351,$-936,$0,$0,$-6124,$-218,$-7277,$410,$0,$-6124
4,2017-09-30,36.22,$9.14,3.96,$18.27,1.98,$5.98,6.06,$2.14,16.92,$23.33B,$9.88B,2.36,$3.04B,$47.38B,0.06,$30.94B,$15.85B,51.22%,$30.94B,$12.41B,40.12%,$30.94B,$12.41B,40.12%,$30.94B,$20.30B,65.61%,$30.94B,$12.73B,41.15%,$30.94B,$10.96B,35.43%,$10.96B,$47.38B,24.12%,$10.96B,$46.89B,24.43%,$10.96B,$60.95B,17.63%,$12.41B,$50.42B,25.18%,$8345,$4178,$4167,$697,$215,$5099,$3246,$81,$3327,$350,$2977,$2977,$2977,$5601,$3246,$5183,5183,$0.57,$0.57,$16781,$2446,$168,$23331,$35277,$1354,$491,$127,$37620,$60951,$9881,$3039,$647,$3690,$13571,$8583,$37546,$0,$47380,$60951,$9416,$6267,$-429,$5838,$-1,$-835,$54,$177,$-539,$12617,$-8909,$-122,$0,$-1,$-365,$-366,$357,$-9040,$-1261,$-10,$-1271,$0,$0,$-6008,$-180,$-7459,$-4408,$0,$-6008
5,2017-06-30,33.72,$8.57,3.94,$18.25,1.85,$6.11,5.52,$2.16,15.61,$27.74B,$17.33B,1.6,$3.29B,$44.43B,0.07,$30.82B,$15.85B,51.43%,$30.82B,$12.53B,40.64%,$30.82B,$12.53B,40.64%,$30.82B,$19.91B,64.60%,$30.82B,$12.83B,41.61%,$30.82B,$11.04B,35.82%,$11.04B,$44.43B,25.25%,$11.04B,$43.97B,25.58%,$11.04B,$65.75B,18.25%,$12.53B,$47.72B,26.07%,$7077,$3479,$3598,$631,$209,$4321,$2756,$95,$2850,$657,$2194,$2194,$2194,$4736,$2756,$518,518,$4.24,$4.24,$21892,$2019,$125,$27739,$35669,$1450,$467,$93,$38012,$65751,$17328,$3287,$698,$3991,$21319,$8583,$34569,$0,$44432,$65751,$6088,$3911,$-352,$3560,$18,$-408,$-52,$447,$391,$8752,$-6869,$-65,$0,$0,$-92,$-92,$160,$-6867,$-331,$-10,$-341,$0,$0,$0,$-75,$-415,$967,$0,$0
6,2017-03-31,30.69,$0.00,0.0,$5.90,5.2,$3.17,9.69,$2.17,14.15,$27.19B,$10.59B,2.57,$4.42B,$47.95B,0.09,$30.60B,$15.79B,51.59%,$30.60B,$12.59B,41.15%,$30.60B,$12.59B,41.15%,$30.60B,$19.74B,64.50%,$30.60B,$12.86B,42.03%,$30.60B,$11.09B,36.23%,$11.09B,$47.95B,26.48%,$11.09B,$47.06B,26.84%,$11.09B,$63.70B,19.12%,$12.59B,$52.37B,26.93%,$7507,$3608,$3899,$623,$217,$4447,$3060,$79,$3139,$327,$2812,$2812,$2812,$4991,$3060,$5186,5186,$0.55,$0.55,$21710,$1659,$228,$27187,$34157,$1466,$893,$0,$36516,$63703,$10589,$4419,$743,$5162,$15751,$8538,$0,$0,$47952,$63703,$3139,$1931,$-21,$1910,$0,$0,$0,$122,$122,$5167,$-3285,$0,$0,$0,$-248,$-248,$27,$-3506,$-329,$0,$-329,$0,$0,$0,$-53,$-382,$753,$-21,$0
7,2016-12-31,26.87,$8.09,3.32,$5.64,4.76,$3.29,8.17,$2.01,13.37,$25.24B,$10.75B,2.35,$4.73B,$41.97B,0.11,$29.26B,$14.66B,50.09%,$29.26B,$11.67B,39.87%,$29.26B,$11.67B,39.87%,$29.26B,$18.57B,63.48%,$29.26B,$11.91B,40.71%,$29.26B,$10.24B,34.99%,$10.24B,$41.97B,25.86%,$10.24B,$41.52B,26.15%,$10.24B,$58.22B,18.56%,$11.67B,$46.70B,26.07%,$8009,$3827,$4182,$611,$220,$4658,$3351,$64,$3415,$437,$2978,$2978,$2977,$4969,$3351,$5186,5186,$0.57,$0.57,$19636,$1503,$105,$25239,$30796,$1420,$451,$59,$32981,$58219,$10750,$4726,$769,$5499,$16249,$8003,$32155,$0,$41971,$58219,$11911,$6908,$-275,$6633,$-14,$567,$230,$-1482,$-465,$16662,$-10122,$-156,$0,$0,$-2369,$-2369,$442,$-12205,$-725,$586,$-139,$0,$0,$-4802,$71,$-4870,$-662,$0,$-4802
8,2016-09-30,28.59,$7.82,3.65,$5.29,5.4,$3.69,7.75,$1.83,15.62,$22.42B,$8.14B,2.76,$4.81B,$40.57B,0.12,$27.45B,$13.49B,49.14%,$27.45B,$10.69B,38.95%,$27.45B,$10.69B,38.95%,$27.45B,$17.79B,64.79%,$27.45B,$10.94B,39.84%,$27.45B,$9.48B,34.51%,$9.48B,$40.57B,24.47%,$9.48B,$40.11B,24.75%,$9.48B,$54.31B,17.66%,$10.69B,$45.38B,24.18%,$8229,$4056,$4173,$592,$225,$4871,$3358,$63,$3421,$362,$3059,$3059,$3058,$5214,$3358,$5186,5186,$0.59,$0.59,$16521,$1703,$109,$22423,$29544,$1577,$462,$67,$31887,$54311,$8139,$4808,$791,$5601,$13739,$8194,$30739,$0,$40571,$54311,$8656,$5290,$-225,$5065,$11,$416,$181,$-1581,$-1065,$11206,$-6807,$-120,$0,$-0,$-1540,$-1540,$348,$-8119,$-742,$-5,$-747,$0,$0,$-4916,$-91,$-5754,$-3119,$0,$-4916
9,2016-06-30,24.52,$7.13,3.44,$4.99,4.91,$4.12,5.95,$1.70,14.42,$26.34B,$12.32B,2.14,$5.60B,$37.00B,0.15,$25.88B,$12.52B,48.38%,$25.88B,$9.79B,37.83%,$25.88B,$9.79B,37.83%,$25.88B,$16.65B,64.35%,$25.88B,$10.13B,39.13%,$25.88B,$8.78B,33.91%,$8.78B,$37.00B,23.35%,$8.78B,$36.56B,23.61%,$8.78B,$55.76B,16.74%,$9.79B,$42.60B,22.57%,$6854,$3321,$3533,$522,$189,$4032,$2822,$64,$2886,$645,$2241,$2241,$2240,$4563,$2822,$5186,5186,$0.43,$0.43,$20866,$1876,$101,$26343,$27064,$1650,$435,$61,$29416,$55759,$12321,$5602,$838,$6440,$18761,$8012,$27068,$0,$36998,$55759,$5119,$3434,$-81,$3352,$3,$196,$104,$-1059,$-479,$7052,$-3452,$-80,$0,$-0,$-1234,$-1234,$129,$-4637,$-355,$-5,$-359,$0,$0,$0,$-39,$-399,$1844,$0,$0
