,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,7.83,$18.98,0.41,$23.80,0.33,$1.01,7.78,$-2.50,0.0,$0.13B,$0.06B,2.27,$0.56B,$0.36B,1.55,$0.52B,$0.13B,24.71%,$0.52B,$-0.02B,-4.44%,$0.52B,$-0.02B,-4.44%,$0.52B,$0.06B,11.00%,$0.52B,$-0.06B,-10.81%,$0.52B,$-0.04B,-8.11%,$-0.04B,$0.36B,-11.63%,$-0.04B,$-0.39B,11.06%,$-0.04B,$1.01B,-4.12%,$-0.02B,$0.92B,-2.51%,$114,$79,$35,$0,$1,$92,$22,$-9,$14,$4,$10,$10,$10,$27,$22,$19,28,$0.51,$0.34,$50,$0,$0,$127,$110,$15,$752,$7,$884,$1012,$56,$557,$9,$596,$652,$0,$-7,$0,$359,$1012,$-15,$15,$29,$44,$-5,$0,$-6,$-1,$-17,$12,$-12,$0,$-21,$0,$0,$0,$24,$-9,$-10,$0,$-10,$0,$0,$-4,$-1,$-14,$-12,$1,$-4
1,2018-06-30,6.47,$18.54,0.35,$23.71,0.27,$1.47,4.41,$-2.33,0.0,$0.14B,$0.07B,2.17,$0.56B,$0.35B,1.59,$0.52B,$0.13B,24.22%,$0.52B,$-0.02B,-4.65%,$0.52B,$-0.02B,-4.65%,$0.52B,$0.06B,10.85%,$0.52B,$-0.06B,-11.24%,$0.52B,$-0.04B,-7.36%,$-0.04B,$0.35B,-10.17%,$-0.04B,$-0.39B,9.95%,$-0.04B,$1.01B,-3.64%,$-0.02B,$0.91B,-2.58%,$120,$84,$35,$0,$0,$97,$22,$-9,$14,$4,$10,$10,$2,$26,$22,$19,28,$0.09,$0.05,$62,$0,$0,$140,$108,$11,$737,$11,$867,$1008,$65,$556,$9,$592,$657,$0,$-14,$0,$350,$1008,$-25,$10,$29,$39,$-4,$0,$2,$-3,$-13,$1,$-7,$0,$-4,$0,$0,$0,$23,$12,$-10,$0,$-10,$0,$0,$-2,$-1,$-12,$1,$0,$-2
2,2018-03-31,7.84,$19.18,0.41,$23.50,0.33,$1.43,5.48,$-2.20,0.0,$0.12B,$0.06B,1.95,$0.56B,$0.36B,1.57,$0.51B,$0.12B,24.17%,$0.51B,$-0.03B,-4.87%,$0.51B,$-0.03B,-4.87%,$0.51B,$0.06B,10.72%,$0.51B,$-0.06B,-11.50%,$0.51B,$-0.03B,-6.63%,$-0.03B,$0.36B,-8.84%,$-0.03B,$-0.38B,8.75%,$-0.03B,$1.00B,-3.21%,$-0.03B,$0.91B,-2.65%,$94,$77,$17,$0,$0,$127,$-33,$-8,$-41,$-15,$-27,$-27,$-27,$-26,$-33,$18,18,$-1.44,$-1.44,$49,$0,$0,$120,$124,$8,$738,$13,$884,$1003,$61,$556,$9,$587,$649,$0,$-13,$-1,$355,$1003,$-27,$7,$20,$26,$9,$0,$-4,$-6,$-1,$-1,$-6,$0,$0,$0,$0,$0,$0,$-6,$-10,$0,$-10,$0,$0,$0,$-0,$-10,$-16,$0,$0
3,2017-12-31,7.52,$20.62,0.36,$23.20,0.32,$1.71,4.4,$-0.92,0.0,$0.14B,$0.07B,1.89,$0.56B,$0.38B,1.46,$0.51B,$0.12B,24.26%,$0.51B,$0.01B,2.17%,$0.51B,$0.01B,2.17%,$0.51B,$0.09B,17.95%,$0.51B,$-0.02B,-4.54%,$0.51B,$-0.01B,-1.97%,$-0.01B,$0.38B,-2.55%,$-0.01B,$-0.36B,2.51%,$-0.01B,$1.06B,-0.93%,$0.01B,$0.94B,1.15%,$190,$149,$41,$0,$0,$224,$-34,$-8,$-43,$-22,$-21,$-21,$-27,$30,$-34,$18,18,$-1.47,$-0.85,$61,$0,$1,$138,$104,$8,$737,$9,$918,$1056,$73,$556,$9,$602,$675,$0,$13,$-1,$381,$1056,$-10,$80,$-18,$62,$-1,$0,$1,$-2,$-1,$51,$-22,$-0,$-6,$0,$-1,$-1,$-1,$-29,$-7,$0,$-7,$0,$0,$0,$-1,$-8,$14,$1,$0
4,2017-09-30,9.8,$22.10,0.44,$17.26,0.57,$1.63,6.0,$0.66,14.84,$0.13B,$0.06B,2.24,$0.57B,$0.41B,1.38,$0.44B,$0.11B,26.15%,$0.44B,$0.06B,13.76%,$0.44B,$0.06B,13.76%,$0.44B,$0.08B,18.81%,$0.44B,$0.03B,6.19%,$0.44B,$0.02B,4.59%,$0.02B,$0.41B,5.06%,$0.02B,$-0.40B,-4.84%,$0.02B,$1.11B,1.85%,$0.06B,$0.97B,6.25%,$112,$79,$32,$0,$0,$91,$21,$-8,$12,$5,$7,$7,$14,$26,$21,$18,28,$0.77,$0.26,$53,$0,$0,$133,$147,$7,$809,$9,$972,$1105,$59,$565,$10,$637,$697,$0,$41,$-0,$408,$1105,$17,$16,$1,$17,$-5,$0,$-2,$-2,$-8,$25,$-12,$-0,$-5,$0,$-1,$-1,$-6,$-24,$-7,$0,$-7,$0,$0,$0,$-1,$-8,$-7,$1,$0
5,2017-06-30,10.03,$21.32,0.47,$19.32,0.52,$2.08,4.82,$0.73,13.74,$0.11B,$0.06B,2.02,$0.56B,$0.39B,1.43,$0.49B,$0.13B,27.14%,$0.49B,$0.08B,15.92%,$0.49B,$0.08B,15.92%,$0.49B,$0.10B,20.61%,$0.49B,$0.04B,8.37%,$0.49B,$0.02B,4.49%,$0.02B,$0.39B,5.66%,$0.02B,$-0.41B,-5.25%,$0.02B,$1.08B,2.05%,$0.08B,$0.96B,8.17%,$117,$83,$34,$0,$0,$96,$21,$-8,$13,$5,$8,$8,$6,$25,$21,$18,28,$0.30,$0.19,$31,$0,$0,$111,$143,$5,$808,$10,$965,$1076,$55,$564,$10,$627,$682,$0,$27,$-1,$394,$1076,$3,$11,$-2,$9,$-6,$0,$-3,$-3,$-10,$1,$-8,$-0,$-2,$0,$0,$0,$-4,$-14,$-7,$0,$-7,$0,$0,$0,$-1,$-7,$-20,$0,$0
6,2017-03-31,11.93,$21.01,0.57,$20.20,0.59,$2.40,4.97,$0.73,16.34,$0.11B,$0.06B,1.79,$0.56B,$0.39B,1.45,$0.51B,$0.13B,25.69%,$0.51B,$0.08B,14.71%,$0.51B,$0.08B,14.71%,$0.51B,$0.10B,19.61%,$0.51B,$0.04B,7.25%,$0.51B,$0.02B,4.31%,$0.02B,$0.39B,5.75%,$0.02B,$-0.42B,-5.17%,$0.02B,$1.07B,2.06%,$0.08B,$0.95B,7.89%,$88,$73,$16,$0,$0,$85,$3,$-8,$-5,$-2,$-3,$-3,$-3,$10,$3,$18,18,$-0.16,$-0.16,$41,$0,$0,$106,$141,$4,$809,$10,$964,$1070,$59,$564,$10,$623,$682,$0,$21,$-1,$388,$1070,$-3,$7,$-3,$3,$8,$0,$-2,$-5,$4,$4,$-5,$-0,$-2,$0,$0,$0,$0,$-7,$-7,$0,$-7,$0,$0,$0,$-0,$-7,$-11,$0,$0
7,2016-12-31,10.2,$21.21,0.48,$20.69,0.49,$2.39,4.27,$0.81,12.59,$0.12B,$0.07B,1.88,$0.56B,$0.39B,1.45,$0.52B,$0.13B,25.78%,$0.52B,$0.08B,15.12%,$0.52B,$0.08B,15.12%,$0.52B,$0.10B,19.77%,$0.52B,$0.04B,7.75%,$0.52B,$0.02B,4.65%,$0.02B,$0.39B,6.38%,$0.02B,$-0.42B,-5.55%,$0.02B,$1.08B,2.25%,$0.08B,$0.95B,8.21%,$119,$87,$32,$0,$4,$104,$15,$-8,$7,$4,$3,$3,$3,$21,$15,$18,27,$0.19,$0.15,$52,$0,$0,$123,$139,$4,$807,$7,$958,$1081,$65,$564,$10,$626,$691,$0,$24,$-1,$390,$1081,$23,$26,$16,$42,$4,$0,$-2,$-2,$-6,$60,$-19,$-0,$-2,$0,$0,$0,$0,$-21,$-20,$0,$-20,$0,$0,$0,$-0,$-20,$18,$4,$0
8,2016-09-30,9.15,$20.86,0.44,$20.42,0.45,$1.99,4.6,$0.79,11.58,$0.12B,$0.06B,1.93,$0.57B,$0.38B,1.49,$0.51B,$0.13B,25.49%,$0.51B,$0.08B,15.10%,$0.51B,$0.08B,15.10%,$0.51B,$0.10B,19.61%,$0.51B,$0.04B,7.45%,$0.51B,$0.02B,4.71%,$0.02B,$0.38B,6.50%,$0.02B,$-0.42B,-5.46%,$0.02B,$1.08B,2.26%,$0.08B,$0.96B,8.11%,$166,$115,$51,$0,$0,$127,$39,$-13,$26,$10,$16,$16,$16,$45,$39,$18,27,$0.86,$0.58,$38,$0,$0,$117,$139,$4,$808,$7,$958,$1076,$61,$572,$11,$631,$692,$0,$21,$0,$384,$1076,$20,$19,$13,$32,$-3,$0,$-1,$-4,$-12,$40,$-15,$0,$-2,$0,$0,$0,$0,$-17,$-18,$0,$-18,$0,$0,$0,$-0,$-18,$5,$1,$0
9,2016-06-30,7.73,$19.99,0.39,$19.05,0.41,$1.91,4.04,$0.81,9.54,$0.10B,$0.07B,1.47,$0.57B,$0.37B,1.56,$0.47B,$0.12B,25.11%,$0.47B,$0.08B,15.82%,$0.47B,$0.08B,15.82%,$0.47B,$0.10B,20.46%,$0.47B,$0.04B,8.44%,$0.47B,$0.02B,5.06%,$0.02B,$0.37B,6.60%,$0.02B,$-0.44B,-5.37%,$0.02B,$1.05B,2.26%,$0.08B,$0.94B,7.89%,$137,$106,$32,$0,$0,$119,$18,$-8,$9,$4,$6,$6,$6,$24,$18,$18,27,$0.31,$0.20,$18,$0,$0,$96,$138,$5,$807,$7,$958,$1054,$65,$572,$11,$621,$686,$0,$5,$0,$368,$1054,$4,$13,$5,$18,$-5,$0,$6,$-6,$-9,$13,$-11,$0,$-0,$0,$0,$0,$0,$-11,$-18,$0,$-18,$0,$0,$0,$-0,$-18,$-16,$0,$0
