,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.51,$2.44,1.85,$8.46,0.53,$-1.87,0.0,$-0.82,0.0,$0.41B,$0.18B,2.27,$0.82B,$0.31B,2.69,$1.01B,$0.13B,12.34%,$1.01B,$-0.01B,-0.99%,$1.01B,$-0.01B,-0.99%,$1.01B,$0.11B,10.86%,$1.01B,$-0.10B,-9.38%,$1.01B,$-0.10B,-9.48%,$-0.10B,$0.31B,-29.65%,$-0.10B,$0.20B,-41.74%,$-0.10B,$1.39B,-7.00%,$-0.01B,$1.13B,-0.91%,$257,$216,$41,$0,$34,$250,$7,$-20,$-13,$-0,$-13,$-13,$-7,$37,$7,$126,126,$-0.06,$-0.06,$54,$151,$0,$414,$845,$0,$103,$22,$978,$1392,$182,$823,$40,$904,$1086,$1,$-223,$-50,$306,$1392,$-87,$90,$55,$145,$-8,$-36,$0,$-6,$-56,$2,$-106,$0,$-39,$0,$0,$0,$-0,$-145,$203,$0,$203,$0,$0,$-14,$-19,$171,$28,$6,$-14
1,2018-06-30,4.45,$2.46,1.81,$8.02,0.55,$-0.96,0.0,$-0.73,0.0,$0.41B,$0.17B,2.45,$0.81B,$0.31B,2.61,$0.94B,$0.13B,13.51%,$0.94B,$-0.00B,-0.43%,$0.94B,$-0.00B,-0.43%,$0.94B,$0.12B,12.34%,$0.94B,$-0.08B,-8.72%,$0.94B,$-0.09B,-9.15%,$-0.09B,$0.31B,-25.07%,$-0.09B,$0.20B,-33.43%,$-0.09B,$1.38B,-6.37%,$-0.00B,$1.12B,-0.38%,$260,$212,$48,$0,$34,$246,$14,$-24,$-10,$2,$-12,$-12,$-6,$44,$14,$122,122,$-0.05,$-0.05,$74,$133,$0,$410,$833,$0,$108,$21,$969,$1380,$167,$811,$41,$901,$1069,$1,$-216,$-50,$311,$1380,$-75,$60,$48,$108,$-0,$-18,$0,$-3,$-45,$-12,$-67,$0,$-39,$0,$0,$0,$-0,$-106,$183,$0,$183,$0,$0,$-9,$-8,$165,$48,$3,$-9
2,2018-03-31,3.75,$2.59,1.45,$7.47,0.5,$-0.46,0.0,$-0.78,0.0,$0.45B,$0.16B,2.83,$0.82B,$0.33B,2.53,$0.86B,$0.11B,12.67%,$0.86B,$-0.02B,-2.09%,$0.86B,$-0.02B,-2.09%,$0.86B,$0.10B,11.86%,$0.86B,$-0.08B,-8.95%,$0.86B,$-0.09B,-10.58%,$-0.09B,$0.33B,-25.19%,$-0.09B,$0.22B,-31.99%,$-0.09B,$1.41B,-6.82%,$-0.02B,$1.15B,-1.73%,$199,$171,$28,$0,$31,$202,$-3,$-17,$-20,$1,$-21,$-21,$-54,$27,$-3,$118,118,$-0.46,$-0.46,$113,$128,$0,$447,$825,$0,$110,$19,$961,$1408,$158,$824,$43,$925,$1083,$1,$-210,$-42,$325,$1408,$-63,$30,$38,$68,$7,$-13,$0,$-5,$-37,$-31,$-29,$0,$-39,$0,$0,$0,$0,$-68,$196,$0,$196,$0,$0,$-4,$-6,$186,$87,$1,$-4
3,2017-12-31,4.27,$3.04,1.4,$7.17,0.6,$-0.17,0.0,$-0.34,0.0,$0.34B,$0.17B,1.95,$0.63B,$0.35B,1.79,$0.82B,$0.10B,12.32%,$0.82B,$-0.02B,-2.68%,$0.82B,$-0.02B,-2.68%,$0.82B,$0.10B,11.95%,$0.82B,$-0.06B,-7.44%,$0.82B,$-0.04B,-4.76%,$-0.04B,$0.35B,-10.34%,$-0.04B,$0.30B,-12.59%,$-0.04B,$1.31B,-2.98%,$-0.02B,$0.98B,-2.17%,$297,$289,$8,$0,$36,$325,$-28,$-24,$-52,$-3,$-49,$-49,$-29,$2,$-28,$114,114,$-0.25,$-0.25,$26,$115,$0,$338,$809,$0,$54,$20,$970,$1309,$174,$630,$87,$782,$956,$1,$-156,$-44,$353,$1309,$-62,$121,$17,$138,$-55,$-11,$0,$-4,$-11,$65,$-51,$0,$0,$0,$0,$0,$3,$-48,$0,$0,$0,$0,$0,$-19,$-3,$-21,$-4,$8,$-19
4,2017-09-30,2.86,$3.30,0.87,$6.55,0.44,$0.14,19.75,$-0.42,0.0,$0.32B,$0.14B,2.24,$0.62B,$0.38B,1.63,$0.70B,$0.10B,13.65%,$0.70B,$-0.02B,-2.73%,$0.70B,$-0.02B,-2.73%,$0.70B,$0.10B,14.80%,$0.70B,$-0.05B,-6.75%,$0.70B,$-0.04B,-6.03%,$-0.04B,$0.38B,-10.80%,$-0.04B,$0.31B,-13.27%,$-0.04B,$1.30B,-3.21%,$-0.02B,$1.01B,-1.86%,$184,$141,$43,$0,$30,$171,$13,$-13,$-0,$1,$-1,$-1,$3,$43,$13,$115,115,$0.03,$0.03,$21,$122,$0,$315,$896,$0,$70,$20,$986,$1301,$141,$624,$79,$778,$919,$1,$-128,$-43,$383,$1301,$-27,$91,$-5,$85,$-34,$-13,$0,$-2,$-21,$37,$-28,$0,$0,$0,$0,$0,$-4,$-32,$-4,$0,$-4,$0,$0,$-15,$-2,$-21,$-15,$7,$-15
5,2017-06-30,2.79,$3.31,0.84,$6.87,0.41,$0.23,12.29,$-0.61,0.0,$0.32B,$0.13B,2.36,$0.65B,$0.38B,1.69,$0.69B,$0.08B,11.76%,$0.69B,$-0.03B,-4.64%,$0.69B,$-0.03B,-4.64%,$0.69B,$0.09B,13.35%,$0.69B,$-0.07B,-10.16%,$0.69B,$-0.06B,-8.71%,$-0.06B,$0.38B,-15.69%,$-0.06B,$0.31B,-19.43%,$-0.06B,$1.32B,-4.52%,$-0.03B,$1.03B,-3.06%,$180,$150,$30,$0,$29,$180,$0,$-5,$-5,$3,$-8,$-8,$-11,$30,$0,$115,115,$-0.10,$-0.10,$30,$118,$0,$316,$912,$0,$72,$18,$1002,$1318,$134,$647,$78,$800,$934,$1,$-131,$-46,$384,$1318,$-26,$60,$-5,$55,$-31,$-11,$0,$-3,$-30,$-1,$-16,$0,$0,$0,$0,$0,$0,$-16,$22,$0,$22,$0,$0,$-11,$-2,$10,$-7,$5,$-11
6,2017-03-31,4.07,$3.36,1.21,$7.45,0.55,$0.72,5.65,$-0.83,0.0,$0.28B,$0.10B,2.85,$0.64B,$0.39B,1.65,$0.69B,$0.07B,9.78%,$0.69B,$-0.04B,-6.28%,$0.69B,$-0.04B,-6.28%,$0.69B,$0.09B,12.55%,$0.69B,$-0.09B,-13.43%,$0.69B,$-0.08B,-11.09%,$-0.08B,$0.39B,-19.82%,$-0.08B,$0.32B,-24.66%,$-0.08B,$1.30B,-5.66%,$-0.04B,$1.03B,-3.98%,$159,$140,$20,$0,$27,$167,$-7,$3,$-4,$0,$-4,$-4,$-2,$23,$-7,$114,114,$-0.02,$-0.02,$20,$117,$0,$284,$924,$0,$73,$18,$1015,$1299,$100,$640,$85,$811,$911,$1,$-120,$-49,$389,$1299,$-11,$31,$0,$31,$-11,$-11,$0,$-2,$-40,$-21,$-5,$0,$0,$0,$0,$0,$0,$-5,$15,$0,$15,$0,$0,$-7,$-0,$8,$-17,$2,$-7
7,2016-12-31,5.02,$3.48,1.44,$8.19,0.61,$1.24,4.06,$-1.92,0.0,$0.28B,$0.12B,2.36,$0.62B,$0.40B,1.56,$0.70B,$0.05B,7.48%,$0.70B,$-0.17B,-24.60%,$0.70B,$-0.17B,-24.60%,$0.70B,$0.07B,9.93%,$0.70B,$-0.24B,-34.10%,$0.70B,$-0.16B,-23.31%,$-0.16B,$0.40B,-43.00%,$-0.16B,$0.33B,-54.05%,$-0.16B,$1.32B,-11.76%,$-0.17B,$1.02B,-15.21%,$173,$171,$2,$0,$27,$198,$-25,$-13,$-38,$0,$-38,$-38,$-32,$7,$-25,$87,87,$-0.26,$-0.26,$37,$107,$0,$276,$945,$0,$74,$20,$1040,$1316,$117,$624,$90,$798,$915,$1,$-117,$-51,$400,$1316,$-239,$240,$45,$285,$64,$1,$0,$-1,$10,$56,$-18,$0,$0,$0,$0,$0,$3,$-14,$-231,$0,$-231,$168,$235,$-29,$-8,$-33,$7,$14,$-29
8,2016-09-30,6.11,$3.98,1.54,$9.46,0.65,$1.86,3.29,$-3.43,0.0,$0.30B,$0.12B,2.59,$0.74B,$0.36B,2.07,$0.78B,$0.05B,6.79%,$0.78B,$-0.36B,-46.67%,$0.78B,$-0.36B,-46.67%,$0.78B,$0.06B,7.69%,$0.78B,$-0.43B,-55.38%,$0.78B,$-0.28B,-35.38%,$-0.28B,$0.36B,-68.11%,$-0.28B,$0.28B,-92.93%,$-0.28B,$1.37B,-18.93%,$-0.36B,$1.10B,-30.08%,$177,$148,$29,$0,$29,$176,$0,$-23,$-23,$1,$-24,$-24,$-15,$32,$0,$92,92,$-0.16,$-0.16,$29,$128,$1,$297,$977,$0,$76,$21,$1075,$1372,$115,$738,$77,$900,$1015,$1,$-86,$-47,$357,$1372,$-201,$208,$37,$245,$60,$-19,$0,$-1,$-16,$27,$-12,$0,$0,$0,$0,$0,$3,$-9,$-118,$0,$-118,$60,$127,$-22,$-6,$-18,$-1,$12,$-22
9,2016-06-30,6.37,$4.20,1.52,$11.36,0.56,$2.03,3.13,$-3.15,0.0,$0.29B,$0.13B,2.19,$0.79B,$0.39B,2.03,$0.91B,$0.10B,10.46%,$0.91B,$-0.33B,-36.78%,$0.91B,$-0.33B,-36.78%,$0.91B,$0.10B,10.79%,$0.91B,$-0.39B,-43.39%,$0.91B,$-0.25B,-27.64%,$-0.25B,$0.39B,-49.78%,$-0.25B,$0.31B,-78.93%,$-0.25B,$1.39B,-15.69%,$-0.33B,$1.18B,-25.08%,$176,$159,$16,$0,$27,$187,$-11,$-17,$-27,$2,$-29,$-29,$-27,$24,$-11,$82,82,$-0.32,$-0.32,$31,$124,$1,$288,$1000,$0,$78,$21,$1099,$1386,$131,$788,$70,$867,$999,$1,$-71,$-45,$388,$1386,$-177,$175,$24,$200,$70,$-14,$0,$-2,$12,$35,$-7,$0,$0,$0,$0,$0,$0,$-7,$-69,$0,$-69,$60,$60,$-14,$-4,$-27,$1,$9,$-14
