,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,15.91,$11.33,1.4,$22.61,0.7,$0.79,20.03,$1.36,11.7,$1.23B,$0.70B,1.77,$1.52B,$1.18B,1.29,$2.88B,$0.47B,16.24%,$2.88B,$0.19B,6.54%,$2.88B,$0.19B,6.54%,$2.88B,$0.41B,14.36%,$2.88B,$0.12B,4.21%,$2.88B,$0.17B,5.91%,$0.17B,$1.18B,15.52%,$0.17B,$0.01B,61.65%,$0.17B,$3.49B,5.42%,$0.19B,$2.69B,7.99%,$756,$626,$130,$0,$58,$701,$55,$-20,$35,$8,$27,$27,$27,$118,$55,$104,136,$0.26,$0.22,$208,$122,$297,$1233,$1059,$0,$1161,$36,$2256,$3489,$695,$1518,$101,$1619,$2314,$0,$343,$2,$1175,$3489,$121,$176,$-50,$126,$-45,$5,$-26,$-18,$-126,$121,$-116,$0,$-596,$0,$0,$0,$0,$-713,$400,$0,$400,$0,$0,$0,$-9,$391,$-201,$15,$0
1,2018-06-30,17.63,$11.01,1.6,$22.14,0.8,$1.43,12.36,$1.33,13.26,$1.20B,$0.69B,1.75,$1.56B,$1.14B,1.36,$2.79B,$0.43B,15.57%,$2.79B,$0.18B,6.35%,$2.79B,$0.18B,6.35%,$2.79B,$0.39B,13.81%,$2.79B,$0.11B,3.91%,$2.79B,$0.16B,5.88%,$0.16B,$1.14B,15.77%,$0.16B,$-0.03B,42.05%,$0.16B,$3.48B,5.60%,$0.18B,$2.70B,8.19%,$717,$601,$116,$0,$65,$685,$32,$-14,$17,$-67,$84,$84,$84,$95,$32,$104,135,$0.81,$0.65,$204,$121,$301,$1203,$1073,$0,$1173,$30,$2276,$3479,$689,$1555,$93,$1648,$2338,$0,$316,$1,$1141,$3479,$94,$112,$-55,$57,$-17,$6,$-34,$-16,$-109,$41,$-81,$0,$-596,$0,$0,$0,$0,$-677,$441,$0,$441,$0,$0,$0,$-9,$432,$-205,$9,$0
2,2018-03-31,15.29,$10.19,1.5,$21.53,0.71,$2.02,7.57,$0.86,17.78,$1.25B,$0.68B,1.84,$0.98B,$1.05B,0.93,$2.70B,$0.41B,15.35%,$2.70B,$0.19B,7.04%,$2.70B,$0.19B,7.04%,$2.70B,$0.38B,14.09%,$2.70B,$0.12B,4.38%,$2.70B,$0.10B,3.74%,$0.10B,$1.05B,10.28%,$0.10B,$0.59B,20.05%,$0.10B,$2.79B,3.74%,$0.19B,$2.03B,9.84%,$664,$575,$89,$0,$53,$634,$30,$-15,$15,$5,$10,$10,$10,$79,$30,$103,108,$0.10,$0.09,$353,$82,$275,$1248,$1040,$0,$470,$29,$1539,$2786,$678,$977,$77,$1054,$1732,$0,$232,$4,$1054,$2786,$10,$49,$4,$52,$-13,$-11,$9,$-13,$-76,$-14,$-42,$0,$0,$0,$0,$0,$0,$-42,$-1,$0,$-1,$0,$0,$0,$0,$-1,$-57,$4,$0
3,2017-12-31,15.67,$9.93,1.58,$20.13,0.78,$2.74,5.71,$1.10,14.25,$1.22B,$0.72B,1.7,$0.98B,$1.01B,0.97,$2.66B,$0.43B,16.18%,$2.66B,$0.21B,8.01%,$2.66B,$0.21B,8.01%,$2.66B,$0.40B,14.97%,$2.66B,$0.14B,5.27%,$2.66B,$0.12B,4.67%,$0.12B,$1.01B,13.23%,$0.12B,$0.54B,27.42%,$0.12B,$2.78B,4.70%,$0.21B,$1.99B,11.48%,$739,$607,$132,$0,$54,$668,$71,$-17,$54,$4,$49,$49,$49,$121,$71,$102,132,$0.48,$0.39,$409,$295,$0,$1221,$1057,$0,$476,$28,$1561,$2782,$720,$975,$75,$1050,$1771,$0,$193,$3,$1011,$2782,$125,$185,$10,$195,$-51,$-25,$55,$-2,$3,$333,$-124,$0,$0,$0,$0,$0,$0,$-124,$-39,$0,$-39,$0,$0,$0,$-20,$-59,$153,$18,$0
4,2017-09-30,15.37,$9.36,1.64,$21.51,0.71,$3.30,4.65,$0.68,22.6,$1.11B,$0.67B,1.65,$0.97B,$0.95B,1.02,$2.63B,$0.43B,16.41%,$2.63B,$0.21B,8.07%,$2.63B,$0.21B,8.07%,$2.63B,$0.39B,15.00%,$2.63B,$0.10B,3.88%,$2.63B,$0.07B,2.78%,$0.07B,$0.95B,8.19%,$0.07B,$0.47B,18.22%,$0.07B,$2.67B,2.84%,$0.21B,$1.93B,11.82%,$667,$570,$97,$0,$47,$623,$44,$-21,$23,$1,$22,$22,$21,$90,$44,$102,132,$0.21,$0.19,$302,$295,$0,$1111,$1053,$0,$481,$29,$1563,$2674,$673,$974,$74,$1049,$1721,$0,$150,$-10,$953,$2674,$75,$135,$9,$145,$-42,$-26,$38,$-7,$-47,$180,$-92,$0,$0,$0,$0,$0,$0,$-92,$-38,$0,$-38,$0,$0,$0,$-7,$-45,$46,$13,$0
5,2017-06-30,17.36,$8.94,1.94,$21.47,0.81,$3.73,4.66,$0.72,24.11,$1.03B,$0.72B,1.42,$0.86B,$0.91B,0.95,$2.60B,$0.44B,17.07%,$2.60B,$0.22B,8.38%,$2.60B,$0.22B,8.38%,$2.60B,$0.40B,15.46%,$2.60B,$0.11B,4.38%,$2.60B,$0.08B,3.00%,$0.08B,$0.91B,9.00%,$0.08B,$0.42B,21.10%,$0.08B,$2.57B,3.06%,$0.22B,$1.77B,12.40%,$627,$531,$96,$0,$45,$582,$45,$-19,$26,$6,$21,$21,$21,$90,$45,$102,133,$0.20,$0.18,$247,$282,$0,$1025,$1034,$0,$487,$25,$1547,$2572,$723,$864,$75,$939,$1661,$0,$128,$-25,$911,$2572,$54,$89,$9,$98,$-20,$-13,$11,$-4,$-47,$109,$-69,$0,$0,$0,$0,$0,$0,$-69,$-50,$0,$-50,$0,$0,$0,$0,$-50,$-9,$9,$0
6,2017-03-31,16.13,$8.58,1.88,$21.51,0.75,$3.92,4.11,$0.71,22.72,$1.03B,$0.72B,1.42,$0.86B,$0.87B,0.99,$2.58B,$0.45B,17.31%,$2.58B,$0.21B,8.07%,$2.58B,$0.21B,8.07%,$2.58B,$0.40B,15.49%,$2.58B,$0.11B,4.11%,$2.58B,$0.08B,2.95%,$0.08B,$0.87B,8.98%,$0.08B,$0.38B,22.13%,$0.08B,$2.53B,2.99%,$0.21B,$1.73B,11.74%,$625,$520,$105,$0,$47,$573,$53,$-15,$37,$4,$33,$33,$33,$97,$53,$101,131,$0.33,$0.28,$283,$275,$0,$1027,$976,$0,$493,$33,$1503,$2530,$722,$861,$75,$936,$1658,$0,$108,$-38,$873,$2530,$33,$45,$4,$48,$13,$-6,$-9,$-4,$-32,$50,$-23,$0,$0,$0,$0,$0,$0,$-23,$0,$0,$0,$0,$0,$0,$0,$0,$27,$4,$0
7,2016-12-31,13.63,$8.26,1.65,$22.59,0.6,$3.70,3.68,$0.31,43.97,$1.01B,$0.69B,1.47,$0.91B,$0.83B,1.1,$2.53B,$0.43B,16.77%,$2.53B,$0.17B,6.87%,$2.53B,$0.17B,6.87%,$2.53B,$0.37B,14.72%,$2.53B,$0.07B,2.64%,$2.53B,$0.04B,1.42%,$0.04B,$0.83B,4.32%,$0.04B,$0.33B,10.90%,$0.04B,$2.50B,1.42%,$0.17B,$1.74B,9.68%,$707,$574,$133,$0,$56,$637,$70,$-54,$16,$17,$-2,$-2,$-2,$117,$70,$100,101,$-0.03,$0.01,$256,$269,$0,$1013,$967,$0,$499,$21,$1487,$2500,$689,$909,$73,$982,$1671,$0,$75,$-44,$829,$2500,$36,$200,$63,$263,$23,$-0,$-8,$4,$5,$298,$-81,$0,$0,$0,$0,$0,$4,$-78,$-218,$0,$-218,$2,$2,$0,$-1,$-217,$-3,$11,$0
8,2016-09-30,11.45,$8.51,1.35,$22.84,0.5,$3.28,3.49,$0.42,27.26,$1.06B,$0.75B,1.41,$0.94B,$0.85B,1.1,$2.50B,$0.40B,16.03%,$2.50B,$0.14B,5.65%,$2.50B,$0.14B,5.65%,$2.50B,$0.34B,13.74%,$2.50B,$0.07B,2.84%,$2.50B,$0.05B,1.92%,$0.05B,$0.85B,5.77%,$0.05B,$0.35B,14.55%,$0.05B,$2.61B,1.87%,$0.14B,$1.79B,7.73%,$642,$532,$110,$0,$51,$591,$50,$-15,$35,$10,$26,$26,$26,$98,$50,$100,128,$0.26,$0.23,$292,$281,$0,$1056,$1026,$0,$506,$19,$1551,$2607,$747,$935,$72,$1007,$1754,$0,$82,$-17,$853,$2607,$37,$152,$9,$160,$6,$-12,$13,$3,$4,$201,$-61,$0,$0,$0,$0,$0,$4,$-57,$-106,$0,$-106,$0,$0,$0,$0,$-106,$33,$8,$0
9,2016-06-30,7.53,$8.28,0.91,$24.39,0.31,$2.61,2.88,$0.17,44.29,$0.94B,$0.62B,1.51,$1.00B,$0.83B,1.2,$2.51B,$0.38B,15.12%,$2.51B,$0.12B,4.59%,$2.51B,$0.12B,4.59%,$2.51B,$0.32B,12.77%,$2.51B,$0.04B,1.72%,$2.51B,$0.02B,0.80%,$0.02B,$0.83B,2.42%,$0.02B,$0.32B,6.26%,$0.02B,$2.52B,0.77%,$0.12B,$1.83B,6.18%,$602,$504,$98,$0,$53,$567,$35,$-17,$18,$-1,$19,$19,$19,$87,$35,$100,127,$0.19,$0.17,$216,$271,$0,$942,$1047,$0,$512,$21,$1580,$2522,$622,$997,$72,$1070,$1692,$0,$57,$-12,$830,$2522,$12,$104,$5,$109,$31,$-2,$-22,$4,$-22,$98,$-35,$0,$0,$0,$0,$0,$4,$-32,$-106,$0,$-106,$0,$0,$0,$0,$-106,$-43,$5,$0
