,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,33.45,$-4.83,-6.93,$42.56,0.79,$1.20,27.78,$-3.66,0.0,$0.63B,$0.78B,0.8,$0.60B,$-0.24B,-2.57,$2.15B,$1.44B,66.65%,$2.15B,$0.32B,14.86%,$2.15B,$0.32B,14.86%,$2.15B,$0.32B,14.86%,$2.15B,$0.28B,13.05%,$2.15B,$-0.19B,-8.73%,$-0.19B,$-0.24B,117.87%,$-0.19B,$-0.37B,63.09%,$-0.19B,$1.37B,-13.58%,$0.32B,$0.37B,71.87%,$486,$164,$322,$0,$253,$419,$67,$-10,$57,$18,$39,$39,$39,$67,$67,$49,49,$0.79,$0.79,$118,$280,$0,$629,$274,$0,$133,$43,$736,$1365,$783,$604,$213,$817,$1599,$1,$1079,$-590,$-235,$1365,$0,$0,$0,$0,$0,$0,$0,$0,$0,$14,$-19,$0,$0,$0,$0,$0,$0,$-19,$-2,$201,$199,$-101,$-101,$-104,$0,$-6,$-25,$0,$-104
1,2018-06-30,41.24,$-3.51,-11.75,$43.24,0.95,$2.11,19.56,$-3.84,0.0,$0.63B,$0.70B,0.91,$0.60B,$-0.18B,-3.44,$2.21B,$1.47B,66.61%,$2.21B,$0.32B,14.54%,$2.21B,$0.32B,14.54%,$2.21B,$0.32B,14.54%,$2.21B,$0.28B,12.69%,$2.21B,$-0.20B,-8.88%,$-0.20B,$-0.18B,472.29%,$-0.20B,$-0.31B,106.67%,$-0.20B,$1.34B,-13.33%,$0.32B,$0.43B,56.97%,$535,$174,$362,$0,$273,$436,$99,$-11,$89,$25,$64,$64,$64,$99,$99,$51,51,$1.26,$1.26,$98,$282,$0,$631,$272,$0,$134,$47,$707,$1338,$695,$604,$214,$818,$1514,$1,$1074,$-572,$-176,$1338,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-39,$-5,$0,$0,$0,$0,$0,$0,$-5,$-1,$128,$126,$-51,$-51,$-70,$0,$5,$-45,$0,$-70
2,2018-03-31,47.64,$-2.12,-22.47,$43.96,1.08,$2.72,17.54,$-5.44,0.0,$0.70B,$0.73B,0.96,$0.61B,$-0.11B,-5.58,$2.25B,$1.50B,66.73%,$2.25B,$0.22B,9.84%,$2.25B,$0.22B,9.84%,$2.25B,$0.22B,9.84%,$2.25B,$0.18B,7.93%,$2.25B,$-0.28B,-12.38%,$-0.28B,$-0.11B,-455.74%,$-0.28B,$-0.25B,326.10%,$-0.28B,$1.45B,-17.93%,$0.22B,$0.50B,33.18%,$543,$179,$364,$0,$289,$474,$69,$-11,$58,$23,$36,$36,$36,$69,$69,$51,51,$0.70,$0.70,$158,$287,$0,$702,$284,$0,$145,$49,$743,$1445,$730,$605,$219,$824,$1553,$1,$1045,$-522,$-108,$1445,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-41,$-9,$0,$0,$0,$0,$0,$0,$-9,$-1,$97,$97,$-1,$-1,$-35,$0,$61,$15,$0,$-35
3,2017-12-31,60.88,$-2.34,-26.03,$44.26,1.38,$3.03,20.08,$-5.21,0.0,$0.63B,$0.66B,0.96,$0.61B,$-0.12B,-5.07,$2.26B,$1.51B,66.95%,$2.26B,$0.23B,10.15%,$2.26B,$0.23B,10.15%,$2.26B,$0.23B,10.15%,$2.26B,$0.18B,8.15%,$2.26B,$-0.27B,-11.83%,$-0.27B,$-0.12B,-172.26%,$-0.27B,$-0.26B,3337.50%,$-0.27B,$1.39B,-16.59%,$0.23B,$0.49B,30.12%,$589,$202,$387,$0,$282,$504,$85,$-8,$77,$404,$-327,$-327,$-327,$85,$85,$51,51,$-6.43,$-6.41,$144,$262,$0,$631,$278,$0,$141,$41,$758,$1388,$659,$605,$244,$849,$1507,$1,$1043,$-529,$-119,$1388,$-265,$61,$416,$477,$-34,$-19,$0,$-0,$6,$217,$-58,$0,$0,$0,$0,$0,$0,$-58,$-2,$16,$14,$9,$9,$-140,$0,$-117,$51,$23,$-140
4,2017-09-30,59.38,$4.65,12.78,$44.52,1.33,$4.09,14.51,$2.75,21.59,$0.62B,$0.64B,0.98,$0.61B,$0.24B,2.56,$2.27B,$1.53B,67.34%,$2.27B,$0.25B,10.97%,$2.27B,$0.25B,10.97%,$2.27B,$0.26B,11.55%,$2.27B,$0.20B,8.86%,$2.27B,$0.14B,6.13%,$0.14B,$0.24B,58.40%,$0.14B,$0.09B,229.75%,$0.14B,$1.71B,8.38%,$0.25B,$0.84B,29.52%,$540,$183,$357,$0,$284,$471,$68,$-12,$56,$25,$31,$31,$31,$68,$68,$51,51,$0.62,$0.61,$119,$291,$0,$624,$276,$0,$147,$34,$1085,$1709,$635,$605,$232,$837,$1472,$1,$1408,$-527,$237,$1709,$0,$0,$0,$0,$0,$0,$0,$0,$0,$82,$-41,$0,$0,$0,$0,$0,$0,$-41,$-2,$76,$75,$9,$9,$-104,$0,$-20,$27,$0,$-104
5,2017-06-30,66.69,$4.59,14.52,$44.28,1.51,$4.98,13.38,$3.10,21.51,$0.61B,$0.60B,1.02,$0.61B,$0.23B,2.59,$2.25B,$1.52B,67.70%,$2.25B,$0.27B,12.08%,$2.25B,$0.27B,12.08%,$2.25B,$0.30B,13.28%,$2.25B,$0.22B,9.95%,$2.25B,$0.16B,6.97%,$0.16B,$0.23B,69.39%,$0.16B,$0.08B,483.08%,$0.16B,$1.66B,9.54%,$0.27B,$0.84B,32.68%,$573,$183,$390,$0,$299,$574,$-1,$-12,$-13,$5,$-18,$-18,$-18,$-1,$-1,$51,51,$-0.35,$-0.35,$85,$288,$0,$610,$268,$0,$150,$33,$1051,$1661,$596,$605,$226,$831,$1427,$1,$1412,$-529,$234,$1661,$0,$0,$0,$0,$0,$0,$0,$0,$0,$14,$-27,$0,$0,$0,$0,$0,$0,$-27,$-1,$60,$59,$9,$9,$-69,$0,$-1,$-8,$0,$-69
6,2017-03-31,58.99,$5.28,11.18,$44.14,1.34,$5.40,10.92,$4.47,13.2,$0.60B,$0.59B,1.03,$0.61B,$0.27B,2.26,$2.24B,$1.52B,67.54%,$2.24B,$0.36B,15.83%,$2.24B,$0.36B,15.83%,$2.24B,$0.40B,17.70%,$2.24B,$0.31B,13.69%,$2.24B,$0.23B,10.12%,$0.23B,$0.27B,106.95%,$0.23B,$0.06B,22700.00%,$0.23B,$1.68B,13.86%,$0.36B,$0.87B,43.35%,$555,$178,$377,$0,$298,$478,$77,$-13,$64,$17,$47,$47,$47,$77,$77,$51,51,$0.94,$0.93,$98,$268,$0,$603,$269,$0,$211,$33,$1075,$1678,$585,$606,$219,$825,$1410,$1,$1467,$-535,$268,$1678,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-18,$-16,$0,$0,$0,$0,$0,$0,$-16,$-0,$68,$67,$2,$2,$-35,$0,$34,$5,$0,$-35
7,2016-12-31,48.95,$4.20,11.65,$43.65,1.12,$5.74,8.53,$4.40,11.12,$0.55B,$0.55B,1.0,$0.61B,$0.21B,2.85,$2.21B,$1.50B,67.66%,$2.21B,$0.35B,15.72%,$2.21B,$0.35B,15.72%,$2.21B,$0.41B,18.29%,$2.21B,$0.30B,13.60%,$2.21B,$0.22B,10.07%,$0.22B,$0.21B,118.77%,$0.22B,$0.01B,-810.91%,$0.22B,$1.59B,13.66%,$0.35B,$0.82B,43.77%,$601,$197,$404,$0,$300,$496,$105,$-11,$94,$15,$79,$79,$79,$118,$105,$51,51,$1.56,$1.56,$93,$240,$0,$545,$260,$0,$200,$30,$1043,$1588,$548,$606,$221,$827,$1375,$1,$1455,$-572,$213,$1588,$224,$58,$-17,$41,$1,$-3,$0,$4,$-26,$239,$-26,$0,$0,$0,$0,$0,$0,$-26,$-2,$-52,$-54,$-1,$-1,$-139,$1,$-193,$13,$20,$-139
8,2016-09-30,60.04,$3.75,16.0,$43.55,1.38,$5.16,11.63,$4.00,15.01,$0.61B,$0.63B,0.96,$0.61B,$0.19B,3.2,$2.21B,$1.50B,67.80%,$2.21B,$0.34B,15.24%,$2.21B,$0.34B,15.24%,$2.21B,$0.40B,17.96%,$2.21B,$0.29B,13.11%,$2.21B,$0.20B,9.16%,$0.20B,$0.19B,115.59%,$0.20B,$-0.02B,-423.04%,$0.20B,$1.66B,12.35%,$0.34B,$0.80B,42.94%,$522,$168,$353,$0,$284,$431,$91,$-12,$79,$31,$49,$49,$49,$105,$91,$51,51,$0.97,$0.96,$99,$275,$0,$606,$256,$0,$213,$30,$1049,$1655,$633,$607,$226,$833,$1466,$1,$1412,$-544,$190,$1655,$145,$44,$-11,$33,$-7,$-23,$0,$-15,$-85,$92,$-6,$0,$0,$0,$0,$0,$0,$-6,$-2,$33,$31,$-1,$-1,$-104,$0,$-73,$19,$13,$-104
9,2016-06-30,51.14,$3.52,14.51,$43.63,1.17,$4.41,11.59,$3.76,13.6,$0.59B,$0.62B,0.94,$0.61B,$0.18B,3.41,$2.20B,$1.49B,67.65%,$2.20B,$0.31B,13.93%,$2.20B,$0.31B,13.93%,$2.20B,$0.37B,16.70%,$2.20B,$0.26B,11.84%,$2.20B,$0.19B,8.58%,$0.19B,$0.18B,119.24%,$0.19B,$-0.04B,-270.97%,$0.19B,$1.63B,11.54%,$0.31B,$0.79B,40.04%,$565,$184,$381,$0,$298,$483,$82,$-11,$70,$18,$52,$52,$52,$97,$82,$51,51,$1.04,$1.03,$79,$270,$0,$585,$256,$0,$220,$30,$1045,$1631,$621,$607,$225,$832,$1453,$1,$1397,$-538,$178,$1631,$96,$31,$18,$48,$-19,$-14,$0,$1,$-113,$32,$-23,$0,$0,$0,$0,$0,$0,$-23,$-1,$58,$57,$-0,$-0,$-69,$0,$-13,$-1,$8,$-69
10,2016-03-31,52.04,$3.36,15.5,$44.18,1.18,$4.45,11.7,$3.96,13.14,$0.62B,$0.68B,0.92,$0.61B,$0.17B,3.59,$2.23B,$1.51B,67.77%,$2.23B,$0.32B,14.54%,$2.23B,$0.32B,14.54%,$2.23B,$0.39B,17.32%,$2.23B,$0.28B,12.43%,$2.23B,$0.20B,8.93%,$0.20B,$0.17B,125.55%,$0.20B,$-0.06B,-254.31%,$0.20B,$1.66B,12.04%,$0.32B,$0.78B,42.24%,$526,$166,$360,$0,$289,$456,$70,$-12,$58,$15,$43,$43,$43,$85,$70,$50,51,$0.86,$0.86,$99,$274,$0,$623,$253,$0,$227,$29,$1034,$1657,$677,$608,$203,$811,$1488,$1,$1381,$-524,$170,$1657,$43,$15,$13,$28,$-20,$-17,$0,$-1,$-79,$-8,$-9,$0,$0,$0,$0,$0,$0,$-9,$-0,$67,$66,$-1,$-1,$-35,$0,$31,$19,$4,$-35
11,2015-12-31,49.35,$3.19,15.46,$45.36,1.09,$4.31,11.46,$3.69,13.37,$0.55B,$0.61B,0.9,$0.61B,$0.16B,3.78,$2.28B,$1.54B,67.43%,$2.28B,$0.32B,13.79%,$2.28B,$0.32B,13.79%,$2.28B,$0.38B,16.55%,$2.28B,$0.26B,11.38%,$2.28B,$0.19B,8.14%,$0.19B,$0.16B,118.28%,$0.19B,$-0.07B,-211.36%,$0.19B,$1.60B,11.12%,$0.32B,$0.77B,41.11%,$592,$191,$401,$0,$306,$499,$93,$-12,$82,$24,$58,$58,$58,$109,$93,$50,50,$1.17,$1.15,$80,$255,$0,$551,$254,$0,$229,$27,$1048,$1598,$614,$608,$215,$823,$1437,$1,$1371,$-522,$161,$1598,$186,$63,$4,$67,$-11,$-8,$0,$-17,$-27,$226,$-43,$0,$0,$0,$0,$0,$0,$-43,$-3,$-36,$-39,$15,$15,$-138,$5,$-157,$3,$20,$-138
12,2015-09-30,43.37,$2.49,17.39,$46.94,0.92,$5.03,8.62,$4.17,10.4,$0.73B,$0.71B,1.03,$0.61B,$0.13B,4.88,$2.37B,$1.59B,67.07%,$2.37B,$0.34B,14.38%,$2.37B,$0.34B,14.38%,$2.37B,$0.40B,17.03%,$2.37B,$0.29B,12.14%,$2.37B,$0.21B,8.85%,$0.21B,$0.13B,128.44%,$0.21B,$-0.11B,-227.64%,$0.21B,$1.66B,12.24%,$0.34B,$0.73B,44.09%,$521,$173,$349,$0,$289,$459,$62,$-11,$51,$14,$36,$36,$36,$77,$62,$50,50,$0.72,$0.72,$93,$286,$0,$728,$255,$0,$236,$28,$935,$1663,$709,$609,$221,$830,$1539,$1,$1364,$-515,$125,$1663,$128,$47,$15,$62,$-21,$-35,$0,$-28,$-117,$72,$-25,$0,$0,$0,$0,$0,$0,$-25,$-2,$82,$80,$7,$7,$-104,$2,$-15,$16,$12,$-104
13,2015-06-30,55.83,$3.56,15.69,$48.13,1.16,$5.06,11.04,$4.08,13.68,$0.73B,$0.69B,1.06,$0.61B,$0.18B,3.43,$2.44B,$1.62B,66.48%,$2.44B,$0.33B,13.69%,$2.44B,$0.33B,13.69%,$2.44B,$0.40B,16.31%,$2.44B,$0.29B,11.68%,$2.44B,$0.21B,8.44%,$0.21B,$0.18B,104.97%,$0.21B,$-0.08B,-277.44%,$0.21B,$1.69B,11.66%,$0.33B,$0.79B,41.34%,$589,$189,$400,$0,$310,$490,$99,$-13,$86,$24,$62,$62,$62,$115,$99,$50,50,$1.24,$1.23,$74,$299,$0,$725,$263,$0,$253,$28,$969,$1694,$687,$609,$221,$830,$1517,$1,$1368,$-453,$178,$1694,$92,$32,$20,$51,$-23,$-23,$0,$-11,$-119,$24,$-13,$0,$0,$0,$0,$0,$0,$-13,$-2,$62,$60,$4,$4,$-70,$0,$-5,$-3,$8,$-70
