,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,71.47,$22.82,3.13,$54.77,1.3,$4.14,17.26,$3.45,20.72,$7.84B,$3.42B,2.29,$3.86B,$5.54B,0.7,$14.24B,$2.43B,17.04%,$14.24B,$1.10B,7.71%,$14.24B,$1.10B,7.71%,$14.24B,$1.54B,10.78%,$14.24B,$1.33B,9.33%,$14.24B,$0.87B,6.11%,$0.87B,$5.54B,15.64%,$0.87B,$3.33B,26.57%,$0.87B,$14.67B,5.85%,$1.10B,$9.40B,11.63%,$3200,$2687,$513,$0,$307,$2975,$225,$403,$628,$65,$563,$563,$563,$331,$225,$246,249,$2.29,$2.26,$1293,$4030,$706,$7841,$2593,$0,$2209,$2026,$6828,$14669,$3423,$3857,$1846,$5703,$9126,$33,$6419,$-1297,$5543,$14669,$976,$322,$-420,$-98,$60,$-190,$-68,$-35,$-269,$696,$-233,$0,$804,$0,$0,$0,$163,$734,$-60,$0,$-60,$-1383,$-1383,$-15,$68,$-1390,$31,$0,$-15
1,2018-06-30,65.91,$21.54,3.06,$54.98,1.2,$2.53,26.09,$1.79,36.82,$7.71B,$3.40B,2.27,$3.88B,$5.36B,0.72,$14.52B,$2.51B,17.31%,$14.52B,$1.15B,7.88%,$14.52B,$1.15B,7.88%,$14.52B,$1.59B,10.95%,$14.52B,$0.90B,6.22%,$14.52B,$0.47B,3.21%,$0.47B,$5.36B,8.28%,$0.47B,$3.16B,14.09%,$0.47B,$14.56B,3.07%,$1.15B,$9.24B,12.02%,$3726,$3073,$653,$0,$370,$3424,$302,$-42,$260,$36,$224,$224,$224,$413,$302,$254,257,$0.88,$0.87,$731,$3925,$1170,$7710,$2608,$0,$2207,$2033,$6848,$14558,$3397,$3879,$1920,$5799,$9196,$33,$5861,$-1343,$5362,$14558,$413,$216,$11,$227,$-16,$-78,$-22,$-43,$-307,$397,$-159,$0,$0,$0,$0,$0,$153,$-6,$-34,$0,$-34,$-915,$-915,$-10,$43,$-916,$-531,$0,$-10
2,2018-03-31,58.95,$22.20,2.66,$53.88,1.09,$1.91,30.87,$1.49,39.57,$7.75B,$3.35B,2.31,$3.90B,$5.69B,0.69,$14.40B,$2.47B,17.14%,$14.40B,$1.11B,7.74%,$14.40B,$1.11B,7.74%,$14.40B,$1.56B,10.83%,$14.40B,$0.86B,5.96%,$14.40B,$0.40B,2.74%,$0.40B,$5.69B,6.92%,$0.40B,$3.32B,11.78%,$0.40B,$14.97B,2.55%,$1.11B,$9.59B,11.66%,$3296,$2729,$567,$0,$327,$3056,$240,$-22,$218,$29,$189,$189,$189,$345,$240,$260,264,$0.73,$0.72,$836,$4090,$933,$7750,$2711,$0,$2368,$2139,$7218,$14968,$3349,$3902,$2025,$5927,$9276,$33,$5642,$-1301,$5692,$14968,$189,$105,$2,$107,$78,$-128,$15,$-121,$-410,$-85,$-77,$0,$0,$0,$0,$0,$83,$6,$-19,$2,$-17,$-344,$-344,$-5,$8,$-358,$-426,$0,$-5
3,2017-12-31,56.55,$21.60,2.62,$52.72,1.07,$1.45,38.91,$1.14,49.61,$8.03B,$3.66B,2.19,$3.90B,$5.65B,0.69,$14.20B,$2.40B,16.92%,$14.20B,$1.07B,7.51%,$14.20B,$1.07B,7.51%,$14.20B,$1.51B,10.66%,$14.20B,$0.76B,5.37%,$14.20B,$0.31B,2.16%,$0.31B,$5.65B,5.40%,$0.31B,$3.28B,9.21%,$0.31B,$15.34B,1.96%,$1.07B,$9.55B,11.27%,$4017,$3323,$694,$0,$350,$3686,$331,$-108,$223,$329,$-106,$-106,$-106,$446,$331,$266,269,$-0.39,$-0.40,$1262,$4150,$435,$8029,$2721,$0,$2364,$2226,$7311,$15340,$3660,$3898,$2135,$6033,$9693,$33,$5368,$-1375,$5647,$15340,$307,$447,$365,$812,$-169,$412,$-156,$-304,$-252,$953,$-423,$0,$-331,$0,$0,$0,$92,$-662,$195,$0,$195,$-530,$-530,$-21,$-4,$-360,$-36,$0,$-21
4,2017-09-30,53.83,$22.09,2.44,$51.81,1.04,$1.56,34.52,$2.32,23.2,$8.39B,$4.04B,2.08,$3.92B,$5.82B,0.67,$14.01B,$2.41B,17.19%,$14.01B,$1.08B,7.70%,$14.01B,$1.08B,7.70%,$14.01B,$1.53B,10.92%,$14.01B,$0.83B,5.95%,$14.01B,$0.63B,4.48%,$0.63B,$5.82B,11.07%,$0.63B,$3.46B,18.55%,$0.63B,$15.88B,4.00%,$1.08B,$9.74B,11.61%,$3484,$2884,$600,$0,$335,$3212,$272,$-69,$203,$44,$159,$159,$159,$386,$272,$265,267,$0.60,$0.60,$1294,$4518,$408,$8388,$2701,$0,$2354,$2432,$7487,$15875,$4041,$3919,$2097,$6016,$10057,$34,$5943,$-1419,$5818,$15875,$413,$332,$140,$472,$-144,$88,$-178,$-293,$-611,$341,$-276,$0,$-330,$0,$0,$0,$95,$-511,$566,$0,$566,$-451,$-451,$-16,$38,$137,$-4,$0,$-16
5,2017-06-30,47.04,$21.43,2.19,$50.71,0.93,$0.72,65.6,$3.27,14.38,$8.22B,$4.01B,2.05,$3.64B,$5.68B,0.64,$13.77B,$2.40B,17.41%,$13.77B,$1.07B,7.80%,$13.77B,$1.07B,7.80%,$13.77B,$1.52B,11.02%,$13.77B,$0.74B,5.35%,$13.77B,$0.89B,6.45%,$0.89B,$5.68B,15.81%,$0.89B,$3.34B,26.18%,$0.89B,$15.78B,5.74%,$1.07B,$9.32B,11.67%,$3604,$2996,$608,$0,$343,$3333,$271,$-56,$215,$62,$153,$153,$153,$383,$271,$267,269,$0.57,$0.57,$1129,$4655,$357,$8217,$2669,$0,$2340,$2549,$7558,$15775,$4005,$3642,$2446,$6088,$10093,$34,$5789,$-1486,$5682,$15775,$254,$218,$18,$236,$-65,$-61,$-140,$-17,$-296,$244,$-161,$0,$-329,$0,$0,$0,$80,$-410,$301,$0,$301,$-329,$-329,$-11,$21,$-18,$-169,$0,$-11
6,2017-03-31,47.5,$20.85,2.28,$50.27,0.94,$-0.47,0.0,$3.35,14.18,$8.17B,$4.02B,2.03,$3.65B,$5.58B,0.65,$13.68B,$2.41B,17.63%,$13.68B,$1.11B,8.09%,$13.68B,$1.11B,8.09%,$13.68B,$1.55B,11.35%,$13.68B,$0.78B,5.72%,$13.68B,$0.91B,6.67%,$0.91B,$5.58B,16.61%,$0.91B,$3.25B,27.44%,$0.91B,$15.70B,5.96%,$1.11B,$9.24B,12.20%,$3093,$2592,$501,$0,$309,$2901,$192,$-71,$121,$21,$100,$100,$101,$298,$192,$270,273,$0.37,$0.37,$997,$4709,$361,$8165,$2637,$0,$2332,$2569,$7538,$15703,$4023,$3653,$2445,$6098,$10121,$34,$5641,$-1555,$5582,$15703,$101,$106,$-2,$104,$-78,$-122,$-102,$-22,$-444,$-216,$-76,$0,$-318,$0,$0,$0,$50,$-344,$324,$100,$424,$-186,$-186,$-6,$19,$251,$-301,$0,$-6
7,2016-12-31,48.45,$20.62,2.35,$50.66,0.96,$-0.27,0.0,$3.53,13.73,$8.15B,$3.89B,2.09,$3.32B,$5.57B,0.6,$13.79B,$2.48B,17.96%,$13.79B,$1.17B,8.51%,$13.79B,$1.17B,8.51%,$13.79B,$1.62B,11.76%,$13.79B,$0.88B,6.35%,$13.79B,$0.96B,6.98%,$0.96B,$5.57B,17.98%,$0.96B,$3.46B,29.75%,$0.96B,$15.36B,6.34%,$1.17B,$8.89B,13.13%,$3825,$3126,$699,$0,$355,$3481,$344,$-50,$294,$79,$215,$215,$214,$462,$344,$271,272,$0.78,$0.78,$1298,$4464,$388,$8149,$2581,$0,$2113,$2515,$7209,$15358,$3893,$3317,$2574,$5891,$9784,$34,$5546,$-1605,$5574,$15358,$962,$449,$-33,$416,$42,$-352,$215,$97,$-468,$1012,$-446,$0,$-186,$0,$0,$0,$109,$-523,$68,$0,$68,$-205,$-205,$-22,$-9,$-168,$293,$0,$-22
8,2016-09-30,39.65,$20.92,1.9,$50.69,0.78,$0.06,709.22,$3.57,11.11,$7.99B,$3.62B,2.21,$3.70B,$5.65B,0.65,$13.89B,$2.45B,17.64%,$13.89B,$1.17B,8.40%,$13.89B,$1.17B,8.40%,$13.89B,$1.63B,11.71%,$13.89B,$0.88B,6.31%,$13.89B,$0.97B,7.01%,$0.97B,$5.65B,18.74%,$0.97B,$3.53B,31.38%,$0.97B,$15.17B,6.49%,$1.17B,$9.35B,13.27%,$3251,$2661,$590,$0,$323,$2984,$267,$-160,$107,$-192,$299,$299,$421,$375,$267,$271,272,$1.56,$1.55,$739,$4791,$348,$7986,$2568,$0,$2121,$2492,$7181,$15167,$3620,$3696,$2200,$5896,$9516,$36,$6030,$-1315,$5651,$15167,$748,$331,$-56,$275,$-38,$-637,$146,$77,$-958,$143,$-306,$0,$-179,$0,$0,$0,$93,$-392,$87,$110,$197,$-215,$-215,$-16,$20,$-14,$-266,$0,$-16
9,2016-06-30,36.45,$19.25,1.89,$50.18,0.73,$1.12,32.57,$2.65,13.75,$7.84B,$3.70B,2.12,$3.63B,$5.19B,0.7,$13.82B,$2.46B,17.78%,$13.82B,$1.19B,8.63%,$13.82B,$1.19B,8.63%,$13.82B,$1.66B,11.99%,$13.82B,$1.02B,7.39%,$13.82B,$0.73B,5.28%,$0.73B,$5.19B,14.70%,$0.73B,$3.07B,25.24%,$0.73B,$15.03B,4.88%,$1.19B,$8.82B,14.08%,$3511,$2889,$622,$0,$318,$3207,$304,$-44,$260,$82,$178,$178,$177,$418,$304,$270,271,$0.66,$0.65,$743,$4595,$370,$7837,$2582,$0,$2118,$2497,$7197,$15034,$3698,$3634,$2516,$6150,$9848,$36,$5614,$-1333,$5186,$15034,$327,$223,$33,$256,$-32,$-454,$147,$42,$-662,$-31,$-207,$0,$-179,$0,$0,$0,$88,$-298,$272,$0,$272,$-215,$-215,$-11,$22,$68,$-262,$0,$-11
