,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,21.22,$4.47,4.74,$11.59,1.83,$-0.03,0.0,$-0.31,0.0,$2.59B,$1.30B,1.99,$0.70B,$2.01B,0.35,$5.16B,$2.30B,44.50%,$5.16B,$-0.05B,-1.01%,$5.16B,$-0.05B,-1.01%,$5.16B,$0.13B,2.50%,$5.16B,$-0.10B,-1.90%,$5.16B,$-0.14B,-2.69%,$-0.14B,$2.01B,-6.98%,$-0.14B,$1.41B,-10.00%,$-0.14B,$4.23B,-3.32%,$-0.05B,$2.71B,-1.90%,$1443,$778,$665,$0,$528,$1324,$119,$-13,$106,$31,$75,$75,$75,$163,$119,$447,451,$0.17,$0.17,$169,$1173,$0,$2587,$821,$0,$595,$138,$1640,$4227,$1300,$703,$218,$922,$2221,$0,$1135,$-44,$2006,$4227,$-51,$135,$-194,$-59,$-24,$-30,$-37,$206,$228,$119,$-110,$0,$0,$0,$-39,$-39,$-5,$-154,$-115,$0,$-115,$11,$11,$0,$-2,$-107,$-142,$32,$0
1,2018-06-30,22.48,$4.32,5.2,$11.54,1.95,$-0.61,0.0,$-0.36,0.0,$2.56B,$1.34B,1.91,$0.75B,$1.92B,0.39,$5.13B,$2.28B,44.48%,$5.13B,$-0.11B,-2.13%,$5.13B,$-0.11B,-2.13%,$5.13B,$0.07B,1.42%,$5.13B,$-0.15B,-2.97%,$5.13B,$-0.16B,-3.12%,$-0.16B,$1.92B,-7.94%,$-0.16B,$1.33B,-11.34%,$-0.16B,$4.24B,-3.85%,$-0.11B,$2.68B,-3.93%,$1175,$648,$527,$0,$553,$1280,$-105,$-17,$-121,$-26,$-95,$-96,$-96,$-60,$-105,$445,445,$-0.21,$-0.21,$197,$1299,$0,$2562,$835,$0,$597,$135,$1680,$4241,$1338,$752,$226,$979,$2317,$0,$1060,$-38,$1924,$4241,$-126,$91,$-228,$-137,$117,$-158,$160,$254,$408,$146,$-84,$0,$0,$0,$-39,$-39,$-3,$-126,$-139,$0,$-139,$9,$9,$0,$-2,$-131,$-114,$21,$0
2,2018-03-31,16.35,$4.54,3.6,$11.37,1.44,$-1.26,0.0,$-0.18,0.0,$2.59B,$1.32B,1.97,$0.76B,$2.02B,0.38,$5.04B,$2.25B,44.70%,$5.04B,$-0.01B,-0.18%,$5.04B,$-0.01B,-0.18%,$5.04B,$0.17B,3.39%,$5.04B,$-0.05B,-0.93%,$5.04B,$-0.08B,-1.51%,$-0.08B,$2.02B,-3.72%,$-0.08B,$1.41B,-5.33%,$-0.08B,$4.26B,-1.87%,$-0.01B,$2.78B,-0.32%,$1185,$662,$523,$0,$515,$1214,$-29,$-6,$-34,$-4,$-30,$-30,$-30,$18,$-29,$443,443,$-0.07,$-0.07,$284,$1148,$0,$2592,$870,$0,$611,$98,$1672,$4264,$1317,$759,$171,$930,$2247,$0,$1156,$-21,$2018,$4264,$-30,$46,$-256,$-210,$54,$17,$-67,$266,$262,$22,$-56,$0,$0,$0,$0,$0,$0,$-56,$3,$0,$3,$2,$2,$0,$-2,$4,$-28,$8,$0
3,2017-12-31,14.43,$4.57,3.16,$11.25,1.28,$-1.47,0.0,$-0.12,0.0,$2.34B,$1.06B,2.21,$0.77B,$2.02B,0.38,$4.98B,$2.24B,44.99%,$4.98B,$0.03B,0.56%,$4.98B,$0.03B,0.56%,$4.98B,$0.20B,4.06%,$4.98B,$-0.01B,-0.22%,$4.98B,$-0.05B,-0.96%,$-0.05B,$2.02B,-2.35%,$-0.05B,$1.42B,-3.38%,$-0.05B,$4.01B,-1.23%,$0.03B,$2.78B,0.99%,$1357,$776,$581,$0,$582,$1394,$-37,$-12,$-49,$39,$-88,$-88,$-88,$8,$-37,$441,441,$-0.19,$-0.19,$312,$1159,$0,$2338,$886,$0,$603,$97,$1669,$4006,$1060,$765,$162,$927,$1988,$0,$1184,$-38,$2019,$4006,$-48,$174,$249,$423,$-79,$-222,$146,$-56,$-141,$234,$-281,$0,$0,$0,$0,$0,$-2,$-283,$98,$0,$98,$12,$12,$0,$-3,$107,$62,$40,$0
4,2017-09-30,16.48,$4.76,3.46,$11.10,1.48,$-1.41,0.0,$0.31,53.16,$2.46B,$1.10B,2.23,$0.77B,$2.10B,0.37,$4.93B,$2.24B,45.52%,$4.93B,$0.23B,4.65%,$4.93B,$0.23B,4.65%,$4.93B,$0.40B,8.06%,$4.93B,$0.19B,3.90%,$4.93B,$0.14B,2.90%,$0.14B,$2.10B,7.00%,$0.14B,$1.49B,10.10%,$0.14B,$4.13B,3.75%,$0.23B,$2.87B,8.11%,$1409,$760,$649,$0,$502,$1347,$62,$-11,$52,$-3,$54,$54,$54,$107,$62,$441,448,$0.12,$0.12,$258,$1181,$0,$2457,$868,$0,$608,$100,$1674,$4130,$1100,$771,$158,$929,$2030,$0,$1273,$-37,$2101,$4130,$40,$129,$147,$276,$-138,$-244,$86,$-36,$-342,$-26,$-226,$0,$0,$0,$0,$0,$-2,$-228,$250,$0,$250,$10,$10,$0,$-3,$257,$11,$34,$0
5,2017-06-30,21.76,$4.59,4.74,$11.26,1.93,$-1.65,0.0,$0.48,45.33,$2.17B,$0.94B,2.31,$0.78B,$2.02B,0.38,$4.99B,$2.29B,45.95%,$4.99B,$0.37B,7.34%,$4.99B,$0.37B,7.34%,$4.99B,$0.53B,10.57%,$4.99B,$0.33B,6.62%,$4.99B,$0.22B,4.35%,$0.22B,$2.02B,10.85%,$0.22B,$1.38B,15.92%,$0.22B,$3.89B,5.86%,$0.37B,$2.80B,13.13%,$1091,$590,$501,$0,$503,$1096,$-5,$-11,$-16,$-3,$-12,$-12,$-12,$38,$-5,$440,440,$-0.03,$-0.03,$166,$1169,$0,$2166,$875,$0,$640,$87,$1728,$3894,$937,$778,$156,$934,$1870,$0,$1218,$-47,$2024,$3894,$-15,$83,$2,$86,$34,$-227,$84,$-10,$-132,$-61,$-167,$0,$0,$0,$0,$0,$0,$-167,$137,$0,$137,$7,$7,$0,$-2,$141,$-83,$25,$0
6,2017-03-31,19.78,$4.59,4.31,$11.04,1.79,$-1.93,0.0,$0.39,50.72,$1.91B,$0.63B,3.04,$0.78B,$2.02B,0.39,$4.90B,$2.27B,46.33%,$4.90B,$0.39B,7.96%,$4.90B,$0.39B,7.96%,$4.90B,$0.54B,11.11%,$4.90B,$0.36B,7.29%,$4.90B,$0.18B,3.59%,$0.18B,$2.02B,9.09%,$0.18B,$1.39B,13.57%,$0.18B,$3.58B,4.91%,$0.39B,$2.80B,14.24%,$1120,$612,$508,$0,$500,$1112,$8,$-5,$2,$5,$-2,$-2,$-2,$49,$8,$439,439,$-0.01,$-0.01,$172,$902,$0,$1906,$831,$0,$633,$86,$1671,$3577,$628,$784,$146,$930,$1557,$0,$1232,$-48,$2020,$3577,$-2,$41,$-2,$39,$21,$19,$-91,$-7,$-69,$-33,$-92,$0,$0,$0,$0,$0,$0,$-92,$43,$0,$43,$3,$3,$0,$-2,$44,$-77,$12,$0
7,2016-12-31,29.05,$4.63,6.27,$10.86,2.68,$-2.17,0.0,$0.44,66.02,$1.97B,$0.69B,2.87,$0.79B,$2.03B,0.39,$4.83B,$2.24B,46.46%,$4.83B,$0.42B,8.64%,$4.83B,$0.42B,8.64%,$4.83B,$0.56B,11.65%,$4.83B,$0.39B,8.04%,$4.83B,$0.20B,4.08%,$0.20B,$2.03B,10.55%,$0.20B,$1.40B,16.15%,$0.20B,$3.64B,5.64%,$0.42B,$2.82B,15.65%,$1305,$722,$584,$0,$420,$1141,$164,$-10,$154,$51,$103,$103,$103,$203,$164,$436,445,$0.24,$0.24,$250,$917,$0,$1965,$804,$0,$628,$110,$1679,$3644,$686,$790,$137,$928,$1613,$0,$1259,$-52,$2031,$3644,$257,$145,$132,$277,$-250,$-148,$202,$-25,$-170,$364,$-387,$0,$0,$6,$0,$6,$-1,$-381,$157,$0,$157,$15,$15,$-3,$-23,$146,$121,$46,$-3
8,2016-09-30,38.68,$4.39,8.81,$10.57,3.66,$-2.77,0.0,$0.46,84.45,$2.03B,$0.86B,2.36,$0.80B,$1.92B,0.41,$4.69B,$2.22B,47.31%,$4.69B,$0.43B,9.19%,$4.69B,$0.43B,9.19%,$4.69B,$0.57B,12.04%,$4.69B,$0.41B,8.63%,$4.69B,$0.20B,4.26%,$0.20B,$1.92B,11.26%,$0.20B,$1.28B,17.84%,$0.20B,$3.69B,6.06%,$0.43B,$2.72B,17.02%,$1472,$773,$699,$0,$499,$1272,$199,$-9,$190,$62,$128,$128,$128,$237,$199,$438,446,$0.29,$0.29,$180,$971,$0,$2027,$751,$0,$645,$107,$1659,$3685,$857,$797,$108,$905,$1762,$0,$1157,$-50,$1923,$3685,$154,$105,$93,$198,$-342,$-186,$68,$-20,$-388,$-36,$-322,$0,$0,$6,$0,$6,$-1,$-316,$414,$0,$414,$13,$13,$-3,$-21,$402,$50,$43,$-3
9,2016-06-30,40.13,$4.05,9.91,$10.00,4.01,$-3.18,0.0,$0.40,100.2,$1.85B,$0.71B,2.61,$0.84B,$1.77B,0.47,$4.42B,$2.11B,47.65%,$4.42B,$0.40B,9.11%,$4.42B,$0.40B,9.11%,$4.42B,$0.53B,11.89%,$4.42B,$0.38B,8.57%,$4.42B,$0.17B,3.89%,$0.17B,$1.77B,10.25%,$0.17B,$1.12B,16.90%,$0.17B,$3.43B,5.49%,$0.40B,$2.61B,16.96%,$1001,$523,$478,$0,$458,$981,$19,$-9,$11,$4,$6,$6,$-53,$55,$19,$436,443,$-0.12,$-0.12,$121,$1087,$0,$1849,$713,$0,$651,$96,$1578,$3427,$709,$838,$108,$946,$1656,$0,$1029,$-45,$1771,$3427,$26,$68,$92,$160,$-75,$-297,$146,$4,$-283,$-98,$-254,$0,$0,$6,$0,$6,$-1,$-249,$355,$0,$355,$8,$8,$-3,$-21,$339,$-9,$29,$-3
