,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,89.06,$34.75,2.56,$141.99,0.63,$18.90,4.71,$8.05,11.06,$8.67B,$13.68B,0.63,$13.33B,$9.47B,1.41,$40.22B,$27.01B,67.16%,$40.22B,$3.24B,8.06%,$40.22B,$3.24B,8.06%,$40.22B,$3.24B,8.06%,$40.22B,$2.68B,6.67%,$40.22B,$2.23B,5.55%,$2.23B,$9.47B,25.39%,$2.23B,$1.56B,275.25%,$2.23B,$44.84B,5.08%,$3.24B,$22.80B,14.76%,$11003,$4117,$6886,$0,$2930,$9800,$1203,$-142,$1061,$225,$836,$836,$836,$1203,$1203,$272,274,$3.07,$3.06,$4935,$1011,$0,$8671,$27308,$848,$7905,$105,$36166,$44837,$13684,$13334,$1811,$21684,$35368,$3,$6203,$-1089,$9469,$44837,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5080,$-2562,$0,$0,$4,$-139,$-135,$94,$-2603,$-285,$0,$-285,$-1010,$-1010,$0,$-47,$-1342,$1135,$0,$0
1,2018-06-30,69.73,$31.64,2.2,$134.71,0.52,$9.01,7.74,$7.11,9.81,$8.88B,$14.09B,0.63,$13.50B,$8.64B,1.56,$39.11B,$26.82B,68.57%,$39.11B,$3.18B,8.13%,$39.11B,$3.18B,8.13%,$39.11B,$3.18B,8.13%,$39.11B,$2.61B,6.68%,$39.11B,$2.04B,5.22%,$2.04B,$8.64B,23.55%,$2.04B,$0.72B,317.82%,$2.04B,$44.69B,4.70%,$3.18B,$22.14B,14.72%,$10777,$3509,$7268,$0,$3271,$9616,$1161,$-304,$857,$173,$684,$684,$684,$1161,$1161,$275,276,$2.49,$2.48,$5071,$942,$0,$8881,$26946,$848,$7922,$94,$35810,$44691,$14092,$13499,$1859,$21960,$36052,$3,$5367,$-1102,$8639,$44691,$0,$0,$0,$0,$0,$0,$0,$0,$0,$4175,$-1714,$0,$0,$-1326,$1316,$-10,$7,$-1717,$-48,$0,$-48,$-969,$-969,$0,$-41,$-1058,$1400,$0,$0
2,2018-03-31,69.47,$29.83,2.33,$128.13,0.54,$1.16,59.72,$7.29,9.53,$8.29B,$14.18B,0.58,$13.19B,$8.34B,1.58,$38.34B,$26.87B,70.07%,$38.34B,$3.45B,9.01%,$38.34B,$3.45B,9.01%,$38.34B,$3.45B,9.01%,$38.34B,$3.03B,7.91%,$38.34B,$2.18B,5.68%,$2.18B,$8.34B,24.98%,$2.18B,$0.29B,336.27%,$2.18B,$44.02B,5.09%,$3.45B,$21.52B,16.31%,$9032,$3024,$6008,$0,$3068,$8756,$276,$-92,$184,$37,$147,$147,$147,$276,$276,$284,285,$0.52,$0.52,$4475,$924,$0,$8287,$26739,$853,$8044,$95,$35731,$44018,$14183,$13185,$1927,$21499,$35682,$3,$4684,$-1114,$8336,$44018,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1733,$-976,$0,$0,$-596,$840,$244,$2,$-730,$477,$0,$477,$-529,$-529,$0,$-32,$-84,$919,$0,$0
3,2017-12-31,67.4,$30.43,2.21,$123.21,0.55,$-1.94,0.0,$7.07,9.53,$7.13B,$12.76B,0.56,$12.70B,$8.73B,1.45,$37.74B,$26.74B,70.85%,$37.74B,$3.50B,9.27%,$37.74B,$3.50B,9.27%,$37.74B,$3.50B,9.27%,$37.74B,$3.00B,7.95%,$37.74B,$2.13B,5.65%,$2.13B,$8.73B,24.35%,$2.13B,$0.67B,326.09%,$2.13B,$42.35B,5.05%,$3.50B,$21.43B,16.73%,$9403,$2557,$6846,$0,$3427,$8800,$603,$-24,$579,$13,$566,$566,$566,$603,$603,$303,304,$1.90,$1.88,$3798,$924,$0,$7133,$26208,$852,$8062,$91,$35213,$42346,$12763,$12699,$1832,$20849,$33612,$3,$4549,$-1147,$8734,$42346,$2131,$2149,$115,$2264,$-183,$0,$66,$-865,$-982,$3413,$-3986,$0,$0,$-3241,$3177,$-64,$120,$-3930,$1740,$0,$1740,$-1842,$-1842,$0,$-93,$-195,$-712,$0,$0
4,2017-09-30,60.88,$30.28,2.01,$119.64,0.51,$7.05,8.63,$6.34,9.6,$7.88B,$13.09B,0.6,$12.30B,$8.97B,1.37,$37.39B,$26.69B,71.39%,$37.39B,$3.90B,10.43%,$37.39B,$3.90B,10.43%,$37.39B,$3.90B,10.43%,$37.39B,$3.30B,8.84%,$37.39B,$1.96B,5.25%,$1.96B,$8.97B,22.47%,$1.96B,$0.89B,320.85%,$1.96B,$42.57B,4.71%,$3.90B,$21.27B,19.12%,$9899,$3204,$6695,$0,$2785,$8761,$1138,$-145,$993,$348,$645,$645,$645,$1138,$1138,$300,301,$2.15,$2.15,$4328,$937,$0,$7877,$25629,$882,$8081,$96,$34688,$42565,$13087,$12302,$1941,$20508,$33595,$3,$4991,$-824,$8970,$42565,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2685,$-2892,$0,$0,$-204,$0,$-204,$142,$-2954,$1313,$0,$1313,$-1291,$-1291,$0,$-77,$-55,$-324,$0,$0
5,2017-06-30,75.25,$29.03,2.59,$117.65,0.64,$15.75,4.78,$7.23,10.41,$8.25B,$13.60B,0.61,$11.61B,$8.85B,1.31,$37.40B,$27.28B,72.95%,$37.40B,$4.39B,11.73%,$37.40B,$4.39B,11.73%,$37.40B,$4.39B,11.73%,$37.40B,$3.82B,10.22%,$37.40B,$2.28B,6.10%,$2.28B,$8.85B,26.53%,$2.28B,$0.74B,501.81%,$2.28B,$42.31B,5.56%,$4.39B,$20.47B,22.17%,$10008,$2690,$7318,$0,$3227,$8571,$1437,$-160,$1277,$456,$821,$821,$821,$1437,$1437,$307,308,$2.67,$2.67,$4649,$882,$0,$8248,$25017,$0,$8115,$800,$34059,$42307,$13596,$11612,$2110,$19857,$33453,$3,$4354,$-844,$8854,$42307,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2108,$-1775,$0,$0,$-1587,$1561,$-26,$123,$-1678,$555,$0,$555,$-712,$-712,$0,$-75,$-232,$198,$0,$0
6,2017-03-31,70.64,$27.16,2.6,$113.53,0.62,$21.05,3.36,$6.35,11.12,$7.72B,$12.66B,0.61,$12.01B,$8.45B,1.42,$36.79B,$26.92B,73.19%,$36.79B,$4.01B,10.90%,$36.79B,$4.01B,10.90%,$36.79B,$4.01B,10.90%,$36.79B,$3.48B,9.45%,$36.79B,$2.05B,5.57%,$2.05B,$8.45B,24.59%,$2.05B,$0.31B,1234.34%,$2.05B,$41.45B,5.05%,$4.01B,$20.46B,20.97%,$8426,$2550,$5876,$0,$2955,$8106,$320,$-170,$150,$51,$99,$99,$99,$320,$320,$314,315,$0.32,$0.32,$4379,$900,$0,$7724,$24241,$0,$8135,$747,$33721,$41445,$12662,$12014,$2055,$20334,$32996,$3,$3536,$-836,$8449,$41445,$0,$0,$0,$0,$0,$0,$0,$0,$0,$547,$-687,$0,$0,$-774,$810,$36,$8,$-643,$409,$0,$409,$-258,$-258,$0,$-65,$86,$-10,$0,$0
7,2016-12-31,72.88,$27.52,2.65,$109.86,0.66,$22.62,3.22,$6.93,10.52,$7.31B,$12.29B,0.6,$10.74B,$8.66B,1.24,$36.56B,$26.80B,73.30%,$36.56B,$4.34B,11.87%,$36.56B,$4.34B,11.87%,$36.56B,$4.34B,11.87%,$36.56B,$3.82B,10.45%,$36.56B,$2.26B,6.19%,$2.26B,$8.66B,27.66%,$2.26B,$0.50B,-2034.16%,$2.26B,$40.14B,5.61%,$4.34B,$19.40B,23.44%,$9052,$2252,$6800,$0,$3187,$8047,$1005,$-121,$884,$487,$397,$397,$397,$1005,$1005,$330,330,$1.18,$1.18,$4428,$873,$0,$7309,$23318,$579,$8155,$124,$32831,$40140,$12286,$10740,$2234,$19195,$31481,$3,$3427,$-829,$8659,$40140,$2263,$1977,$1839,$3816,$-16,$0,$239,$-760,$-537,$5542,$-3195,$0,$0,$-2768,$2712,$-56,$13,$-3238,$-543,$0,$-543,$-2608,$-2608,$0,$-62,$-3213,$-909,$0,$0
8,2016-09-30,52.47,$26.55,1.98,$106.43,0.49,$24.35,2.15,$7.91,6.63,$7.97B,$13.25B,0.6,$10.36B,$8.44B,1.23,$36.54B,$26.80B,73.34%,$36.54B,$4.41B,12.08%,$36.54B,$4.41B,12.08%,$36.54B,$4.41B,12.08%,$36.54B,$3.84B,10.51%,$36.54B,$2.69B,7.36%,$2.69B,$8.44B,32.57%,$2.69B,$0.26B,-1675.39%,$2.69B,$40.33B,6.64%,$4.41B,$18.80B,23.86%,$9913,$2626,$7287,$0,$2970,$8289,$1624,$-114,$1510,$545,$965,$965,$965,$1624,$1624,$320,320,$3.02,$3.01,$4856,$842,$0,$7970,$22645,$0,$8177,$672,$32357,$40327,$13253,$10364,$2381,$18635,$31888,$4,$5323,$-798,$8439,$40327,$0,$0,$0,$0,$0,$0,$0,$0,$0,$4884,$-2319,$0,$0,$-1989,$1949,$-40,$-5,$-2364,$-496,$0,$-496,$-2442,$-2442,$0,$-40,$-2978,$-458,$0,$0
9,2016-06-30,41.04,$24.10,1.7,$102.90,0.4,$24.17,1.7,$17.72,2.32,$7.84B,$13.98B,0.56,$10.02B,$7.78B,1.29,$36.93B,$26.89B,72.80%,$36.93B,$4.69B,12.70%,$36.93B,$4.69B,12.70%,$36.93B,$4.69B,12.70%,$36.93B,$3.94B,10.66%,$36.93B,$6.54B,17.71%,$6.54B,$7.78B,78.93%,$6.54B,$-0.42B,-2456.34%,$6.54B,$40.48B,15.99%,$4.69B,$17.80B,25.20%,$9396,$2436,$6960,$0,$2931,$8336,$1060,$-129,$931,$343,$588,$588,$588,$1060,$1060,$331,331,$1.78,$1.78,$4685,$798,$0,$7844,$22388,$0,$8200,$652,$32632,$40476,$13982,$10015,$2576,$18710,$32692,$4,$4358,$-734,$7784,$40476,$0,$0,$0,$0,$0,$0,$0,$0,$0,$3746,$-1635,$0,$0,$-1273,$1256,$-17,$-6,$-1658,$-444,$0,$-444,$-2182,$-2182,$0,$-24,$-2650,$-562,$0,$0
