,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,36.35,$31.32,1.16,$8.15,4.46,$6.97,5.22,$2.01,18.08,$14.75B,$14.42B,1.02,$1.52B,$3.25B,0.47,$0.84B,$0.73B,86.87%,$0.84B,$0.33B,39.74%,$0.84B,0,0.00%,$0.84B,0,0.00%,$0.84B,$0.33B,39.74%,$0.84B,$0.21B,25.06%,$0.21B,$3.25B,6.47%,$0.21B,$1.77B,11.88%,$0.21B,$19.19B,1.10%,$0.33B,$4.77B,6.97%,$217,$36,$180,$0,$98,$134,$82,$0,$82,$18,$64,$64,$64,$0,$0,$104,104,$0.62,$0.62,$1255,$0,$0,$14749,$100,$2376,$1478,$486,$4439,$19188,$14416,$1519,$1,$1521,$15937,$263,$984,$-77,$3251,$19188,$0,$0,$0,$0,$0,$0,$0,$0,$0,$219,$-2,$0,$0,$0,$-350,$-350,$-240,$-592,$15,$-148,$-133,$-50,$-59,$-107,$262,$-38,$-411,$0,$-107
1,2018-06-30,36.4,$31.12,1.17,$8.06,4.52,$5.97,6.1,$1.93,18.86,$14.88B,$14.17B,1.05,$1.80B,$3.24B,0.55,$0.83B,$0.74B,88.69%,$0.83B,$0.34B,40.43%,$0.83B,0,0.00%,$0.83B,0,0.00%,$0.83B,$0.34B,40.43%,$0.83B,$0.20B,24.43%,$0.20B,$3.24B,6.25%,$0.20B,$1.77B,11.48%,$0.20B,$19.21B,1.07%,$0.34B,$5.04B,7.03%,$214,$29,$185,$0,$100,$128,$86,$0,$86,$19,$66,$66,$66,$0,$0,$105,105,$0.63,$0.63,$1093,$0,$0,$14875,$100,$2266,$1478,$488,$4333,$19208,$14169,$1795,$1,$1796,$15965,$263,$955,$-70,$3243,$19208,$0,$0,$0,$0,$0,$0,$0,$0,$0,$98,$-0,$0,$0,$0,$-229,$-229,$-489,$-719,$490,$-328,$162,$-35,$-45,$-71,$1,$47,$-573,$0,$-71
2,2018-03-31,34.93,$30.92,1.13,$7.98,4.38,$5.37,6.51,$1.67,20.92,$14.30B,$14.07B,1.02,$1.30B,$3.25B,0.4,$0.81B,$0.73B,89.78%,$0.81B,$0.31B,37.68%,$0.81B,0,0.00%,$0.81B,0,0.00%,$0.81B,$0.31B,37.68%,$0.81B,$0.17B,21.43%,$0.17B,$3.25B,5.36%,$0.17B,$1.77B,9.85%,$0.17B,$18.62B,0.92%,$0.31B,$4.55B,6.55%,$198,$23,$175,$0,$96,$119,$80,$0,$80,$18,$62,$62,$62,$0,$0,$105,105,$0.59,$0.59,$1139,$0,$0,$14296,$103,$2269,$1479,$473,$4324,$18620,$14073,$1295,$1,$1296,$15368,$263,$924,$-65,$3251,$18620,$0,$0,$0,$0,$0,$0,$0,$0,$0,$158,$-1,$0,$0,$0,$-222,$-222,$36,$-187,$-10,$-259,$-269,$-0,$-9,$-36,$-184,$-498,$-527,$0,$-36
3,2017-12-31,34.12,$30.85,1.11,$7.83,4.36,$4.64,7.35,$1.56,21.87,$14.92B,$14.30B,1.04,$1.51B,$3.24B,0.47,$0.76B,$0.68B,90.33%,$0.76B,$0.29B,37.75%,$0.76B,0,0.00%,$0.76B,0,0.00%,$0.76B,$0.29B,37.75%,$0.76B,$0.15B,20.00%,$0.15B,$3.24B,5.04%,$0.15B,$1.76B,9.04%,$0.15B,$19.06B,0.84%,$0.29B,$4.76B,6.51%,$209,$22,$188,$0,$103,$124,$85,$0,$85,$67,$18,$18,$18,$0,$0,$98,98,$0.15,$0.15,$1666,$0,$0,$14920,$105,$2072,$1478,$484,$4139,$19059,$14304,$1514,$1,$1515,$15818,$263,$892,$-42,$3241,$19059,$151,$-18,$79,$61,$12,$0,$0,$33,$42,$254,$-14,$0,$45,$0,$-267,$-267,$503,$267,$-30,$172,$142,$5,$5,$-121,$-314,$-289,$232,$4,$-121
4,2017-09-30,36.14,$31.09,1.16,$7.62,4.74,$4.42,8.18,$1.90,19.02,$15.18B,$14.35B,1.06,$1.51B,$3.26B,0.46,$0.69B,$0.62B,90.70%,$0.69B,$0.26B,38.08%,$0.69B,0,0.00%,$0.69B,0,0.00%,$0.69B,$0.26B,38.08%,$0.69B,$0.17B,25.00%,$0.17B,$3.26B,6.26%,$0.17B,$1.78B,10.94%,$0.17B,$19.13B,1.02%,$0.26B,$4.78B,6.51%,$210,$21,$189,$0,$104,$125,$85,$0,$85,$28,$57,$57,$57,$0,$0,$105,105,$0.54,$0.54,$1747,$0,$0,$15179,$104,$1837,$1488,$522,$3951,$19130,$14351,$1514,$1,$1515,$15866,$263,$910,$-34,$3264,$19130,$0,$0,$0,$0,$0,$0,$0,$0,$0,$125,$-11,$0,$45,$0,$-23,$-23,$374,$384,$-30,$186,$156,$3,$3,$-87,$-270,$-197,$313,$0,$-87
5,2017-06-30,37.74,$30.85,1.22,$7.48,5.05,$4.92,7.67,$1.90,19.86,$15.12B,$14.43B,1.05,$1.37B,$3.24B,0.42,$0.62B,$0.57B,91.13%,$0.62B,$0.24B,38.23%,$0.62B,0,0.00%,$0.62B,0,0.00%,$0.62B,$0.24B,38.23%,$0.62B,$0.16B,25.16%,$0.16B,$3.24B,6.40%,$0.16B,$1.75B,11.00%,$0.16B,$19.04B,1.00%,$0.24B,$4.60B,6.49%,$195,$19,$177,$0,$120,$139,$56,$0,$56,$19,$37,$37,$37,$0,$0,$99,100,$0.37,$0.37,$1411,$0,$0,$15118,$96,$1790,$1485,$545,$3917,$19036,$14433,$1365,$1,$1365,$15798,$262,$887,$-37,$3237,$19036,$0,$0,$0,$0,$0,$0,$0,$0,$0,$36,$-3,$0,$45,$0,$22,$22,$116,$179,$20,$-34,$-15,$3,$3,$-52,$-175,$-239,$-24,$0,$-52
6,2017-03-31,40.33,$27.76,1.45,$7.34,5.5,$5.44,7.42,$1.97,20.47,$12.05B,$11.40B,1.06,$1.11B,$2.25B,0.49,$0.56B,$0.51B,91.55%,$0.56B,$0.23B,41.19%,$0.56B,0,0.00%,$0.56B,0,0.00%,$0.56B,$0.23B,41.19%,$0.56B,$0.15B,27.16%,$0.15B,$2.25B,7.08%,$0.15B,$1.39B,11.92%,$0.15B,$14.76B,1.04%,$0.23B,$3.37B,6.77%,$141,$13,$128,$0,$69,$82,$59,$0,$59,$20,$39,$39,$39,$0,$0,$81,81,$0.48,$0.48,$1667,$0,$0,$12046,$76,$1373,$864,$403,$2716,$14762,$11397,$1112,$1,$1113,$12509,$203,$885,$-41,$2253,$14762,$0,$0,$0,$0,$0,$0,$0,$0,$0,$65,$-2,$0,$0,$0,$39,$39,$-69,$-32,$-10,$-31,$-41,$0,$0,$-25,$266,$200,$233,$0,$-25
7,2016-12-31,43.82,$27.59,1.59,$7.40,5.92,$5.45,8.04,$1.99,22.02,$11.75B,$11.15B,1.05,$1.12B,$2.24B,0.5,$0.54B,$0.50B,91.85%,$0.54B,$0.22B,41.30%,$0.54B,0,0.00%,$0.54B,0,0.00%,$0.54B,$0.22B,41.30%,$0.54B,$0.15B,27.22%,$0.15B,$2.24B,7.34%,$0.15B,$1.37B,12.50%,$0.15B,$14.51B,1.05%,$0.22B,$3.36B,6.86%,$142,$12,$130,$0,$68,$81,$62,$0,$62,$22,$39,$39,$39,$0,$0,$74,74,$0.52,$0.51,$1435,$0,$0,$11751,$76,$1404,$864,$415,$2758,$14509,$11150,$1122,$1,$1123,$12273,$203,$873,$-45,$2236,$14509,$147,$-4,$40,$36,$1,$0,$0,$-6,$-12,$171,$-7,$0,$29,$0,$7,$7,$1,$31,$69,$-294,$-225,$213,$213,$-96,$484,$375,$577,$3,$-96
8,2016-09-30,35.44,$26.54,1.34,$7.27,4.87,$5.68,6.24,$1.96,18.08,$11.53B,$11.07B,1.04,$1.25B,$2.03B,0.62,$0.52B,$0.48B,91.97%,$0.52B,$0.21B,40.34%,$0.52B,0,0.00%,$0.52B,0,0.00%,$0.52B,$0.21B,40.34%,$0.52B,$0.14B,26.96%,$0.14B,$2.03B,7.53%,$0.14B,$1.16B,13.01%,$0.14B,$14.35B,1.05%,$0.21B,$3.28B,6.78%,$142,$12,$130,$0,$70,$82,$60,$0,$60,$19,$41,$41,$41,$0,$0,$76,77,$0.54,$0.54,$1119,$0,$0,$11531,$77,$1463,$867,$407,$2813,$14345,$11067,$1248,$1,$1249,$12316,$191,$859,$-28,$2029,$14345,$0,$0,$0,$0,$0,$0,$0,$0,$0,$126,$-4,$0,$29,$0,$-26,$-26,$-96,$-97,$70,$-37,$33,$5,$5,$-71,$265,$232,$261,$0,$-71
9,2016-06-30,35.0,$26.39,1.33,$7.20,4.86,$5.84,6.0,$1.92,18.23,$11.50B,$10.80B,1.06,$1.52B,$2.01B,0.76,$0.51B,$0.47B,92.08%,$0.51B,$0.20B,40.00%,$0.51B,0,0.00%,$0.51B,0,0.00%,$0.51B,$0.20B,40.00%,$0.51B,$0.14B,26.73%,$0.14B,$2.01B,7.53%,$0.14B,$1.15B,12.94%,$0.14B,$14.34B,1.04%,$0.20B,$3.53B,6.87%,$131,$10,$121,$0,$73,$83,$48,$0,$48,$16,$32,$32,$32,$0,$0,$71,72,$0.44,$0.44,$1101,$0,$0,$11496,$77,$1483,$866,$416,$2842,$14338,$10804,$1520,$1,$1521,$12325,$191,$843,$-24,$2013,$14338,$0,$0,$0,$0,$0,$0,$0,$0,$0,$63,$-2,$0,$29,$0,$-39,$-39,$-67,$-79,$70,$231,$301,$2,$2,$-46,$3,$260,$244,$0,$-46
