,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,27.89,$17.70,1.58,$7.24,3.85,$7.14,3.91,$1.34,20.81,$8.54B,$10.38B,0.82,$0.59B,$1.40B,0.42,$0.57B,$0.51B,90.64%,$0.57B,$0.21B,37.46%,$0.57B,0,0.00%,$0.57B,0,0.00%,$0.57B,$0.20B,35.34%,$0.57B,$0.11B,18.90%,$0.11B,$1.40B,7.87%,$0.11B,$1.08B,10.15%,$0.11B,$12.41B,0.87%,$0.21B,$1.99B,10.24%,$153,$17,$136,$0,$78,$96,$57,$-0,$57,$13,$44,$44,$43,$0,$0,$80,80,$0.54,$0.54,$312,$0,$0,$8538,$204,$2903,$325,$357,$3867,$12405,$10379,$585,$39,$624,$11003,$89,$-123,$-63,$1402,$12405,$121,$24,$43,$67,$-6,$0,$0,$0,$12,$200,$-10,$0,$-57,$0,$17,$17,$-120,$-170,$-159,$-265,$-424,$1,$1,$-30,$421,$-32,$-2,$4,$-30
1,2018-06-30,30.67,$17.43,1.76,$6.95,4.41,$6.59,4.65,$1.18,25.99,$8.54B,$10.10B,0.85,$0.87B,$1.38B,0.63,$0.53B,$0.49B,91.54%,$0.53B,$0.20B,37.97%,$0.53B,0,0.00%,$0.53B,0,0.00%,$0.53B,$0.19B,35.15%,$0.53B,$0.09B,17.29%,$0.09B,$1.38B,7.00%,$0.09B,$1.05B,8.81%,$0.09B,$12.39B,0.77%,$0.20B,$2.25B,9.92%,$146,$14,$132,$0,$75,$90,$55,$-2,$53,$14,$40,$40,$39,$0,$0,$80,80,$0.49,$0.49,$316,$0,$0,$8543,$202,$2864,$327,$372,$3842,$12386,$10101,$868,$37,$906,$11006,$89,$-154,$-53,$1379,$12386,$77,$17,$28,$45,$-18,$0,$0,$0,$-6,$116,$-9,$0,$-57,$0,$58,$58,$-116,$-124,$124,$-256,$-131,$0,$0,$-18,$158,$9,$2,$2,$-18
2,2018-03-31,31.51,$17.15,1.84,$6.75,4.67,$6.45,4.89,$1.08,29.17,$8.53B,$10.11B,0.84,$0.76B,$1.36B,0.56,$0.50B,$0.46B,92.25%,$0.50B,$0.19B,38.57%,$0.50B,0,0.00%,$0.50B,0,0.00%,$0.50B,$0.18B,35.59%,$0.50B,$0.08B,16.10%,$0.08B,$1.36B,6.46%,$0.08B,$1.03B,7.90%,$0.08B,$12.26B,0.70%,$0.19B,$2.12B,9.86%,$138,$12,$126,$0,$73,$87,$50,$-2,$48,$11,$38,$38,$37,$0,$0,$79,79,$0.47,$0.47,$352,$0,$0,$8533,$208,$2758,$328,$350,$3731,$12264,$10114,$761,$33,$794,$10908,$89,$-182,$-46,$1357,$12264,$38,$10,$15,$25,$8,$0,$0,$0,$10,$72,$-6,$0,$-57,$0,$178,$178,$-78,$37,$16,$-265,$-249,$0,$0,$-8,$185,$-72,$38,$1,$-8
3,2017-12-31,27.91,$16.80,1.66,$6.59,4.23,$6.43,4.34,$0.94,29.69,$8.06B,$9.96B,0.81,$0.63B,$1.30B,0.48,$0.48B,$0.44B,92.89%,$0.48B,$0.19B,39.33%,$0.48B,0,0.00%,$0.48B,0,0.00%,$0.48B,$0.17B,36.19%,$0.48B,$0.07B,14.23%,$0.07B,$1.30B,5.72%,$0.07B,$1.06B,6.76%,$0.07B,$11.92B,0.61%,$0.19B,$1.93B,9.89%,$129,$9,$119,$0,$67,$78,$50,$-7,$42,$54,$-12,$-12,$-12,$0,$0,$73,73,$-0.18,$-0.18,$314,$0,$0,$8056,$209,$2960,$244,$358,$3859,$11915,$9962,$625,$25,$651,$10612,$87,$-210,$-25,$1303,$11915,$68,$27,$101,$129,$-13,$0,$0,$0,$11,$208,$-19,$0,$54,$0,$30,$30,$-110,$-46,$-369,$44,$-325,$0,$0,$-26,$285,$-66,$97,$6,$-26
4,2017-09-30,28.2,$16.63,1.7,$6.41,4.4,$5.63,5.01,$1.48,19.06,$7.45B,$9.26B,0.81,$0.63B,$1.22B,0.52,$0.46B,$0.43B,93.29%,$0.46B,$0.19B,40.04%,$0.46B,0,0.00%,$0.46B,0,0.00%,$0.46B,$0.18B,38.10%,$0.46B,$0.11B,23.16%,$0.11B,$1.22B,9.44%,$0.11B,$1.04B,11.03%,$0.11B,$11.13B,0.99%,$0.19B,$1.85B,9.69%,$119,$9,$110,$0,$62,$73,$47,$-3,$44,$16,$28,$28,$28,$0,$0,$73,73,$0.38,$0.38,$247,$0,$0,$7451,$194,$2868,$183,$304,$3678,$11129,$9255,$630,$23,$653,$9908,$82,$-192,$-11,$1221,$11129,$80,$20,$52,$72,$4,$0,$0,$0,$-5,$147,$-13,$0,$18,$0,$55,$55,$-60,$-0,$-279,$10,$-269,$0,$0,$-19,$170,$-117,$29,$4,$-19
5,2017-06-30,27.37,$15.96,1.71,$6.34,4.32,$4.87,5.61,$1.46,18.74,$7.27B,$8.84B,0.82,$0.84B,$1.13B,0.75,$0.46B,$0.43B,93.63%,$0.46B,$0.18B,40.22%,$0.46B,0,0.00%,$0.46B,0,0.00%,$0.46B,$0.17B,38.24%,$0.46B,$0.11B,23.08%,$0.11B,$1.13B,9.57%,$0.11B,$0.98B,11.15%,$0.11B,$10.84B,0.99%,$0.18B,$1.98B,9.78%,$117,$8,$109,$0,$61,$70,$47,$-2,$45,$17,$28,$28,$28,$0,$0,$72,72,$0.39,$0.39,$233,$0,$0,$7267,$190,$2808,$154,$298,$3570,$10837,$8836,$844,$24,$869,$9705,$79,$-213,$-12,$1133,$10837,$52,$13,$36,$49,$4,$0,$0,$0,$-3,$98,$-12,$0,$0,$0,$9,$9,$-120,$-123,$-40,$-5,$-45,$0,$0,$-12,$98,$41,$16,$3,$-12
6,2017-03-31,27.17,$15.52,1.75,$6.16,4.41,$3.98,6.82,$1.42,19.13,$7.18B,$8.86B,0.81,$0.74B,$1.10B,0.68,$0.44B,$0.42B,93.68%,$0.44B,$0.18B,40.18%,$0.44B,0,0.00%,$0.44B,0,0.00%,$0.44B,$0.17B,38.37%,$0.44B,$0.10B,23.02%,$0.10B,$1.10B,9.45%,$0.10B,$0.95B,11.02%,$0.10B,$10.73B,0.98%,$0.18B,$1.85B,9.53%,$113,$7,$106,$0,$61,$69,$44,$-2,$42,$18,$24,$24,$24,$0,$0,$72,72,$0.33,$0.33,$231,$0,$0,$7179,$189,$2789,$155,$280,$3553,$10732,$8859,$744,$26,$771,$9630,$71,$-234,$-19,$1102,$10732,$24,$6,$20,$26,$18,$0,$0,$0,$13,$63,$-3,$0,$0,$0,$14,$14,$-23,$-12,$-140,$-5,$-145,$0,$0,$-6,$114,$-37,$14,$1,$-6
7,2016-12-31,28.97,$15.17,1.91,$5.96,4.86,$3.13,9.27,$1.40,20.7,$7.13B,$8.72B,0.82,$0.88B,$1.08B,0.82,$0.43B,$0.40B,93.94%,$0.43B,$0.17B,40.33%,$0.43B,0,0.00%,$0.43B,0,0.00%,$0.43B,$0.16B,38.23%,$0.43B,$0.10B,23.31%,$0.10B,$1.08B,9.41%,$0.10B,$0.92B,10.98%,$0.10B,$10.71B,0.98%,$0.17B,$1.96B,9.44%,$113,$7,$106,$0,$58,$66,$47,$-1,$45,$18,$27,$27,$27,$0,$0,$72,72,$0.38,$0.38,$217,$0,$0,$7134,$190,$2786,$156,$288,$3574,$10709,$8721,$884,$28,$912,$9633,$71,$-252,$-26,$1076,$10709,$101,$30,$52,$82,$-45,$0,$0,$0,$-43,$140,$-12,$0,$2,$0,$-56,$-56,$-666,$-732,$266,$-22,$244,$-13,$-23,$-16,$364,$569,$-23,$4,$-16
8,2016-09-30,20.51,$15.23,1.35,$5.92,3.46,$3.01,6.82,$1.27,16.15,$6.95B,$8.56B,0.81,$0.62B,$1.08B,0.58,$0.42B,$0.39B,94.00%,$0.42B,$0.16B,39.33%,$0.42B,0,0.00%,$0.42B,0,0.00%,$0.42B,$0.15B,35.49%,$0.42B,$0.09B,21.82%,$0.09B,$1.08B,8.69%,$0.09B,$0.92B,10.13%,$0.09B,$10.30B,0.92%,$0.16B,$1.70B,9.39%,$112,$6,$105,$0,$59,$67,$45,$-3,$42,$16,$26,$26,$26,$0,$0,$72,72,$0.36,$0.36,$226,$0,$0,$6946,$189,$2585,$157,$264,$3352,$10298,$8561,$624,$33,$657,$9218,$78,$-273,$-0,$1079,$10298,$73,$23,$40,$63,$-49,$0,$0,$0,$-50,$86,$-9,$0,$2,$0,$202,$202,$-444,$-249,$6,$8,$14,$-13,$-23,$-10,$168,$149,$-14,$3,$-10
9,2016-06-30,17.77,$14.90,1.19,$5.71,3.12,$3.40,5.23,$1.18,15.06,$6.49B,$7.94B,0.82,$0.90B,$1.06B,0.85,$0.39B,$0.37B,94.16%,$0.39B,$0.15B,38.83%,$0.39B,0,0.00%,$0.39B,0,0.00%,$0.39B,$0.14B,34.26%,$0.39B,$0.08B,21.07%,$0.08B,$1.06B,8.05%,$0.08B,$0.91B,9.37%,$0.08B,$9.93B,0.86%,$0.15B,$1.96B,9.19%,$105,$6,$98,$0,$56,$63,$42,$-1,$41,$15,$25,$25,$25,$0,$0,$72,72,$0.35,$0.35,$208,$0,$0,$6486,$181,$2704,$146,$253,$3443,$9928,$7935,$899,$35,$934,$8869,$78,$-293,$-4,$1060,$9928,$48,$14,$26,$40,$-60,$0,$0,$0,$-57,$31,$-9,$0,$0,$0,$8,$8,$-311,$-312,$305,$-17,$288,$-4,$-14,$-10,$-16,$248,$-33,$2,$-10
