,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,22.08,$8.96,2.46,$3.57,6.18,$-0.11,0.0,$0.73,30.25,$0.58B,$0.07B,8.25,$1.55B,$1.02B,1.52,$0.41B,$0.26B,63.90%,$0.41B,$0.13B,31.22%,$0.41B,$0.13B,31.22%,$0.41B,$0.20B,47.80%,$0.41B,$0.09B,22.68%,$0.41B,$0.09B,20.73%,$0.09B,$1.02B,8.45%,$0.09B,$0.95B,9.18%,$0.09B,$2.81B,3.02%,$0.13B,$2.57B,5.00%,$112,$41,$71,$0,$10,$73,$39,$-12,$27,$0,$27,$27,$24,$43,$39,$114,114,$0.21,$0.21,$466,$0,$0,$579,$2119,$0,$73,$16,$2232,$2811,$70,$1551,$166,$1717,$1788,$1,$-34,$0,$1023,$2811,$110,$46,$-46,$-0,$-13,$0,$0,$-2,$-22,$88,$-38,$0,$0,$0,$0,$0,$1,$-37,$-3,$0,$-3,$0,$0,$-75,$-9,$-87,$-35,$6,$-75
1,2018-06-30,22.87,$8.96,2.55,$3.43,6.66,$-1.87,0.0,$0.67,34.13,$0.62B,$0.08B,7.69,$1.55B,$1.02B,1.52,$0.39B,$0.26B,65.05%,$0.39B,$0.12B,31.12%,$0.39B,$0.12B,31.12%,$0.39B,$0.21B,52.30%,$0.39B,$0.09B,21.68%,$0.39B,$0.08B,19.90%,$0.08B,$1.02B,7.74%,$0.08B,$0.95B,8.44%,$0.08B,$2.84B,2.79%,$0.12B,$2.57B,4.83%,$102,$39,$63,$0,$8,$79,$23,$37,$60,$0,$60,$60,$54,$47,$23,$114,114,$0.47,$0.47,$514,$0,$0,$621,$2108,$0,$76,$12,$2219,$2841,$81,$1552,$186,$1738,$1819,$1,$-33,$0,$1022,$2841,$83,$43,$-46,$-3,$-7,$0,$0,$3,$-3,$77,$-7,$0,$0,$0,$0,$0,$1,$-6,$-2,$0,$-2,$0,$0,$-50,$-6,$-58,$13,$4,$-50
2,2018-03-31,21.14,$8.67,2.44,$3.40,6.22,$-4.01,0.0,$0.33,64.06,$0.58B,$0.07B,8.17,$1.55B,$0.99B,1.57,$0.38B,$0.25B,66.58%,$0.38B,$0.13B,33.68%,$0.38B,$0.13B,33.68%,$0.38B,$0.21B,54.74%,$0.38B,$0.04B,10.53%,$0.38B,$0.04B,10.00%,$0.04B,$0.99B,3.90%,$0.04B,$0.91B,4.30%,$0.04B,$2.80B,1.40%,$0.13B,$2.54B,5.21%,$99,$35,$64,$0,$8,$64,$35,$-12,$23,$0,$23,$23,$21,$55,$35,$114,114,$0.18,$0.18,$474,$0,$0,$581,$2099,$0,$83,$17,$2222,$2803,$71,$1553,$192,$1745,$1816,$1,$-62,$0,$987,$2803,$23,$20,$1,$20,$-5,$0,$0,$1,$-9,$34,$-33,$0,$0,$0,$0,$0,$1,$-32,$-1,$0,$-1,$-0,$-0,$-25,$-3,$-29,$-27,$2,$-25
3,2017-12-31,24.98,$8.70,2.87,$3.79,6.6,$-4.13,0.0,$0.65,38.43,$0.61B,$0.07B,8.72,$1.57B,$0.99B,1.58,$0.41B,$0.29B,70.27%,$0.41B,$0.16B,39.80%,$0.41B,$0.16B,39.80%,$0.41B,$0.24B,58.23%,$0.41B,$0.07B,17.69%,$0.41B,$0.07B,16.71%,$0.07B,$0.99B,7.81%,$0.07B,$0.90B,8.67%,$0.07B,$2.82B,2.68%,$0.16B,$2.56B,7.10%,$97,$34,$64,$0,$7,$67,$31,$-48,$-17,$-1,$-16,$-16,$-14,$51,$31,$107,118,$-0.17,$-0.17,$501,$0,$0,$607,$2085,$0,$87,$19,$2214,$2821,$70,$1565,$196,$1761,$1830,$1,$-58,$0,$991,$2821,$73,$76,$12,$88,$-14,$0,$0,$-8,$-3,$158,$-296,$0,$0,$0,$0,$0,$0,$-296,$806,$0,$806,$348,$348,$-95,$-561,$498,$361,$7,$-95
4,2017-09-30,23.43,$9.07,2.58,$3.80,6.17,$-2.18,0.0,$0.97,24.16,$0.50B,$0.07B,7.58,$1.41B,$1.03B,1.36,$0.39B,$0.28B,70.74%,$0.39B,$0.16B,41.73%,$0.39B,$0.16B,41.73%,$0.39B,$0.23B,59.29%,$0.39B,$0.11B,27.99%,$0.39B,$0.10B,25.70%,$0.10B,$1.03B,13.52%,$0.10B,$0.94B,14.97%,$0.10B,$2.71B,4.38%,$0.16B,$2.44B,7.94%,$94,$30,$64,$0,$7,$61,$33,$-14,$19,$0,$19,$19,$17,$52,$33,$111,111,$0.15,$0.15,$389,$0,$0,$499,$2075,$0,$91,$17,$2208,$2707,$66,$1408,$201,$1609,$1674,$1,$-18,$0,$1032,$2707,$89,$56,$-25,$31,$-10,$0,$0,$-8,$-5,$114,$-262,$0,$0,$0,$0,$0,$0,$-262,$137,$0,$137,$348,$348,$-70,$-18,$396,$249,$5,$-70
5,2017-06-30,22.86,$8.22,2.78,$3.76,6.09,$-0.14,0.0,$1.01,22.63,$0.36B,$0.06B,5.71,$1.41B,$0.88B,1.6,$0.38B,$0.27B,70.98%,$0.38B,$0.16B,43.27%,$0.38B,$0.16B,43.27%,$0.38B,$0.23B,60.16%,$0.38B,$0.11B,29.55%,$0.38B,$0.10B,27.18%,$0.10B,$0.88B,16.81%,$0.10B,$0.79B,18.57%,$0.10B,$2.56B,4.89%,$0.16B,$2.30B,8.72%,$90,$28,$61,$0,$8,$61,$29,$-13,$15,$0,$15,$15,$14,$50,$29,$104,104,$0.13,$0.13,$263,$0,$0,$362,$2074,$0,$95,$9,$2202,$2564,$63,$1412,$204,$1616,$1680,$1,$-10,$0,$884,$2564,$70,$37,$-29,$7,$-5,$0,$0,$1,$6,$83,$-243,$0,$0,$0,$0,$0,$0,$-243,$142,$0,$142,$194,$194,$-45,$-8,$282,$123,$3,$-45
6,2017-03-31,25.11,$5.78,4.34,$3.69,6.8,$1.99,12.64,$1.22,20.58,$0.22B,$0.05B,4.07,$1.26B,$0.58B,2.18,$0.37B,$0.26B,71.20%,$0.37B,$0.17B,45.65%,$0.37B,$0.17B,45.65%,$0.37B,$0.22B,60.60%,$0.37B,$0.13B,36.14%,$0.37B,$0.12B,33.42%,$0.12B,$0.58B,23.94%,$0.12B,$0.50B,26.09%,$0.12B,$2.05B,6.34%,$0.17B,$1.83B,9.72%,$126,$29,$97,$0,$8,$57,$69,$-14,$55,$0,$55,$55,$51,$84,$69,$100,100,$0.51,$0.50,$123,$0,$0,$221,$1715,$0,$74,$17,$1830,$2050,$54,$1257,$162,$1419,$1473,$1,$-0,$0,$577,$2050,$55,$15,$-33,$-18,$-3,$0,$0,$-1,$0,$37,$-48,$0,$0,$0,$0,$0,$0,$-48,$21,$0,$21,$-0,$-0,$-22,$-6,$-7,$-17,$1,$-22
7,2016-12-31,26.04,$4.97,5.24,$3.27,7.96,$2.27,11.48,$0.91,28.61,$0.24B,$0.05B,4.86,$1.20B,$0.50B,2.41,$0.33B,$0.22B,67.38%,$0.33B,$0.13B,40.62%,$0.33B,$0.13B,40.62%,$0.33B,$0.19B,56.92%,$0.33B,$0.10B,30.15%,$0.33B,$0.09B,28.00%,$0.09B,$0.50B,18.68%,$0.09B,$0.47B,19.99%,$0.09B,$1.90B,4.78%,$0.13B,$1.69B,7.78%,$83,$28,$56,$0,$7,$50,$33,$-13,$21,$0,$20,$20,$19,$47,$33,$99,100,$0.19,$0.19,$140,$0,$0,$237,$1597,$0,$31,$17,$1667,$1904,$49,$1198,$162,$1359,$1408,$1,$-29,$0,$496,$1904,$97,$52,$-9,$43,$-0,$0,$0,$-3,$-3,$137,$-59,$0,$0,$0,$0,$0,$0,$-59,$-38,$0,$-38,$9,$9,$-81,$-5,$-116,$-38,$5,$-81
8,2016-09-30,26.43,$4.96,5.33,$3.25,8.14,$2.21,11.97,$0.87,30.38,$0.26B,$0.05B,5.38,$1.20B,$0.49B,2.43,$0.32B,$0.22B,67.18%,$0.32B,$0.13B,39.94%,$0.32B,$0.13B,39.94%,$0.32B,$0.18B,56.35%,$0.32B,$0.09B,28.79%,$0.32B,$0.09B,26.93%,$0.09B,$0.49B,18.09%,$0.09B,$0.46B,19.40%,$0.09B,$1.91B,4.56%,$0.13B,$1.70B,7.59%,$80,$25,$55,$0,$7,$47,$33,$-13,$21,$0,$21,$21,$19,$47,$33,$99,100,$0.19,$0.19,$157,$0,$0,$256,$1583,$0,$32,$15,$1651,$1907,$48,$1201,$164,$1365,$1413,$1,$-26,$0,$494,$1907,$76,$39,$-11,$28,$-1,$0,$0,$-3,$-5,$99,$-28,$0,$0,$0,$0,$0,$0,$-28,$-34,$0,$-34,$5,$5,$-59,$-4,$-92,$-21,$4,$-59
9,2016-06-30,27.84,$4.91,5.67,$3.25,8.57,$2.22,12.55,$0.87,32.0,$0.26B,$0.04B,6.57,$1.21B,$0.49B,2.47,$0.32B,$0.22B,67.18%,$0.32B,$0.13B,40.25%,$0.32B,$0.13B,40.25%,$0.32B,$0.18B,56.04%,$0.32B,$0.09B,28.48%,$0.32B,$0.09B,26.93%,$0.09B,$0.49B,18.23%,$0.09B,$0.46B,19.57%,$0.09B,$1.90B,4.55%,$0.13B,$1.69B,7.62%,$79,$25,$54,$0,$8,$47,$33,$3,$36,$-0,$36,$36,$34,$45,$33,$99,100,$0.34,$0.34,$166,$0,$0,$262,$1576,$0,$33,$8,$1637,$1899,$40,$1205,$166,$1371,$1411,$1,$-26,$0,$488,$1899,$56,$26,$-12,$13,$1,$0,$0,$3,$-2,$67,$-8,$0,$0,$0,$0,$0,$0,$-8,$-30,$0,$-30,$0,$0,$-40,$-3,$-71,$-12,$3,$-40
