,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,36.75,$18.42,2.0,$23.93,1.54,$2.33,15.74,$1.71,21.49,$0.06B,$0.02B,2.74,$0.03B,$0.14B,0.23,$0.18B,$0.04B,24.29%,$0.18B,$0.02B,9.60%,$0.18B,$0.02B,9.60%,$0.18B,$0.02B,13.56%,$0.18B,$0.02B,8.47%,$0.18B,$0.01B,7.34%,$0.01B,$0.14B,10.06%,$0.01B,$0.06B,18.31%,$0.01B,$0.19B,7.23%,$0.02B,$0.17B,10.78%,$48,$35,$12,$0,$7,$42,$6,$-0,$6,$1,$4,$4,$4,$8,$6,$7,7,$0.56,$0.56,$5,$20,$0,$58,$58,$0,$74,$0,$135,$194,$21,$31,$2,$37,$58,$0,$107,$0,$136,$194,$10,$6,$2,$8,$-4,$-3,$2,$1,$-4,$14,$-4,$0,$-77,$0,$0,$0,$0,$-81,$18,$16,$34,$1,$1,$0,$-0,$35,$-33,$1,$0
1,2018-06-30,30.85,$17.81,1.73,$22.36,1.38,$1.94,15.86,$1.38,22.36,$0.06B,$0.02B,2.83,$0.04B,$0.13B,0.28,$0.17B,$0.04B,23.64%,$0.17B,$0.01B,8.48%,$0.17B,$0.01B,8.48%,$0.17B,$0.02B,12.12%,$0.17B,$0.01B,7.27%,$0.17B,$0.01B,6.67%,$0.01B,$0.13B,8.76%,$0.01B,$0.06B,13.06%,$0.01B,$0.19B,6.65%,$0.01B,$0.17B,9.57%,$49,$36,$13,$0,$7,$43,$6,$-0,$5,$1,$4,$4,$4,$8,$6,$7,7,$0.54,$0.54,$6,$19,$0,$58,$59,$0,$75,$0,$136,$193,$20,$37,$2,$42,$62,$0,$103,$0,$131,$193,$6,$4,$1,$5,$-4,$-1,$3,$0,$-4,$7,$-3,$0,$-77,$0,$0,$0,$0,$-80,$19,$21,$40,$1,$1,$0,$-0,$40,$-32,$1,$0
2,2018-03-31,29.5,$17.21,1.71,$20.92,1.41,$1.81,16.33,$1.20,24.58,$0.06B,$0.02B,3.43,$0.05B,$0.13B,0.37,$0.15B,$0.04B,23.38%,$0.15B,$0.01B,7.79%,$0.15B,$0.01B,7.79%,$0.15B,$0.02B,11.04%,$0.15B,$0.01B,7.14%,$0.15B,$0.01B,6.49%,$0.01B,$0.13B,8.16%,$0.01B,$0.05B,10.20%,$0.01B,$0.19B,6.63%,$0.01B,$0.17B,8.96%,$43,$33,$10,$0,$7,$40,$3,$-0,$2,$1,$2,$2,$2,$4,$3,$7,7,$0.24,$0.24,$7,$18,$0,$58,$59,$0,$75,$0,$136,$194,$17,$46,$2,$51,$68,$0,$99,$0,$126,$194,$2,$2,$1,$2,$-4,$-1,$-0,$-0,$-6,$-2,$-1,$0,$-77,$0,$0,$0,$0,$-78,$19,$30,$49,$0,$0,$0,$-0,$50,$-31,$0,$0
3,2017-12-31,27.8,$16.99,1.64,$20.18,1.38,$2.64,10.53,$1.26,22.06,$0.08B,$0.01B,7.55,$0.00B,$0.12B,0.0,$0.15B,$0.04B,24.32%,$0.15B,$0.01B,8.11%,$0.15B,$0.01B,8.11%,$0.15B,$0.02B,12.16%,$0.15B,$0.01B,8.11%,$0.15B,$0.01B,6.76%,$0.01B,$0.12B,8.35%,$0.01B,$0.12B,8.91%,$0.01B,$0.14B,7.39%,$0.01B,$0.12B,10.02%,$37,$29,$8,$0,$6,$35,$2,$0,$2,$-1,$3,$3,$3,$4,$2,$7,7,$0.38,$0.37,$38,$13,$0,$75,$54,$0,$7,$0,$63,$138,$10,$0,$2,$5,$14,$0,$98,$0,$124,$138,$9,$6,$0,$6,$-0,$1,$0,$0,$3,$17,$-10,$0,$0,$0,$0,$0,$0,$-10,$-1,$0,$-1,$1,$1,$0,$-0,$-0,$7,$1,$0
4,2017-09-30,28.1,$16.63,1.69,$20.12,1.4,$1.97,14.3,$1.09,25.78,$0.08B,$0.01B,7.27,$0.00B,$0.12B,0.0,$0.15B,$0.04B,24.32%,$0.15B,$0.01B,8.11%,$0.15B,$0.01B,8.11%,$0.15B,$0.02B,12.16%,$0.15B,$0.01B,8.11%,$0.15B,$0.01B,5.41%,$0.01B,$0.12B,6.84%,$0.01B,$0.11B,7.31%,$0.01B,$0.14B,6.03%,$0.01B,$0.12B,10.26%,$36,$27,$8,$0,$6,$33,$3,$0,$3,$1,$2,$2,$2,$4,$3,$7,7,$0.23,$0.23,$37,$13,$0,$76,$52,$0,$7,$2,$61,$137,$10,$0,$2,$6,$16,$0,$95,$0,$121,$137,$6,$4,$1,$5,$-1,$1,$0,$0,$1,$13,$-7,$0,$0,$0,$0,$0,$0,$-7,$-1,$0,$-1,$1,$1,$0,$-0,$-0,$6,$1,$0
5,2017-06-30,28.3,$16.37,1.73,$20.38,1.39,$1.20,23.58,$1.23,23.01,$0.07B,$0.01B,7.84,$0.00B,$0.12B,0.0,$0.15B,$0.04B,24.16%,$0.15B,$0.01B,8.72%,$0.15B,$0.01B,8.72%,$0.15B,$0.02B,12.75%,$0.15B,$0.01B,8.72%,$0.15B,$0.01B,6.04%,$0.01B,$0.12B,7.86%,$0.01B,$0.11B,8.41%,$0.01B,$0.13B,6.90%,$0.01B,$0.12B,11.33%,$38,$28,$10,$0,$6,$34,$4,$0,$4,$1,$3,$3,$3,$5,$4,$7,7,$0.36,$0.36,$35,$14,$0,$73,$51,$0,$7,$2,$60,$134,$9,$0,$2,$6,$15,$0,$93,$0,$119,$134,$5,$3,$1,$4,$-1,$0,$-0,$-0,$-0,$8,$-4,$0,$0,$0,$0,$0,$0,$-4,$-1,$0,$-1,$0,$0,$0,$-0,$-0,$3,$1,$0
6,2017-03-31,25.9,$15.96,1.62,$20.44,1.27,$0.34,75.25,$1.25,20.72,$0.07B,$0.01B,6.89,$0.00B,$0.12B,0.0,$0.15B,$0.04B,24.16%,$0.15B,$0.01B,8.72%,$0.15B,$0.01B,8.72%,$0.15B,$0.02B,13.42%,$0.15B,$0.01B,8.72%,$0.15B,$0.01B,6.04%,$0.01B,$0.12B,8.04%,$0.01B,$0.11B,8.61%,$0.01B,$0.13B,7.02%,$0.01B,$0.12B,11.58%,$37,$28,$10,$0,$6,$34,$3,$0,$3,$1,$2,$2,$2,$5,$3,$7,7,$0.30,$0.30,$34,$14,$0,$73,$49,$0,$8,$2,$59,$132,$11,$0,$2,$6,$16,$0,$91,$0,$115,$132,$2,$1,$0,$2,$-1,$-0,$2,$-0,$0,$4,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$2,$0,$0
7,2016-12-31,25.45,$15.68,1.62,$20.11,1.27,$-0.58,0.0,$1.10,23.14,$0.07B,$0.01B,7.31,$0.00B,$0.11B,0.0,$0.15B,$0.03B,23.13%,$0.15B,$0.01B,8.16%,$0.15B,$0.01B,8.16%,$0.15B,$0.02B,12.24%,$0.15B,$0.01B,8.16%,$0.15B,$0.01B,5.44%,$0.01B,$0.11B,7.31%,$0.01B,$0.11B,7.86%,$0.01B,$0.13B,6.40%,$0.01B,$0.11B,10.93%,$37,$28,$8,$0,$6,$34,$2,$0,$2,$1,$1,$1,$1,$4,$2,$7,7,$0.21,$0.20,$31,$14,$0,$70,$49,$0,$8,$0,$58,$128,$10,$0,$2,$5,$15,$0,$88,$0,$113,$128,$8,$6,$1,$7,$-4,$0,$-1,$-1,$-6,$9,$-7,$0,$0,$0,$0,$0,$0,$-7,$-1,$0,$-1,$1,$1,$0,$-0,$-1,$2,$1,$0
8,2016-09-30,26.5,$15.42,1.72,$19.81,1.34,$-1.31,0.0,$1.13,23.45,$0.07B,$0.01B,6.05,$0.00B,$0.11B,0.0,$0.14B,$0.04B,24.31%,$0.14B,$0.01B,9.03%,$0.14B,$0.01B,9.03%,$0.14B,$0.02B,12.50%,$0.14B,$0.01B,9.03%,$0.14B,$0.01B,6.25%,$0.01B,$0.11B,8.39%,$0.01B,$0.10B,9.05%,$0.01B,$0.13B,7.32%,$0.01B,$0.11B,12.09%,$37,$29,$8,$0,$6,$33,$4,$0,$4,$1,$3,$3,$3,$5,$4,$7,7,$0.37,$0.37,$30,$15,$0,$70,$49,$0,$8,$2,$58,$128,$12,$0,$0,$5,$17,$0,$87,$0,$111,$128,$6,$4,$1,$5,$-5,$-0,$0,$-1,$-5,$6,$-6,$0,$0,$0,$0,$0,$0,$-6,$-1,$0,$-1,$1,$1,$0,$0,$-0,$0,$1,$0
9,2016-06-30,22.54,$15.02,1.5,$19.46,1.16,$-1.89,0.0,$1.04,21.67,$0.07B,$0.01B,5.95,$0.00B,$0.11B,0.0,$0.14B,$0.04B,26.24%,$0.14B,$0.01B,8.51%,$0.14B,$0.01B,8.51%,$0.14B,$0.02B,12.06%,$0.14B,$0.01B,8.51%,$0.14B,$0.01B,5.67%,$0.01B,$0.11B,7.62%,$0.01B,$0.10B,8.25%,$0.01B,$0.13B,6.61%,$0.01B,$0.11B,11.40%,$38,$28,$10,$0,$6,$34,$4,$0,$4,$1,$3,$3,$3,$6,$4,$7,7,$0.38,$0.38,$27,$14,$0,$67,$48,$0,$8,$2,$58,$125,$11,$0,$0,$5,$16,$0,$84,$0,$109,$125,$4,$3,$1,$3,$-6,$0,$1,$-2,$-6,$1,$-4,$0,$0,$0,$0,$0,$0,$-4,$-1,$0,$-1,$0,$0,$0,$0,$-0,$-3,$1,$0
