,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,55.48,$23.60,2.35,$43.30,1.28,$7.02,7.9,$4.08,13.6,$1.89B,$1.73B,1.09,$4.15B,$4.10B,1.01,$7.65B,$3.58B,46.74%,$7.65B,$1.07B,13.92%,$7.65B,$1.07B,13.92%,$7.65B,$1.52B,19.85%,$7.65B,$0.86B,11.18%,$7.65B,$0.72B,9.38%,$0.72B,$4.10B,17.06%,$0.72B,$0.43B,160.81%,$0.72B,$11.98B,5.90%,$1.07B,$8.25B,12.79%,$1273,$645,$628,$0,$471,$1219,$54,$-50,$5,$13,$-8,$-8,$24,$168,$54,$174,177,$0.13,$0.12,$462,$318,$226,$1888,$5808,$0,$3674,$317,$10093,$11981,$1732,$4147,$1010,$6149,$7881,$1201,$2611,$-110,$4100,$11981,$822,$455,$-58,$397,$-148,$-37,$65,$-15,$-134,$1085,$-574,$0,$-187,$0,$0,$0,$14,$-748,$-25,$94,$69,$-25,$-25,$-177,$-305,$-438,$-106,$23,$-177
1,2018-06-30,52.07,$24.32,2.14,$42.39,1.23,$5.97,8.72,$3.97,13.12,$1.81B,$1.57B,1.15,$4.09B,$4.23B,0.97,$7.49B,$3.56B,47.54%,$7.49B,$1.04B,13.87%,$7.49B,$1.04B,13.87%,$7.49B,$1.49B,19.93%,$7.49B,$0.82B,10.89%,$7.49B,$0.70B,9.33%,$0.70B,$4.23B,16.97%,$0.70B,$0.53B,202.32%,$0.70B,$11.88B,5.80%,$1.04B,$8.32B,12.67%,$1441,$733,$708,$0,$496,$1412,$29,$-30,$-1,$11,$-12,$-12,$52,$147,$29,$174,177,$0.30,$0.30,$514,$253,$110,$1808,$5699,$0,$3699,$313,$10069,$11877,$1566,$4089,$1098,$6083,$7649,$1199,$2637,$-112,$4228,$11877,$830,$341,$-128,$214,$-202,$28,$-18,$75,$-117,$927,$-394,$0,$-191,$0,$0,$0,$12,$-573,$-17,$-32,$-49,$17,$17,$-132,$-239,$-402,$-52,$0,$-132
2,2018-03-31,44.19,$25.54,1.73,$40.88,1.08,$5.11,8.65,$3.56,12.41,$2.22B,$1.82B,1.22,$4.19B,$4.42B,0.95,$7.21B,$3.39B,47.04%,$7.21B,$1.01B,13.98%,$7.21B,$1.01B,13.98%,$7.21B,$1.45B,20.08%,$7.21B,$0.74B,10.24%,$7.21B,$0.63B,8.72%,$0.63B,$4.42B,15.62%,$0.63B,$0.58B,230.25%,$0.63B,$12.45B,5.28%,$1.01B,$8.61B,12.45%,$2812,$1560,$1252,$0,$556,$2223,$590,$-68,$521,$113,$408,$408,$276,$702,$590,$174,176,$1.59,$1.57,$485,$228,$102,$2222,$5717,$0,$3845,$303,$10223,$12445,$1818,$4193,$1105,$6207,$8024,$1193,$2657,$-34,$4421,$12445,$842,$223,$-115,$107,$-676,$57,$136,$113,$-370,$579,$-266,$0,$-174,$0,$0,$0,$9,$-432,$60,$-39,$21,$-11,$-11,$-87,$-164,$-240,$-84,$0,$-87
3,2017-12-31,46.44,$23.46,1.98,$37.21,1.25,$4.71,9.87,$3.23,14.38,$2.18B,$2.22B,0.98,$4.06B,$4.08B,0.99,$6.57B,$3.24B,49.34%,$6.57B,$0.93B,14.16%,$6.57B,$0.93B,14.16%,$6.57B,$1.36B,20.68%,$6.57B,$0.65B,9.94%,$6.57B,$0.57B,8.71%,$0.57B,$4.08B,14.67%,$0.57B,$0.26B,240.08%,$0.57B,$12.34B,4.91%,$0.93B,$8.14B,11.74%,$2125,$1137,$988,$0,$490,$1733,$392,$-62,$330,$-104,$434,$434,$366,$502,$392,$174,177,$2.11,$2.07,$466,$307,$170,$2181,$5691,$0,$3827,$283,$10163,$12344,$2216,$4056,$1096,$6046,$8262,$1189,$2429,$-72,$4082,$12344,$434,$110,$-160,$-50,$-531,$-24,$235,$-34,$-353,$31,$-148,$0,$-176,$0,$0,$0,$-4,$-328,$82,$213,$295,$-8,$-8,$-43,$-62,$181,$-112,$0,$-43
4,2017-09-30,46.11,$21.61,2.13,$34.69,1.33,$4.97,9.29,$2.46,18.74,$1.70B,$1.69B,1.0,$4.00B,$3.74B,1.07,$6.12B,$3.28B,53.64%,$6.12B,$1.00B,16.40%,$6.12B,$1.00B,16.40%,$6.12B,$1.42B,23.20%,$6.12B,$0.70B,11.47%,$6.12B,$0.44B,7.14%,$0.44B,$3.74B,11.46%,$0.44B,$0.02B,186.75%,$0.44B,$11.58B,3.84%,$1.00B,$7.74B,12.84%,$1114,$500,$614,$0,$464,$1086,$28,$-62,$-34,$-18,$-17,$-17,$5,$142,$28,$174,177,$0.02,$0.03,$569,$279,$140,$1698,$5537,$0,$3719,$268,$9885,$11582,$1690,$3995,$800,$6151,$7841,$1189,$2107,$-93,$3741,$11582,$524,$416,$193,$609,$-104,$-65,$50,$-50,$-169,$964,$-639,$0,$-102,$0,$0,$0,$-23,$-763,$242,$61,$304,$-32,$-32,$-169,$-249,$-147,$56,$19,$-169
5,2017-06-30,47.39,$22.08,2.15,$33.96,1.4,$5.44,8.71,$2.18,21.74,$1.57B,$1.28B,1.23,$4.02B,$3.84B,1.05,$5.98B,$3.15B,52.69%,$5.98B,$0.89B,14.82%,$5.98B,$0.89B,14.82%,$5.98B,$1.29B,21.57%,$5.98B,$0.58B,9.66%,$5.98B,$0.39B,6.48%,$0.39B,$3.84B,10.27%,$0.39B,$0.24B,165.11%,$0.39B,$11.25B,3.47%,$0.89B,$7.86B,11.48%,$1154,$619,$535,$0,$449,$1156,$-3,$-77,$-79,$-17,$-62,$-62,$-19,$101,$-3,$174,174,$-0.11,$-0.11,$611,$216,$27,$1567,$5422,$0,$3604,$263,$9679,$11246,$1280,$4015,$828,$6126,$7405,$1188,$2152,$-136,$3841,$11246,$541,$302,$135,$436,$-87,$-4,$5,$-45,$-131,$846,$-472,$0,$-53,$0,$0,$0,$-7,$-532,$251,$-133,$118,$-18,$-18,$-126,$-192,$-217,$102,$0,$-126
6,2017-03-31,48.12,$22.64,2.13,$33.75,1.43,$6.08,7.91,$2.63,18.3,$1.94B,$1.37B,1.42,$4.03B,$3.94B,1.02,$5.96B,$3.32B,55.63%,$5.96B,$1.05B,17.55%,$5.96B,$1.05B,17.55%,$5.96B,$1.44B,24.22%,$5.96B,$0.72B,12.06%,$5.96B,$0.47B,7.85%,$0.47B,$3.94B,12.40%,$0.47B,$0.44B,192.99%,$0.47B,$11.39B,4.19%,$1.05B,$7.96B,13.66%,$2174,$1071,$1103,$0,$491,$1661,$513,$-77,$436,$125,$312,$312,$220,$613,$513,$174,177,$1.27,$1.24,$638,$203,$88,$1940,$5299,$0,$3499,$255,$9445,$11386,$1368,$4026,$784,$6080,$7448,$1190,$2214,$-205,$3937,$11386,$603,$197,$62,$260,$-424,$4,$129,$14,$-278,$585,$-342,$0,$-7,$0,$0,$0,$11,$-338,$379,$-216,$162,$-20,$-20,$-82,$-156,$-96,$135,$0,$-82
7,2016-12-31,44.66,$21.47,2.08,$32.75,1.36,$6.79,6.58,$2.72,16.42,$1.91B,$1.58B,1.21,$3.99B,$3.73B,1.07,$5.76B,$3.41B,59.18%,$5.76B,$1.15B,19.93%,$5.76B,$1.15B,19.93%,$5.76B,$1.55B,26.86%,$5.76B,$0.84B,14.60%,$5.76B,$0.48B,8.35%,$0.48B,$3.73B,12.75%,$0.48B,$0.24B,223.72%,$0.48B,$11.30B,4.36%,$1.15B,$7.73B,15.21%,$1680,$647,$1032,$0,$469,$1213,$466,$-88,$379,$88,$291,$291,$231,$564,$466,$174,177,$1.33,$1.30,$523,$228,$144,$1910,$5244,$0,$3495,$260,$9391,$11301,$1575,$3994,$790,$5993,$7567,$1203,$2035,$-217,$3733,$11301,$291,$98,$-55,$43,$-437,$-22,$221,$31,$-207,$127,$-197,$0,$-1,$0,$0,$0,$6,$-192,$259,$-67,$192,$3,$3,$-41,$-56,$99,$12,$0,$-41
8,2016-09-30,43.62,$20.79,2.1,$32.43,1.34,$7.16,6.09,$2.07,21.07,$1.42B,$1.44B,0.99,$3.77B,$3.60B,1.05,$5.69B,$3.25B,57.14%,$5.69B,$0.99B,17.38%,$5.69B,$0.99B,17.38%,$5.69B,$1.39B,24.43%,$5.69B,$0.71B,12.49%,$5.69B,$0.37B,6.42%,$0.37B,$3.60B,9.77%,$0.37B,$0.03B,225.66%,$0.37B,$10.85B,3.35%,$0.99B,$7.36B,13.42%,$976,$494,$483,$0,$491,$1065,$-89,$-69,$-158,$-42,$-116,$-116,$-44,$13,$-89,$173,176,$-0.25,$-0.24,$518,$210,$47,$1424,$5238,$0,$3569,$224,$9423,$10847,$1442,$3766,$829,$5810,$7252,$1202,$1834,$-155,$3595,$10847,$489,$401,$37,$438,$37,$29,$-40,$16,$43,$970,$-564,$0,$-61,$0,$0,$0,$66,$-559,$60,$96,$155,$-34,$-34,$-161,$-236,$-275,$133,$24,$-161
9,2016-06-30,43.4,$22.07,1.97,$33.04,1.31,$8.68,5.0,$2.27,19.12,$1.88B,$1.59B,1.19,$3.74B,$3.84B,0.97,$5.79B,$3.31B,57.12%,$5.79B,$1.07B,18.47%,$5.79B,$1.07B,18.47%,$5.79B,$1.47B,25.41%,$5.79B,$0.80B,13.88%,$5.79B,$0.40B,6.90%,$0.40B,$3.84B,10.72%,$0.40B,$0.27B,253.97%,$0.40B,$11.10B,3.70%,$1.07B,$7.57B,14.73%,$1131,$433,$698,$0,$450,$975,$156,$-94,$62,$34,$29,$29,$61,$254,$156,$173,176,$0.35,$0.34,$919,$184,$53,$1880,$5108,$0,$3569,$205,$9224,$11104,$1587,$3737,$730,$5681,$7267,$1201,$1926,$-157,$3837,$11104,$605,$299,$-24,$275,$-16,$55,$-68,$12,$-17,$863,$-371,$0,$-60,$0,$0,$0,$64,$-367,$406,$-27,$379,$-12,$-12,$-120,$-199,$49,$540,$0,$-120
