,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,8.15,$5.36,1.52,$5.46,1.49,$0.69,11.85,$0.56,14.55,$0.07B,$0.01B,5.34,$0.00B,$0.09B,0.0,$0.09B,$0.03B,30.34%,$0.09B,$0.01B,8.99%,$0.09B,$0.01B,8.99%,$0.09B,$0.01B,11.24%,$0.09B,$0.01B,8.99%,$0.09B,$0.01B,10.11%,$0.01B,$0.09B,10.88%,$0.01B,$0.06B,16.14%,$0.01B,$0.10B,9.07%,$0.01B,$0.09B,9.67%,$20,$14,$6,$1,$3,$19,$2,$0,$2,$0,$1,$1,$1,$2,$2,$16,17,$0.09,$0.09,$25,$23,$0,$66,$9,$0,$27,$0,$36,$102,$12,$0,$0,$4,$16,$2,$-78,$-2,$85,$102,$5,$2,$1,$3,$-0,$3,$0,$-0,$-0,$8,$-2,$0,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$1,$1,$0,$0,$2,$7,$1,$0
1,2018-06-30,9.6,$5.27,1.82,$5.55,1.73,$0.52,18.43,$0.54,17.78,$0.06B,$0.01B,5.85,$0.00B,$0.08B,0.0,$0.09B,$0.03B,30.00%,$0.09B,$0.01B,7.78%,$0.09B,$0.01B,7.78%,$0.09B,$0.01B,11.11%,$0.09B,$0.01B,7.78%,$0.09B,$0.01B,10.00%,$0.01B,$0.08B,11.21%,$0.01B,$0.06B,17.06%,$0.01B,$0.10B,9.28%,$0.01B,$0.08B,8.72%,$23,$16,$7,$1,$4,$21,$2,$0,$2,$0,$2,$2,$2,$2,$2,$16,17,$0.10,$0.10,$21,$25,$0,$64,$8,$0,$27,$0,$35,$99,$11,$0,$0,$4,$15,$2,$-79,$-2,$84,$99,$4,$1,$0,$2,$-1,$1,$0,$0,$-4,$2,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$0,$2,$2,$0,$0
2,2018-03-31,10.0,$5.24,1.91,$5.42,1.85,$0.67,14.86,$0.51,19.61,$0.06B,$0.01B,5.28,$0.00B,$0.08B,0.0,$0.09B,$0.03B,29.89%,$0.09B,$0.01B,6.90%,$0.09B,$0.01B,6.90%,$0.09B,$0.01B,11.49%,$0.09B,$0.01B,6.90%,$0.09B,$0.01B,9.20%,$0.01B,$0.08B,10.32%,$0.01B,$0.06B,16.08%,$0.01B,$0.10B,8.44%,$0.01B,$0.08B,7.74%,$23,$16,$7,$1,$4,$21,$2,$-0,$2,$0,$2,$2,$2,$3,$2,$16,16,$0.14,$0.13,$18,$27,$0,$64,$7,$0,$28,$0,$35,$99,$12,$0,$0,$4,$16,$2,$-81,$-1,$83,$99,$2,$1,$0,$1,$-1,$-1,$0,$-0,$-4,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$1,$1,$0,$0,$1,$0,$0,$0
3,2017-12-31,6.55,$5.05,1.3,$5.40,1.21,$0.88,7.46,$0.49,13.37,$0.06B,$0.01B,4.35,$0.00B,$0.08B,0.0,$0.09B,$0.03B,30.23%,$0.09B,$0.01B,6.98%,$0.09B,$0.01B,6.98%,$0.09B,$0.01B,10.47%,$0.09B,$0.01B,6.98%,$0.09B,$0.01B,9.30%,$0.01B,$0.08B,10.74%,$0.01B,$0.05B,17.11%,$0.01B,$0.10B,8.70%,$0.01B,$0.08B,8.05%,$23,$16,$7,$1,$4,$20,$2,$0,$2,$-2,$4,$4,$4,$3,$2,$16,16,$0.24,$0.23,$18,$26,$0,$62,$8,$0,$28,$0,$35,$97,$14,$0,$0,$4,$18,$2,$-83,$-2,$79,$97,$8,$2,$-1,$1,$-1,$-3,$0,$-1,$-2,$7,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$-0,$1,$8,$1,$0
4,2017-09-30,6.75,$4.78,1.41,$5.39,1.25,$0.93,7.3,$0.36,18.75,$0.06B,$0.01B,4.44,$0.00B,$0.08B,0.0,$0.09B,$0.03B,30.59%,$0.09B,$0.01B,7.06%,$0.09B,$0.01B,7.06%,$0.09B,$0.01B,9.41%,$0.09B,$0.01B,7.06%,$0.09B,$0.01B,7.06%,$0.01B,$0.08B,8.36%,$0.01B,$0.05B,13.64%,$0.01B,$0.09B,6.74%,$0.01B,$0.08B,8.36%,$21,$15,$6,$1,$4,$20,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$16,16,$0.07,$0.07,$15,$25,$0,$58,$8,$0,$28,$0,$35,$93,$13,$0,$0,$6,$19,$2,$-87,$-2,$75,$93,$4,$2,$1,$3,$-2,$-1,$0,$-1,$-3,$4,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$0,$1,$4,$1,$0
5,2017-06-30,7.2,$4.68,1.54,$5.35,1.35,$0.93,7.78,$0.36,20.0,$0.06B,$0.01B,4.62,$0.00B,$0.07B,0.0,$0.08B,$0.03B,30.95%,$0.08B,$0.01B,7.14%,$0.08B,$0.01B,7.14%,$0.08B,$0.01B,9.52%,$0.08B,$0.01B,7.14%,$0.08B,$0.01B,7.14%,$0.01B,$0.07B,8.60%,$0.01B,$0.05B,14.29%,$0.01B,$0.09B,6.92%,$0.01B,$0.07B,8.60%,$20,$14,$6,$1,$4,$19,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$16,16,$0.07,$0.07,$15,$24,$0,$55,$8,$0,$27,$0,$35,$90,$12,$0,$0,$6,$18,$2,$-88,$-2,$73,$90,$3,$1,$0,$2,$-0,$-1,$0,$0,$-0,$4,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$0,$1,$4,$0,$0
6,2017-03-31,5.45,$4.56,1.2,$5.42,1.01,$0.61,8.87,$0.32,17.03,$0.05B,$0.01B,4.57,$0.00B,$0.07B,0.0,$0.08B,$0.03B,30.95%,$0.08B,$0.01B,5.95%,$0.08B,$0.01B,5.95%,$0.08B,$0.01B,8.33%,$0.08B,$0.01B,5.95%,$0.08B,$0.01B,5.95%,$0.01B,$0.07B,7.35%,$0.01B,$0.04B,12.50%,$0.01B,$0.09B,5.88%,$0.01B,$0.07B,7.35%,$22,$15,$7,$1,$4,$20,$2,$-0,$2,$0,$2,$2,$2,$2,$2,$15,16,$0.11,$0.11,$14,$23,$0,$52,$8,$0,$27,$0,$35,$88,$11,$0,$0,$6,$17,$2,$-89,$-3,$71,$88,$2,$1,$0,$1,$-1,$1,$0,$0,$0,$3,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$0,$1,$3,$0,$0
7,2016-12-31,4.95,$4.43,1.12,$5.34,0.93,$0.29,17.15,$0.23,21.52,$0.05B,$0.01B,4.36,$0.00B,$0.07B,0.0,$0.08B,$0.03B,30.12%,$0.08B,$0.00B,3.61%,$0.08B,$0.00B,3.61%,$0.08B,$0.01B,7.23%,$0.08B,$0.00B,3.61%,$0.08B,$0.00B,3.61%,$0.00B,$0.07B,4.49%,$0.00B,$0.04B,7.79%,$0.00B,$0.09B,3.55%,$0.00B,$0.07B,4.49%,$22,$15,$7,$2,$4,$20,$2,$-0,$2,$-0,$2,$2,$2,$2,$2,$15,15,$0.11,$0.11,$11,$23,$0,$49,$8,$0,$27,$0,$35,$85,$11,$0,$0,$6,$17,$2,$-91,$-3,$68,$85,$3,$3,$1,$4,$-1,$2,$0,$1,$1,$8,$-1,$0,$-10,$0,$0,$0,$0,$-11,$0,$0,$0,$-0,$-0,$0,$-0,$-0,$-4,$1,$0
8,2016-09-30,4.11,$4.37,0.94,$5.10,0.81,$0.21,19.22,$0.15,27.4,$0.05B,$0.01B,4.11,$0.00B,$0.07B,0.0,$0.08B,$0.02B,30.00%,$0.08B,$0.00B,2.50%,$0.08B,$0.00B,2.50%,$0.08B,$0.01B,6.25%,$0.08B,$0.00B,1.25%,$0.08B,$0.00B,2.50%,$0.00B,$0.07B,3.02%,$0.00B,$0.04B,5.03%,$0.00B,$0.08B,2.39%,$0.00B,$0.07B,3.02%,$20,$14,$6,$1,$4,$18,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$15,15,$0.07,$0.07,$7,$25,$0,$47,$9,$0,$28,$0,$36,$84,$11,$0,$0,$6,$17,$2,$-92,$-2,$67,$84,$2,$2,$1,$3,$-0,$1,$0,$0,$-1,$4,$-1,$0,$-10,$0,$0,$0,$0,$-11,$0,$0,$0,$-0,$-0,$0,$0,$-0,$-8,$1,$0
9,2016-06-30,5.01,$4.33,1.16,$5.03,1.0,$0.43,11.54,$0.15,33.4,$0.05B,$0.01B,3.87,$0.00B,$0.07B,0.0,$0.08B,$0.02B,30.38%,$0.08B,$0.00B,2.53%,$0.08B,$0.00B,2.53%,$0.08B,$0.01B,6.33%,$0.08B,$0.00B,1.27%,$0.08B,$0.00B,2.53%,$0.00B,$0.07B,3.04%,$0.00B,$0.04B,4.85%,$0.00B,$0.08B,2.41%,$0.00B,$0.07B,3.04%,$20,$14,$6,$1,$4,$20,$0,$-0,$0,$0,$0,$0,$0,$1,$0,$15,15,$0.03,$0.03,$3,$27,$0,$46,$9,$0,$28,$0,$37,$83,$12,$0,$0,$6,$17,$2,$-93,$-2,$66,$83,$1,$1,$0,$2,$-1,$-1,$0,$0,$-3,$-1,$-1,$0,$-10,$0,$0,$0,$0,$-11,$1,$0,$1,$-1,$-1,$0,$0,$0,$-11,$0,$0
