,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,244.39,$30.27,8.07,$103.04,2.37,$12.74,19.19,$10.26,23.82,$1.83B,$0.76B,2.41,$0.00B,$1.81B,0.0,$6.31B,$2.25B,35.60%,$6.31B,$0.82B,13.01%,$6.31B,$0.82B,13.01%,$6.31B,$1.09B,17.21%,$6.31B,$0.82B,13.05%,$6.31B,$0.63B,9.90%,$0.63B,$1.81B,35.79%,$0.63B,$1.81B,35.79%,$0.63B,$3.07B,21.12%,$0.82B,$1.81B,47.02%,$1488,$953,$535,$0,$337,$1294,$194,$1,$195,$47,$148,$148,$148,$263,$194,$60,60,$2.47,$2.46,$386,$1220,$0,$1830,$1213,$0,$0,$11,$1243,$3073,$759,$0,$30,$502,$1261,$1,$1116,$0,$1812,$3073,$313,$138,$14,$152,$-4,$-123,$84,$9,$-77,$388,$-142,$0,$0,$-29,$0,$-29,$0,$-171,$0,$0,$0,$-258,$-258,$0,$0,$-258,$-40,$13,$0
1,2018-04-30,250.91,$29.55,8.49,$99.06,2.53,$9.09,27.61,$9.63,26.06,$1.80B,$0.75B,2.42,$0.00B,$1.78B,0.0,$6.11B,$2.18B,35.67%,$6.11B,$0.81B,13.20%,$6.11B,$0.81B,13.20%,$6.11B,$1.07B,17.44%,$6.11B,$0.81B,13.23%,$6.11B,$0.59B,9.67%,$0.59B,$1.78B,34.72%,$0.59B,$1.78B,34.72%,$0.59B,$3.02B,20.61%,$0.81B,$1.78B,47.41%,$1544,$983,$561,$0,$346,$1334,$210,$1,$211,$47,$164,$164,$164,$279,$210,$61,61,$2.71,$2.70,$469,$1137,$0,$1803,$1191,$0,$0,$10,$1220,$3022,$745,$0,$29,$494,$1239,$1,$1095,$0,$1783,$3022,$164,$69,$8,$77,$-1,$-40,$47,$9,$36,$277,$-74,$0,$0,$-117,$0,$-117,$0,$-191,$0,$0,$0,$-131,$-131,$0,$0,$-131,$-46,$6,$0
2,2018-01-31,222.1,$29.17,7.61,$94.73,2.34,$7.34,30.27,$8.98,24.73,$1.69B,$0.64B,2.64,$0.00B,$1.77B,0.0,$5.89B,$2.10B,35.62%,$5.89B,$0.79B,13.34%,$5.89B,$0.79B,13.34%,$5.89B,$1.04B,17.64%,$5.89B,$0.79B,13.37%,$5.89B,$0.56B,9.43%,$0.56B,$1.77B,33.30%,$0.56B,$1.77B,33.30%,$0.56B,$2.91B,19.90%,$0.79B,$1.77B,47.10%,$1938,$1279,$658,$0,$400,$1683,$254,$0,$255,$47,$208,$208,$208,$319,$254,$62,62,$3.41,$3.38,$397,$1096,$0,$1694,$1189,$0,$0,$9,$1215,$2909,$642,$0,$25,$492,$1134,$1,$1093,$0,$1774,$2909,$555,$253,$5,$258,$-11,$-152,$66,$23,$-33,$779,$-441,$0,$0,$-90,$0,$-90,$0,$-531,$0,$0,$0,$-356,$-356,$0,$-1,$-356,$-108,$24,$0
3,2017-10-31,201.79,$26.46,7.63,$88.61,2.28,$6.02,33.5,$7.82,25.8,$1.65B,$0.72B,2.3,$0.00B,$1.62B,0.0,$5.53B,$1.98B,35.87%,$5.53B,$0.76B,13.66%,$5.53B,$0.76B,13.66%,$5.53B,$1.00B,18.14%,$5.53B,$0.76B,13.68%,$5.53B,$0.49B,8.81%,$0.49B,$1.62B,30.23%,$0.49B,$1.62B,30.23%,$0.49B,$2.84B,18.04%,$0.76B,$1.62B,46.87%,$1342,$849,$493,$0,$321,$1180,$163,$0,$163,$58,$105,$105,$105,$225,$163,$61,62,$1.71,$1.70,$107,$1350,$0,$1646,$1173,$0,$0,$0,$1189,$2835,$715,$0,$25,$504,$1219,$1,$943,$0,$1616,$2835,$347,$188,$16,$203,$6,$-406,$188,$23,$-221,$329,$-338,$0,$0,$-30,$0,$-30,$0,$-368,$0,$0,$0,$-299,$-299,$0,$-1,$-300,$-338,$18,$0
4,2017-07-31,251.21,$26.53,9.47,$84.88,2.96,$6.83,36.78,$7.52,33.41,$1.59B,$0.57B,2.79,$0.00B,$1.64B,0.0,$5.32B,$1.92B,36.05%,$5.32B,$0.73B,13.77%,$5.32B,$0.73B,13.77%,$5.32B,$0.97B,18.26%,$5.32B,$0.73B,13.79%,$5.32B,$0.47B,8.84%,$0.47B,$1.64B,29.94%,$0.47B,$1.64B,29.94%,$0.47B,$2.70B,17.88%,$0.73B,$1.64B,46.63%,$1290,$821,$469,$0,$283,$1110,$180,$1,$180,$66,$114,$114,$114,$243,$180,$62,62,$1.84,$1.83,$273,$1145,$0,$1592,$1095,$0,$0,$0,$1110,$2702,$570,$0,$24,$497,$1067,$1,$970,$0,$1635,$2702,$242,$126,$13,$138,$21,$-201,$54,$13,$-161,$220,$-193,$0,$0,$-150,$0,$-150,$0,$-343,$0,$0,$0,$-169,$-169,$0,$0,$-169,$-292,$12,$0
5,2017-04-30,281.44,$26.45,10.64,$81.22,3.47,$7.52,37.45,$7.12,39.53,$1.67B,$0.58B,2.86,$0.00B,$1.64B,0.0,$5.10B,$1.83B,35.97%,$5.10B,$0.70B,13.66%,$5.10B,$0.70B,13.66%,$5.10B,$0.92B,18.07%,$5.10B,$0.70B,13.68%,$5.10B,$0.45B,8.75%,$0.45B,$1.64B,29.56%,$0.45B,$1.64B,29.56%,$0.45B,$2.71B,17.63%,$0.70B,$1.64B,46.12%,$1315,$839,$476,$0,$283,$1126,$188,$0,$189,$61,$128,$128,$128,$251,$188,$62,63,$2.06,$2.05,$472,$1048,$0,$1673,$1021,$0,$0,$0,$1035,$2708,$584,$0,$22,$482,$1066,$1,$982,$0,$1642,$2708,$128,$62,$7,$70,$26,$-104,$60,$5,$-22,$176,$-77,$0,$0,$-120,$0,$-120,$0,$-197,$0,$0,$0,$-42,$-42,$0,$0,$-42,$-63,$5,$0
6,2017-01-31,272.28,$24.95,10.91,$77.17,3.53,$7.71,35.31,$6.52,41.76,$1.54B,$0.53B,2.9,$0.00B,$1.55B,0.0,$4.86B,$1.75B,35.98%,$4.86B,$0.66B,13.49%,$4.86B,$0.66B,13.49%,$4.86B,$0.87B,17.82%,$4.86B,$0.66B,13.49%,$4.86B,$0.41B,8.44%,$0.41B,$1.55B,28.70%,$0.41B,$1.55B,28.70%,$0.41B,$2.55B,17.03%,$0.66B,$1.55B,45.85%,$1581,$1036,$545,$0,$316,$1356,$224,$0,$224,$84,$140,$140,$140,$284,$224,$63,63,$2.25,$2.24,$415,$944,$0,$1536,$1004,$0,$0,$0,$1016,$2552,$529,$0,$20,$472,$1002,$1,$906,$0,$1550,$2552,$410,$210,$46,$257,$-24,$-182,$63,$34,$-32,$634,$-373,$0,$0,$100,$0,$100,$0,$-273,$0,$0,$0,$-331,$-331,$0,$9,$-322,$39,$19,$0
7,2016-10-31,243.34,$23.30,10.44,$71.75,3.39,$4.75,51.19,$5.97,40.76,$1.54B,$0.66B,2.35,$0.00B,$1.45B,0.0,$4.54B,$1.64B,36.13%,$4.54B,$0.60B,13.21%,$4.54B,$0.60B,13.21%,$4.54B,$0.80B,17.53%,$4.54B,$0.60B,13.23%,$4.54B,$0.38B,8.32%,$0.38B,$1.45B,26.97%,$0.38B,$1.45B,26.97%,$0.38B,$2.55B,16.25%,$0.60B,$1.45B,42.80%,$1131,$704,$427,$0,$280,$992,$140,$0,$140,$52,$88,$88,$88,$193,$140,$62,63,$1.40,$1.40,$243,$1137,$0,$1538,$1002,$0,$0,$0,$1013,$2551,$655,$0,$20,$444,$1099,$1,$813,$0,$1452,$2551,$270,$151,$15,$166,$-1,$-375,$229,$34,$-113,$323,$-281,$0,$0,$20,$0,$20,$0,$-261,$0,$0,$0,$-284,$-284,$0,$9,$-275,$-213,$14,$0
8,2016-07-31,261.21,$22.31,11.71,$67.89,3.85,$2.79,93.47,$5.68,45.99,$1.38B,$0.49B,2.8,$0.00B,$1.39B,0.0,$4.32B,$1.55B,35.86%,$4.32B,$0.57B,13.21%,$4.32B,$0.57B,13.21%,$4.32B,$0.76B,17.49%,$4.32B,$0.57B,13.23%,$4.32B,$0.36B,8.35%,$0.36B,$1.39B,26.12%,$0.36B,$1.39B,26.12%,$0.36B,$2.31B,16.05%,$0.57B,$1.39B,41.31%,$1069,$684,$385,$0,$236,$925,$144,$0,$144,$54,$90,$90,$90,$193,$144,$62,63,$1.44,$1.43,$304,$930,$0,$1376,$920,$0,$0,$0,$930,$2306,$492,$0,$18,$422,$914,$1,$770,$0,$1392,$2306,$182,$98,$7,$104,$9,$-168,$89,$19,$-67,$220,$-150,$0,$0,$20,$0,$20,$0,$-130,$0,$0,$0,$-246,$-246,$0,$5,$-242,$-152,$9,$0
9,2016-04-30,208.28,$21.07,9.88,$64.49,3.23,$1.50,138.8,$5.40,38.57,$1.34B,$0.50B,2.7,$0.00B,$1.32B,0.0,$4.13B,$1.47B,35.62%,$4.13B,$0.55B,13.20%,$4.13B,$0.55B,13.20%,$4.13B,$0.72B,17.43%,$4.13B,$0.55B,13.24%,$4.13B,$0.35B,8.35%,$0.35B,$1.32B,25.18%,$0.35B,$1.32B,25.18%,$0.35B,$2.22B,15.67%,$0.55B,$1.32B,39.77%,$1074,$683,$390,$0,$241,$927,$147,$0,$147,$56,$92,$92,$92,$195,$147,$63,63,$1.46,$1.45,$369,$843,$0,$1338,$871,$0,$0,$0,$881,$2219,$496,$0,$13,$404,$899,$1,$738,$0,$1320,$2219,$92,$48,$2,$50,$11,$-82,$70,$11,$25,$167,$-54,$0,$0,$0,$0,$0,$0,$-54,$0,$0,$0,$-222,$-222,$0,$3,$-219,$-107,$4,$0
