,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.0,$1.33,1.5,$9.04,0.22,$2.38,0.84,$2.51,0.8,$0.20B,$0.09B,2.15,$0.93B,$0.06B,14.73,$0.44B,$0.31B,71.26%,$0.44B,$0.09B,19.54%,$0.44B,$0.09B,19.54%,$0.44B,$0.16B,37.47%,$0.44B,$0.02B,3.91%,$0.44B,$0.15B,33.33%,$0.15B,$0.06B,355.83%,$0.15B,$-0.87B,-15.93%,$0.15B,$1.29B,11.15%,$0.09B,$0.99B,8.63%,$111,$31,$80,$0,$39,$79,$32,$-17,$15,$-8,$23,$23,$23,$52,$32,$45,47,$0.51,$0.49,$46,$0,$39,$198,$26,$0,$935,$128,$1090,$1288,$92,$925,$59,$1133,$1225,$0,$-917,$0,$63,$1288,$25,$60,$-2,$58,$5,$0,$-2,$-43,$-39,$44,$-4,$0,$-5,$0,$0,$0,$13,$4,$-32,$0,$-32,$-7,$-7,$-1,$-1,$-40,$8,$4,$-1
1,2018-06-30,2.1,$0.83,2.52,$9.11,0.23,$1.85,1.13,$2.34,0.9,$0.18B,$0.10B,1.9,$0.93B,$0.04B,23.25,$0.44B,$0.31B,70.41%,$0.44B,$0.06B,13.07%,$0.44B,$0.06B,13.07%,$0.44B,$0.14B,31.65%,$0.44B,$-0.01B,-2.75%,$0.44B,$0.11B,26.15%,$0.11B,$0.04B,2280.00%,$0.11B,$-0.90B,-11.91%,$0.11B,$1.29B,8.70%,$0.06B,$0.97B,5.91%,$115,$30,$85,$0,$52,$90,$25,$-16,$8,$-16,$24,$24,$24,$44,$25,$46,48,$0.51,$0.49,$37,$0,$37,$182,$24,$0,$939,$146,$1108,$1290,$96,$930,$67,$1154,$1250,$0,$-940,$0,$40,$1290,$1,$40,$6,$46,$11,$0,$-0,$-24,$-13,$34,$-2,$0,$0,$0,$0,$0,$0,$-2,$-26,$0,$-26,$-6,$-6,$-1,$-1,$-33,$-1,$3,$-1
2,2018-03-31,2.05,$0.36,5.74,$9.17,0.22,$1.37,1.5,$1.87,1.1,$0.19B,$0.09B,2.09,$0.96B,$0.02B,55.19,$0.44B,$0.31B,69.93%,$0.44B,$0.04B,10.02%,$0.44B,$0.04B,10.02%,$0.44B,$0.13B,28.70%,$0.44B,$-0.02B,-4.33%,$0.44B,$0.09B,20.73%,$0.09B,$0.02B,-391.40%,$0.09B,$-0.94B,-9.09%,$0.09B,$1.31B,6.85%,$0.04B,$0.97B,4.60%,$100,$32,$67,$0,$45,$92,$7,$-17,$-10,$13,$-23,$-23,$-23,$28,$7,$47,47,$-0.48,$-0.48,$44,$0,$38,$191,$24,$0,$958,$132,$1115,$1306,$91,$956,$68,$1197,$1288,$0,$-964,$0,$17,$1306,$-23,$20,$21,$41,$13,$0,$-1,$-10,$4,$22,$-1,$0,$0,$0,$0,$0,$0,$-1,$-11,$-1,$-12,$-3,$-3,$0,$-0,$-15,$6,$1,$0
3,2017-12-31,1.75,$0.88,1.99,$9.15,0.19,$0.83,2.1,$2.30,0.76,$0.20B,$0.08B,2.47,$0.97B,$0.04B,22.67,$0.44B,$0.31B,70.23%,$0.44B,$0.05B,12.05%,$0.44B,$0.05B,12.05%,$0.44B,$0.14B,30.68%,$0.44B,$-0.01B,-2.50%,$0.44B,$0.11B,25.45%,$0.11B,$0.04B,-244.81%,$0.11B,$-0.93B,-10.81%,$0.11B,$1.32B,8.36%,$0.05B,$1.01B,5.61%,$109,$31,$78,$0,$49,$88,$21,$-16,$4,$-117,$122,$122,$121,$39,$21,$47,50,$2.57,$2.45,$38,$0,$41,$200,$25,$0,$971,$120,$1117,$1317,$81,$967,$67,$1193,$1274,$0,$-941,$0,$43,$1317,$112,$82,$-100,$-17,$-7,$0,$1,$-52,$-67,$28,$-7,$0,$-7,$0,$0,$0,$27,$13,$-41,$5,$-36,$-5,$-5,$0,$-9,$-50,$-9,$5,$0
4,2017-09-30,1.65,$-1.65,-1.0,$9.32,0.18,$1.31,1.26,$-0.27,0.0,$0.22B,$0.08B,2.62,$0.99B,$-0.08B,-12.31,$0.45B,$0.31B,68.99%,$0.45B,$0.05B,11.01%,$0.45B,$0.05B,11.01%,$0.45B,$0.14B,31.24%,$0.45B,$-0.02B,-3.82%,$0.45B,$-0.01B,-2.70%,$-0.01B,$-0.08B,16.16%,$-0.01B,$-1.06B,1.11%,$-0.01B,$1.33B,-0.89%,$0.05B,$0.91B,5.29%,$112,$35,$77,$0,$48,$109,$4,$-17,$-14,$-6,$-8,$-8,$-8,$27,$4,$47,47,$-0.17,$-0.17,$53,$0,$46,$218,$24,$0,$978,$105,$1107,$1326,$83,$987,$58,$1322,$1406,$0,$-1062,$0,$-80,$1326,$-9,$64,$17,$81,$-6,$0,$-0,$-39,$-52,$20,$-4,$0,$-7,$0,$0,$0,$27,$16,$329,$-345,$-16,$-4,$-4,$0,$-9,$-29,$6,$2,$0
5,2017-06-30,2.25,$-1.55,-1.45,$9.25,0.24,$1.63,1.38,$-0.11,0.0,$0.23B,$0.08B,2.71,$1.01B,$-0.07B,-13.72,$0.44B,$0.31B,69.59%,$0.44B,$0.07B,15.77%,$0.44B,$0.07B,15.77%,$0.44B,$0.16B,35.81%,$0.44B,$0.00B,0.23%,$0.44B,$-0.00B,-0.90%,$-0.00B,$-0.07B,5.65%,$-0.00B,$-1.08B,0.37%,$-0.00B,$1.36B,-0.29%,$0.07B,$0.93B,7.50%,$118,$33,$85,$0,$51,$106,$12,$-11,$1,$0,$1,$1,$1,$32,$12,$48,48,$0.02,$0.02,$65,$0,$46,$225,$25,$0,$1002,$110,$1137,$1362,$83,$1007,$61,$1352,$1435,$0,$-1054,$0,$-73,$1362,$-1,$41,$6,$47,$-2,$0,$-2,$-24,$-34,$12,$-4,$0,$-7,$0,$0,$0,$25,$14,$349,$-345,$4,$-3,$-3,$0,$-9,$-8,$19,$0,$0
6,2017-03-31,3.3,$-1.52,-2.17,$9.31,0.35,$1.66,1.99,$0.02,165.0,$0.20B,$0.09B,2.3,$1.00B,$-0.07B,-13.65,$0.45B,$0.32B,70.38%,$0.45B,$0.09B,19.15%,$0.45B,$0.09B,19.15%,$0.45B,$0.18B,38.98%,$0.45B,$0.01B,2.23%,$0.45B,$0.00B,0.45%,$0.00B,$-0.07B,-2.91%,$0.00B,$-1.08B,-0.18%,$0.00B,$1.35B,0.15%,$0.09B,$0.93B,9.21%,$101,$32,$69,$0,$45,$85,$16,$-19,$-2,$-0,$-2,$-2,$-2,$37,$16,$48,48,$-0.05,$-0.05,$41,$0,$44,$201,$24,$0,$1009,$118,$1152,$1353,$88,$1003,$51,$1339,$1426,$0,$-1055,$0,$-73,$1353,$-2,$21,$-0,$21,$-0,$0,$-0,$-14,$-21,$-3,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$-1,$-1,$-1,$-1,$0,$0,$-2,$-6,$0,$0
7,2016-12-31,2.9,$-1.46,-1.98,$9.44,0.31,$1.93,1.51,$-0.01,0.0,$0.20B,$0.09B,2.16,$1.00B,$-0.07B,-14.1,$0.46B,$0.32B,70.46%,$0.46B,$0.09B,19.47%,$0.46B,$0.09B,19.47%,$0.46B,$0.18B,39.39%,$0.46B,$0.01B,2.19%,$0.46B,0,0.00%,$0.00B,$-0.07B,0.00%,$0.00B,$-1.09B,0.00%,$0.00B,$1.36B,0.00%,$0.09B,$0.93B,9.50%,$114,$37,$76,$0,$49,$96,$17,$-19,$-2,$1,$-3,$-3,$-3,$43,$17,$48,48,$-0.07,$-0.07,$47,$0,$41,$200,$25,$0,$1018,$116,$1159,$1359,$92,$1003,$50,$1337,$1430,$0,$-1053,$0,$-71,$1359,$1,$92,$11,$103,$1,$0,$-1,$-57,$-56,$48,$-5,$0,$-2,$0,$-35,$-35,$0,$-42,$-17,$-4,$-21,$-4,$-4,$-2,$-0,$-27,$-21,$3,$-2
8,2016-09-30,3.03,$-1.36,-2.23,$9.34,0.32,$1.74,1.74,$-0.44,0.0,$0.22B,$0.09B,2.46,$1.00B,$-0.07B,-15.17,$0.45B,$0.32B,70.80%,$0.45B,$0.06B,13.50%,$0.45B,$0.06B,13.50%,$0.45B,$0.15B,33.41%,$0.45B,$-0.02B,-4.42%,$0.45B,$-0.02B,-4.65%,$-0.02B,$-0.07B,30.11%,$-0.02B,$-1.09B,1.90%,$-0.02B,$1.36B,-1.56%,$0.06B,$0.94B,6.48%,$111,$32,$79,$0,$46,$86,$25,$-20,$4,$4,$-0,$-0,$-0,$47,$25,$47,47,$-0.01,$-0.01,$72,$0,$37,$218,$26,$0,$1026,$90,$1141,$1360,$89,$1002,$51,$1337,$1426,$0,$-1049,$0,$-66,$1360,$4,$66,$7,$73,$4,$0,$-3,$-40,$-43,$35,$-4,$0,$-2,$0,$0,$0,$0,$-6,$-17,$-3,$-20,$-4,$-4,$0,$-0,$-24,$5,$2,$0
9,2016-06-30,3.19,$-1.33,-2.4,$9.41,0.34,$1.60,1.99,$-0.81,0.0,$0.20B,$0.09B,2.35,$1.00B,$-0.07B,-15.32,$0.46B,$0.32B,70.90%,$0.46B,$0.04B,9.41%,$0.46B,$0.04B,9.41%,$0.46B,$0.13B,29.32%,$0.46B,$-0.04B,-8.10%,$0.46B,$-0.04B,-8.53%,$-0.04B,$-0.07B,59.77%,$-0.04B,$-1.10B,3.51%,$-0.04B,$1.35B,-2.89%,$0.04B,$0.94B,4.52%,$123,$31,$92,$0,$56,$95,$28,$-18,$10,$2,$8,$8,$7,$48,$28,$48,49,$0.15,$0.15,$54,$0,$35,$203,$28,$0,$1032,$87,$1147,$1351,$87,$1002,$48,$1329,$1416,$0,$-1049,$0,$-65,$1351,$4,$43,$3,$46,$-2,$0,$-3,$-31,$-38,$12,$-2,$0,$-2,$0,$0,$0,$0,$-4,$-17,$-2,$-19,$-2,$-2,$0,$-0,$-21,$-13,$2,$0
