,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,20.23,$8.90,2.27,$63.40,0.32,$11.53,1.75,$2.68,7.55,$0.07B,$0.07B,1.05,$0.09B,$0.07B,1.16,$0.52B,$0.26B,50.58%,$0.52B,$0.02B,3.29%,$0.52B,$0.02B,3.29%,$0.52B,$0.05B,9.30%,$0.52B,$0.01B,2.71%,$0.52B,$0.02B,4.26%,$0.02B,$0.07B,31.77%,$0.02B,$0.07B,31.77%,$0.02B,$0.25B,8.76%,$0.02B,$0.16B,11.02%,$133,$66,$66,$0,$42,$127,$6,$-1,$5,$1,$3,$3,$3,$13,$6,$8,8,$0.40,$0.40,$0,$0,$2,$68,$184,$0,$0,$1,$186,$253,$65,$86,$8,$115,$179,$0,$72,$0,$74,$253,$7,$21,$-3,$19,$-3,$2,$0,$0,$3,$29,$-4,$0,$0,$0,$0,$0,$5,$1,$-31,$1,$-30,$0,$0,$0,$-0,$-30,$-0,$1,$0
1,2018-06-30,23.47,$8.44,2.78,$61.52,0.38,$11.23,2.09,$2.33,10.07,$0.08B,$0.07B,1.11,$0.08B,$0.07B,1.15,$0.50B,$0.26B,51.31%,$0.50B,$0.01B,2.62%,$0.50B,$0.01B,2.62%,$0.50B,$0.04B,8.85%,$0.50B,$0.01B,2.01%,$0.50B,$0.02B,3.82%,$0.02B,$0.07B,29.92%,$0.02B,$0.07B,29.92%,$0.02B,$0.25B,7.50%,$0.01B,$0.15B,8.47%,$135,$70,$66,$0,$41,$131,$4,$-1,$3,$1,$3,$3,$3,$12,$4,$8,8,$0.31,$0.31,$0,$0,$2,$79,$170,$0,$0,$1,$171,$250,$71,$81,$8,$109,$180,$0,$69,$0,$70,$250,$4,$15,$-4,$11,$-7,$1,$0,$0,$4,$18,$-2,$0,$0,$0,$0,$0,$0,$-2,$-17,$0,$-17,$-0,$-0,$0,$0,$-17,$-0,$0,$0
2,2018-03-31,25.49,$8.17,3.12,$58.43,0.44,$11.15,2.29,$1.67,15.26,$0.07B,$0.07B,0.99,$0.08B,$0.07B,1.21,$0.47B,$0.25B,52.24%,$0.47B,$0.01B,1.28%,$0.47B,$0.01B,1.28%,$0.47B,$0.04B,7.68%,$0.47B,$0.00B,0.64%,$0.47B,$0.01B,2.77%,$0.01B,$0.07B,22.13%,$0.01B,$0.07B,22.13%,$0.01B,$0.25B,5.07%,$0.01B,$0.15B,3.83%,$125,$63,$62,$0,$42,$123,$2,$-1,$1,$0,$1,$1,$1,$10,$2,$8,8,$0.13,$0.13,$0,$0,$0,$66,$180,$0,$0,$1,$181,$247,$67,$81,$11,$113,$180,$0,$66,$0,$67,$247,$1,$7,$-2,$5,$-1,$-1,$0,$0,$9,$16,$1,$0,$0,$0,$0,$0,$0,$1,$-17,$0,$-17,$-0,$-0,$0,$0,$-17,$-0,$-0,$0
3,2017-12-31,18.13,$8.02,2.26,$55.60,0.33,$10.36,1.75,$0.93,19.49,$0.07B,$0.06B,1.01,$0.09B,$0.07B,1.36,$0.45B,$0.24B,52.91%,$0.45B,$-0.00B,-0.45%,$0.45B,$-0.00B,-0.45%,$0.45B,$0.03B,6.05%,$0.45B,$-0.01B,-1.35%,$0.45B,$0.01B,1.57%,$0.01B,$0.07B,12.61%,$0.01B,$0.07B,12.61%,$0.01B,$0.25B,2.66%,$-0.00B,$0.16B,-1.24%,$123,$56,$67,$0,$44,$118,$5,$-1,$5,$-10,$15,$15,$15,$13,$5,$8,8,$1.84,$1.84,$0,$0,$0,$65,$188,$0,$0,$1,$189,$254,$64,$90,$11,$123,$187,$0,$65,$0,$66,$254,$7,$28,$-17,$12,$2,$0,$0,$-0,$16,$35,$-0,$0,$0,$0,$0,$0,$11,$11,$-45,$-1,$-46,$-0,$-0,$0,$0,$-46,$-0,$0,$0
4,2017-09-30,14.05,$6.21,2.26,$52.36,0.27,$4.60,3.05,$-1.39,0.0,$0.07B,$0.06B,1.05,$0.11B,$0.05B,2.06,$0.43B,$0.22B,52.58%,$0.43B,$-0.01B,-2.82%,$0.43B,$-0.01B,-2.82%,$0.43B,$0.02B,3.99%,$0.43B,$-0.02B,-3.99%,$0.43B,$-0.01B,-2.82%,$-0.01B,$0.05B,-22.33%,$-0.01B,$0.05B,-22.33%,$-0.01B,$0.26B,-4.40%,$-0.01B,$0.16B,-7.09%,$114,$54,$60,$0,$40,$112,$2,$-1,$1,$0,$0,$0,$0,$9,$2,$8,8,$0.05,$0.05,$0,$0,$1,$67,$195,$0,$0,$1,$196,$263,$64,$106,$9,$148,$212,$0,$51,$0,$51,$263,$-7,$21,$-6,$15,$-2,$3,$0,$0,$13,$20,$2,$0,$0,$0,$0,$0,$11,$13,$-32,$-1,$-33,$-0,$-0,$0,$0,$-33,$0,$0,$0
5,2017-06-30,8.66,$6.14,1.41,$51.22,0.17,$0.06,154.92,$-1.53,0.0,$0.07B,$0.06B,1.17,$0.11B,$0.05B,2.19,$0.42B,$0.22B,53.00%,$0.42B,$-0.01B,-3.36%,$0.42B,$-0.01B,-3.36%,$0.42B,$0.02B,3.60%,$0.42B,$-0.02B,-4.56%,$0.42B,$-0.01B,-3.12%,$-0.01B,$0.05B,-23.01%,$-0.01B,$0.05B,-23.01%,$-0.01B,$0.26B,-4.56%,$-0.01B,$0.16B,-7.82%,$107,$51,$56,$0,$39,$110,$-3,$-1,$-4,$-1,$-3,$-3,$-3,$4,$-3,$8,8,$-0.35,$-0.35,$0,$0,$1,$66,$194,$0,$0,$1,$195,$261,$56,$112,$9,$153,$210,$0,$50,$0,$51,$261,$-8,$15,$-6,$8,$1,$2,$0,$0,$9,$9,$6,$0,$0,$0,$0,$0,$11,$17,$-25,$-2,$-27,$-0,$-0,$0,$0,$-27,$0,$0,$0
6,2017-03-31,7.35,$6.54,1.12,$50.43,0.15,$-1.80,0.0,$-1.33,0.0,$0.07B,$0.06B,1.13,$0.11B,$0.05B,2.11,$0.42B,$0.23B,53.57%,$0.42B,$-0.01B,-2.86%,$0.42B,$-0.01B,-2.86%,$0.42B,$0.02B,4.29%,$0.42B,$-0.02B,-3.81%,$0.42B,$-0.01B,-2.62%,$-0.01B,$0.05B,-17.96%,$-0.01B,$0.05B,-17.96%,$-0.01B,$0.27B,-3.73%,$-0.01B,$0.17B,-6.50%,$102,$48,$53,$0,$43,$108,$-6,$-1,$-8,$-3,$-5,$-5,$-5,$1,$-6,$8,8,$-0.61,$-0.61,$0,$0,$2,$70,$202,$0,$0,$1,$203,$273,$62,$113,$9,$158,$220,$0,$53,$0,$54,$273,$-5,$8,$-4,$4,$1,$-0,$0,$0,$9,$8,$2,$0,$0,$0,$0,$0,$11,$13,$-21,$-1,$-21,$0,$0,$0,$0,$-21,$-0,$0,$0
7,2016-12-31,8.71,$7.05,1.23,$49.51,0.18,$-2.32,0.0,$-0.91,0.0,$0.07B,$0.06B,1.28,$0.13B,$0.06B,2.25,$0.43B,$0.24B,55.01%,$0.43B,$-0.01B,-1.86%,$0.43B,$-0.01B,-1.86%,$0.43B,$0.02B,5.13%,$0.43B,$-0.01B,-2.56%,$0.43B,$-0.01B,-1.86%,$-0.01B,$0.06B,-11.59%,$-0.01B,$0.06B,-11.59%,$-0.01B,$0.30B,-2.68%,$-0.01B,$0.19B,-4.30%,$103,$48,$55,$0,$39,$108,$-5,$-1,$-6,$-2,$-4,$-4,$-4,$3,$-5,$9,9,$-0.47,$-0.47,$0,$0,$5,$73,$220,$0,$0,$1,$221,$295,$58,$132,$9,$179,$236,$0,$58,$0,$59,$295,$-8,$30,$4,$34,$2,$-1,$0,$0,$-4,$22,$-34,$0,$0,$0,$0,$0,$0,$-34,$40,$0,$40,$-28,$-28,$0,$-0,$12,$0,$1,$0
8,2016-09-30,10.24,$7.48,1.37,$48.79,0.21,$2.20,4.66,$-0.04,0.0,$0.08B,$0.07B,1.23,$0.13B,$0.06B,2.16,$0.44B,$0.25B,55.86%,$0.44B,$0.00B,0.90%,$0.44B,$0.00B,0.90%,$0.44B,$0.03B,7.66%,$0.44B,$0.00B,0.45%,$0.44B,0,0.00%,$0.00B,$0.06B,0.00%,$0.00B,$0.06B,0.00%,$0.00B,$0.31B,0.00%,$0.00B,$0.20B,2.17%,$105,$48,$57,$0,$38,$105,$0,$-1,$-1,$-0,$-1,$-1,$-1,$7,$0,$8,8,$-0.09,$-0.09,$0,$0,$9,$81,$229,$0,$0,$1,$230,$311,$66,$134,$9,$183,$249,$0,$62,$0,$62,$311,$-4,$22,$4,$26,$-3,$2,$0,$0,$3,$25,$-40,$0,$0,$0,$0,$0,$0,$-40,$42,$2,$43,$-28,$-28,$0,$-0,$15,$0,$1,$0
9,2016-06-30,17.51,$8.08,2.17,$47.51,0.37,$8.32,2.1,$0.31,56.48,$0.08B,$0.07B,1.18,$0.12B,$0.07B,1.65,$0.46B,$0.26B,56.49%,$0.46B,$0.01B,1.95%,$0.46B,$0.01B,1.95%,$0.46B,$0.04B,8.87%,$0.46B,$0.01B,1.73%,$0.46B,$0.00B,0.87%,$0.00B,$0.07B,4.55%,$0.00B,$0.07B,4.55%,$0.00B,$0.30B,1.38%,$0.01B,$0.19B,5.06%,$110,$49,$60,$0,$40,$110,$-1,$-1,$-1,$-0,$-1,$-1,$-1,$7,$-1,$9,9,$-0.15,$-0.15,$1,$0,$6,$77,$222,$0,$0,$1,$224,$301,$66,$116,$9,$165,$231,$0,$63,$0,$70,$301,$-3,$15,$4,$19,$-1,$0,$0,$0,$-0,$15,$-14,$0,$0,$0,$0,$0,$0,$-14,$23,$-2,$21,$-21,$-21,$0,$-0,$0,$1,$0,$0
