,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-03-31,9.0,$2.16,4.17,$2.68,3.35,$-0.10,0.0,$-0.22,0.0,$0.06B,$0.04B,1.34,$0.03B,$0.11B,0.29,$0.13B,$0.04B,27.91%,$0.13B,$-0.01B,-3.88%,$0.13B,$-0.01B,-3.88%,$0.13B,$0.00B,3.10%,$0.13B,$-0.01B,-3.88%,$0.13B,$-0.01B,-10.08%,$-0.01B,$0.12B,-12.94%,$-0.01B,$0.02B,-27.51%,$-0.01B,$0.19B,-8.54%,$-0.01B,$0.15B,-4.25%,$36,$24,$12,$0,$10,$36,$-1,$-0,$-1,$-2,$1,$1,$1,$2,$-1,$54,54,$0.02,$0.02,$17,$11,$0,$57,$12,$0,$94,$1,$134,$191,$43,$33,$0,$33,$75,$308,$-195,$0,$116,$191,$-12,$6,$9,$15,$-13,$-6,$0,$10,$5,$9,$-3,$0,$-65,$0,$0,$0,$0,$-68,$21,$3,$24,$40,$40,$0,$-0,$64,$4,$2,$0
1,2017-12-31,9.75,$2.13,4.58,$2.68,3.64,$-0.39,0.0,$-0.24,0.0,$0.05B,$0.04B,1.36,$0.03B,$0.11B,0.31,$0.12B,$0.03B,26.05%,$0.12B,$-0.00B,-3.36%,$0.12B,$-0.00B,-3.36%,$0.12B,$0.00B,3.36%,$0.12B,$-0.00B,-3.36%,$0.12B,$-0.01B,-11.76%,$-0.01B,$0.11B,-15.95%,$-0.01B,$0.02B,-25.45%,$-0.01B,$0.19B,-11.05%,$-0.00B,$0.15B,-4.12%,$33,$23,$9,$0,$8,$36,$-3,$-0,$-3,$9,$-13,$-13,$-13,$-1,$-3,$52,52,$-0.24,$-0.24,$15,$11,$0,$50,$13,$0,$95,$1,$135,$185,$36,$34,$0,$34,$70,$307,$-196,$0,$114,$185,$-13,$3,$10,$14,$-5,$-6,$7,$7,$3,$4,$-2,$0,$-65,$0,$0,$0,$0,$-67,$16,$10,$26,$40,$40,$0,$-0,$65,$3,$1,$0
2,2017-09-30,6.25,$2.11,2.96,$2.59,2.41,$-0.61,0.0,$0.01,625.0,$0.08B,$0.03B,2.67,$0.00B,$0.10B,0.01,$0.11B,$0.03B,25.93%,$0.11B,$-0.00B,-0.93%,$0.11B,$-0.00B,-0.93%,$0.11B,$0.01B,5.56%,$0.11B,$-0.00B,-0.93%,$0.11B,$-0.00B,-0.93%,$-0.00B,$0.11B,-1.32%,$-0.00B,$0.09B,-1.58%,$-0.00B,$0.14B,-0.98%,$-0.00B,$0.11B,-1.31%,$26,$18,$7,$0,$7,$26,$-1,$-0,$-1,$-0,$-0,$-0,$-1,$1,$-1,$48,48,$-0.01,$-0.01,$52,$8,$0,$75,$12,$0,$12,$1,$61,$135,$28,$1,$0,$1,$29,$286,$-184,$0,$106,$135,$-0,$1,$0,$2,$-3,$-4,$-2,$9,$-0,$1,$-1,$0,$0,$0,$0,$0,$0,$-1,$-1,$0,$-1,$40,$40,$0,$0,$39,$39,$1,$0
3,2017-06-30,5.2,$1.63,3.19,$2.61,1.99,$-0.79,0.0,$-0.05,0.0,$0.04B,$0.03B,1.19,$0.00B,$0.06B,0.02,$0.10B,$0.03B,25.96%,$0.10B,$-0.00B,-0.96%,$0.10B,$-0.00B,-0.96%,$0.10B,$0.01B,4.81%,$0.10B,$-0.00B,-2.88%,$0.10B,$-0.00B,-2.88%,$-0.00B,$0.07B,-4.62%,$-0.00B,$0.05B,-5.69%,$-0.00B,$0.10B,-3.33%,$-0.00B,$0.07B,-1.51%,$34,$27,$8,$0,$7,$34,$0,$-0,$0,$-0,$0,$0,$0,$2,$0,$40,40,$0.00,$0.00,$13,$5,$0,$37,$12,$0,$12,$1,$61,$98,$31,$1,$0,$1,$32,$246,$-183,$0,$66,$98,$-2,$6,$2,$8,$-3,$-2,$4,$-13,$-14,$-7,$-4,$0,$0,$0,$0,$0,$0,$-4,$-2,$-0,$-2,$6,$6,$0,$-0,$4,$-7,$1,$0
4,2017-03-31,4.25,$1.61,2.64,$2.36,1.8,$-0.36,0.0,$-0.08,0.0,$0.04B,$0.02B,1.53,$0.00B,$0.06B,0.02,$0.09B,$0.03B,27.17%,$0.09B,$-0.00B,-3.26%,$0.09B,$-0.00B,-3.26%,$0.09B,$0.00B,3.26%,$0.09B,$-0.01B,-5.43%,$0.09B,$-0.00B,-4.35%,$-0.00B,$0.07B,-6.43%,$-0.00B,$0.05B,-8.00%,$-0.00B,$0.09B,-4.61%,$-0.00B,$0.07B,-4.71%,$26,$20,$7,$0,$6,$26,$0,$-0,$0,$0,$0,$0,$-0,$2,$0,$40,40,$0.00,$0.00,$18,$4,$0,$35,$9,$0,$12,$0,$54,$89,$23,$1,$0,$1,$24,$245,$-184,$0,$65,$89,$-2,$4,$3,$7,$-2,$-2,$0,$-3,$-9,$-4,$-3,$0,$0,$0,$0,$0,$0,$-3,$-1,$0,$-1,$6,$6,$0,$-0,$6,$-1,$1,$0
5,2016-12-31,4.3,$1.60,2.68,$2.26,1.9,$-0.04,0.0,$-0.24,0.0,$0.04B,$0.02B,1.73,$0.00B,$0.06B,0.02,$0.09B,$0.02B,27.91%,$0.09B,$-0.00B,-4.65%,$0.09B,$-0.00B,-4.65%,$0.09B,$0.00B,2.33%,$0.09B,$-0.01B,-12.79%,$0.09B,$-0.01B,-11.63%,$-0.01B,$0.07B,-17.09%,$-0.01B,$0.05B,-21.74%,$-0.01B,$0.09B,-11.76%,$-0.00B,$0.07B,-6.64%,$22,$15,$6,$0,$6,$22,$0,$-0,$0,$0,$0,$0,$0,$1,$0,$40,41,$0.01,$0.01,$18,$5,$0,$35,$9,$0,$12,$0,$51,$86,$20,$1,$0,$1,$22,$245,$-184,$0,$65,$86,$-2,$3,$2,$5,$-2,$-3,$-4,$1,$-8,$-5,$-2,$0,$0,$0,$0,$0,$0,$-2,$-0,$0,$-0,$6,$6,$0,$0,$6,$-1,$0,$0
6,2016-09-30,5.61,$1.59,3.52,$2.24,2.5,$0.15,37.17,$-0.27,0.0,$0.04B,$0.02B,1.65,$0.00B,$0.06B,0.03,$0.08B,$0.02B,27.71%,$0.08B,$-0.00B,-3.61%,$0.08B,$-0.00B,-3.61%,$0.08B,$0.00B,3.61%,$0.08B,$-0.01B,-14.46%,$0.08B,$-0.01B,-13.25%,$-0.01B,$0.06B,-19.82%,$-0.01B,$0.05B,-24.86%,$-0.01B,$0.09B,-13.33%,$-0.00B,$0.07B,-5.22%,$22,$15,$6,$0,$7,$23,$-1,$-2,$-3,$-0,$-2,$-2,$-3,$0,$-1,$38,38,$-0.07,$-0.07,$18,$4,$0,$35,$10,$0,$12,$0,$52,$87,$21,$2,$0,$2,$23,$245,$-184,$0,$64,$87,$-2,$1,$2,$3,$-1,$-2,$-3,$-0,$-7,$-6,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$6,$6,$0,$0,$6,$-1,$0,$0
7,2016-06-30,4.27,$1.46,2.93,$2.14,2.0,$0.34,12.39,$-0.21,0.0,$0.03B,$0.03B,1.09,$0.00B,$0.05B,0.03,$0.08B,$0.02B,28.21%,$0.08B,$-0.00B,-2.56%,$0.08B,$-0.00B,-2.56%,$0.08B,$0.00B,5.13%,$0.08B,$-0.01B,-11.54%,$0.08B,$-0.01B,-10.26%,$-0.01B,$0.06B,-15.09%,$-0.01B,$0.04B,-18.71%,$-0.01B,$0.09B,-10.09%,$-0.00B,$0.06B,-3.64%,$22,$16,$6,$0,$7,$24,$-2,$0,$-2,$-1,$-1,$-1,$-1,$0,$-2,$36,36,$-0.03,$-0.02,$19,$2,$0,$31,$10,$0,$13,$0,$54,$85,$28,$2,$0,$2,$30,$233,$-182,$0,$55,$85,$-7,$6,$1,$7,$-0,$1,$3,$-4,$0,$6,$-0,$0,$-6,$0,$0,$0,$0,$-6,$-1,$3,$2,$5,$5,$0,$0,$7,$8,$1,$0
8,2016-03-31,4.36,$1.38,3.16,$2.03,2.15,$0.22,20.1,$-0.20,0.0,$0.03B,$0.03B,0.99,$0.00B,$0.05B,0.04,$0.07B,$0.02B,28.38%,$0.07B,0,0.00%,$0.07B,0,0.00%,$0.07B,$0.01B,6.76%,$0.07B,$-0.01B,-9.46%,$0.07B,$-0.01B,-9.46%,$-0.01B,$0.05B,-13.33%,$-0.01B,$0.04B,-16.18%,$-0.01B,$0.08B,-9.12%,$0.00B,$0.05B,0.00%,$20,$15,$6,$0,$6,$21,$-1,$-5,$-6,$-0,$-5,$-5,$-6,$1,$-1,$36,36,$-0.16,$-0.16,$15,$2,$0,$30,$11,$0,$13,$0,$53,$82,$30,$2,$0,$2,$32,$228,$-181,$0,$50,$82,$-6,$4,$7,$11,$-2,$1,$1,$-2,$-0,$5,$-0,$0,$-6,$0,$0,$0,$0,$-6,$-1,$3,$3,$2,$2,$0,$0,$4,$4,$0,$0
9,2015-12-31,3.08,$1.49,2.07,$1.89,1.63,$0.05,61.35,$-0.07,0.0,$0.03B,$0.02B,1.54,$0.00B,$0.05B,0.03,$0.07B,$0.02B,28.99%,$0.07B,$0.00B,2.90%,$0.07B,$0.00B,2.90%,$0.07B,$0.01B,8.70%,$0.07B,$-0.00B,-1.45%,$0.07B,$-0.00B,-2.90%,$-0.00B,$0.05B,-3.76%,$-0.00B,$0.05B,-4.42%,$-0.00B,$0.08B,-2.71%,$0.00B,$0.06B,3.62%,$19,$13,$5,$0,$5,$18,$1,$-1,$-1,$0,$-1,$-1,$-1,$2,$1,$36,36,$-0.02,$-0.02,$15,$3,$0,$28,$11,$0,$8,$0,$47,$76,$18,$2,$2,$4,$22,$225,$-175,$0,$53,$76,$-1,$3,$2,$4,$-0,$1,$-3,$-1,$-3,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$3,$3,$-0,$-0,$0,$0,$3,$3,$0,$0
10,2015-09-30,2.49,$1.51,1.65,$1.74,1.43,$-0.00,0.0,$-0.06,0.0,$0.03B,$0.02B,1.44,$0.00B,$0.05B,0.04,$0.06B,$0.02B,30.16%,$0.06B,$0.00B,1.59%,$0.06B,$0.00B,1.59%,$0.06B,$0.01B,7.94%,$0.06B,0,0.00%,$0.06B,$-0.00B,-1.59%,$-0.00B,$0.05B,-1.87%,$-0.00B,$0.05B,-2.20%,$-0.00B,$0.07B,-1.39%,$0.00B,$0.06B,1.82%,$17,$12,$5,$0,$5,$16,$0,$0,$0,$0,$0,$0,$0,$1,$0,$36,36,$0.00,$-0.01,$12,$4,$0,$25,$12,$0,$8,$0,$50,$74,$17,$2,$1,$3,$20,$225,$-174,$0,$54,$74,$0,$1,$0,$2,$0,$0,$-1,$-1,$-2,$0,$0,$-0,$0,$0,$0,$0,$0,$-0,$-0,$0,$-0,$0,$0,$0,$0,$-0,$0,$0,$0
11,2015-06-30,2.7,$1.49,1.81,$1.63,1.66,$0.04,65.53,$-0.06,0.0,$0.02B,$0.02B,1.35,$0.00B,$0.05B,0.04,$0.06B,$0.02B,29.31%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,8.62%,$0.06B,0,0.00%,$0.06B,$-0.00B,-1.72%,$-0.00B,$0.05B,-1.87%,$-0.00B,$0.05B,-2.20%,$-0.00B,$0.08B,-1.41%,$0.00B,$0.06B,0.00%,$18,$13,$5,$0,$5,$18,$-0,$0,$-0,$0,$-0,$-0,$-0,$1,$-0,$36,36,$0.00,$0.00,$11,$4,$0,$24,$13,$0,$8,$0,$51,$75,$18,$2,$1,$4,$22,$225,$-175,$0,$53,$75,$-1,$6,$2,$8,$-3,$-2,$1,$-5,$-9,$-2,$3,$0,$0,$0,$0,$0,$0,$3,$2,$-1,$1,$-0,$-0,$0,$0,$1,$2,$1,$0
