,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,10.39,$2.90,3.58,$4.52,2.3,$2.34,4.44,$0.81,12.83,$0.03B,$0.01B,2.41,$0.20B,$0.08B,2.65,$0.12B,$0.08B,65.52%,$0.12B,$0.03B,24.14%,$0.12B,$0.03B,24.14%,$0.12B,$0.05B,43.97%,$0.12B,$0.02B,17.24%,$0.12B,$0.02B,18.97%,$0.02B,$0.08B,27.33%,$0.02B,$-0.05B,-43.35%,$0.02B,$0.30B,7.25%,$0.03B,$0.28B,9.93%,$30,$9,$20,$0,$4,$21,$8,$-2,$6,$-1,$7,$7,$7,$14,$8,$26,26,$0.26,$0.26,$15,$3,$2,$29,$140,$0,$127,$0,$266,$295,$12,$204,$0,$206,$218,$78,$0,$-1,$77,$295,$13,$11,$1,$12,$-4,$0,$1,$-3,$-4,$20,$0,$0,$0,$0,$0,$0,$0,$0,$3,$0,$3,$0,$0,$-20,$-1,$-18,$1,$3,$-20
1,2018-03-31,9.7,$3.00,3.23,$4.54,2.14,$1.44,6.73,$0.91,10.66,$0.03B,$0.02B,1.82,$0.20B,$0.08B,2.53,$0.11B,$0.08B,66.37%,$0.11B,$0.03B,25.66%,$0.11B,$0.03B,25.66%,$0.11B,$0.05B,45.13%,$0.11B,$0.02B,17.70%,$0.11B,$0.02B,21.24%,$0.02B,$0.08B,29.54%,$0.02B,$-0.05B,-45.07%,$0.02B,$0.30B,7.75%,$0.03B,$0.28B,10.25%,$30,$10,$20,$0,$5,$23,$7,$-1,$6,$-1,$7,$7,$7,$12,$7,$26,26,$0.25,$0.25,$11,$0,$2,$28,$143,$0,$130,$0,$273,$301,$15,$202,$0,$205,$221,$80,$0,$0,$80,$301,$7,$5,$0,$6,$-7,$0,$-1,$5,$-3,$8,$0,$0,$0,$0,$0,$0,$0,$0,$1,$0,$1,$0,$0,$-10,$-1,$-10,$-2,$1,$-10
2,2017-12-31,10.21,$3.22,3.17,$4.62,2.21,$1.68,6.07,$0.89,11.47,$0.02B,$0.01B,2.02,$0.20B,$0.09B,2.36,$0.11B,$0.07B,66.67%,$0.11B,$0.03B,27.93%,$0.11B,$0.03B,27.93%,$0.11B,$0.05B,47.75%,$0.11B,$0.02B,18.02%,$0.11B,$0.02B,19.82%,$0.02B,$0.09B,30.45%,$0.02B,$-0.05B,-33.72%,$0.02B,$0.30B,7.15%,$0.03B,$0.29B,11.23%,$27,$11,$17,$0,$4,$23,$4,$-2,$2,$0,$2,$2,$2,$11,$4,$24,24,$0.07,$0.07,$14,$0,$0,$21,$147,$0,$133,$0,$280,$301,$11,$201,$0,$206,$216,$83,$0,$2,$85,$301,$22,$22,$5,$27,$0,$0,$0,$-3,$-2,$48,$-28,$0,$0,$0,$0,$0,$0,$-28,$-21,$0,$-21,$34,$34,$0,$-36,$-24,$-4,$4,$0
3,2017-09-30,9.68,$3.03,3.19,$4.77,2.03,$3.19,3.03,$0.98,9.87,$0.03B,$0.04B,0.83,$0.20B,$0.08B,2.5,$0.11B,$0.08B,68.14%,$0.11B,$0.03B,29.20%,$0.11B,$0.03B,29.20%,$0.11B,$0.06B,50.44%,$0.11B,$0.02B,20.35%,$0.11B,$0.02B,21.24%,$0.02B,$0.08B,38.25%,$0.02B,$-0.06B,-30.77%,$0.02B,$0.32B,7.77%,$0.03B,$0.28B,12.15%,$29,$10,$19,$0,$4,$20,$9,$-3,$6,$-0,$6,$6,$6,$14,$9,$26,26,$0.25,$0.25,$13,$0,$3,$29,$150,$0,$136,$0,$286,$316,$36,$199,$0,$200,$236,$78,$0,$2,$80,$316,$20,$15,$4,$20,$0,$0,$1,$-3,$-2,$38,$-27,$0,$0,$0,$0,$0,$0,$-27,$-22,$0,$-22,$34,$34,$0,$-27,$-15,$-4,$3,$0
4,2017-06-30,9.57,$3.05,3.14,$4.90,1.95,$4.37,2.19,$1.23,7.78,$0.03B,$0.04B,0.93,$0.20B,$0.08B,2.54,$0.11B,$0.08B,68.75%,$0.11B,$0.03B,30.36%,$0.11B,$0.03B,30.36%,$0.11B,$0.06B,50.89%,$0.11B,$0.02B,21.43%,$0.11B,$0.03B,27.68%,$0.03B,$0.08B,55.86%,$0.03B,$-0.06B,-35.03%,$0.03B,$0.32B,10.03%,$0.03B,$0.29B,12.53%,$27,$8,$19,$0,$4,$18,$9,$-3,$6,$-2,$9,$9,$9,$14,$9,$24,24,$0.37,$0.37,$13,$0,$5,$33,$149,$0,$139,$0,$288,$321,$35,$204,$0,$205,$240,$80,$0,$0,$80,$321,$14,$10,$3,$13,$-0,$0,$-1,$-4,$-5,$22,$-26,$0,$0,$0,$0,$0,$0,$-26,$-17,$0,$-17,$34,$34,$-16,$-1,$-1,$-4,$2,$-16
5,2017-03-31,10.24,$1.89,5.43,$4.99,2.05,$5.51,1.86,$1.11,9.23,$0.03B,$0.04B,0.67,$0.21B,$0.04B,4.76,$0.11B,$0.08B,68.14%,$0.11B,$0.03B,30.09%,$0.11B,$0.03B,30.09%,$0.11B,$0.06B,50.44%,$0.11B,$0.03B,22.12%,$0.11B,$0.03B,23.89%,$0.03B,$0.04B,57.75%,$0.03B,$-0.10B,-26.87%,$0.03B,$0.29B,8.74%,$0.03B,$0.25B,12.60%,$28,$9,$19,$0,$4,$19,$9,$-3,$6,$1,$5,$5,$5,$14,$9,$23,23,$0.22,$0.22,$10,$0,$1,$25,$125,$0,$142,$0,$267,$292,$37,$210,$0,$211,$248,$45,$0,$-1,$44,$292,$5,$5,$1,$6,$0,$0,$0,$1,$1,$13,$-0,$0,$0,$0,$0,$0,$0,$-0,$-11,$0,$-11,$0,$0,$-8,$-1,$-20,$-7,$1,$-8
6,2016-12-31,12.87,$2.02,6.36,$4.93,2.61,$5.35,2.41,$0.98,13.13,$0.04B,$0.04B,0.93,$0.22B,$0.05B,4.72,$0.11B,$0.08B,68.47%,$0.11B,$0.03B,29.73%,$0.11B,$0.03B,29.73%,$0.11B,$0.06B,49.55%,$0.11B,$0.02B,20.72%,$0.11B,$0.02B,21.62%,$0.02B,$0.05B,50.79%,$0.02B,$-0.10B,-23.24%,$0.02B,$0.31B,7.57%,$0.03B,$0.27B,11.89%,$29,$9,$20,$0,$4,$22,$6,$-1,$5,$1,$4,$4,$4,$15,$6,$23,23,$0.17,$0.17,$17,$0,$3,$35,$126,$0,$146,$0,$271,$306,$37,$221,$0,$222,$259,$48,$0,$-1,$47,$306,$24,$23,$7,$30,$2,$0,$-2,$-2,$-2,$53,$-0,$0,$0,$0,$0,$0,$0,$-0,$-22,$0,$-22,$0,$0,$0,$-30,$-51,$1,$4,$0
7,2016-09-30,9.82,$2.21,4.44,$4.91,2.0,$4.67,2.1,$1.11,8.84,$0.04B,$0.04B,0.96,$0.23B,$0.05B,4.43,$0.11B,$0.07B,66.67%,$0.11B,$0.04B,33.33%,$0.11B,$0.04B,33.33%,$0.11B,$0.05B,47.22%,$0.11B,$0.03B,24.07%,$0.11B,$0.03B,25.00%,$0.03B,$0.05B,56.25%,$0.03B,$-0.10B,-25.53%,$0.03B,$0.32B,8.37%,$0.04B,$0.28B,12.73%,$28,$9,$19,$0,$4,$19,$10,$-2,$7,$-6,$13,$13,$13,$14,$10,$23,23,$0.57,$0.57,$15,$0,$5,$36,$132,$0,$149,$0,$281,$317,$37,$227,$0,$228,$266,$51,$0,$1,$51,$317,$20,$15,$5,$20,$0,$0,$-1,$-4,$-4,$37,$-0,$0,$0,$0,$0,$0,$0,$-0,$-16,$0,$-16,$0,$0,$0,$-22,$-38,$-1,$3,$0
8,2016-06-30,7.45,$1.95,3.83,$4.71,1.58,$4.24,1.75,$0.92,8.09,$0.03B,$0.04B,0.85,$0.23B,$0.05B,5.19,$0.10B,$0.07B,63.73%,$0.10B,$0.03B,32.35%,$0.10B,$0.03B,32.35%,$0.10B,$0.05B,44.12%,$0.10B,$0.03B,26.47%,$0.10B,$0.02B,19.61%,$0.02B,$0.05B,45.71%,$0.02B,$-0.11B,-27.49%,$0.02B,$0.32B,7.17%,$0.03B,$0.28B,13.84%,$28,$9,$19,$0,$4,$18,$9,$-2,$7,$2,$5,$5,$5,$14,$9,$23,23,$0.23,$0.23,$16,$0,$2,$33,$134,$0,$152,$1,$287,$320,$39,$234,$0,$236,$275,$44,$0,$1,$45,$320,$7,$10,$4,$14,$2,$0,$-2,$1,$1,$23,$-0,$0,$0,$0,$0,$0,$0,$-0,$-9,$0,$-9,$0,$0,$0,$-14,$-23,$-1,$2,$0
9,2016-03-31,6.23,$2.00,3.11,$4.46,1.4,$3.96,1.57,$0.82,7.59,$0.03B,$0.04B,0.89,$0.24B,$0.05B,5.15,$0.09B,$0.06B,60.64%,$0.09B,$0.03B,31.91%,$0.09B,$0.03B,31.91%,$0.09B,$0.04B,40.43%,$0.09B,$0.03B,26.60%,$0.09B,$0.02B,19.15%,$0.02B,$0.05B,43.64%,$0.02B,$-0.11B,-48.32%,$0.02B,$0.33B,7.62%,$0.03B,$0.29B,15.33%,$26,$8,$18,$0,$4,$19,$8,$-4,$4,$2,$2,$2,$2,$12,$8,$22,22,$0.10,$0.10,$16,$0,$3,$33,$136,$0,$155,$1,$292,$326,$37,$238,$0,$242,$279,$46,$0,$1,$46,$326,$2,$5,$3,$8,$2,$0,$-1,$-2,$-1,$9,$-0,$0,$0,$0,$0,$0,$0,$-0,$-4,$0,$-4,$0,$0,$0,$-7,$-11,$-2,$1,$0
