,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,43.31,$13.33,3.25,$23.33,1.86,$0.49,87.51,$0.63,68.75,$1.03B,$0.49B,2.1,$1.08B,$1.86B,0.58,$3.35B,$0.65B,19.44%,$3.35B,$0.29B,8.57%,$3.35B,$0.29B,8.57%,$3.35B,$0.43B,12.96%,$3.35B,$0.28B,8.39%,$3.35B,$0.09B,2.54%,$0.09B,$1.86B,4.59%,$0.09B,$1.82B,4.69%,$0.09B,$3.89B,2.21%,$0.29B,$2.94B,9.79%,$851,$699,$152,$0,$83,$782,$69,$4,$73,$15,$58,$58,$59,$106,$69,$140,143,$0.42,$0.41,$390,$288,$34,$1031,$1814,$709,$41,$43,$2859,$3890,$490,$1079,$172,$1537,$2027,$15,$-585,$-397,$1863,$3890,$154,$113,$34,$147,$0,$0,$0,$-152,$-152,$149,$-145,$0,$2,$-2,$3,$1,$2,$-140,$0,$0,$0,$-73,$-73,$0,$0,$-73,$-65,$15,$0
1,2018-06-30,43.12,$13.36,3.23,$22.87,1.89,$1.12,38.38,$0.68,63.41,$0.96B,$0.41B,2.34,$1.08B,$1.86B,0.58,$3.29B,$0.66B,20.08%,$3.29B,$0.31B,9.39%,$3.29B,$0.31B,9.39%,$3.29B,$0.45B,13.73%,$3.29B,$0.30B,9.14%,$3.29B,$0.09B,2.79%,$0.09B,$1.86B,4.89%,$0.09B,$1.82B,4.97%,$0.09B,$3.81B,2.39%,$0.31B,$2.94B,10.44%,$880,$696,$184,$0,$109,$805,$75,$-4,$71,$13,$58,$58,$58,$115,$75,$140,141,$0.41,$0.41,$304,$265,$36,$963,$1793,$704,$42,$47,$2850,$3813,$412,$1078,$179,$1538,$1950,$15,$-572,$-401,$1863,$3813,$95,$76,$24,$100,$0,$0,$0,$-176,$-176,$19,$-95,$0,$2,$2,$3,$5,$0,$-88,$0,$0,$0,$-77,$-77,$0,$0,$-77,$-148,$10,$0
2,2018-03-31,40.42,$13.17,3.07,$22.15,1.83,$2.06,19.64,$0.51,79.25,$0.96B,$0.40B,2.39,$1.08B,$1.84B,0.59,$3.22B,$0.65B,20.01%,$3.22B,$0.33B,10.21%,$3.22B,$0.33B,10.21%,$3.22B,$0.46B,14.40%,$3.22B,$0.30B,9.18%,$3.22B,$0.07B,2.17%,$0.07B,$1.84B,3.67%,$0.07B,$1.80B,3.71%,$0.07B,$3.83B,1.81%,$0.33B,$2.92B,11.02%,$786,$647,$139,$0,$93,$740,$46,$-1,$45,$9,$36,$36,$37,$82,$46,$141,144,$0.26,$0.25,$323,$255,$30,$956,$1778,$732,$39,$46,$2875,$3831,$400,$1078,$183,$1592,$1992,$15,$-630,$-374,$1839,$3831,$37,$36,$2,$38,$0,$0,$0,$-99,$-99,$-15,$-52,$0,$2,$2,$0,$2,$0,$-48,$0,$0,$0,$-65,$-65,$0,$0,$-65,$-133,$4,$0
3,2017-12-31,38.56,$12.59,3.06,$21.84,1.77,$2.06,18.72,$0.63,61.21,$0.99B,$0.42B,2.39,$1.08B,$1.85B,0.58,$3.20B,$0.67B,20.76%,$3.20B,$0.37B,11.45%,$3.20B,$0.37B,11.45%,$3.20B,$0.50B,15.57%,$3.20B,$0.34B,10.46%,$3.20B,$0.09B,2.75%,$0.09B,$1.85B,4.53%,$0.09B,$1.80B,4.55%,$0.09B,$3.85B,2.26%,$0.37B,$2.92B,12.67%,$831,$655,$176,$0,$79,$734,$97,$-5,$92,$162,$-70,$-70,$-69,$131,$97,$144,147,$-0.49,$-0.47,$456,$252,$35,$991,$1762,$723,$43,$45,$2860,$3851,$415,$1078,$183,$1591,$2006,$15,$-669,$-389,$1845,$3851,$88,$132,$304,$436,$-32,$-13,$20,$-69,$-142,$382,$-166,$0,$-52,$-8,$0,$-8,$7,$-219,$-21,$0,$-21,$-173,$-173,$0,$-8,$-202,$-33,$18,$0
4,2017-09-30,32.65,$14.53,2.25,$21.14,1.54,$2.63,12.4,$3.14,10.4,$0.94B,$0.39B,2.37,$1.08B,$1.98B,0.54,$3.11B,$0.64B,20.57%,$3.11B,$0.33B,10.59%,$3.11B,$0.33B,10.59%,$3.11B,$0.46B,14.84%,$3.11B,$0.26B,8.24%,$3.11B,$0.46B,14.93%,$0.46B,$1.98B,23.76%,$0.46B,$1.98B,23.78%,$0.46B,$3.89B,11.93%,$0.33B,$3.06B,11.31%,$795,$633,$162,$0,$71,$704,$91,$2,$93,$27,$66,$66,$66,$124,$91,$142,145,$0.47,$0.46,$408,$252,$38,$935,$1733,$713,$0,$61,$2957,$3892,$394,$1077,$185,$1516,$1910,$15,$-600,$-336,$1982,$3892,$157,$98,$111,$209,$0,$0,$0,$-164,$-164,$202,$-107,$0,$0,$-6,$0,$-6,$7,$-106,$-20,$0,$-20,$-154,$-154,$0,$-8,$-182,$-80,$13,$0
5,2017-06-30,29.02,$14.03,2.07,$20.82,1.39,$3.76,7.71,$3.10,9.36,$0.95B,$0.38B,2.5,$1.08B,$1.97B,0.55,$3.08B,$0.66B,21.37%,$3.08B,$0.34B,10.88%,$3.08B,$0.34B,10.88%,$3.08B,$0.47B,15.17%,$3.08B,$0.24B,7.70%,$3.08B,$0.46B,14.94%,$0.46B,$1.97B,24.67%,$0.46B,$1.97B,24.69%,$0.46B,$3.89B,11.27%,$0.34B,$3.05B,11.28%,$811,$643,$168,$0,$73,$716,$95,$-29,$66,$20,$46,$46,$36,$127,$95,$145,147,$0.25,$0.24,$430,$249,$35,$949,$1718,$689,$0,$62,$2938,$3887,$379,$1077,$187,$1540,$1919,$15,$-666,$-329,$1968,$3887,$91,$65,$89,$154,$0,$0,$0,$-117,$-117,$128,$-70,$0,$0,$-1,$0,$-1,$7,$-64,$-20,$0,$-20,$-98,$-98,$0,$-8,$-126,$-56,$9,$0
6,2017-03-31,31.8,$13.55,2.35,$20.49,1.55,$4.38,7.26,$3.36,9.46,$0.95B,$0.87B,1.1,$0.58B,$1.98B,0.3,$3.04B,$0.68B,22.49%,$3.04B,$0.36B,11.92%,$3.04B,$0.36B,11.92%,$3.04B,$0.50B,16.30%,$3.04B,$0.27B,8.96%,$3.04B,$0.50B,16.40%,$0.50B,$1.98B,28.23%,$0.50B,$1.98B,28.26%,$0.50B,$3.91B,11.66%,$0.36B,$2.56B,11.99%,$767,$608,$159,$0,$75,$683,$84,$0,$84,$29,$55,$55,$55,$117,$84,$146,149,$0.38,$0.37,$410,$243,$35,$953,$1715,$689,$0,$62,$2959,$3912,$869,$584,$187,$1067,$1936,$15,$-702,$-352,$1976,$3912,$55,$33,$19,$52,$0,$0,$0,$-138,$-138,$-30,$-39,$0,$0,$-2,$0,$-2,$6,$-35,$0,$0,$0,$-25,$-25,$0,$0,$-25,$-86,$4,$0
7,2016-12-31,28.88,$12.90,2.24,$20.42,1.41,$4.55,6.35,$3.45,8.37,$0.95B,$0.42B,2.25,$1.08B,$1.89B,0.57,$3.02B,$0.71B,23.37%,$3.02B,$0.39B,13.06%,$3.02B,$0.39B,13.06%,$3.02B,$0.53B,17.50%,$3.02B,$0.27B,9.08%,$3.02B,$0.51B,16.90%,$0.51B,$1.89B,30.91%,$0.51B,$1.88B,30.95%,$0.51B,$3.87B,11.44%,$0.39B,$2.97B,12.40%,$734,$584,$150,$0,$91,$675,$59,$-46,$13,$-15,$28,$28,$307,$93,$59,$146,148,$2.10,$2.08,$489,$236,$40,$949,$1707,$657,$8,$56,$2920,$3869,$422,$1083,$184,$1561,$1983,$15,$-782,$-385,$1886,$3869,$510,$134,$-103,$31,$6,$-20,$21,$-139,$-168,$373,$-71,$0,$0,$139,$0,$139,$678,$746,$-1131,$0,$-1131,$2,$2,$0,$0,$-1129,$-15,$18,$0
8,2016-09-30,25.85,$11.15,2.32,$17.40,1.49,$4.55,5.68,$6.89,3.75,$1.59B,$0.81B,1.95,$1.68B,$1.63B,1.03,$2.57B,$0.70B,27.24%,$2.57B,$0.42B,16.15%,$2.57B,$0.42B,16.15%,$2.57B,$0.55B,21.28%,$2.57B,$0.33B,12.76%,$2.57B,$1.02B,39.49%,$1.02B,$1.63B,66.03%,$1.02B,$1.63B,66.03%,$1.02B,$4.66B,21.71%,$0.42B,$3.31B,12.92%,$767,$586,$181,$0,$74,$670,$97,$-23,$74,$18,$56,$56,$62,$130,$97,$146,148,$0.43,$0.42,$736,$228,$37,$1587,$1700,$674,$0,$64,$3074,$4661,$812,$1677,$183,$2220,$3032,$15,$-1089,$-331,$1629,$4661,$203,$100,$89,$189,$0,$0,$0,$-95,$-95,$297,$-32,$0,$0,$127,$0,$127,$9,$104,$-205,$0,$-205,$1,$1,$0,$0,$-204,$192,$14,$0
9,2016-06-30,26.96,$10.73,2.51,$17.29,1.56,$3.63,7.42,$6.99,3.86,$1.49B,$0.84B,1.78,$1.68B,$1.57B,1.07,$2.55B,$0.69B,26.98%,$2.55B,$0.41B,16.16%,$2.55B,$0.41B,16.16%,$2.55B,$0.54B,21.10%,$2.55B,$0.32B,12.59%,$2.55B,$1.03B,40.35%,$1.03B,$1.57B,81.73%,$1.03B,$1.57B,81.73%,$1.03B,$4.65B,22.89%,$0.41B,$3.24B,13.45%,$769,$576,$193,$0,$71,$647,$122,$-21,$101,$34,$67,$67,$74,$155,$122,$146,148,$0.50,$0.50,$687,$331,$35,$1491,$1749,$650,$0,$97,$3154,$4645,$840,$1676,$212,$2239,$3079,$15,$-1151,$-331,$1566,$4645,$141,$67,$54,$121,$0,$0,$0,$-86,$-86,$164,$-14,$0,$0,$20,$0,$20,$8,$14,$-141,$0,$-141,$0,$0,$0,$0,$-141,$37,$9,$0
